EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,5.94,5.94,5.94,5.94,1150
1,5.95,5.95,5.9,5.921,2800
2,5.93,5.96,5.91,5.93,2900
3,5.94,5.94,5.92,5.93,900
4,5.92,5.95,5.92,5.92,3436
5,5.91,5.925,5.91,5.92,2197
6,5.93,5.93,5.92,5.92,200
7,5.93,5.93,5.9,5.92,1100
8,5.89,5.92,5.89,5.9,3200
9,5.9155,5.93,5.9,5.91,9030
10,5.92,5.93,5.915,5.92,1100
11,5.925,5.93,5.9,5.92,4050
12,5.95,5.95,5.92,5.925,9584
13,5.96,5.96,5.95,5.95,1359
14,5.98,5.98,5.95,5.95,1969
15,5.97,5.98,5.96,5.98,5300
16,5.9716,5.9716,5.97,5.97,4530
17,5.96,5.975,5.96,5.97,2003
18,5.93,5.963,5.93,5.9525,3750
19,5.96,5.96,5.95,5.95,200
20,5.97,5.975,5.96,5.96,13684
21,5.96,5.97,5.91,5.97,21618
22,6.03,6.0649,5.96,5.96,80600
23,6.03,6.03,6,6.02,4498
24,5.99,6.02,5.99,6.01,10292
25,5.9942,6.005,5.9942,6,800
26,5.96,6,5.96,6,1400
27,5.95,5.98,5.95,5.96,1203
28,5.93,5.96,5.93,5.96,2800
29,5.97,5.97,5.92,5.94,16200
30,6,6,5.9,5.98,19932
31,6,6.005,5.98,6,27054
32,5.97,6,5.96,6,9552
33,6,6,5.97,5.97,4007
34,6.06,6.06,5.99,6,29386
35,6.1,6.12,6.02,6.04,78162
36,6.11,6.18,6.07,6.0901,57901
37,6.1,6.14,6.095,6.095,33200
38,6.1056,6.11,6.09,6.09,8450
39,6.11,6.12,6.0945,6.1025,79177
144,6.1,6.1,6.1,6.1,1661
145,6.1105,6.19,6.11,6.11,25100
146,6.165,6.17,6.12,6.13,12700
147,6.15,6.1752,6.13,6.1752,24535
148,6.14,6.14,6.12,6.12,1100
149,6.15,6.17,6.11,6.138,6550
150,6.11,6.15,6.11,6.15,14270
151,6.15,6.15,6.1172,6.1172,3250
152,6.15,6.16,6.14,6.14,15300
153,6.17,6.19,6.158,6.158,9012
154,6.17,6.17,6.145,6.15,10200
155,6.165,6.18,6.165,6.17,7600
156,6.18,6.19,6.17,6.18,16376
157,6.17,6.18,6.16,6.17,3444
158,6.16,6.17,6.15,6.17,1100
159,6.145,6.15,6.13,6.14,1300
160,6.1536,6.177,6.1536,6.16,1540
161,6.21,6.21,6.16,6.17,8463
162,6.205,6.21,6.2,6.21,1000
163,6.2,6.205,6.1993,6.2,3417
164,6.21,6.21,6.199,6.2,1100
165,6.2,6.21,6.19,6.19,600
166,6.2,6.21,6.19,6.1997,2000
167,6.2,6.21,6.19,6.21,4775
168,6.2,6.21,6.1967,6.21,11500
169,6.2,6.205,6.18,6.205,7969
170,6.2,6.2,6.1936,6.2,19761
171,6.205,6.21,6.195,6.205,5500
172,6.2,6.21,6.19,6.205,2841
173,6.205,6.21,6.1953,6.2,12195
174,6.22,6.23,6.205,6.205,8923
175,6.23,6.23,6.22,6.22,1200
176,6.29,6.29,6.22,6.25,7304
177,6.32,6.33,6.285,6.29,10633
178,6.33,6.34,6.31,6.32,9800
179,6.335,6.34,6.33,6.34,4200
180,6.2907,6.34,6.2901,6.34,14330
181,6.28,6.31,6.28,6.295,7868
182,6.28,6.29,6.25,6.28,16362
183,6.27,6.31,6.26,6.28,28938
288,6.3,6.3,6.3,6.3,569
289,6.25,6.3,6.18,6.26,6068
290,6.2096,6.24,6.1902,6.2012,6230
291,6.1996,6.1996,6.1801,6.1801,1308
292,6.2201,6.24,6.18,6.18,9200
293,6.21,6.26,6.21,6.256,1700
294,6.21,6.21,6.21,6.21,300
295,6.26,6.26,6.17,6.2,3057
296,6.22,6.235,6.22,6.235,200
297,6.18,6.235,6.17,6.235,3000
298,6.2,6.2,6.18,6.18,5000
299,6.2,6.205,6.195,6.205,2263
300,6.21,6.21,6.19,6.195,2100
301,6.2,6.22,6.2,6.21,1071
302,6.2,6.22,6.19,6.195,2170
303,6.21,6.21,6.19,6.2,600
304,6.2,6.218,6.195,6.21,3300
305,6.21,6.21,6.2,6.2,5126
306,6.2066,6.21,6.205,6.21,4100
307,6.235,6.25,6.2,6.205,11922
308,6.24,6.2499,6.24,6.2499,1100
309,6.24,6.24,6.24,6.24,100
310,6.235,6.26,6.23,6.25,11800
311,6.2,6.22,6.2,6.22,1510
312,6.2143,6.2143,6.2,6.2,1443
313,6.28,6.28,6.22,6.22,8545
314,6.28,6.28,6.2635,6.2635,300
315,6.22,6.2611,6.19,6.2611,5100
316,6.26,6.26,6.21,6.21,2700
317,6.26,6.26,6.25,6.26,1400
318,6.27,6.27,6.245,6.25,2300
319,6.27,6.29,6.27,6.27,2400
320,6.29,6.29,6.28,6.28,700
321,6.26,6.29,6.26,6.29,2400
322,6.26,6.26,6.24,6.25,900
323,6.295,6.3,6.245,6.245,15620
324,6.309,6.31,6.2901,6.3,4573
325,6.26,6.32,6.26,6.31,7595
326,6.26,6.2672,6.26,6.2672,700
327,6.24,6.27,6.21,6.26,42202
432,6.25,6.25,6.25,6.25,540
433,6.26,6.27,6.165,6.165,7160
434,6.21,6.28,6.21,6.28,500
435,6.19,6.2194,6.18,6.2194,500
436,6.2,6.21,6.2,6.21,500
437,6.18,6.1807,6.17,6.17,3300
438,6.18,6.18,6.18,6.18,300
439,6.16,6.1901,6.16,6.1899,17500
440,6.17,6.1897,6.16,6.16,2500
441,6.15,6.15,6.15,6.15,200
442,6.11,6.16,6.11,6.15,10234
443,6.06,6.1,6.06,6.1,4000
444,6.051,6.07,6.05,6.06,675
445,6.0614,6.08,6,6.06,31260
446,6.02,6.08,6.02,6.05,6536
447,6.02,6.02,6.02,6.02,200
448,6.07,6.07,6.03,6.03,3500
449,6.0998,6.0998,6.0998,6.0998,400
450,6.13,6.14,6.0993,6.0993,5627
451,6.1448,6.1448,6.12,6.1326,7900
452,6.18,6.18,6.14,6.15,5111
453,6.2085,6.21,6.1653,6.1742,6125
454,6.1997,6.1997,6.1997,6.1997,500
455,6.19,6.2,6.18,6.1997,2300
456,6.18,6.19,6.16,6.1876,1460
457,6.2,6.2,6.2,6.2,100
458,6.17,6.19,6.17,6.19,500
460,6.14,6.18,6.14,6.18,1000
461,6.1201,6.14,6.12,6.12,918
462,6.12,6.12,6.12,6.12,200
463,6.12,6.14,6.11,6.12,8648
464,6.14,6.14,6.11,6.12,2000
465,6.1311,6.14,6.13,6.14,1100
466,6.16,6.16,6.15,6.15,1000
467,6.17,6.17,6.17,6.17,100
468,6.14,6.16,6.135,6.16,2694
469,6.13,6.1326,6.12,6.1326,1425
470,6.14,6.14,6.12,6.13,6141
471,6.1,6.155,6.09,6.15,23978
864,6.06,6.06,6.06,6.06,2532
866,6.0381,6.11,6.0381,6.11,1493
867,6.085,6.1,6.07,6.08,700
868,6.08,6.08,6.08,6.08,300
869,5.97,6.02,5.97,6.01,6734
870,5.93,5.96,5.88,5.95,10444
871,5.96,5.96,5.93,5.94,1969
872,5.9501,5.955,5.9501,5.955,1200
873,5.9411,5.97,5.93,5.95,10121
874,5.92,5.939,5.92,5.935,2300
875,5.92,5.922,5.91,5.92,1700
876,5.89,5.9,5.89,5.9,208
877,5.86,5.91,5.845,5.91,5402
878,5.9,5.9,5.86,5.86,2300
879,5.92,5.92,5.9101,5.92,920
880,5.94,5.94,5.93,5.93,1600
882,5.92,5.95,5.92,5.95,1719
883,5.95,5.9573,5.95,5.95,1500
884,5.95,5.96,5.95,5.96,600
886,5.93,5.94,5.93,5.94,1550
887,5.93,5.93,5.93,5.93,400
888,5.9314,5.9314,5.93,5.93,400
889,5.93,5.9301,5.93,5.9301,425
890,5.93,5.93,5.93,5.93,300
891,5.925,5.93,5.925,5.93,2272
892,5.9,5.92,5.9,5.92,2316
893,5.87,5.9,5.87,5.9,1943
894,5.87,5.87,5.85,5.86,3050
895,5.8699,5.87,5.865,5.865,1620
896,5.86,5.88,5.86,5.87,11227
897,5.8689,5.8689,5.86,5.86,1100
