EXCHANGE%3DTLV
MARKET_OPEN_MINUTE=585
MARKET_CLOSE_MINUTE=986
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=180
a1492930200,705,706,705,706,2376
1,710,715,710,710,2000
2,705,710,705,710,6038
3,707,710,707,710,1631
4,707,714.8,705,707,4253
7,708,708.1,708,708.1,600
12,700,708.1,700,708.1,15598
16,702,702,702,702,409
18,709.2,709.2,709.2,709.2,200
25,709.6,709.6,707.9,707.9,853
28,703,703.4,703,703.4,3725
30,703.3,703.3,703.3,703.3,611
31,703,703.3,703,703.3,2905
32,708,708,703,703,2418
35,703.7,704,703.7,704,450
36,703,703.7,703,703.7,2486
39,703,703,703,703,358
144,711.7,711.7,703,703,191
156,706,706,706,706,570
157,703,706,703,706,3482
159,714,714,712,712,994
160,716,716,714,714,1805
162,710,710.1,710,710.1,1737
164,715.9,715.9,715.9,715.9,190
166,712,712,712,712,250
173,716.1,716.1,716.1,716.1,698
176,716.2,716.2,716.1,716.1,250
179,705.1,705.1,705.1,705.1,400
180,714.9,714.9,714.9,714.9,190
183,706,706,706,706,230
288,700,700,696,696,1333
294,700,700,700,700,916
295,690,700,690,700,1429
296,690,690,690,690,99
298,690,690,690,690,145
299,699.9,699.9,699.9,699.9,190
309,697.9,697.9,697.9,697.9,45
315,685,685.1,685,685.1,1357
316,685,685,685,685,184
317,680,681.3,680,681.3,2030
318,680,680,680,680,124
320,680,680,680,680,220
322,680,680,680,680,2200
323,680,680,680,680,180
325,685,685,685,685,730
326,681,681,681,681,300
433,698.9,698.9,690,690,190
471,675,675,675,675,200
576,671.7,671.7,651,651,1756
577,696.9,696.9,696.9,696.9,200
582,663.9,663.9,663.9,663.9,287
585,668.1,668.1,668.1,668.1,447
595,655,658.1,655,658.1,813
596,655,655,651.8,651.8,350
598,651,651.7,651,651.7,1433
599,650,651,650,651,5046
600,640,650,640,650,2936
601,640,640,640,640,294
604,630,640,630,640,2994
605,654.9,654.9,654.9,654.9,200
615,672.9,672.9,654.9,654.9,1550
a1493535000,628.8,628.8,628.8,628.8,386
1,640,640,628.8,628.8,1331
2,640,640,640,640,200
3,648,648,648,648,463
5,650,657.2,625,648,2534
6,649.9,649.9,620,630,1000
12,633.9,641,633.9,641,2258
18,630,630,630,630,258
27,643.9,643.9,643,643,210
33,656,656,640,640,3200
432,629.8,632.4,625,632.4,1766
433,635,643.9,629.8,629.8,1970
434,640,640,635,635,1653
437,640,640,640,640,373
439,632,632,632,632,290
441,650,650,643.5,643.5,3076
442,660.9,660.9,649.9,649.9,2941
444,660,660,655,655,1000
445,692,692,660,660,5610
446,670,690,670,690,310
447,660,670,660,670,990
448,659.9,659.9,659.9,659.9,500
449,659.4,659.4,659.4,659.4,310
452,659,659,655,655,500
460,658,658,656,656,1000
466,650,652.1,650,652.1,2518
467,649.9,649.9,645.1,646.1,5660
471,645,646,645,646,4800
576,615,629.2,615,629.2,1896
577,605,605,605,605,350
578,616.9,616.9,616.9,616.9,310
579,616.9,616.9,616.9,616.9,825
580,616,616,616,616,800
583,610,610.1,610,610.1,970
584,612.8,612.8,611,611,1037
586,611,611,611,611,310
588,606,608.3,606,608.3,5562
589,604,606,604,606,1548
590,604,604,604,604,1696
592,610,610,610,610,310
594,610,610,610,610,310
608,610,610,610,610,500
614,610,610,610,610,500
615,614,614,610,610,3000
a1494140400,509,509,505,505,8866
1,512,512,512,512,475
2,510,510,510,510,491
3,515,515,511.9,511.9,8747
4,515,515,515,515,2751
5,512,513,512,513,2100
6,514,514,511,511.1,2145
8,514,514,514,514,23
13,513.6,513.6,513.6,513.6,2921
14,513,513.6,513,513.6,1486
16,513.6,513.6,513.5,513.5,2500
17,512.2,512.2,512.2,512.2,700
18,512.1,512.1,512.1,512.1,1946
19,512,512,512,512,54
20,509,511.5,509,511.5,5053
21,512.9,512.9,509,509,1170
23,512.8,512.8,512,512,500
26,511.9,512,511.9,512,1785
27,512,512,511.9,511.9,686
29,512,512,510.7,511.1,2544
32,512,512,512,512,1175
33,510,511.1,510,511.1,2522
34,511.8,511.8,511.8,511.8,310
36,507,510.3,507,510.3,3637
38,509.9,509.9,509.9,509.9,951
143,507,507,507,507,310
146,510,510,510,510,937
147,510,510,510,510,464
148,519.5,519.5,516.7,516.7,1317
151,507,510,507,510,1860
152,500,502.2,500,502.2,1500
154,509.9,509.9,509.9,509.9,320
160,502,502,502,502,1474
164,502,502,502,502,310
165,502,502,502,502,1195
179,509,509,505.6,505.6,3461
287,472.3,472.3,472.3,472.3,1152
288,461.2,466.1,461.2,465,3441
289,460,460.9,460,460.9,1446
292,456,456.5,456,456.5,1743
293,456,456,456,456,73
294,452.8,455,452.8,455,966
295,450,450,450,450,400
296,444,448.9,444,445,4422
299,447.5,447.5,447.4,447.4,1871
301,450,450,449,449,1191
307,449.9,449.9,449.9,449.9,340
308,444.2,446.8,444.2,446.8,2441
309,450,450,449.9,449.9,1111
324,465,465,449.9,449.9,8813
325,465,465,465,465,1000
326,465,465,465,465,500
431,443.9,443.9,443.9,443.9,566
432,433,450,433,448.9,5240
436,433,433.4,433,433.4,3487
437,433.1,436.6,433.1,436.5,1919
