EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,5.55,5.55,5.55,5.55,5095
1,5.55,5.55,5.55,5.55,3951
2,5.55,5.575,5.55,5.575,1900
3,5.55,5.55,5.55,5.55,3400
4,5.5,5.55,5.5,5.55,300
5,5.5417,5.5417,5.5417,5.5417,110
7,5.55,5.55,5.55,5.55,1625
8,5.5,5.5,5.5,5.5,100
9,5.55,5.55,5.5,5.55,500
10,5.55,5.55,5.55,5.55,100
11,5.55,5.55,5.55,5.55,300
12,5.525,5.55,5.5,5.5,1714
13,5.4,5.5499,5.4,5.5499,7848
14,5.6,5.6,5.35,5.4,41755
15,5.55,5.6,5.55,5.575,6864
16,5.55,5.6,5.55,5.55,8200
17,5.575,5.575,5.55,5.575,600
18,5.5,5.55,5.5,5.55,1600
19,5.5,5.5,5.5,5.5,200
20,5.5,5.55,5.5,5.55,200
21,5.65,5.65,5.5,5.5,23003
22,5.675,5.7,5.625,5.65,16420
23,5.675,5.675,5.65,5.675,1900
24,5.65,5.725,5.65,5.675,33598
25,5.6,5.6749,5.6,5.65,3400
26,5.65,5.675,5.6,5.6,23702
27,5.675,5.682,5.65,5.65,4887
28,5.65,5.675,5.65,5.65,3700
29,5.65,5.65,5.65,5.65,1000
30,5.65,5.7,5.65,5.65,700
31,5.65,5.7,5.65,5.7,700
32,5.7,5.7,5.65,5.65,800
33,5.7,5.75,5.7,5.7,13430
34,5.725,5.75,5.7,5.7,2500
35,5.7,5.75,5.7,5.725,3400
36,5.7,5.7375,5.7,5.7,20370
37,5.6,5.7375,5.6,5.7,11400
38,5.65,5.6875,5.55,5.65,21048
39,5.6,5.7,5.55,5.675,43835
144,5.6,5.6,5.6,5.6,318
145,5.75,5.8,5.7,5.7,3800
146,5.75,5.8,5.75,5.75,2900
147,5.8,5.8,5.7549,5.775,1316
148,5.8248,5.85,5.7999,5.8,2890
149,5.818,5.818,5.8,5.8,200
150,5.85,5.85,5.8,5.8,1600
151,5.8,5.85,5.8,5.8,13456
152,5.85,5.85,5.8,5.8,1719
153,5.8,5.85,5.8,5.8,3121
154,5.8,5.85,5.8,5.8,3570
155,5.825,5.85,5.8,5.8,1300
156,5.825,5.85,5.8,5.8,15298
157,5.875,5.875,5.8,5.8,9420
158,5.875,5.9,5.85,5.875,3300
159,5.85,5.9,5.85,5.875,3727
160,5.85,5.9,5.85,5.9,4100
161,5.8999,5.9,5.85,5.9,3978
162,5.8588,5.9,5.85,5.85,11305
163,5.9,5.9,5.85,5.9,3600
164,5.85,5.9,5.85,5.9,2800
165,5.875,5.9,5.85,5.85,2500
166,5.9,5.9,5.85,5.85,6400
167,5.9,5.9,5.85,5.9,5500
168,5.8999,5.9,5.8999,5.9,9001
169,5.8652,5.9,5.85,5.9,3500
170,5.85,5.9,5.85,5.9,3845
171,5.85,5.9,5.85,5.85,2700
172,5.9,5.9,5.85,5.85,10920
173,5.85,5.9,5.85,5.875,2400
174,5.85,5.8999,5.8,5.8999,8194
175,5.9,5.9,5.85,5.875,2500
176,5.875,5.9,5.85,5.85,5562
177,5.95,5.95,5.9,5.9,5752
178,5.9,5.95,5.9,5.95,6316
179,5.95,5.95,5.9,5.925,4810
180,5.95,5.95,5.9,5.9,4600
181,5.9,5.925,5.9,5.925,1655
182,5.85,5.925,5.85,5.9,7500
183,5.85,5.9,5.85,5.9,24309
288,5.9,5.9,5.9,5.9,483
289,5.9,5.9,5.9,5.9,111
290,5.9,5.9,5.875,5.875,200
291,5.85,5.8827,5.85,5.8827,600
292,5.85,5.892,5.85,5.85,2600
293,5.85,5.875,5.85,5.875,1700
294,5.8,5.85,5.8,5.85,2090
295,5.8,5.8059,5.8,5.8,900
296,5.8,5.85,5.8,5.8,2200
297,5.75,5.8,5.75,5.8,3300
298,5.75,5.765,5.75,5.765,3105
299,5.775,5.775,5.75,5.75,300
300,5.75,5.75,5.75,5.75,100
301,5.75,5.75,5.75,5.75,200
302,5.75,5.799,5.75,5.775,3040
303,5.75,5.7686,5.75,5.75,500
304,5.75,5.775,5.75,5.7545,7881
305,5.75,5.75,5.75,5.75,100
306,5.75,5.75,5.75,5.75,1500
307,5.7,5.75,5.7,5.75,1569
308,5.7,5.7,5.65,5.7,1300
309,5.7285,5.7285,5.65,5.7,1430
310,5.725,5.725,5.725,5.725,100
311,5.75,5.75,5.75,5.75,200
312,5.7,5.725,5.7,5.725,200
314,5.7,5.7,5.7,5.7,100
315,5.7,5.7,5.7,5.7,100
316,5.65,5.7001,5.65,5.7,4000
317,5.7,5.75,5.65,5.65,8749
318,5.85,5.85,5.7,5.75,18780
319,5.859,5.859,5.85,5.85,600
320,5.85,5.85,5.85,5.85,400
321,5.9,5.95,5.85,5.85,8455
322,5.9,5.925,5.9,5.9,3000
323,6,6,5.9,5.9,8247
324,5.9,5.9604,5.9,5.95,1673
325,5.95,6,5.9,5.95,21961
326,5.95,6,5.95,5.95,500
327,5.9,6,5.9,5.95,11064
432,5.95,5.95,5.9,5.95,618
433,5.8065,5.9,5.8065,5.9,4048
434,5.9,5.9023,5.8,5.8,2713
435,5.9,5.9,5.9,5.9,400
436,5.85,5.9,5.85,5.85,400
437,5.8681,5.875,5.8681,5.875,470
438,5.875,5.875,5.875,5.875,300
439,5.875,5.875,5.8622,5.875,2300
440,5.85,5.875,5.85,5.875,300
441,5.85,5.85,5.85,5.85,604
442,5.9,5.9,5.9,5.9,200
443,5.85,5.85,5.85,5.85,196
444,5.8755,5.8755,5.8755,5.8755,300
445,5.85,5.85,5.85,5.85,284
446,5.85,5.85,5.85,5.85,100
447,5.855,5.855,5.85,5.85,500
448,5.865,5.8999,5.85,5.8999,1379
449,5.9,5.9,5.85,5.85,200
451,5.9,5.9,5.9,5.9,200
452,5.875,5.875,5.875,5.875,100
453,5.85,5.85,5.85,5.85,300
454,5.85,5.85,5.85,5.85,460
455,5.875,5.9,5.85,5.881,859
456,5.875,5.875,5.85,5.85,300
457,5.9,5.9,5.9,5.9,501
458,5.875,5.875,5.875,5.875,100
460,5.85,5.8501,5.85,5.85,666
461,5.85,5.9,5.85,5.85,10600
462,5.85,5.9,5.85,5.9,3954
463,5.85,5.875,5.85,5.85,13700
464,5.9,5.9,5.875,5.875,1300
465,5.9,5.9,5.85,5.9,1448
466,5.85,5.9,5.85,5.875,2652
467,5.85,5.9,5.85,5.9,800
468,5.9,5.9,5.85,5.9,1300
469,5.85,5.9,5.85,5.875,3400
470,5.85,5.9,5.85,5.85,10034
471,5.85,5.9,5.85,5.875,37172
864,5.9,5.9,5.9,5.9,2379
865,5.8501,5.856,5.8501,5.856,300
866,5.68,5.8501,5.65,5.85,7378
867,5.715,5.75,5.7035,5.75,1280
868,5.665,5.725,5.665,5.7,1382
869,5.675,5.7,5.65,5.6501,4269
870,5.7,5.7,5.675,5.675,200
871,5.65,5.7,5.65,5.7,500
872,5.668,5.668,5.668,5.668,200
873,5.65,5.7,5.65,5.6989,3700
874,5.65,5.7,5.65,5.65,2900
875,5.6,5.65,5.6,5.65,1050
876,5.5,5.625,5.45,5.6,19700
877,5.5,5.55,5.5,5.55,1119
878,5.525,5.55,5.5,5.5,34669
879,5.5,5.55,5.5,5.525,6800
880,5.45,5.525,5.45,5.5,3692
881,5.45,5.475,5.45,5.45,7700
882,5.4,5.45,5.4,5.45,3400
883,5.4,5.428,5.4,5.4,2960
884,5.4,5.442,5.4,5.4,3100
885,5.475,5.5,5.4,5.4,12033
886,5.45,5.5,5.45,5.45,2900
887,5.45,5.5,5.45,5.45,2300
888,5.45,5.5,5.425,5.45,5753
889,5.475,5.475,5.45,5.45,1420
890,5.45,5.5,5.45,5.45,3100
891,5.475,5.5,5.425,5.45,12962
892,5.45,5.5,5.45,5.4739,3035
893,5.45,5.5,5.45,5.475,3400
894,5.4,5.45,5.4,5.45,7815
895,5.445,5.45,5.4,5.4,8220
896,5.4,5.45,5.4,5.4,2050
897,5.4,5.4253,5.4,5.4,1700
898,5.4,5.43,5.4,5.4,2150
899,5.4,5.45,5.4,5.425,2800
