EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,27.5,27.5,27.5,27.5,997
1,27.7,27.8,27.4,27.4,685
2,27.8,27.85,27.6,27.795,7140
3,27.9,28,27.8,27.9,7200
4,28.15,28.15,27.9581,28,5500
5,28.1,28.25,28.1,28.2,4545
6,28.2,28.3,28.2,28.245,6575
7,27.95,28.25,27.95,28.2,3270
8,27.918,27.918,27.9,27.9,1100
9,27.96,27.96,27.95,27.95,400
10,27.9,28,27.9,28,300
11,28,28,27.9,28,1400
12,27.75,28,27.75,28,3400
13,27.95,27.95,27.7828,27.7828,2200
14,28.05,28.05,27.95,27.95,2400
15,27.85,28,27.85,27.955,3653
16,28,28.1,27.88,27.88,2600
17,28.05,28.05,28.05,28.05,100
18,28,28,28,28,300
20,27.95,28.05,27.95,28.05,782
21,27.85,27.95,27.8,27.85,1946
22,28,28,27.8,27.85,2000
23,27.9,28,27.9,28,3050
24,27.9,27.95,27.85,27.95,1900
25,27.75,27.9,27.75,27.9,800
26,27.75,27.75,27.7,27.75,800
27,27.9,27.9,27.7,27.7,2300
28,27.9,27.95,27.85,27.85,1900
29,28,28,27.85,27.85,1300
30,27.95,28.05,27.95,28,2600
31,27.9,27.95,27.85,27.95,1500
32,27.95,27.95,27.95,27.95,998
33,28,28.05,27.9,27.95,1500
34,28.016,28.05,28,28.05,600
35,28.05,28.05,28,28,7537
36,28.095,28.1,28,28.05,6000
37,28.225,28.25,28.1,28.15,11363
38,28.35,28.45,28.2,28.225,8097
39,28.35,28.4,28.3,28.35,14436
144,28.45,28.45,28.45,28.45,1598
145,28.15,28.5,28.15,28.5,1411
146,28.15,28.35,28,28.2,7651
147,28.225,28.4,28.2,28.4,1130
148,28.2,28.2,28.0671,28.15,2119
149,28.05,28.225,28.05,28.2,1027
150,28.1,28.2,28.05,28.0906,1700
151,28.05,28.15,28,28.1227,2151
152,28.2,28.2,28.1,28.1,1400
153,28.2,28.2,28.1,28.1,400
154,28.1,28.1,28.1,28.1,300
155,28.2,28.2,28.1,28.125,1500
156,28.2,28.275,28.2,28.2,1900
157,28.25,28.25,28.15,28.15,900
158,28.15,28.25,28.15,28.15,1800
159,28.134,28.134,28.1,28.1,350
160,28.1,28.2,28.1,28.1,4600
161,28.1,28.1,28.1,28.1,100
162,28.3,28.3,28.15,28.15,2275
163,28.3,28.35,28.25,28.25,1539
164,28.4,28.45,28.35,28.35,1546
165,28.35,28.4197,28.35,28.4197,800
166,28.45,28.45,28.35,28.35,500
167,28.516,28.55,28.35,28.35,3695
168,28.55,28.575,28.55,28.575,1100
169,28.55,28.6045,28.55,28.55,2034
170,28.6,28.625,28.55,28.55,900
171,28.5,28.65,28.5,28.6,400
172,28.45,28.5,28.45,28.5,700
173,28.5,28.6,28.475,28.475,2300
174,28.5,28.55,28.5,28.5,1500
175,28.625,28.65,28.5,28.5,1700
176,28.6,28.65,28.6,28.6,6175
177,28.55,28.605,28.55,28.6,4700
178,28.4,28.55,28.4,28.45,2900
179,28.35,28.425,28.35,28.4,1100
180,28.35,28.45,28.35,28.35,1450
181,28.5,28.5,28.35,28.35,5870
182,28.55,28.55,28.45,28.5,4400
183,28.5,28.55,28.45,28.55,13453
288,28.6,28.6,28.6,28.6,554
289,28.5,28.65,28.49,28.6,1800
290,28.55,28.7,28.4,28.4,4800
291,28.5,28.5,28.5,28.5,200
292,28.575,28.575,28.45,28.45,1000
293,28.55,28.625,28.55,28.55,1800
294,28.5,28.5,28.5,28.5,478
295,28.6,28.6,28.5,28.5,1538
296,28.595,28.595,28.55,28.55,1300
297,28.5783,28.6,28.55,28.6,1700
298,28.6,28.65,28.45,28.575,9300
299,28.55,28.55,28.55,28.55,200
300,28.65,28.65,28.566,28.566,1100
301,28.675,28.675,28.65,28.65,300
302,28.775,28.8,28.65,28.6505,4883
303,28.775,28.8,28.775,28.8,865
304,28.75,28.8,28.7,28.775,3531
305,28.75,28.75,28.7,28.75,400
306,28.75,28.75,28.75,28.75,100
307,28.75,28.75,28.6,28.7,2004
308,28.75,28.75,28.65,28.65,1818
309,28.7,28.75,28.7,28.75,1325
310,28.75,28.75,28.75,28.75,100
311,28.75,28.8,28.75,28.75,3191
313,28.65,28.75,28.65,28.75,600
315,28.7,28.7,28.65,28.65,1100
316,28.65,28.65,28.65,28.65,400
317,28.675,28.7,28.65,28.7,1397
318,28.6,28.675,28.6,28.675,450
319,28.625,28.725,28.35,28.7,8128
320,28.675,28.7,28.6,28.6,2200
321,28.6,28.7,28.6,28.65,1600
322,28.65,28.65,28.65,28.65,500
323,28.65,28.65,28.6,28.6,1100
324,28.6,28.7,28.6,28.6,2400
325,28.65,28.7,28.6,28.7,800
326,28.7,28.7,28.6,28.6,1300
327,28.8,28.8,28.7,28.7,9766
432,28.9,28.9,28.9,28.9,778
433,28.7,28.8,28.575,28.75,1000
434,28.675,28.8,28.675,28.7093,300
435,28.65,28.65,28.6,28.6,300
436,28.65,28.65,28.65,28.65,100
441,28.85,28.85,28.5,28.5,6906
442,28.8,28.8,28.75,28.8,500
443,28.8,28.825,28.8,28.8,399
444,28.85,28.85,28.85,28.85,6183
445,28.85,28.85,28.8,28.85,900
446,28.75,28.825,28.7,28.825,4204
447,28.775,28.775,28.7,28.7,1000
448,28.8,28.8,28.8,28.8,800
449,28.75,28.85,28.75,28.775,1659
450,28.75,28.75,28.75,28.75,900
451,28.85,28.85,28.8,28.8,800
452,28.85,28.85,28.8,28.825,2200
453,28.825,28.825,28.825,28.825,100
454,28.85,28.85,28.85,28.85,410
455,28.8,28.8,28.8,28.8,200
456,28.8,28.825,28.75,28.8,2745
457,28.825,28.825,28.8,28.825,300
458,28.8,28.85,28.8,28.85,1800
459,28.85,28.85,28.75,28.8,1100
460,28.8,28.8,28.75,28.75,200
461,28.8,28.8,28.8,28.8,100
462,28.75,28.8,28.75,28.8,371
463,28.825,28.85,28.75,28.75,1500
464,28.775,28.775,28.75,28.75,500
465,28.75,28.8,28.75,28.8,1700
467,28.825,28.85,28.45,28.75,13781
468,28.85,28.875,28.85,28.85,4812
469,28.85,28.9,28.85,28.85,13104
470,28.85,28.9,28.75,28.9,4387
471,28.875,28.9,28.85,28.9,8406
864,28.95,28.95,28.95,28.95,1318
865,28.75,28.806,28.7,28.8,21900
866,28.7481,28.7481,28.7481,28.7481,150
867,28.8,28.8,28.65,28.7,700
868,28.875,28.9,28.825,28.85,1800
869,28.85,28.9,28.825,28.85,1929
870,28.85,28.85,28.75,28.85,911
871,28.875,28.9,28.75,28.75,4799
872,28.75,28.85,28.75,28.85,3810
873,28.725,28.75,28.7,28.75,1000
874,28.85,28.85,28.7,28.75,2000
875,28.9,28.9,28.75,28.85,1000
876,28.9,28.9,28.85,28.85,2500
877,28.85,28.9,28.825,28.875,1700
878,28.75,28.85,28.75,28.825,2369
879,28.85,28.85,28.75,28.75,1700
880,28.8158,28.85,28.8,28.8,1470
881,28.9,28.9,28.85,28.85,1100
882,28.9,28.9,28.875,28.9,1100
883,28.85,28.9,28.85,28.9,1700
884,28.9,28.9,28.8,28.875,1400
885,28.875,28.9,28.85,28.85,1000
886,28.9,28.9,28.85,28.9,5898
887,28.9,28.9,28.85,28.85,1300
888,28.9,28.9,28.8685,28.9,1000
889,28.9,28.9,28.875,28.9,5400
890,28.9,28.9,28.85,28.9,900
891,28.9,28.9,28.85,28.9,1650
892,28.9,28.9,28.875,28.9,1859
893,28.9,28.9,28.875,28.9,1200
894,28.85,28.9,28.8,28.9,3500
895,28.65,28.85,28.65,28.8,4800
896,28.75,28.8,28.6,28.65,4890
897,28.6,28.725,28.6,28.7,1400
898,28.725,28.775,28.65,28.7,11385
899,28.8,28.8,28.7,28.7,3831
900,28.8,28.8,28.755,28.8,1600
901,28.7,28.825,28.7,28.8,5812
902,28.75,28.75,28.65,28.75,4097
903,28.75,28.875,28.65,28.75,24098
a1493731800,28.75,28.75,28.75,28.75,298
1,28.65,28.85,28.45,28.85,2550
2,28.65,28.65,28.55,28.55,1100
3,27.9,28.638,27.75,28.638,18984
