EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127600,2.65,2.65,2.64,2.65,8000
37,2.65,2.65,2.65,2.65,300
38,2.66,2.66,2.66,2.66,400
153,2.67,2.6701,2.67,2.6701,600
157,2.67,2.6701,2.6593,2.66,4400
159,2.65,2.6501,2.65,2.6501,900
176,2.64,2.6401,2.64,2.6401,800
177,2.6256,2.6256,2.6256,2.6256,115
181,2.69,2.69,2.6702,2.6702,2250
295,2.57,2.6,2.57,2.6,500
296,2.57,2.59,2.57,2.59,7400
301,2.62,2.64,2.62,2.64,3200
302,2.61,2.62,2.6,2.62,2300
315,2.6632,2.6632,2.65,2.65,200
318,2.64,2.65,2.64,2.65,2473
326,2.62,2.62,2.62,2.62,100
432,2.6992,2.7,2.69,2.69,8200
435,2.6982,2.6982,2.6982,2.6982,2500
439,2.686,2.686,2.686,2.686,500
464,2.6899,2.6899,2.6899,2.6899,1000
470,2.69,2.7,2.69,2.69,800
870,2.7,2.7,2.68,2.69,900
874,2.69,2.695,2.69,2.691,2500
879,2.7,2.7,2.7,2.7,100
890,2.68,2.69,2.68,2.69,5500
891,2.66,2.66,2.66,2.66,100
896,2.63,2.64,2.63,2.64,200
899,2.62,2.631,2.62,2.631,2400
900,2.6,2.635,2.6,2.62,4900
902,2.67,2.67,2.67,2.67,100
a1493731800,2.64,2.64,2.64,2.64,100
1,2.64,2.64,2.64,2.64,100
26,2.62,2.6201,2.62,2.62,8592
30,2.62,2.62,2.62,2.62,100
35,2.62,2.62,2.62,2.62,100
39,2.62,2.62,2.62,2.62,100
178,2.6301,2.6301,2.6301,2.6301,1500
181,2.6389,2.6389,2.6386,2.6386,1000
183,2.62,2.6214,2.62,2.6214,653
300,2.62,2.6242,2.62,2.6242,500
301,2.6,2.62,2.6,2.62,1300
302,2.61,2.61,2.61,2.61,100
303,2.6192,2.6192,2.61,2.61,200
304,2.61,2.61,2.61,2.61,200
305,2.61,2.61,2.61,2.61,300
307,2.62,2.62,2.62,2.62,100
310,2.62,2.62,2.62,2.62,200
312,2.62,2.62,2.61,2.61,200
313,2.6,2.61,2.6,2.61,593
314,2.6,2.6,2.6,2.6,200
315,2.6,2.6,2.6,2.6,400
316,2.6,2.6,2.6,2.6,200
317,2.6,2.6,2.6,2.6,200
318,2.6,2.6,2.59,2.59,200
320,2.6,2.6,2.6,2.6,200
321,2.61,2.61,2.61,2.61,100
322,2.61,2.61,2.61,2.61,400
323,2.5501,2.59,2.55,2.59,3944
324,2.58,2.58,2.58,2.58,3800
442,2.6247,2.6247,2.6088,2.6088,575
448,2.5992,2.5992,2.59,2.59,800
449,2.59,2.59,2.59,2.59,100
450,2.5992,2.5992,2.59,2.59,200
451,2.6,2.6,2.6,2.6,100
452,2.6,2.6,2.6,2.6,100
454,2.59,2.59,2.59,2.59,200
456,2.59,2.59,2.59,2.59,200
457,2.59,2.59,2.59,2.59,100
459,2.6,2.6,2.59,2.59,300
461,2.6,2.6,2.6,2.6,200
463,2.6,2.6,2.6,2.6,200
464,2.5701,2.59,2.57,2.59,3000
465,2.6,2.6,2.6,2.6,100
466,2.6,2.6,2.6,2.6,100
467,2.6,2.6,2.6,2.6,100
469,2.6,2.6,2.6,2.6,200
470,2.6,2.6,2.6,2.6,100
471,2.5927,2.5927,2.5927,2.5927,107
865,2.58,2.58,2.58,2.58,4100
867,2.6,2.6,2.5979,2.5979,1900
868,2.6,2.6,2.5922,2.5922,5200
871,2.6,2.6,2.6,2.6,200
874,2.6,2.6,2.6,2.6,2500
876,2.59,2.6,2.59,2.6,300
879,2.59,2.59,2.59,2.59,200
881,2.6,2.6,2.6,2.6,200
883,2.6,2.6,2.5979,2.6,2100
884,2.6,2.6,2.6,2.6,600
885,2.5739,2.6,2.5739,2.6,2349
886,2.6,2.6,2.6,2.6,600
887,2.6,2.6,2.6,2.6,600
888,2.6,2.6,2.6,2.6,500
889,2.5989,2.6,2.5979,2.6,700
890,2.6,2.6,2.6,2.6,895
891,2.6,2.6,2.6,2.6,800
892,2.6,2.6,2.5979,2.5979,400
893,2.6,2.6,2.6,2.6,500
894,2.6,2.6,2.6,2.6,1000
895,2.6,2.6,2.6,2.6,600
903,2.59,2.59,2.59,2.59,100
a1494336600,2.63,2.63,2.63,2.63,2000
5,2.6,2.612,2.6,2.611,1491
7,2.6,2.6,2.6,2.6,200
9,2.5979,2.6,2.5979,2.6,200
11,2.6,2.6,2.6,2.6,800
12,2.6,2.6,2.6,2.6,305
14,2.6,2.6,2.5979,2.6,700
15,2.6,2.6,2.6,2.6,500
18,2.5914,2.5914,2.59,2.59,800
25,2.5993,2.5993,2.5993,2.5993,200
27,2.5993,2.5993,2.5993,2.5993,300
29,2.6,2.6,2.6,2.6,400
31,2.6,2.6,2.6,2.6,300
32,2.6,2.6,2.6,2.6,205
39,2.6,2.6,2.6,2.6,300
180,2.61,2.61,2.61,2.61,100
183,2.6,2.6,2.6,2.6,100
294,2.607,2.607,2.607,2.607,555
295,2.61,2.61,2.61,2.61,100
314,2.6,2.6,2.6,2.6,1000
325,2.58,2.58,2.57,2.58,3160
327,2.59,2.59,2.58,2.59,1500
876,2.58,2.58,2.58,2.58,400
877,2.58,2.58,2.58,2.58,3400
878,2.59,2.59,2.58,2.58,7705
895,2.6039,2.6439,2.6,2.64,3214
903,2.66,2.66,2.66,2.66,100
a1494941400,2.75,2.75,2.75,2.75,1300
1,2.76,2.7895,2.74,2.78,10476
2,2.84,2.87,2.766,2.766,35428
3,2.8861,2.8861,2.83,2.83,16092
4,2.83,2.8601,2.83,2.8601,3376
5,2.8101,2.82,2.8101,2.82,1500
6,2.8,2.83,2.8,2.83,6700
9,2.81,2.81,2.809,2.809,2100
10,2.8195,2.82,2.8148,2.8148,8300
17,2.7501,2.775,2.75,2.76,3776
19,2.77,2.77,2.7536,2.7536,900
20,2.77,2.77,2.75,2.75,2200
24,2.75,2.75,2.7414,2.7414,4400
33,2.72,2.72,2.72,2.72,600
39,2.72,2.72,2.72,2.72,100
144,2.7,2.7,2.7,2.7,100
145,2.61,2.7,2.6,2.7,6001
150,2.72,2.72,2.72,2.72,200
151,2.6899,2.6899,2.6899,2.6899,500
154,2.7036,2.7036,2.7036,2.7036,1000
167,2.6501,2.6501,2.6501,2.6501,2500
168,2.6535,2.6535,2.6535,2.6535,300
169,2.69,2.69,2.69,2.69,100
170,2.69,2.69,2.69,2.69,200
174,2.7,2.7,2.7,2.7,370
176,2.69,2.69,2.69,2.69,100
178,2.7073,2.7073,2.66,2.66,4300
180,2.71,2.71,2.71,2.71,100
181,2.72,2.72,2.72,2.72,200
182,2.71,2.71,2.71,2.71,1800
183,2.69,2.69,2.69,2.69,100
295,2.69,2.7,2.69,2.7,1900
308,2.69,2.69,2.675,2.68,1900
310,2.7,2.7,2.7,2.7,100
311,2.7087,2.7087,2.7087,2.7087,2634
324,2.7031,2.704,2.7,2.7001,1670
432,2.68,2.68,2.68,2.68,1260
433,2.62,2.67,2.62,2.67,6300
436,2.65,2.65,2.65,2.65,600
437,2.65,2.65,2.65,2.65,2700
442,2.65,2.6501,2.65,2.65,4000
443,2.6501,2.6501,2.65,2.65,2380
444,2.6605,2.6605,2.6605,2.6605,893
445,2.669,2.669,2.669,2.669,800
451,2.65,2.65,2.65,2.65,1800
454,2.65,2.65,2.65,2.65,605
455,2.657,2.657,2.65,2.65,454
456,2.6501,2.6501,2.65,2.65,1018
465,2.66,2.66,2.6524,2.6524,4900
466,2.66,2.66,2.658,2.658,3100
467,2.7,2.7,2.66,2.66,8052
468,2.75,2.75,2.75,2.75,100
469,2.76,2.76,2.708,2.708,2900
866,2.7,2.7,2.7,2.7,825
867,2.7472,2.75,2.7472,2.7472,1300
868,2.79,2.79,2.76,2.76,2300
869,2.8,2.8,2.8,2.8,100
871,2.81,2.82,2.81,2.82,200
875,2.76,2.79,2.76,2.79,1100
885,2.76,2.76,2.76,2.76,300
900,2.79,2.79,2.789,2.789,5900
901,2.8,2.8,2.7741,2.7741,1120
903,2.79,2.79,2.79,2.79,200
