EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,28.15,28.15,28.15,28.15,2418
1,28.1,28.2,28.1,28.1,3300
2,28.1,28.15,28.095,28.1,4000
3,28.15,28.15,28.05,28.15,8278
4,28.1,28.15,28.05,28.1,4579
5,28,28.1,28,28.1,2679
6,27.9183,28,27.9,27.9,1800
7,28.05,28.05,27.9,27.9,2043
8,28,28.1,28,28.1,3600
9,28,28,28,28,1400
10,28.05,28.05,28,28,2200
11,28.075,28.1,28.05,28.05,9518
12,28.05,28.1,28.05,28.0736,700
13,28.05,28.1,28.025,28.05,4958
14,28.05,28.05,28.05,28.05,200
15,28.05,28.1,28,28.05,2400
16,28.05,28.1,28.05,28.1,700
17,28.05,28.1,28.05,28.05,1200
18,28.05,28.1,28.05,28.05,1900
19,28.05,28.075,28.05,28.05,1300
20,28.05,28.1,28.05,28.05,1592
21,28.05,28.1,28.05,28.05,1000
22,28.05,28.1,28.05,28.05,2073
23,28.05,28.1,28.05,28.075,1700
24,28.05,28.1,28.05,28.075,1100
25,28.05,28.1,28.05,28.05,1000
26,28.05,28.1,28.05,28.05,1494
27,28.05,28.1,28.05,28.05,800
28,28.05,28.05,28.025,28.05,3033
29,28.05,28.05,28.05,28.05,600
30,28.05,28.05,28.05,28.05,800
31,28.05,28.1,28.005,28.05,5500
32,28.05,28.05,28.025,28.025,800
33,28.025,28.05,28,28.05,700
34,28.027,28.05,28.025,28.05,2300
35,28.05,28.05,28,28.05,1242
36,28,28.05,28,28.025,1900
37,28.05,28.05,28,28.05,4715
38,28.05,28.05,28,28,2900
39,28.05,28.05,28,28.05,14659
144,27.95,27.95,27.95,27.95,608
145,28.025,28.05,28,28.05,1600
146,28.05,28.05,27.9,28.025,1200
147,27.95,28.05,27.9,28.05,1171
148,27.9,28,27.8,27.9531,4091
149,27.85,27.9,27.85,27.9,1054
150,27.825,27.85,27.8,27.85,1272
151,27.85,27.85,27.8,27.8,900
152,27.8,27.9,27.8,27.9,1677
153,27.85,27.9,27.775,27.85,29400
154,27.95,27.95,27.85,27.9,10117
155,28,28,27.95,27.95,900
156,28.15,28.15,28.05,28.05,4400
157,28.2,28.2,28.15,28.15,1255
158,28.15,28.2,28.15,28.2,1200
159,28.1,28.1,28.05,28.1,1644
160,28.1,28.1,28.1,28.1,200
161,28.075,28.1,28.05,28.05,3795
162,28.05,28.1,28.05,28.1,300
163,28.05,28.1,28.05,28.05,2500
164,28.1,28.1,28.075,28.1,2400
165,28.15,28.15,28.1,28.1,2400
166,28.125,28.15,28.125,28.15,200
167,28.15,28.15,28.125,28.15,1300
168,28.15,28.15,28.15,28.15,100
169,28.05,28.1,28.05,28.1,2759
170,28.05,28.05,28.05,28.05,1100
171,28.05,28.05,28.05,28.05,800
172,28,28,28,28,1674
173,28.05,28.055,28,28,1500
174,28.05,28.05,28.05,28.05,3200
175,28.1,28.1,28.05,28.05,600
176,28.05,28.075,28.05,28.05,877
177,28,28.1,28,28.05,1166
178,27.95,28.05,27.95,28,926
179,27.95,28,27.95,27.95,500
180,28,28.05,27.95,27.95,1372
181,28,28.05,28,28.025,1334
182,27.95,28.05,27.95,28,8700
183,27.95,28,27.95,27.95,18052
288,27.95,27.95,27.95,27.95,1750
290,28.3,28.3,28.05,28.05,18977
291,28.35,28.35,28.3,28.35,1500
292,28.35,28.45,28.35,28.35,1800
293,28.4,28.4,28.35,28.35,1600
294,28.35,28.45,28.35,28.35,1230
295,28.4,28.45,28.4,28.45,500
296,28.4,28.45,28.35,28.4,2051
297,28.35,28.4,28.3,28.375,1000
298,28.35,28.4,28.35,28.4,700
299,28.3,28.375,28.275,28.35,2700
300,28.25,28.3145,28.25,28.3,1000
301,28.275,28.275,28.25,28.25,200
302,28.2,28.25,28.175,28.25,1950
303,28.2,28.2,28.15,28.2,1500
304,28.35,28.35,28.2,28.2,1496
305,28.3,28.4,28.3,28.3,2700
306,28.35,28.4,28.325,28.325,1500
307,28.35,28.4,28.35,28.35,2200
308,28.45,28.45,28.35,28.35,3989
309,28.4,28.45,28.35,28.45,2600
310,28.4,28.45,28.4,28.4,800
311,28.4,28.45,28.375,28.375,1600
312,28.4,28.4,28.35,28.35,1990
313,28.45,28.45,28.375,28.375,2461
314,28.4,28.45,28.4,28.4,2200
315,28.45,28.45,28.35,28.35,1800
316,28.425,28.45,28.35,28.45,2000
317,28.5,28.5,28.45,28.45,3717
318,28.45,28.5,28.4,28.45,2600
319,28.45,28.5,28.4,28.5,4400
320,28.5,28.5,28.4,28.4,3362
321,28.5,28.55,28.45,28.525,5800
322,28.4,28.5,28.4,28.5,2242
323,28.4,28.5,28.4,28.4,3900
324,28.45,28.45,28.4,28.4,3500
325,28.45,28.5,28.425,28.425,4004
326,28.5,28.5,28.425,28.425,4398
327,28.45,28.5,28.4,28.45,22741
432,28.5,28.5,28.5,28.5,535
433,28.45,28.545,28.45,28.545,806
434,28.425,28.5,28.25,28.25,1347
435,28.2,28.4,28.2,28.4,2100
436,28.25,28.3,28.225,28.25,785
437,28.2,28.25,28.2,28.25,882
438,28.15,28.175,28.15,28.175,957
439,28.1,28.15,28.1,28.15,655
440,28.15,28.15,28.1,28.15,1333
441,28.15,28.15,28.1,28.1,400
442,28.1,28.15,28.1,28.15,1413
443,28.1,28.1,28.075,28.075,400
444,28.05,28.05,28.05,28.05,922
445,28,28.05,28,28.05,819
446,27.95,28,27.95,28,300
447,28.05,28.05,28,28,500
448,28,28.065,28,28.05,479
449,28,28,28,28,100
450,28,28.05,28,28,300
451,28,28.05,28,28.05,2399
452,28,28,28,28,200
453,28,28,28,28,100
454,28.05,28.05,28,28,600
455,28.15,28.2,28.1,28.1,2066
456,28.15,28.2,28.125,28.15,900
458,28.15,28.15,28.15,28.15,100
459,28.15,28.2,28.15,28.15,1400
460,28.1,28.15,28.1,28.15,544
461,28.1,28.1,28.05,28.0747,1747
462,28.05,28.095,28.05,28.095,400
463,28.15,28.15,28.05,28.05,1700
464,28.1,28.1,28.1,28.1,300
465,28.05,28.15,28.05,28.15,1200
466,28.05,28.1,28.05,28.05,800
467,28.05,28.1,28.05,28.05,1100
468,28.05,28.075,28.05,28.05,2700
469,28,28.025,28,28,1100
470,28.1,28.15,28,28,7050
471,28.05,28.25,28,28.2,41601
864,28.25,28.25,28.25,28.25,446
865,28.2,28.249,28.2,28.249,728
866,28.15,28.15,28.1,28.1,1195
867,28.2,28.2,28.15,28.2,800
868,28.15,28.25,28.15,28.25,3239
869,28.25,28.25,28.1,28.1,3350
870,28.25,28.3,28.25,28.3,683
871,28.3,28.3,28.25,28.25,300
873,28.25,28.3,28.25,28.3,200
874,28.3,28.3,28.25,28.25,300
875,28.3,28.3,28.25,28.275,370
876,28.25,28.3,28.25,28.275,700
877,28.25,28.25,28.25,28.25,100
878,28.35,28.35,28.3,28.3,700
879,28.4,28.4,28.3,28.35,700
880,28.3,28.3852,28.3,28.3852,500
881,28.4,28.4,28.35,28.4,1000
882,28.4,28.4,28.35,28.4,600
883,28.325,28.35,28.3,28.35,1500
884,28.295,28.35,28.295,28.35,600
885,28.25,28.3188,28.2,28.25,4200
887,28.3,28.3,28.3,28.3,200
888,28.35,28.4,28.35,28.4,500
889,28.35,28.35,28.3,28.3,500
890,28.525,28.525,28.3,28.4,2962
891,28.5,28.535,28.45,28.5,2645
892,28.35,28.45,28.35,28.45,1400
893,28.325,28.35,28.325,28.35,961
894,28.25,28.35,28.25,28.35,600
896,28.25,28.275,28.25,28.275,200
897,28.25,28.25,28.2,28.2357,400
898,28.25,28.275,28.25,28.275,300
899,28.3,28.3,28.25,28.3,1000
900,28.3,28.325,28.275,28.3,2900
901,28.325,28.35,28.275,28.3,4700
902,28.4,28.4,28.325,28.325,3300
903,28.4,28.4,28.35,28.35,15212
a1493731800,28.4,28.4,28.4,28.4,708
1,28.2,28.4,28.15,28.15,1500
2,28.05,28.3,28.05,28.3,3688
3,28.0495,28.142,28.0495,28.05,1500
4,28.05,28.05,27.95,28.05,1300
5,28,28.125,28,28.1,2618
