EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,82.59,82.59,82.59,82.59,275
1,82.1077,82.1077,82.1077,82.1077,200
3,82.275,82.49,82.2,82.41,1200
4,82.75,82.75,82.69,82.7199,635
5,82.725,82.7839,82.725,82.7839,400
6,82.623,82.623,82.623,82.623,300
7,82.5529,82.5529,82.5529,82.5529,100
8,82.69,82.69,82.69,82.69,100
9,82.6549,82.6549,82.6549,82.6549,302
10,82.64,82.64,82.3025,82.48,400
11,82.7,82.7,82.7,82.7,350
13,82.94,82.94,82.94,82.94,100
15,83.345,83.345,83.345,83.345,100
16,83.3754,83.3754,83.3754,83.3754,500
17,83.53,83.53,83.51,83.51,200
19,83.85,84,83.85,84,534
20,83.99,83.99,83.99,83.99,100
22,84.35,84.35,83.81,83.9276,500
23,84.471,84.49,84.4372,84.49,600
26,84.65,84.65,84.385,84.5,444
27,84.615,84.615,84.6005,84.61,397
29,84.67,84.71,84.59,84.62,1212
31,84.73,84.73,84.73,84.73,100
33,84.5,84.5,84.4801,84.4801,1740
36,84.33,84.48,84.26,84.48,1466
38,84.25,84.35,84.25,84.35,1861
39,84.26,84.3127,83.94,84.25,1701
144,83.99,83.99,83.99,83.99,268
145,83.501,83.75,83.501,83.75,200
146,84.6539,84.6539,84.6539,84.6539,100
147,84.5,84.5,84.5,84.5,100
148,84.41,84.69,84.41,84.69,400
150,84.23,84.35,83.6,84.35,400
154,84.58,84.58,84.58,84.58,100
157,83.98,84.03,83.98,84.03,200
158,83.825,83.825,83.825,83.825,200
160,83.92,83.92,83.92,83.92,100
161,83.97,83.97,83.97,83.97,100
164,83.8281,84,83.8281,84,440
165,83.91,83.95,83.91,83.95,200
166,83.91,83.91,83.91,83.91,100
168,83.42,83.6755,83.4,83.63,2938
169,82.8,82.8,82.8,82.8,100
171,83.11,83.11,83.11,83.11,100
172,83.388,83.388,83.388,83.388,105
173,83.28,83.285,83.28,83.285,200
177,83.25,83.892,83.25,83.47,646
178,84.6397,84.6397,83.3,83.3,300
180,83.4,83.98,83.31,83.31,800
181,83.32,83.6799,83.32,83.6799,300
182,83.27,83.31,83.27,83.31,300
183,83.15,83.25,83.15,83.15,2010
288,83.21,83.21,83.21,83.21,108
291,83.2311,83.2311,83.06,83.13,410
293,83.2752,83.2752,83.2752,83.2752,174
294,83.33,83.36,83.23,83.23,300
295,83.15,83.34,83.15,83.3,600
296,83.9175,83.9175,83.9175,83.9175,250
297,83.4077,83.4077,83.4077,83.4077,117
300,83.36,83.36,83.36,83.36,100
301,83.3,83.3,83.15,83.15,261
304,83.2,83.2,83.2,83.2,202
305,83,83,83,83,335
306,82.8,82.8,82.8,82.8,100
307,82.3709,82.3709,82.3709,82.3709,100
314,84.0762,84.0762,82.5101,82.5101,267
315,83.5,83.5,83.5,83.5,100
317,82.75,82.7501,82.75,82.7501,293
323,82.53,82.781,82.4359,82.675,1300
324,82.41,82.6839,82.41,82.5599,1273
325,82.42,82.55,82.42,82.43,300
327,82.61,83.45,82.38,82.44,1261
432,82.67,82.67,82.67,82.67,143
434,82.903,82.903,82.903,82.903,100
435,82.6,82.6,82.6,82.6,100
438,82.2322,82.2322,82.2322,82.2322,120
439,81.2952,82.1,81.2952,82.1,465
440,81.875,82.0785,81.35,81.36,500
444,81.5,81.5,81.5,81.5,100
447,81.61,81.66,81.3439,81.66,642
448,81.05,81.05,81,81,200
449,81.4899,81.4899,81.41,81.41,300
467,81.2959,81.2959,81.2959,81.2959,250
470,81.2506,81.2506,81.2506,81.2506,100
471,81.41,81.56,81.1,81.2675,3305
864,81.41,81.41,81.41,81.41,182
866,81.065,81.065,81.03,81.03,200
867,81.86,81.86,81.86,81.86,100
870,81.4254,81.4254,81.4254,81.4254,500
871,81.37,81.37,81.37,81.37,117
879,81.3544,81.49,81.1922,81.1922,350
882,81.7522,81.7522,81.7522,81.7522,196
886,81.6277,81.6277,81.6277,81.6277,100
887,81.64,81.64,81.64,81.64,100
888,81.65,81.65,81.64,81.64,200
898,82.12,82.12,82.12,82.12,100
899,82.32,82.32,82.32,82.32,100
900,82.28,82.28,82.28,82.28,100
902,82.36,82.36,82.186,82.186,220
903,82.88,82.89,82.68,82.68,1827
a1493731800,82.49,82.49,82.49,82.49,147
10,82.315,82.8438,82.315,82.8438,480
19,82.0379,82.0379,82.0379,82.0379,100
20,81.75,81.75,81.75,81.75,100
25,81.2,81.2,81.055,81.11,300
29,81.2,81.2,81.2,81.2,100
30,81.43,81.43,81.078,81.25,360
31,82.46,82.51,82.02,82.02,300
33,82.4699,82.546,82.4699,82.546,235
34,81.211,81.33,81.211,81.33,516
38,82.16,82.16,81.42,81.8253,430
39,81.92,82.3,81.92,81.98,1480
144,82.16,82.16,82.16,82.16,263
149,82.44,82.44,82.44,82.44,112
150,81.99,82.31,81.99,82.31,300
151,81.605,81.6478,81.605,81.6478,200
152,82.17,82.17,82.17,82.17,500
155,81.65,81.65,81.5,81.5,550
162,81.65,81.65,81.65,81.65,271
164,81.96,81.96,81.7264,81.7264,500
166,81.775,81.775,81.775,81.775,100
167,81.55,81.86,81.55,81.86,1000
169,81.3276,81.3276,81.3276,81.3276,200
170,81.72,81.77,81.72,81.77,200
171,81.7075,81.7075,81.7075,81.7075,100
173,81.486,81.486,81.486,81.486,100
176,81.43,81.43,81.43,81.43,100
177,81.64,81.64,81.64,81.64,100
178,81.65,81.66,81.4858,81.4858,572
179,81.65,81.65,81.46,81.46,916
181,81.56,81.61,81.56,81.61,627
182,82.02,82.02,81.3369,81.57,1100
183,82.04,82.23,81.62,81.62,2115
288,81.48,81.48,81.48,81.48,319
289,82.898,82.898,81.5,81.5,600
291,82.28,82.28,82.28,82.28,100
293,81.42,81.42,81.42,81.42,200
297,81.451,81.451,81.42,81.42,200
301,81.5517,81.5517,81.5517,81.5517,130
303,80.51,81.42,80.51,81.42,1548
304,80.3051,80.55,80.08,80.55,1400
305,80.1625,80.2225,80.02,80.2225,700
306,79.0836,80.01,79,80.01,1100
309,79.2952,79.2952,79.2952,79.2952,500
310,76.961,79.22,76.961,79,1991
311,77,77.31,77,77.31,1200
312,76.32,76.91,76.32,76.91,400
313,74.5001,76.376,74.5,76.355,2449
314,74.0363,74.56,74.0363,74.56,1207
315,74.6184,75.3201,74.2505,75.3201,500
316,74.4,74.45,74.4,74.44,500
317,74.45,74.6058,74.45,74.5,500
318,74.01,74.55,74.01,74.55,500
319,74.25,74.25,74.25,74.25,100
320,74.35,74.64,74.2511,74.2511,1400
322,74.095,74.095,74.095,74.095,100
323,74.24,75.0708,74.24,74.401,1200
324,74.95,75,74.1545,74.1545,1100
325,75.41,75.67,74.79,75.24,700
326,75.135,75.7,75.135,75.66,800
327,75.25,75.815,75.07,75.18,5076
432,75.28,75.28,75.28,75.28,434
433,75.35,75.35,75.28,75.28,550
434,74.995,75.26,74.01,75.26,1035
435,75.3,75.73,75,75,1200
437,75.4764,75.555,75.28,75.28,3000
438,75.2,75.26,75.2,75.25,900
439,74.8801,75.26,74.8801,75.16,1350
440,75.25,75.25,75.25,75.25,100
441,75.3969,75.49,75.27,75.49,300
442,75.27,75.27,75.27,75.27,100
446,75.59,75.59,75.3361,75.3361,800
447,75.889,75.889,75.889,75.889,200
452,76.1,76.1,76.1,76.1,100
455,76.3,76.3,76.3,76.3,100
461,78.38,78.38,77.34,77.461,850
465,78.0248,78.0248,78.0248,78.0248,100
466,77.4504,78.11,77.14,78.11,400
468,77.5995,77.5995,77.59,77.59,250
469,77.64,77.64,77.64,77.64,104
470,78,78,78,78,100
471,78,78,77.35,77.67,2957
865,78.93,78.93,78.12,78.12,299
866,78.5,78.98,78.5,78.891,400
868,81.5,81.5,79.4988,79.81,1200
869,80.8,81.6889,80.0996,81.65,2188
870,80,80.55,80,80.55,500
871,79.809,79.809,79.809,79.809,200
872,79.5,80,79.46,80,500
875,79.05,79.05,79.05,79.05,100
876,79.06,79.06,79.06,79.06,100
877,79.409,79.409,79.409,79.409,100
878,79.2758,79.39,79.06,79.39,1300
