EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1494510000,5.94,5.94,5.94,5.94,100
2,5.89,5.94,5.5475,5.61,2659
3,5.65,5.745,5.65,5.745,200
4,5.6,5.68,5.59,5.68,900
5,5.5995,5.6,5.593,5.593,956
7,5.5,5.5,5.5,5.5,425
13,5.37,5.37,5.37,5.37,100
15,5.4999,5.4999,5.4999,5.4999,250
17,5.5,5.5,5.5,5.5,346
18,5.6,5.6,5.599,5.599,4000
19,5.5819,5.6,5.5779,5.5999,3918
20,5.5999,5.5999,5.5999,5.5999,300
21,5.6,5.6,5.6,5.6,100
22,5.517,5.517,5.517,5.517,200
26,5.5111,5.5163,5.5111,5.5163,577
29,5.5101,5.5101,5.5101,5.5101,300
30,5.5001,5.5001,5.5001,5.5001,200
31,5.57,5.57,5.57,5.57,100
32,5.6283,5.6283,5.58,5.58,2719
33,5.8483,5.8483,5.774,5.81,2500
34,6.0196,6.0196,5.784,5.82,3133
35,5.93,6.05,5.9,6.0308,2680
36,6.0304,6.0304,6.0304,6.0304,180
37,6,6.07,6,6.05,1500
38,6.38,6.38,6.25,6.3582,2169
144,5.8385,6.32,5.8385,6.14,3611
146,5.9541,6,5.9541,6,300
147,5.8,5.9941,5.73,5.9941,5341
148,5.7401,5.8,5.7101,5.7101,1422
149,5.81,5.81,5.81,5.81,200
150,5.7998,5.8,5.75,5.75,1100
164,5.8,5.8,5.7952,5.7952,900
166,5.97,5.97,5.8,5.8,3100
167,5.97,5.97,5.97,5.97,100
168,5.93,5.93,5.93,5.93,700
170,5.99,5.99,5.968,5.968,200
172,6.03,6.03,5.9936,6,4726
174,6.029,6.029,6.029,6.029,100
176,6.0262,6.0262,6.0262,6.0262,166
177,6.12,6.12,6.12,6.12,100
179,6.0382,6.08,6,6.08,1997
180,6.044,6.06,6.044,6.06,488
181,6.11,6.11,6.11,6.11,755
182,6.13,6.13,6.05,6.05,300
575,5.63,5.63,5.63,5.63,135
576,5.481,5.63,5.48,5.63,582
578,5.805,5.805,5.6918,5.6918,1300
580,5.84,5.85,5.84,5.85,495
581,5.74,5.74,5.74,5.74,133
583,5.7,5.7,5.64,5.7,300
584,5.77,5.77,5.77,5.77,100
589,5.7902,5.7902,5.75,5.75,400
593,5.77,5.8,5.77,5.8,200
596,5.77,5.8,5.75,5.7796,2684
597,5.75,5.75,5.75,5.75,200
599,5.78,5.78,5.78,5.78,129
609,5.83,5.83,5.83,5.83,100
613,5.84,5.84,5.84,5.84,200
614,5.79,5.82,5.76,5.76,798
719,5.81,5.81,5.81,5.81,604
720,5.9671,5.9671,5.9671,5.9671,100
721,5.816,5.816,5.58,5.81,2186
722,5.59,5.6,5.55,5.6,800
723,5.66,5.6884,5.55,5.6685,1350
724,5.57,5.66,5.57,5.66,434
725,5.6544,5.6544,5.6,5.6392,3100
726,5.6477,5.6599,5.6477,5.6599,800
727,5.6494,5.66,5.6494,5.66,650
728,5.7768,5.8399,5.6,5.63,4021
729,6.15,6.15,5.8081,5.8081,8194
730,5.8833,6.1522,5.8833,6.1,767
731,6.1404,6.16,6.1404,6.16,1100
732,6.1,6.1,5.9774,5.9774,1556
733,6.08,6.08,6.0692,6.0692,300
734,6.05,6.05,6.05,6.05,399
735,6,6.1,6,6.0962,1699
736,5.9001,5.9001,5.9001,5.9001,1000
739,5.9441,5.9441,5.9441,5.9441,100
741,5.9538,5.9699,5.9538,5.955,460
743,5.91,5.9699,5.91,5.95,500
747,5.9425,5.9699,5.9425,5.9699,400
749,5.91,5.91,5.91,5.91,100
754,5.91,5.91,5.91,5.91,100
755,5.91,5.91,5.91,5.91,100
756,5.9137,5.915,5.91,5.9101,472
757,5.93,5.93,5.93,5.93,200
758,5.9,5.9149,5.9,5.9149,1359
863,5.55,5.55,5.55,5.55,241
864,5.92,6.0499,5.5,5.5,1220
865,5.58,5.7117,5.53,5.54,660
867,5.7049,5.7049,5.6,5.6,2250
873,5.879,5.879,5.879,5.879,600
881,5.78,5.78,5.78,5.78,100
885,5.71,5.71,5.71,5.71,100
886,5.77,5.77,5.77,5.77,100
888,5.71,5.71,5.71,5.71,200
890,5.716,5.716,5.71,5.716,1110
893,5.77,5.77,5.71,5.71,200
894,5.8,5.8,5.79,5.79,1000
895,5.8,5.8058,5.8,5.8,3719
896,5.83,5.83,5.83,5.83,100
897,5.7366,5.7366,5.7366,5.7366,166
898,5.8289,5.8289,5.825,5.825,700
901,5.81,5.81,5.81,5.81,100
902,5.7,5.81,5.7,5.81,1676
a1495114200,5.7,5.7,5.7,5.7,167
1,5.5475,5.5475,5.3741,5.3741,1600
4,5.62,5.62,5.62,5.62,300
11,5.551,5.62,5.551,5.62,200
12,5.5668,5.5668,5.5612,5.5612,2222
13,5.55,5.55,5.55,5.55,122
14,5.55,5.55,5.55,5.55,100
15,5.5677,5.5677,5.5677,5.5677,555
22,5.5698,5.5698,5.55,5.55,1400
23,5.55,5.57,5.55,5.57,200
25,5.55,5.5511,5.55,5.55,400
26,5.57,5.59,5.57,5.5899,498
31,5.55,5.55,5.55,5.55,300
32,5.55,5.55,5.55,5.55,100
33,5.5,5.55,5.5,5.55,2597
34,5.5001,5.52,5.5001,5.501,1012
37,5.5,5.5,5.5,5.5,100
38,5.51,5.51,5.5,5.5,600
39,5.55,5.55,5.505,5.51,434
144,5.7,5.7,5.7,5.7,170
149,5.6473,5.6715,5.647,5.6715,1000
152,5.6,5.6,5.6,5.6,166
154,5.55,5.61,5.55,5.55,3100
156,5.5501,5.5501,5.5501,5.5501,222
161,5.64,5.64,5.5977,5.6395,4091
162,5.5788,5.5788,5.55,5.55,2418
163,5.55,5.55,5.55,5.55,392
164,5.5492,5.5492,5.5492,5.5492,500
166,5.55,5.55,5.55,5.55,100
167,5.5,5.5,5.5,5.5,333
175,5.5,5.5,5.5,5.5,200
178,5.5,5.52,5.5,5.52,1072
179,5.4401,5.48,5.4401,5.48,495
183,5.46,5.46,5.41,5.41,816
576,5.45,5.45,5.45,5.45,1429
583,5.44,5.44,5.44,5.44,100
584,5.3195,5.416,5.31,5.416,4152
585,5.31,5.31,5.31,5.31,100
586,5.2794,5.2794,5.2794,5.2794,700
590,5.22,5.22,5.22,5.22,100
593,5.2699,5.2699,5.2699,5.2699,100
594,5.2539,5.2539,5.25,5.25,400
596,5.25,5.25,5.25,5.25,100
601,5.249,5.249,5.23,5.23,1720
604,5.5385,5.65,5.26,5.27,30447
605,5.63,5.6407,5.4,5.53,23841
606,5.6815,5.6815,5.62,5.62,1110
607,5.9,6.04,5.675,5.675,14281
608,5.5501,5.7301,5.55,5.73,5380
609,5.57,5.61,5.57,5.61,200
611,5.58,5.58,5.58,5.58,100
612,5.42,5.4801,5.42,5.4801,200
613,5.4501,5.525,5.3701,5.38,935
614,5.51,5.51,5.5,5.5,500
615,5.54,5.55,5.48,5.51,763
721,5.4369,5.4469,5.341,5.341,1100
723,5.3831,5.3831,5.3831,5.3831,100
724,5.6053,5.6053,5.47,5.47,200
725,5.48,5.48,5.48,5.48,220
726,5.5151,5.5151,5.5151,5.5151,1000
729,5.55,5.55,5.55,5.55,700
742,5.38,5.38,5.38,5.38,100
745,5.5,5.5,5.5,5.5,666
750,5.5,5.5,5.5,5.5,100
753,5.5,5.5,5.5,5.5,100
756,5.74,5.74,5.66,5.66,200
759,5.59,5.59,5.55,5.55,885
868,5.41,5.41,5.41,5.41,110
869,5.58,5.64,5.58,5.64,200
875,5.6,5.6,5.6,5.6,100
877,5.64,5.64,5.6052,5.63,500
878,5.6112,5.6112,5.6112,5.6112,200
880,5.64,5.64,5.64,5.64,200
887,5.61,5.61,5.61,5.61,100
889,5.6,5.6,5.6,5.6,285
893,5.65,5.65,5.65,5.65,100
894,5.66,5.66,5.66,5.66,100
899,5.51,5.6,5.43,5.43,300
903,5.5,5.7,5.5,5.64,1147
a1495720200,5.5285,5.5285,5.5285,5.5285,270
4,5.5,5.5,5.5,5.5,100
5,5.52,5.52,5.52,5.52,100
7,5.4,5.4801,5.4,5.48,6017
