EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,16.87,16.96,16.87,16.96,8818
1,16.68,16.97,16.54,16.96,76153
2,16.65,16.67,16.53,16.67,103668
3,16.715,16.75,16.64,16.64,88394
4,16.69,16.72,16.68,16.715,57674
5,16.6641,16.7,16.655,16.69,45686
6,16.68,16.68,16.65,16.665,22383
7,16.72,16.74,16.6737,16.68,32328
8,16.7,16.72,16.69,16.72,34194
9,16.72,16.72,16.7,16.7,25370
10,16.73,16.75,16.71,16.715,60708
11,16.74,16.74,16.69,16.72,29735
12,16.71,16.74,16.71,16.73,15164
13,16.74,16.75,16.7,16.71,34535
14,16.76,16.76,16.74,16.74,38576
15,16.76,16.76,16.75,16.76,4700
16,16.78,16.78,16.75,16.76,12000
17,16.765,16.78,16.75,16.78,11080
18,16.769,16.77,16.76,16.76,4100
19,16.79,16.79,16.75,16.765,23636
20,16.78,16.82,16.78,16.79,23268
21,16.7975,16.8,16.78,16.785,16184
22,16.805,16.81,16.79,16.8,9989
23,16.85,16.85,16.805,16.81,11116
24,16.88,16.885,16.84,16.84,15508
25,16.86,16.88,16.85,16.88,15300
26,16.9,16.9,16.859,16.859,8300
27,16.87,16.9,16.86,16.89,14350
28,16.93,16.93,16.86,16.87,13996
29,16.91,16.95,16.9,16.93,16458
30,16.92,16.92,16.89,16.9,12608
31,16.94,16.94,16.91,16.92,19874
32,16.89,16.94,16.89,16.94,17193
33,16.86,16.9,16.86,16.9,15461
34,16.86,16.88,16.85,16.865,21001
35,16.815,16.86,16.81,16.85,37737
36,16.76,16.815,16.76,16.815,40312
37,16.755,16.77,16.75,16.765,24961
38,16.77,16.78,16.75,16.76,50758
39,16.8,16.82,16.76,16.77,189680
144,16.7,16.7,16.7,16.7,8355
145,16.74,16.79,16.5,16.5,29364
146,16.785,16.79,16.725,16.74,24202
147,16.76,16.79,16.745,16.79,13800
148,16.795,16.795,16.75,16.76,24388
149,16.77,16.79,16.755,16.78,15454
150,16.73,16.77,16.725,16.77,11466
151,16.71,16.725,16.7,16.72,18713
152,16.72,16.73,16.695,16.71,9075
153,16.74,16.76,16.72,16.72,18303
154,16.74,16.75,16.73,16.735,5943
155,16.76,16.76,16.74,16.745,8916
156,16.82,16.83,16.77,16.77,30291
157,16.81,16.84,16.81,16.82,12300
158,16.8,16.82,16.8,16.81,29108
159,16.82,16.83,16.805,16.81,15330
160,16.81,16.82,16.8,16.8153,32600
161,16.81,16.825,16.81,16.81,16427
162,16.8,16.82,16.8,16.81,13083
163,16.79,16.8,16.785,16.79,31390
164,16.81,16.82,16.785,16.795,40239
165,16.83,16.83,16.805,16.81,7089
166,16.87,16.87,16.83,16.83,5601
167,16.86,16.875,16.855,16.87,7395
168,16.85,16.875,16.85,16.865,14860
169,16.82,16.84,16.81,16.84,18434
170,16.77,16.83,16.77,16.82,13078
171,16.75,16.78,16.75,16.76,9965
172,16.71,16.75,16.71,16.75,10351
173,16.68,16.72,16.68,16.71,14070
174,16.68,16.69,16.67,16.68,8590
175,16.64,16.69,16.64,16.67,20448
176,16.635,16.65,16.63,16.645,13800
177,16.63,16.65,16.63,16.64,10497
178,16.62,16.64,16.62,16.63,8045
179,16.64,16.655,16.62,16.62,54077
180,16.66,16.66,16.62,16.64,31427
181,16.63,16.67,16.62,16.66,25609
182,16.58,16.63,16.58,16.63,26880
183,16.54,16.58,16.53,16.58,297680
288,16.55,16.55,16.55,16.55,3270
289,16.53,16.59,16.49,16.59,12784
290,16.59,16.61,16.5,16.53,32818
291,16.51,16.61,16.51,16.59,18601
292,16.46,16.515,16.45,16.51,15086
293,16.49,16.5,16.46,16.46,12902
294,16.48,16.5,16.475,16.495,4200
295,16.46,16.48,16.44,16.47,7000
296,16.42,16.46,16.42,16.46,7024
297,16.4,16.4269,16.39,16.425,9701
298,16.41,16.44,16.4,16.4,8790
299,16.42,16.42,16.4,16.4,4456
300,16.39,16.425,16.38,16.42,10716
301,16.36,16.39,16.36,16.385,5100
302,16.36,16.38,16.355,16.36,4257
303,16.36,16.37,16.34,16.355,8810
304,16.425,16.425,16.37,16.37,5999
305,16.42,16.435,16.42,16.43,8308
306,16.415,16.43,16.41,16.42,34050
307,16.45,16.47,16.415,16.42,9884
308,16.47,16.48,16.45,16.46,5610
309,16.5,16.5,16.47,16.48,4479
310,16.495,16.505,16.485,16.505,8033
311,16.485,16.52,16.485,16.5,11208
312,16.5,16.5,16.48,16.48,3043
313,16.51,16.51,16.49,16.5,10301
314,16.52,16.52,16.5,16.51,15581
315,16.52,16.52,16.51,16.52,2871
316,16.5,16.52,16.495,16.52,16102
317,16.49,16.49,16.47,16.49,6769
318,16.465,16.49,16.46,16.485,7083
319,16.505,16.505,16.47,16.47,13564
320,16.475,16.51,16.47,16.5,11950
321,16.475,16.48,16.46,16.47,12774
322,16.48,16.48,16.46,16.47,26679
323,16.47,16.49,16.47,16.48,14437
324,16.44,16.475,16.44,16.47,10836
325,16.42,16.45,16.42,16.445,14967
326,16.43,16.44,16.41,16.42,52307
327,16.44,16.44,16.42,16.435,166780
432,16.43,16.43,16.43,16.43,1376
433,16.41,16.41,16.37,16.38,4862
434,16.42,16.43,16.38,16.4,18790
435,16.45,16.46,16.41,16.42,7889
436,16.45,16.46,16.435,16.45,6870
437,16.41,16.45,16.41,16.45,6935
438,16.38,16.4,16.375,16.4,4600
439,16.37,16.37,16.34,16.37,6244
440,16.33,16.36,16.33,16.36,2900
441,16.32,16.33,16.31,16.33,3979
442,16.31,16.33,16.3,16.32,5936
443,16.295,16.3,16.265,16.3,8426
444,16.29,16.3,16.27,16.29,7559
445,16.29,16.3,16.28,16.2899,5301
446,16.265,16.295,16.265,16.29,7426
447,16.27,16.28,16.265,16.265,3607
448,16.285,16.285,16.27,16.27,1700
449,16.28,16.29,16.27,16.29,4675
450,16.285,16.3,16.28,16.283,4021
451,16.27,16.29,16.27,16.29,2500
452,16.26,16.27,16.26,16.27,2101
453,16.26,16.265,16.25,16.265,4207
454,16.29,16.29,16.265,16.27,14484
455,16.28,16.29,16.275,16.28,18114
456,16.33,16.33,16.28,16.28,10677
457,16.325,16.33,16.32,16.33,2892
458,16.305,16.325,16.3,16.325,7516
459,16.31,16.31,16.305,16.31,700
460,16.28,16.31,16.28,16.31,9033
461,16.26,16.28,16.26,16.28,8150
462,16.255,16.27,16.25,16.265,3095
463,16.235,16.26,16.235,16.25,11479
464,16.225,16.24,16.221,16.24,3719
465,16.2,16.23,16.2,16.22,8188
466,16.2,16.21,16.19,16.19,16396
467,16.19,16.2,16.19,16.2,3225
468,16.19,16.2,16.18,16.19,24242
469,16.2,16.21,16.19,16.19,20986
470,16.19,16.205,16.19,16.19,41918
471,16.14,16.21,16.13,16.2,242296
864,16.16,16.16,16.16,16.16,8927
865,16.18,16.2499,16.13,16.2499,12161
866,16.1,16.19,16.09,16.18,15738
867,16,16.1,15.98,16.1,22756
868,15.96,16.0099,15.96,15.99,13184
869,16,16,15.94,15.95,6735
870,15.99,16.005,15.98,16,9188
871,16.01,16.04,15.98,15.9801,13700
872,16.02,16.03,16.005,16.01,8685
873,16.035,16.04,16,16.01,10368
874,16.06,16.06,16.03,16.04,9346
875,16.1,16.11,16.06,16.06,8214
876,16.1,16.115,16.075,16.09,8223
877,16.1,16.105,16.07,16.105,12350
878,16.12,16.13,16.1,16.1,8247
879,16.135,16.135,16.12,16.12,3022
880,16.14,16.15,16.12,16.13,7939
881,16.14,16.15,16.14,16.14,2316
882,16.13,16.14,16.13,16.14,4500
883,16.13,16.14,16.13,16.13,4237
884,16.12,16.14,16.12,16.13,1849
885,16.11,16.12,16.055,16.12,23350
886,16.12,16.13,16.1,16.11,2197
887,16.14,16.14,16.115,16.13,5221
888,16.13,16.14,16.12,16.14,15622
889,16.145,16.145,16.13,16.14,5455
890,16.16,16.16,16.14,16.145,20688
891,16.16,16.17,16.14,16.16,21516
892,16.16,16.18,16.16,16.17,4954
893,16.1699,16.17,16.16,16.16,4446
894,16.15,16.18,16.15,16.1658,5160
