EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,4.51,4.51,4.51,4.51,741
1,4.5508,4.553,4.49,4.49,1100
2,4.5916,4.6,4.5916,4.6,404
3,4.5676,4.59,4.5676,4.59,300
4,4.51,4.56,4.51,4.56,5267
5,4.52,4.57,4.52,4.56,700
6,4.55,4.55,4.55,4.55,100
8,4.54,4.54,4.51,4.51,300
9,4.51,4.51,4.51,4.51,100
14,4.56,4.56,4.56,4.56,200
15,4.56,4.56,4.56,4.56,100
24,4.4501,4.4501,4.4501,4.4501,100
25,4.545,4.545,4.525,4.525,11300
26,4.56,4.56,4.56,4.56,219
38,4.57,4.57,4.5668,4.5668,1300
39,4.69,4.69,4.59,4.59,2210
144,4.52,4.52,4.52,4.52,1871
147,4.7,4.71,4.65,4.673,1325
149,4.5805,4.5805,4.5805,4.5805,110
150,4.52,4.54,4.52,4.54,2000
156,4.5,4.55,4.45,4.55,700
159,4.55,4.55,4.53,4.53,1726
165,4.55,4.55,4.55,4.55,100
167,4.645,4.645,4.58,4.58,2600
171,4.6356,4.64,4.6256,4.63,1000
172,4.67,4.67,4.67,4.67,100
178,4.665,4.665,4.665,4.665,1000
181,4.617,4.6482,4.617,4.6482,2000
182,4.65,4.65,4.65,4.65,1000
183,4.76,4.76,4.61,4.6721,12664
293,4.77,4.77,4.77,4.77,100
296,4.73,4.73,4.73,4.73,100
304,4.76,4.76,4.76,4.76,600
311,4.78,4.78,4.78,4.78,100
323,4.78,4.78,4.77,4.77,300
327,4.83,4.83,4.8,4.8,276
432,4.73,4.73,4.73,4.73,1256
433,4.7364,4.7364,4.7364,4.7364,200
434,4.8128,4.82,4.8128,4.8128,1800
435,4.8729,4.9,4.718,4.7445,13798
436,4.98,4.98,4.7952,4.8084,9300
437,5.005,5.005,5,5.003,529
439,4.97,4.97,4.97,4.97,200
441,4.9874,4.9874,4.94,4.95,900
444,4.88,4.9,4.88,4.9,376
451,4.97,4.97,4.97,4.97,100
453,4.911,4.911,4.911,4.911,500
454,4.97,4.97,4.97,4.97,100
455,5.08,5.08,4.978,4.98,7700
456,5.0329,5.0329,5.0329,5.0329,500
457,5.069,5.07,5.03,5.03,1000
458,5.07,5.07,5.0307,5.07,1188
459,5.08,5.08,5.08,5.08,700
460,5.0108,5.08,5.01,5.013,1500
461,5.04,5.04,5.04,5.04,300
462,5.0016,5.08,5.0016,5.02,1500
464,5.073,5.073,5.07,5.07,900
465,5.08,5.08,5.07,5.07,200
466,5.15,5.15,5.15,5.15,900
467,5.14,5.14,5.13,5.14,1900
468,4.9938,4.9938,4.9938,4.9938,2770
469,5,5.04,5,5.04,200
470,5,5,5,5,650
471,4.87,5.09,4.87,5.09,1300
864,5.02,5.02,5.02,5.02,647
865,4.99,4.99,4.9753,4.9753,320
866,4.95,4.95,4.9486,4.9486,1200
867,4.9843,5.019,4.9486,5.01,2900
868,5.02,5.146,4.9682,4.9682,2589
871,4.96,4.97,4.96,4.97,300
874,5.02,5.02,5.02,5.02,200
876,5.02,5.1099,5.02,5.02,755
878,5.03,5.03,4.9388,4.98,2000
882,5.0247,5.0247,5.0247,5.0247,100
893,4.9,4.9,4.9,4.9,600
894,5.13,5.13,4.9,4.9,3400
898,5.12,5.12,5.024,5.06,800
899,5.052,5.052,5.052,5.052,100
900,5.11,5.11,5.09,5.09,210
901,5.045,5.07,5.045,5.07,200
903,5,5.08,5,5.0497,540
a1493731800,4.94,4.94,4.94,4.94,639
2,5.0522,5.0522,5.017,5.017,348
3,5.119,5.119,5.119,5.119,800
4,5.16,5.16,5.1048,5.15,1200
5,5.1392,5.1392,5.1392,5.1392,500
6,5.08,5.08,5.08,5.08,1000
7,5.1,5.1365,5.1,5.1365,1000
19,5.041,5.041,5.02,5.02,2800
20,5.1,5.1,5.1,5.1,100
39,5.06,5.09,5.02,5.09,600
146,5.0498,5.05,5.0355,5.05,2060
147,5.0349,5.05,5.0349,5.05,6180
153,5,5.0403,5,5.0403,10350
154,4.9335,5,4.61,5,11147
155,5,5.05,4.8667,4.8667,5400
156,4.99,5,4.96,4.96,4400
158,4.98,4.9862,4.98,4.9862,200
162,4.9801,4.9801,4.9801,4.9801,156
163,4.99,4.99,4.99,4.99,200
168,5.0198,5.0198,5.0198,5.0198,260
169,5.0092,5.0092,5,5,1000
170,5.015,5.015,5.015,5.015,200
171,5,5,5,5,200
181,4.85,4.85,4.85,4.85,100
182,4.94,4.94,4.94,4.94,400
183,4.99,4.99,4.9345,4.9345,600
288,4.94,4.94,4.94,4.94,130
289,4.69,4.86,4.68,4.85,2151
292,4.778,4.778,4.778,4.778,100
293,4.8433,4.8433,4.8433,4.8433,100
295,4.8,4.8,4.8,4.8,200
298,4.8386,4.8386,4.8386,4.8386,1000
299,4.9,4.9,4.9,4.9,900
308,4.9557,4.9557,4.9557,4.9557,215
321,4.95,4.95,4.95,4.95,600
432,4.82,4.82,4.82,4.82,700
436,4.809,4.809,4.809,4.809,300
438,4.77,4.77,4.76,4.76,1617
439,4.8723,4.8723,4.8723,4.8723,100
444,4.82,4.8248,4.6248,4.82,800
449,4.81,4.81,4.81,4.81,100
452,4.7703,4.7703,4.7703,4.7703,105
454,4.775,4.775,4.775,4.775,900
457,4.78,4.78,4.78,4.78,300
464,4.91,4.91,4.67,4.67,5615
468,4.8,4.9,4.8,4.9,1550
470,4.7999,4.83,4.7999,4.83,1300
471,4.79,4.88,4.79,4.83,1215
864,4.77,4.77,4.77,4.77,491
865,4.8239,4.88,4.82,4.8623,3365
866,4.8147,4.8147,4.8147,4.8147,100
867,4.79,4.79,4.79,4.79,200
868,4.79,4.83,4.79,4.82,500
872,4.795,4.8143,4.795,4.8143,900
880,4.785,4.785,4.785,4.785,100
885,4.82,4.82,4.805,4.805,2600
890,4.83,4.83,4.78,4.79,2600
891,4.79,4.79,4.79,4.79,200
894,4.81,4.88,4.8,4.87,5500
895,4.81,4.81,4.81,4.81,1000
896,4.78,4.8228,4.78,4.8228,3790
898,4.88,4.88,4.88,4.88,100
902,4.77,4.835,4.77,4.835,1200
903,4.77,4.78,4.77,4.78,300
a1494339000,4.8,4.81,4.8,4.81,200
2,4.59,4.8,4.59,4.8,5400
3,4.77,4.77,4.77,4.77,100
5,4.813,4.813,4.813,4.813,150
8,4.84,4.84,4.8,4.8,300
11,4.88,4.88,4.88,4.88,100
12,4.84,4.84,4.84,4.84,500
13,4.84,4.84,4.84,4.84,590
17,4.775,4.775,4.775,4.775,500
22,4.8,4.8,4.8,4.8,100
26,4.8001,4.81,4.78,4.8,2011
31,4.85,4.85,4.85,4.85,630
35,5,5,4.91,4.91,200
140,4.88,4.88,4.88,4.88,654
141,4.8879,4.8879,4.8879,4.8879,200
145,4.85,4.85,4.85,4.85,100
146,4.92,4.94,4.85,4.87,5715
147,4.8401,4.8401,4.8401,4.8401,150
151,4.92,4.92,4.92,4.92,200
154,4.79,4.79,4.79,4.79,100
155,4.79,4.79,4.79,4.79,400
162,4.87,4.87,4.87,4.87,100
163,4.7112,4.7112,4.7112,4.7112,156
168,4.87,4.87,4.77,4.77,325
176,4.88,4.88,4.88,4.88,300
179,4.77,4.91,4.77,4.9,1704
284,4.85,4.85,4.85,4.85,271
287,4.91,4.91,4.91,4.91,100
294,4.92,4.92,4.92,4.92,300
307,4.86,4.8901,4.86,4.8901,900
308,4.85,4.86,4.85,4.86,820
314,4.81,4.81,4.81,4.81,100
315,4.91,4.91,4.91,4.91,100
316,4.85,4.85,4.81,4.81,600
317,4.726,4.77,4.66,4.68,34200
319,4.89,4.89,4.8385,4.8385,205
320,4.7801,4.94,4.7801,4.94,600
321,4.7801,4.9,4.7801,4.9,300
322,4.7901,4.8,4.7701,4.7701,600
323,4.87,4.87,4.79,4.79,300
437,4.84,4.84,4.84,4.84,100
444,4.775,4.775,4.775,4.775,148
463,4.8,4.8,4.8,4.8,630
464,4.8,4.8,4.8,4.8,200
465,4.77,4.77,4.77,4.77,100
467,4.74,4.74,4.74,4.74,100
860,4.78,4.78,4.78,4.78,200
