EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,27.75,27.75,27.75,27.75,1008
1,27.75,27.75,27.74,27.74,1400
2,27.8202,27.8202,27.8202,27.8202,300
3,27.9,27.9,27.89,27.9,1077
4,28.05,28.05,28,28,800
5,28.03,28.03,28.03,28.03,400
6,27.95,28.02,27.95,28.02,800
7,27.9,27.95,27.9,27.95,541
10,28,28,27.99,27.99,500
20,28,28,28,28,100
21,27.93,27.99,27.93,27.97,1096
22,28,28,27.9,27.9,427
23,28,28,28,28,100
24,28,28,28,28,300
25,28,28,28,28,200
26,28.16,28.315,28,28,3411
27,28.13,28.17,28.13,28.17,300
29,28.18,28.19,28.18,28.19,200
31,28.3,28.4,28.3,28.395,1200
32,28.1408,28.33,28.1408,28.33,1299
33,28.24,28.28,28.22,28.27,799
34,28.31,28.31,28.31,28.31,100
35,28.23,28.25,28.02,28.02,340
37,28.11,28.23,28.11,28.23,400
39,28.28,28.36,28.2,28.21,2279
148,28.24,28.3166,28.24,28.3166,2151
149,28.25,28.25,28.25,28.25,200
152,28.296,28.296,28.296,28.296,300
153,28.25,28.25,28.25,28.25,500
154,28.25,28.25,28.25,28.25,300
156,28.25,28.25,28.24,28.24,1165
159,28.43,28.43,28.25,28.25,1300
162,28.26,28.26,28.255,28.26,1300
163,28.26,28.26,28.25,28.25,200
164,28.25,28.4,28.25,28.28,1832
165,28.25,28.39,28.25,28.25,1200
166,28.24,28.25,28.21,28.25,1000
169,28.38,28.38,28.25,28.25,1540
170,28.2,28.3,28.2,28.25,1900
172,28.29,28.29,28.28,28.28,200
174,28.31,28.31,28.25,28.3,500
175,28.25,28.38,28.25,28.25,1200
176,28.25,28.28,28.25,28.28,200
178,28.25,28.25,28.24,28.25,400
179,28.22,28.25,28.22,28.24,404
181,28.265,28.265,28.25,28.25,200
182,28.2,28.3,28.2,28.3,2928
183,28.17,28.25,28.09,28.25,3143
288,28.18,28.18,28.18,28.18,156
291,28.22,28.22,28.22,28.22,100
293,28,28.05,28,28.05,1665
294,28.01,28.01,28.01,28.01,100
301,28.01,28.02,28.01,28.02,200
302,28.19,28.19,28.19,28.19,200
303,28.01,28.12,28.01,28.02,490
304,28.049,28.2,28.03,28.18,400
305,28.02,28.035,28,28.035,400
306,27.91,27.91,27.91,27.91,100
307,27.85,27.85,27.85,27.85,100
308,27.995,27.995,27.995,27.995,100
313,28,28.085,28,28.085,1200
315,28.02,28.02,28.02,28.02,100
316,27.96,27.96,27.8981,27.8981,255
317,28.16,28.16,28.02,28.02,300
322,28,28.095,28,28.01,500
323,28.03,28.19,27.95,27.95,450
325,28.01,28.02,28.01,28.02,444
326,28.07,28.07,28.025,28.025,200
327,28.02,28.07,27.96,28.025,3142
432,28.02,28.02,28.02,28.02,595
437,27.91,27.91,27.91,27.91,100
438,27.9,27.91,27.9,27.91,200
441,28.19,28.19,28.19,28.19,100
443,27.99,27.99,27.99,27.99,100
446,27.92,27.92,27.92,27.92,100
450,27.85,27.85,27.85,27.85,100
452,27.815,27.8383,27.554,27.7479,2596
453,27.825,27.825,27.825,27.825,100
458,27.66,27.66,27.66,27.66,100
459,27.65,27.71,27.65,27.71,1200
460,27.64,27.65,27.61,27.65,700
467,27.69,27.71,27.67,27.71,440
470,27.9,27.9,27.9,27.9,100
471,27.76,27.86,27.625,27.86,4906
865,28.39,28.39,27.75,27.75,487
867,27.775,27.775,27.775,27.775,200
871,27.46,27.7,27.46,27.7,1363
872,27.7,27.7,27.7,27.7,300
873,27.616,27.7,27.5229,27.546,2835
877,27.7,27.7,27.6,27.6,263
879,27.7,27.7,27.7,27.7,300
880,27.68,27.71,27.68,27.7,1000
881,27.66,27.7,27.61,27.69,700
882,27.7,27.7,27.7,27.7,100
883,27.75,27.75,27.75,27.75,100
887,27.75,27.75,27.75,27.75,100
890,27.7,27.7,27.69,27.69,200
891,27.69,27.69,27.27,27.65,4641
892,27.79,27.79,27.59,27.7,300
895,27.55,27.57,27.55,27.57,596
896,27.7,27.94,27.43,27.58,800
897,27.7199,27.7199,27.7199,27.7199,110
899,27.6,27.6,27.6,27.6,100
901,27.425,27.43,27.36,27.43,975
902,27.49,27.49,27.34,27.36,300
903,27.5,27.5,27.39,27.39,1015
a1493731800,27.59,27.59,27.59,27.59,127
3,27.75,27.905,27.75,27.9,317
5,27.27,27.65,27.27,27.65,800
7,27.47,27.48,27.47,27.48,300
8,27.43,27.44,27.43,27.44,200
11,27.39,27.5581,27.2749,27.2749,1698
12,27.385,27.385,27.385,27.385,100
13,27.4,27.4,27.4,27.4,241
15,27.3,27.35,27.3,27.35,400
16,27.285,27.31,27.285,27.31,600
17,27.32,27.32,27.285,27.31,1200
18,27.38,27.38,27.38,27.38,100
19,27.3853,27.3853,27.3853,27.3853,283
20,27.44,27.44,27.44,27.44,200
21,27.43,27.46,27.32,27.46,1600
27,27.55,27.55,27.4,27.4,300
29,27.54,27.54,27.54,27.54,100
32,27.48,27.48,27.48,27.48,100
33,27.48,27.48,27.48,27.48,100
34,27.42,27.42,27.42,27.42,100
35,27.45,27.45,27.4,27.41,500
37,27.38,27.4,27.38,27.4,1400
38,27.38,27.38,27.38,27.38,300
39,27.41,27.435,27.39,27.4,2188
144,27.36,27.36,27.36,27.36,126
148,27.7,27.78,27.7,27.72,542
149,27.42,27.42,27.09,27.42,300
150,27.35,27.56,26.98,27.4,2200
151,27.5,27.58,27.49,27.55,800
152,27.59,27.7,27.5,27.5,700
153,27.36,27.4899,27.36,27.4899,599
154,27.68,27.845,27.68,27.845,599
155,27.63,27.9,27.63,27.72,300
156,27.66,27.66,27.36,27.65,1400
162,27.5,27.54,27.5,27.54,400
163,27.42,27.42,27.36,27.36,200
164,27.48,27.48,27.45,27.45,200
166,27.51,27.51,27.51,27.51,100
168,27.42,27.42,27.26,27.34,1100
169,27.25,27.34,27.08,27.34,1300
170,27.33,27.33,27.27,27.27,300
171,27.41,27.45,27.31,27.41,800
172,27.45,27.45,27.36,27.36,300
173,27.34,27.38,27.34,27.38,300
174,27.3,27.32,27.27,27.29,600
175,27.32,27.36,27.26,27.34,1600
176,27.45,27.45,27.22,27.22,1900
177,27.52,27.52,27.52,27.52,100
180,27.59,27.59,27.59,27.59,100
181,27.59,27.59,27.59,27.59,100
183,27.64,27.65,27.47,27.47,1821
288,27.88,27.88,27.88,27.88,525
289,27.47,27.78,27.45,27.78,900
290,27.4,27.7,27.4,27.43,1000
292,27.5,27.5994,27.47,27.5994,1470
294,27.37,27.51,27.37,27.51,1000
295,27.48,27.49,27.3553,27.3553,1180
297,27.29,27.3,27.29,27.3,300
299,27.35,27.35,27.35,27.35,100
300,27.35,27.38,27.34,27.34,920
303,27.25,27.25,27.25,27.25,100
305,27.25,27.25,27.25,27.25,500
307,27.22,27.22,27.22,27.22,100
308,27.14,27.14,27.14,27.14,200
309,27.18,27.18,27.14,27.14,200
314,27.4444,27.4444,27.235,27.235,1599
315,27.39,27.39,27.39,27.39,226
316,27.31,27.43,27.31,27.43,300
319,27.56,27.56,27.56,27.56,200
321,27.64,27.65,27.55,27.55,400
323,27.48,27.48,27.48,27.48,100
324,27.47,27.47,27.47,27.47,200
325,27.3,27.3,27.3,27.3,100
326,27.315,27.41,27.16,27.41,1000
327,27.36,27.47,27.32,27.32,752
435,27.45,27.45,27.22,27.22,1600
437,27.4466,27.4466,27.26,27.27,480
439,27.21,27.21,27.21,27.21,100
440,27.18,27.18,27.17,27.17,300
442,27.23,27.23,27.23,27.23,100
443,27.24,27.24,27.14,27.15,600
444,27.21,27.24,27.21,27.24,699
447,27.15,27.17,27.15,27.17,300
448,27.19,27.21,27.16,27.16,600
449,27.24,27.24,27.15,27.15,200
451,27.09,27.09,27.09,27.09,200
453,27.06,27.06,27.06,27.06,100
456,27.05,27.0762,27.05,27.0762,325
457,27.05,27.13,27.05,27.13,300
458,27.08,27.12,27.045,27.05,2400
461,27.165,27.165,27.165,27.165,100
462,27.23,27.23,27.145,27.145,400
467,27.3,27.33,27.185,27.22,500
