EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,9.79,9.85,9.79,9.81,9680
1,9.99,10.03,9.79,9.79,67743
2,9.98,10.035,9.9788,9.99,66593
3,9.97,10.01,9.9,10,26719
4,9.9,9.92,9.85,9.92,19851
5,9.855,9.9,9.83,9.882,8400
6,9.82,9.85,9.81,9.85,2502
7,9.84,9.86,9.8,9.815,22408
8,9.84,9.84,9.83,9.84,4810
9,9.825,9.84,9.815,9.8365,16600
10,9.835,9.84,9.825,9.83,8685
11,9.84,9.85,9.82,9.84,19789
12,9.82,9.84,9.81,9.84,12497
13,9.82,9.83,9.81,9.82,6782
14,9.82,9.83,9.81,9.82,3542
15,9.83,9.84,9.82,9.83,7400
16,9.82,9.825,9.82,9.82,1300
17,9.82,9.82,9.81,9.82,6849
18,9.82,9.82,9.79,9.81,8748
19,9.82,9.82,9.8,9.81,2000
20,9.825,9.83,9.82,9.82,2200
21,9.81,9.83,9.81,9.8201,14200
22,9.87,9.87,9.81,9.81,8300
23,9.87,9.88,9.865,9.875,1900
24,9.8842,9.89,9.87,9.87,2200
25,9.88,9.89,9.88,9.89,3200
26,9.8701,9.89,9.87,9.89,2200
27,9.8875,9.89,9.8775,9.88,5549
28,9.89,9.89,9.88,9.88,1650
29,9.88,9.89,9.88,9.8801,3700
30,9.87,9.88,9.87,9.88,4995
31,9.875,9.88,9.87,9.87,3700
32,9.8575,9.88,9.855,9.87,4741
33,9.8401,9.86,9.84,9.86,1700
34,9.865,9.87,9.85,9.85,12931
35,9.865,9.87,9.86,9.87,2622
36,9.86,9.87,9.84,9.865,16305
37,9.86,9.86,9.85,9.86,9199
38,9.86,9.86,9.85,9.85,12225
39,9.85,9.87,9.84,9.855,93708
144,9.82,9.82,9.82,9.82,1185
145,9.8305,9.8305,9.8,9.82,5064
146,9.8702,9.91,9.84,9.84,11060
147,9.84,9.89,9.84,9.88,6865
148,9.84,9.845,9.8,9.8,2051
149,9.85,9.85,9.83,9.83,1600
150,9.86,9.86,9.84,9.85,4498
151,9.84,9.86,9.81,9.86,5730
152,9.875,9.875,9.84,9.84,3300
153,9.89,9.9,9.88,9.88,6700
154,9.84,9.89,9.84,9.89,8163
155,9.875,9.88,9.845,9.845,11295
156,9.915,9.915,9.875,9.875,11302
157,9.905,9.91,9.9,9.91,7725
158,9.87,9.905,9.865,9.905,24300
159,9.875,9.88,9.875,9.875,5177
160,9.875,9.88,9.875,9.875,700
161,9.875,9.88,9.87,9.875,5960
162,9.875,9.88,9.87,9.88,14100
163,9.86,9.875,9.85,9.875,42541
164,9.86,9.87,9.85,9.865,7271
165,9.9,9.9,9.87,9.87,3980
166,9.89,9.91,9.87,9.89,4600
167,9.885,9.9,9.88,9.89,3200
168,9.87,9.89,9.865,9.885,11200
169,9.88,9.88,9.87,9.87,801
170,9.87,9.89,9.87,9.88,3973
171,9.87,9.89,9.87,9.875,30206
172,9.875,9.8833,9.87,9.87,2806
173,9.88,9.88,9.87,9.87,2200
174,9.87,9.9,9.87,9.88,7040
175,9.88,9.89,9.865,9.87,3768
176,9.88,9.885,9.87,9.88,2867
177,9.87,9.88,9.86,9.88,4615
178,9.885,9.89,9.8662,9.8662,4342
179,9.87,9.88,9.87,9.88,2800
180,9.895,9.895,9.86,9.87,11400
181,9.875,9.895,9.87,9.895,6174
182,9.845,9.88,9.84,9.87,12392
183,9.84,9.85,9.82,9.85,49300
288,9.86,9.86,9.86,9.86,659
289,9.82,9.86,9.79,9.85,3200
290,9.86,9.88,9.84,9.84,3225
291,9.85,9.87,9.85,9.87,300
292,9.845,9.87,9.845,9.86,2891
293,9.83,9.86,9.83,9.85,37749
294,9.84,9.85,9.82,9.85,8004
295,9.87,9.87,9.83,9.84,26359
296,9.87,9.87,9.84,9.86,3100
297,9.84,9.865,9.84,9.865,2800
298,9.855,9.86,9.84,9.85,12010
299,9.845,9.85,9.815,9.83,6195
300,9.85,9.85,9.83,9.84,3274
301,9.82,9.835,9.82,9.835,500
302,9.81,9.82,9.81,9.82,2900
303,9.78,9.805,9.78,9.8,4500
304,9.8,9.8,9.775,9.78,2000
305,9.78,9.81,9.78,9.8,1815
306,9.78,9.78,9.775,9.78,300
307,9.8,9.8,9.78,9.79,600
308,9.805,9.81,9.8,9.8,2300
309,9.795,9.81,9.79,9.805,1302
310,9.78,9.8,9.78,9.8,1600
311,9.77,9.77,9.77,9.77,100
312,9.77,9.77,9.765,9.77,500
313,9.75,9.76,9.7401,9.76,5964
314,9.76,9.76,9.76,9.76,100
315,9.765,9.77,9.76,9.76,1400
316,9.75,9.77,9.74,9.77,14416
317,9.78,9.78,9.75,9.75,20248
318,9.805,9.81,9.78,9.78,6848
319,9.805,9.81,9.805,9.81,500
320,9.815,9.82,9.8,9.805,2959
321,9.82,9.82,9.8,9.81,89526
322,9.78,9.81,9.78,9.81,4500
323,9.8,9.8,9.7719,9.7719,18300
324,9.79,9.8,9.79,9.795,4154
325,9.8,9.8,9.79,9.79,14800
326,9.83,9.83,9.79,9.79,5453
327,9.81,9.83,9.8,9.83,65810
432,9.79,9.79,9.79,9.79,2549
433,9.75,9.8,9.75,9.8,6350
434,9.75,9.78,9.75,9.75,8969
435,9.77,9.78,9.74,9.77,10200
436,9.75,9.79,9.75,9.79,8896
437,9.765,9.78,9.75,9.75,34474
438,9.69,9.7625,9.69,9.76,36120
439,9.665,9.69,9.665,9.69,6896
440,9.61,9.67,9.61,9.67,9506
441,9.6,9.62,9.6,9.62,4826
442,9.62,9.62,9.6,9.61,17304
443,9.625,9.63,9.625,9.625,300
444,9.62,9.63,9.62,9.63,1169
445,9.6,9.62,9.6,9.62,1941
446,9.6,9.605,9.59,9.6,13198
447,9.59,9.61,9.59,9.61,4966
448,9.58,9.61,9.58,9.59,5519
449,9.55,9.58,9.55,9.58,4750
450,9.54,9.57,9.54,9.56,3106
451,9.54,9.56,9.54,9.54,5405
452,9.54,9.54,9.52,9.54,12557
453,9.58,9.58,9.5325,9.54,3578
454,9.59,9.61,9.57,9.57,19400
455,9.6,9.61,9.59,9.59,2400
456,9.61,9.62,9.61,9.61,2863
457,9.61,9.62,9.61,9.61,1300
458,9.6,9.63,9.6,9.62,3623
459,9.58,9.6,9.58,9.6,1811
460,9.57,9.6,9.57,9.58,6989
461,9.55,9.57,9.55,9.57,4075
462,9.55,9.56,9.545,9.55,3488
463,9.57,9.57,9.55,9.55,4347
464,9.57,9.58,9.56,9.57,2620
465,9.56,9.57,9.56,9.57,7960
466,9.59,9.6,9.56,9.57,15471
467,9.64,9.64,9.595,9.595,9917
468,9.655,9.66,9.63,9.64,14028
469,9.655,9.67,9.65,9.66,5434
470,9.66,9.66,9.63,9.65,10911
471,9.64,9.68,9.62,9.66,82881
864,9.65,9.65,9.65,9.65,2540
865,9.65,9.65,9.63,9.64,3169
866,9.59,9.64,9.59,9.64,2833
867,9.58,9.59,9.56,9.56,6466
868,9.57,9.61,9.57,9.6,2800
869,9.57,9.57,9.56,9.56,1000
870,9.54,9.57,9.52,9.57,12557
871,9.57,9.57,9.53,9.53,9505
872,9.54,9.57,9.54,9.57,5316
873,9.53,9.53,9.52,9.53,2655
874,9.53,9.54,9.53,9.53,3800
875,9.5346,9.54,9.5346,9.535,425
876,9.51,9.535,9.51,9.53,3730
877,9.5,9.51,9.5,9.51,12600
878,9.53,9.53,9.51,9.51,2100
879,9.54,9.54,9.54,9.54,400
880,9.55,9.55,9.535,9.535,6790
881,9.55,9.55,9.53,9.55,1865
882,9.5401,9.55,9.5401,9.545,460
883,9.54,9.55,9.54,9.54,900
884,9.535,9.54,9.535,9.54,1500
885,9.55,9.55,9.52,9.54,5731
886,9.53,9.55,9.53,9.54,700
887,9.53,9.54,9.53,9.53,900
888,9.56,9.56,9.535,9.535,4237
889,9.565,9.565,9.56,9.56,1300
890,9.57,9.57,9.555,9.565,2993
891,9.59,9.6,9.56,9.57,4167
892,9.585,9.6,9.58,9.6,9714
893,9.5658,9.59,9.565,9.58,6236
894,9.56,9.575,9.55,9.57,7739
