EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,0.53,0.53,0.53,0.53,100
2,0.53,0.6474,0.53,0.6474,3400
3,0.55,0.63,0.53,0.53,14000
4,0.536,0.58,0.532,0.532,1700
5,0.536,0.536,0.536,0.536,300
6,0.534,0.54,0.534,0.54,2100
7,0.532,0.534,0.532,0.534,200
8,0.5326,0.57,0.532,0.57,1200
9,0.54,0.5439,0.5325,0.5325,6200
10,0.54,0.54,0.54,0.54,300
11,0.54,0.54,0.54,0.54,300
12,0.5402,0.5402,0.5402,0.5402,300
13,0.5402,0.5402,0.5402,0.5402,300
14,0.54,0.54,0.54,0.54,200
15,0.54,0.568,0.54,0.54,1100
16,0.5402,0.5409,0.5402,0.5409,600
17,0.5402,0.5402,0.54,0.54,200
18,0.54,0.56,0.54,0.5402,700
19,0.54,0.54,0.54,0.54,100
20,0.54,0.54,0.54,0.54,100
21,0.54,0.54,0.54,0.54,400
22,0.54,0.54,0.54,0.54,100
23,0.54,0.54,0.54,0.54,200
24,0.54,0.559,0.54,0.54,400
25,0.54,0.54,0.54,0.54,300
26,0.54,0.54,0.54,0.54,300
27,0.53,0.55,0.53,0.5406,16900
28,0.53,0.53,0.53,0.53,200
29,0.53,0.53,0.53,0.53,1400
30,0.545,0.545,0.53,0.53,2400
31,0.54,0.54,0.54,0.54,100
32,0.5401,0.5401,0.5401,0.5401,200
33,0.55,0.55,0.54,0.54,200
34,0.54,0.54,0.54,0.54,300
35,0.54,0.54,0.54,0.54,200
36,0.54,0.54,0.54,0.54,300
37,0.54,0.55,0.54,0.54,400
38,0.54,0.54,0.54,0.54,600
39,0.54,0.54,0.54,0.54,1000
178,0.55,0.55,0.5462,0.5462,2100
179,0.58,0.58,0.55,0.55,400
180,0.578,0.578,0.578,0.578,100
182,0.57,0.57,0.57,0.57,100
183,0.57,0.57,0.57,0.57,200
289,0.5899,0.5899,0.5899,0.5899,100
292,0.5871,0.5871,0.5871,0.5871,290
293,0.5908,0.5908,0.5899,0.59,4600
294,0.6074,0.6075,0.6,0.6,6000
295,0.6,0.6,0.6,0.6,1600
299,0.6,0.6,0.6,0.6,200
300,0.6,0.6,0.6,0.6,100
303,0.5868,0.5868,0.5868,0.5868,500
304,0.6,0.6,0.6,0.6,100
314,0.57,0.582,0.57,0.582,2315
315,0.5601,0.5601,0.5601,0.5601,3200
316,0.59,0.59,0.5607,0.5607,5150
322,0.5906,0.5906,0.59,0.59,8600
325,0.5974,0.5974,0.5974,0.5974,10000
327,0.59,0.59,0.59,0.59,100
437,0.6,0.6334,0.6,0.6334,6900
438,0.6,0.6,0.6,0.6,300
439,0.6,0.6,0.6,0.6,200
440,0.6,0.6,0.6,0.6,200
441,0.59,0.5901,0.59,0.59,2200
442,0.59,0.59,0.59,0.59,200
443,0.59,0.59,0.59,0.59,300
444,0.59,0.59,0.59,0.59,100
445,0.59,0.59,0.59,0.59,100
450,0.59,0.59,0.59,0.59,100
452,0.57,0.57,0.57,0.57,100
453,0.552,0.552,0.552,0.552,200
454,0.552,0.552,0.552,0.552,100
455,0.555,0.555,0.555,0.555,300
456,0.555,0.555,0.555,0.555,200
457,0.555,0.555,0.555,0.555,300
458,0.562,0.562,0.555,0.555,300
459,0.562,0.562,0.56,0.56,200
460,0.562,0.562,0.562,0.562,200
461,0.56,0.562,0.56,0.562,200
462,0.56,0.56,0.56,0.56,100
464,0.562,0.562,0.56,0.56,300
465,0.562,0.562,0.562,0.562,200
466,0.562,0.562,0.562,0.562,400
467,0.56,0.562,0.56,0.562,500
468,0.57,0.598,0.56,0.56,500
469,0.596,0.596,0.56,0.56,600
470,0.56,0.562,0.56,0.562,1000
471,0.56,0.57,0.56,0.56,3000
865,0.56,0.56,0.56,0.56,200
866,0.6199,0.6199,0.6199,0.6199,100
868,0.56,0.56,0.56,0.56,600
871,0.5498,0.56,0.5498,0.56,400
872,0.55,0.55,0.55,0.55,100
873,0.5398,0.5398,0.5398,0.5398,300
874,0.55,0.55,0.55,0.55,200
876,0.52,0.5398,0.52,0.5398,3500
877,0.522,0.522,0.52,0.522,5600
879,0.5525,0.5525,0.5525,0.5525,100
881,0.55,0.55,0.55,0.55,100
895,0.5675,0.5675,0.5675,0.5675,100
901,0.5675,0.5675,0.5526,0.5526,1600
903,0.55,0.55,0.55,0.55,200
a1493734800,0.5401,0.5401,0.5401,0.5401,2000
2,0.5675,0.5675,0.5675,0.5675,100
9,0.5675,0.5675,0.5675,0.5675,100
10,0.5675,0.5675,0.5675,0.5675,100
13,0.568,0.568,0.568,0.568,100
16,0.568,0.568,0.568,0.568,100
25,0.57,0.57,0.57,0.57,100
34,0.5663,0.5663,0.5663,0.5663,4701
139,0.54,0.54,0.54,0.54,2614
142,0.5255,0.5255,0.5255,0.5255,10000
143,0.531,0.531,0.531,0.531,900
144,0.531,0.531,0.531,0.531,100
145,0.5295,0.5295,0.5295,0.5295,500
147,0.53,0.531,0.521,0.521,2200
148,0.5283,0.5283,0.5283,0.5283,100
151,0.5333,0.5374,0.5333,0.5374,390
157,0.5432,0.5432,0.5432,0.5432,100
158,0.5233,0.5233,0.5233,0.5233,1000
163,0.523,0.53,0.523,0.53,1100
164,0.5215,0.5215,0.5215,0.5215,300
170,0.521,0.5255,0.521,0.5255,7800
171,0.521,0.521,0.521,0.521,1100
175,0.5219,0.5219,0.5219,0.5219,100
177,0.53,0.54,0.5219,0.5219,15237
178,0.53,0.53,0.53,0.53,5200
283,0.56,0.56,0.56,0.56,5660
285,0.5511,0.5511,0.5511,0.5511,1450
286,0.557,0.557,0.55,0.55,1700
287,0.55,0.55,0.55,0.55,400
288,0.55,0.575,0.55,0.55,1400
289,0.55,0.55,0.55,0.55,200
290,0.55,0.55,0.55,0.55,200
291,0.55,0.55,0.55,0.55,200
292,0.55,0.55,0.55,0.55,200
293,0.55,0.55,0.55,0.55,300
294,0.55,0.55,0.55,0.55,300
295,0.55,0.55,0.55,0.55,300
296,0.55,0.56,0.55,0.56,500
297,0.55,0.55,0.55,0.55,1500
298,0.553,0.553,0.553,0.553,100
299,0.54,0.54,0.54,0.54,200
300,0.553,0.553,0.54,0.54,300
301,0.54,0.54,0.54,0.54,300
302,0.531,0.531,0.531,0.531,100
303,0.531,0.531,0.531,0.531,200
304,0.531,0.531,0.531,0.531,100
305,0.521,0.5235,0.521,0.5235,200
306,0.521,0.521,0.521,0.521,200
307,0.521,0.5211,0.521,0.5211,200
308,0.521,0.5237,0.521,0.5237,316
309,0.5211,0.5572,0.521,0.5572,3200
310,0.5211,0.5211,0.5211,0.5211,200
311,0.5286,0.5313,0.5212,0.5212,500
312,0.5212,0.5212,0.5212,0.5212,400
313,0.5212,0.5212,0.5212,0.5212,200
314,0.5212,0.5212,0.5212,0.5212,100
315,0.5212,0.5212,0.5212,0.5212,200
316,0.5212,0.5212,0.5212,0.5212,300
317,0.5212,0.5212,0.5212,0.5212,300
318,0.5212,0.5212,0.5212,0.5212,400
319,0.5212,0.5212,0.5212,0.5212,400
320,0.5212,0.5212,0.5212,0.5212,400
321,0.5211,0.523,0.5211,0.5212,900
322,0.54,0.55,0.521,0.5211,3400
429,0.521,0.5674,0.521,0.5674,1400
430,0.521,0.521,0.521,0.521,400
431,0.5211,0.5211,0.521,0.521,1500
432,0.5299,0.5299,0.521,0.521,1700
433,0.5297,0.5297,0.521,0.521,3200
434,0.521,0.521,0.521,0.521,400
435,0.521,0.521,0.521,0.521,200
436,0.521,0.521,0.521,0.521,200
437,0.521,0.521,0.521,0.521,400
438,0.521,0.521,0.521,0.521,300
439,0.521,0.521,0.521,0.521,500
440,0.521,0.521,0.521,0.521,500
441,0.521,0.521,0.521,0.521,700
442,0.521,0.521,0.521,0.521,200
443,0.521,0.521,0.521,0.521,300
444,0.52,0.521,0.52,0.521,500
445,0.51,0.521,0.51,0.52,19199
446,0.51,0.51,0.51,0.51,100
447,0.51,0.518,0.51,0.518,1100
448,0.518,0.518,0.51,0.51,200
449,0.51,0.51,0.51,0.51,100
450,0.51,0.51,0.51,0.51,1700
