EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,17.55,17.55,17.55,17.55,500
1,17.65,17.65,17.55,17.55,1000
2,17.7,17.7,17.6,17.6,700
3,17.7313,17.7313,17.65,17.7,1570
4,17.7,17.7,17.6,17.7,1800
5,17.65,17.65,17.65,17.65,990
6,17.6,17.6,17.6,17.6,200
7,17.5,17.55,17.5,17.55,500
8,17.5,17.525,17.45,17.45,2240
10,17.55,17.6,17.55,17.55,3320
11,17.65,17.65,17.6,17.6,703
12,17.625,17.65,17.625,17.65,900
13,17.675,17.7,17.65,17.7,300
14,17.65,17.7,17.65,17.7,1100
15,17.6,17.6236,17.6,17.6236,1300
16,17.65,17.65,17.6,17.6,200
17,17.6,17.6,17.55,17.55,300
18,17.55,17.55,17.55,17.55,200
19,17.65,17.65,17.65,17.65,193
20,17.55,17.55,17.55,17.55,100
21,17.65,17.65,17.65,17.65,600
22,17.55,17.6,17.55,17.6,900
23,17.6,17.65,17.6,17.65,300
25,17.6,17.6,17.55,17.55,300
26,17.575,17.625,17.575,17.6,2200
27,17.645,17.645,17.6,17.6,1200
30,17.65,17.65,17.6,17.6,200
31,17.625,17.625,17.6,17.6,390
32,17.55,17.6,17.55,17.6,1070
33,17.55,17.6,17.55,17.6,700
34,17.5,17.6,17.5,17.6,200
35,17.55,17.55,17.5,17.55,400
36,17.45,17.5,17.45,17.5,700
37,17.4,17.45,17.4,17.45,1292
38,17.4,17.425,17.4,17.4,800
39,17.45,17.5,17.4,17.45,5915
144,17.4,17.4,17.4,17.4,353
145,17.5,17.65,17.5,17.65,400
146,17.6,17.6,17.55,17.55,496
147,17.6,17.6,17.55,17.6,600
148,17.65,17.7,17.65,17.65,1000
149,17.6,17.7,17.6,17.65,500
150,17.55,17.6,17.5,17.6,1971
151,17.55,17.55,17.55,17.55,100
152,17.5,17.55,17.5,17.55,700
153,17.55,17.6,17.45,17.5,1000
156,17.6,17.65,17.55,17.6,1900
157,17.65,17.65,17.65,17.65,100
159,17.6,17.65,17.55,17.55,2068
160,17.75,17.75,17.7,17.7,900
161,17.85,17.85,17.7,17.7,1000
163,17.75,17.805,17.725,17.805,1274
164,17.775,17.8,17.75,17.75,500
165,17.75,17.8,17.75,17.8,339
166,17.8,17.8,17.8,17.8,100
167,17.8,17.8,17.8,17.8,100
169,17.75,17.75,17.725,17.725,800
170,17.7,17.7,17.7,17.7,500
171,17.7,17.7,17.7,17.7,200
172,17.65,17.65,17.65,17.65,100
173,17.7,17.75,17.7,17.75,800
174,17.7,17.75,17.7,17.75,1800
175,17.7,17.75,17.65,17.65,490
176,17.75,17.75,17.75,17.75,100
177,17.75,17.75,17.651,17.75,800
178,17.75,17.75,17.7,17.75,400
179,17.7,17.75,17.7,17.75,500
180,17.75,17.75,17.7,17.7,800
181,17.7,17.75,17.65,17.75,600
182,17.6,17.7,17.6,17.7,4660
183,17.5,17.55,17.45,17.55,15564
288,17.5,17.5,17.5,17.5,542
290,17.55,17.55,17.5,17.5,1600
291,17.625,17.7,17.55,17.7,300
292,17.65,17.7,17.65,17.7,300
293,17.7,17.7,17.6,17.65,600
295,17.65,17.65,17.6,17.6,600
296,17.6,17.6,17.6,17.6,900
300,17.5511,17.5511,17.5511,17.5511,100
301,17.625,17.625,17.55,17.55,400
302,17.6,17.6,17.6,17.6,900
304,17.55,17.55,17.55,17.55,100
306,17.6,17.6,17.575,17.575,527
309,17.625,17.625,17.6,17.6,350
310,17.55,17.6,17.55,17.6,1154
311,17.575,17.575,17.575,17.575,100
312,17.575,17.6,17.575,17.6,300
313,17.5815,17.5815,17.575,17.575,302
314,17.55,17.55,17.55,17.55,100
316,17.55,17.55,17.45,17.55,600
317,17.45,17.45,17.45,17.45,100
319,17.5,17.5,17.5,17.5,100
320,17.45,17.5,17.45,17.5,500
321,17.5,17.5,17.45,17.45,1770
323,17.575,17.575,17.55,17.55,2240
324,17.6001,17.6001,17.6,17.6,700
325,17.55,17.6001,17.5,17.6001,4936
326,17.45,17.525,17.45,17.525,2900
327,17.45,17.5,17.425,17.45,5173
432,17.45,17.45,17.45,17.45,261
434,17.375,17.575,17.3,17.5497,1500
435,17.35,17.4,17.35,17.35,744
436,17.2,17.275,17.2,17.275,200
437,17.275,17.275,17.275,17.275,100
438,17.2,17.275,17.2,17.275,200
439,17.3,17.3,17.275,17.3,400
440,17.275,17.275,17.275,17.275,100
441,17.25,17.3374,17.25,17.275,2068
442,17.4,17.4,17.25,17.25,1500
443,17.45,17.55,17.3,17.3,5779
444,17.4375,17.5,17.4375,17.45,656
445,17.45,17.475,17.45,17.475,600
446,17.5,17.55,17.4,17.4841,1500
447,17.55,17.55,17.525,17.525,300
448,17.6049,17.6049,17.55,17.55,1300
449,17.627,17.627,17.6,17.6,865
450,17.75,17.75,17.6,17.6,1625
451,17.75,17.8,17.75,17.75,800
452,17.75,17.75,17.75,17.75,469
453,17.85,17.85,17.8,17.8,2994
455,17.8,17.85,17.8,17.85,200
456,17.9,17.925,17.85,17.85,2524
457,17.85,17.875,17.85,17.875,250
458,17.8723,17.9,17.85,17.85,1400
459,17.8,17.85,17.8,17.85,1200
460,17.8,17.8001,17.75,17.8001,2367
461,17.6,17.75,17.5501,17.75,4659
462,17.5,17.6034,17.475,17.555,13767
463,17.5,17.55,17.45,17.5,4100
464,17.45,17.5,17.45,17.5,3283
466,17.45,17.45,17.425,17.425,1000
467,17.45,17.5,17.45,17.45,700
468,17.45,17.525,17.45,17.45,2200
469,17.4,17.5,17.4,17.45,2915
470,17.35,17.45,17.3,17.4,5093
471,17.35,17.425,17.25,17.4,19076
864,17.4,17.4,17.4,17.4,926
865,17.4,17.55,17.25,17.55,2928
866,17.45,17.45,17.4,17.4,691
867,17.5,17.5,17.45,17.45,500
868,17.45,17.475,17.45,17.475,1648
869,17.5001,17.5001,17.449,17.449,1325
870,17.5,17.6,17.5,17.5,2924
871,17.5001,17.55,17.5,17.5,1722
872,17.5,17.6,17.5,17.5,900
873,17.475,17.525,17.45,17.5,4100
874,17.5,17.575,17.475,17.5,7499
875,17.5001,17.55,17.4999,17.5001,9199
876,17.5,17.5011,17.45,17.5001,1200
877,17.325,17.55,17.325,17.55,3090
878,17.4,17.4,17.35,17.35,889
879,17.4,17.4,17.4,17.4,600
880,17.475,17.475,17.45,17.45,1687
881,17.475,17.5,17.475,17.5,400
882,17.3,17.45,17.3,17.45,1200
883,17.375,17.4,17.325,17.325,1800
884,17.375,17.4,17.375,17.4,300
885,17.375,17.4,17.35,17.3826,708
886,17.4,17.4,17.3505,17.4,1200
887,17.4326,17.45,17.4,17.4,500
889,17.45,17.45,17.45,17.45,100
891,17.45,17.5,17.4,17.475,1238
892,17.35,17.45,17.3,17.4,2200
893,17.35,17.35,17.3,17.35,2974
894,17.35,17.35,17.35,17.35,300
895,17.35,17.4,17.35,17.35,2799
896,17.375,17.4,17.375,17.4,300
897,17.35,17.35,17.35,17.35,900
898,17.375,17.4,17.35,17.35,600
899,17.4,17.4,17.35,17.35,442
900,17.4,17.4,17.4,17.4,923
901,17.45,17.4677,17.45,17.45,1270
902,17.4,17.5,17.4,17.5,1982
903,17.45,17.45,17.35,17.425,6642
a1493731800,17.4,17.4,17.4,17.4,554
1,17.4184,17.4184,17.4184,17.4184,235
2,17.55,17.55,17.5,17.5,939
3,17.5229,17.55,17.463,17.5,3000
4,17.55,17.55,17.45,17.45,400
5,17.5,17.5,17.5,17.5,100
6,17.475,17.5,17.475,17.5,1300
7,17.475,17.475,17.475,17.475,200
8,17.45,17.4535,17.45,17.45,1400
9,17.4,17.5,17.4,17.475,900
10,17.4252,17.45,17.4,17.425,625
11,17.4001,17.425,17.4,17.4,1063
12,17.35,17.5,17.35,17.45,8300
13,17.35,17.35,17.35,17.35,600
14,17.35,17.35,17.35,17.35,100
16,17.4,17.4,17.4,17.4,300
17,17.425,17.425,17.425,17.425,100
18,17.4,17.4,17.4,17.4,696
19,17.4,17.4,17.4,17.4,300
20,17.35,17.35,17.35,17.35,100
