EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493130600,13.8,13.8,13.8,13.8,1000
2,13.78,13.78,13.78,13.78,100
22,13.634,13.634,13.6,13.61,2400
140,13.7,13.7,13.7,13.7,600
145,13.5079,13.5079,13.5,13.5,3800
146,13.5,13.576,13.5,13.5,5307
147,13.5,13.51,13.5,13.51,5000
176,13.6098,13.627,13.6098,13.627,200
318,13.5833,13.5833,13.5833,13.5833,119
428,13.52,13.52,13.52,13.52,400
429,13.5,13.5,13.5,13.5,100
445,13.5,13.5,13.5,13.5,1757
453,13.5098,13.5098,13.5098,13.5098,150
870,13.587,13.587,13.587,13.587,497
879,13.5504,13.5504,13.5504,13.5504,346
894,13.5125,13.5125,13.5,13.5,594
895,13.5135,13.5135,13.5,13.5,800
896,13.5,13.5,13.5,13.5,200
a1493739600,13.5008,13.503,13.5001,13.5001,635
25,13.5168,13.5168,13.5,13.5,1000
139,13.4,13.5,13.4,13.5,15200
140,13.4,13.4,13.4,13.4,500
147,13.4125,13.4125,13.4,13.4,903
158,13.4,13.4,13.4,13.4,100
169,13.4125,13.4213,13.4,13.4,1300
298,13.4,13.4175,13.4,13.4,900
303,13.41,13.41,13.4,13.4,594
306,13.4,13.4042,13.4,13.4,900
309,13.4,13.4,13.4,13.4,332
313,13.4,13.4,13.4,13.4,296
314,13.4,13.4,13.4,13.4,100
431,13.4,13.4,13.4,13.4,253
433,13.43,13.452,13.4,13.452,800
435,13.4,13.4,13.4,13.4,1192
438,13.4003,13.4134,13.4,13.4,3600
451,13.41,13.41,13.4,13.41,1000
452,13.4,13.4,13.4,13.4,100
458,13.41,13.41,13.4,13.4,500
852,13.45,13.45,13.45,13.45,100
855,13.465,13.465,13.45,13.45,881
858,13.4503,13.4503,13.45,13.45,646
859,13.4,13.4517,13.4,13.45,2738
866,13.4,13.4,13.4,13.4,1096
868,13.4,13.4,13.4,13.4,108
871,13.42,13.42,13.42,13.42,100
874,13.4138,13.4138,13.4138,13.4138,700
a1494431400,13.4645,13.4769,13.4001,13.4769,757
150,13.412,13.412,13.412,13.412,100
158,13.4,13.41,13.4,13.41,1605
169,13.43,13.43,13.4,13.4,200
279,13.4475,13.4475,13.4475,13.4475,500
294,13.4,13.45,13.4,13.45,200
300,13.4,13.4,13.4,13.4,300
313,13.4,13.4,13.4,13.4,399
707,13.4931,13.4931,13.4931,13.4931,400
870,13.4899,13.4899,13.4899,13.4899,200
876,13.419,13.419,13.4,13.4,557
882,13.4082,13.4082,13.4082,13.4082,100
885,13.4083,13.4083,13.4083,13.4083,200
888,13.4,13.4042,13.4,13.4042,815
889,13.4083,13.4083,13.4083,13.4083,200
a1495032600,13.4128,13.4134,13.4,13.4,1083
9,13.4464,13.4464,13.4464,13.4464,650
22,13.4001,13.4001,13.4,13.4,500
24,13.4,13.4,13.4,13.4,2000
26,13.4,13.4,13.4,13.4,5000
28,13.4,13.4,13.4,13.4,3404
161,13.579,13.579,13.579,13.579,100
292,13.4476,13.4476,13.4476,13.4476,700
313,13.5,13.5,13.5,13.5,2000
719,13.4452,13.4452,13.4452,13.4452,600
733,13.529,13.529,13.529,13.529,100
736,13.3701,13.3801,13.36,13.36,300
747,13.35,13.3834,13.35,13.36,1900
749,13.35,13.4214,13.35,13.4214,653
857,13.35,13.35,13.35,13.35,1000
864,13.35,13.35,13.35,13.35,600
893,13.35,13.4144,13.35,13.35,1039
a1495635000,13.35,13.36,13.35,13.35,300
323,13.36,13.5194,13.36,13.5194,400
879,13.415,13.5,13.4,13.5,2000
882,13.4819,13.4819,13.4819,13.4819,100
894,13.429,13.429,13.429,13.429,275
899,13.4,13.4054,13.4,13.4,2200
a1496247600,13.4,13.4,13.4,13.4,200
1,13.45,13.45,13.45,13.45,2000
130,13.68,13.68,13.68,13.68,2000
160,13.6,13.6,13.6,13.6,999
166,13.4,13.4,13.4,13.4,117
304,13.5264,13.5264,13.5264,13.5264,1000
705,13.45,13.45,13.45,13.45,1909
712,13.45,13.45,13.45,13.45,100
737,13.45,13.4739,13.45,13.452,700
742,13.45,13.45,13.45,13.45,1200
847,13.45,13.45,13.45,13.45,1000
851,13.45,13.45,13.45,13.45,2100
858,13.45,13.45,13.45,13.45,4100
860,13.45,13.45,13.4499,13.45,400
886,13.45,13.45,13.45,13.45,100
a1496854200,13.45,13.45,13.45,13.45,100
2,13.46,13.46,13.45,13.45,2100
19,13.49,13.49,13.49,13.49,200
128,13.4899,13.4899,13.489,13.489,500
149,13.4999,13.4999,13.493,13.493,250
150,13.4992,13.5,13.4966,13.4966,620
153,13.53,13.53,13.4999,13.4999,1186
155,13.525,13.525,13.525,13.525,100
161,13.81,13.81,13.81,13.81,100
162,13.56,13.7543,13.56,13.7543,300
271,13.84,13.84,13.48,13.84,951
275,13.59,13.59,13.59,13.59,200
276,13.63,13.63,13.63,13.63,100
279,13.6499,13.6499,13.6499,13.6499,142
282,13.65,13.65,13.65,13.65,100
286,13.72,13.72,13.72,13.72,100
292,13.65,13.6872,13.65,13.6872,1701
296,13.6354,13.6354,13.6354,13.6354,367
297,13.65,13.65,13.65,13.65,100
301,13.5,13.5,13.5,13.5,148
306,13.6382,13.6382,13.52,13.52,300
307,13.6424,13.6424,13.6424,13.6424,150
705,13.83,13.83,13.83,13.83,100
711,13.61,13.61,13.6,13.6,300
722,13.6219,13.6962,13.62,13.6962,1582
726,13.62,13.6209,13.62,13.6209,218
733,13.82,13.82,13.81,13.81,200
a1497457200,13.6792,13.6792,13.6792,13.6792,200
14,13.7415,13.7415,13.7415,13.7415,220
18,13.7955,13.7955,13.7955,13.7955,200
21,13.79,13.79,13.79,13.79,200
22,13.687,13.687,13.687,13.687,200
149,13.75,13.77,13.75,13.75,828
152,13.7679,13.7907,13.75,13.77,1342
162,13.7297,13.7297,13.7297,13.7297,100
163,13.75,13.75,13.75,13.75,100
310,14,14,14,14,257
712,13.75,13.75,13.75,13.75,109
718,13.75,13.75,13.75,13.75,526
863,13.949,13.949,13.949,13.949,600
a1498060800,13.8377,13.8377,13.8377,13.8377,500
273,13.9,13.9,13.9,13.9,100
294,13.6,13.62,13.6,13.62,639
295,13.6008,13.7,13.6,13.7,1900
297,13.87,13.87,13.87,13.87,100
303,13.87,13.87,13.87,13.87,100
312,13.6,13.6,13.6,13.6,1509
871,13.85,13.85,13.75,13.75,295
a1498668600,13.8399,13.8399,13.8399,13.8399,110
273,13.7,13.7,13.7,13.7,760
282,13.77,13.77,13.77,13.77,119
285,13.8,13.8,13.79,13.79,760
304,13.77,13.77,13.77,13.77,100
307,13.77,13.77,13.77,13.77,100
712,13.6945,13.6945,13.6945,13.6945,375
721,13.6,13.6,13.6,13.6,0
a1499284800,13.69,13.69,13.69,13.69,28
