EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493995800,14.27,14.48,13.8,14,914344
1,13.78,14.3,13.6,14.23,96962
2,13.37,13.7899,13.35,13.62,57211
3,13.02,13.445,12.31,13.37,59488
4,13.11,13.34,13,13.03,40330
5,13.03,13.2,13,13.11,20000
6,13.01,13.25,13.01,13.03,16100
7,13.21,13.21,12.9525,13,25681
8,13.01,13.16,13,13.155,15200
9,12.9,13.13,12.9,13.01,17770
10,12.48,12.9,12.38,12.9,56557
11,12.54,12.75,12.5,12.51,4900
12,12.51,12.69,12.23,12.55,12735
13,12.49,12.55,12.46,12.485,3600
14,12.74,12.855,12.49,12.5,7552
15,12.61,12.9,12.6,12.89,5800
16,12.45,12.84,12.45,12.61,13290
17,12.54,12.6,12.45,12.455,4400
18,12.56,12.69,12.5,12.505,6865
19,12.84,13,12.55,12.555,7400
20,12.67,12.8499,12.67,12.7,9400
21,12.53,12.67,12.48,12.67,5731
22,12.5,12.52,12.5,12.51,2300
23,12.5,12.5,12.38,12.4601,4500
24,12.5,12.65,12.5,12.5,4700
25,12.4,12.6,12.4,12.5001,4664
26,12.335,12.5,12.08,12.4001,9650
27,12.4,12.5,12.25,12.335,17281
28,12.36,12.45,12.335,12.42,7878
29,12.49,12.5,12.3001,12.35,40234
30,12.62,12.6443,12.52,12.6,10400
31,12.25,12.68,12.1,12.62,48998
424,12.26,12.26,12.26,12.26,800
426,12.25,12.33,12.25,12.25,1518
427,12.26,12.26,12.26,12.26,100
428,12.82,12.82,12.2,12.37,10798
429,12.81,12.82,12.81,12.82,200
430,12.6887,12.6887,12.6887,12.6887,230
432,12.5,12.5,12.5,12.5,500
433,12.515,12.515,12.5,12.5001,1000
435,12.51,12.68,12.51,12.68,500
436,12.4806,12.51,12.38,12.5,5936
437,12.5,12.5,12.49,12.49,600
438,12.5,12.5,12.4999,12.4999,1500
439,12.49,12.5,12.4372,12.5,5928
440,12.45,12.49,12.45,12.49,1300
441,12.49,12.49,12.49,12.49,200
442,12.44,12.49,12.44,12.4706,2500
443,12.49,12.49,12.49,12.49,300
444,12.49,12.49,12.4828,12.49,300
445,12.49,12.49,12.4899,12.49,600
446,12.49,12.49,12.48,12.49,1300
448,12.6999,12.6999,12.48,12.48,3045
449,12.5486,12.6999,12.5486,12.67,300
450,12.7,12.7,12.605,12.67,4600
451,12.65,12.725,12.65,12.67,1900
453,12.7499,12.75,12.64,12.75,800
454,12.8,12.8,12.72,12.72,1100
455,12.75,12.815,12.75,12.78,8685
456,12.8,12.8,12.75,12.75,200
457,12.8,12.8,12.8,12.8,600
458,12.78,12.9,12.76,12.8,8444
459,12.73,12.73,12.646,12.646,220
460,12.79,12.8,12.79,12.8,200
461,12.6,12.8,12.56,12.78,6819
462,12.7,12.72,12.55,12.6,4500
463,12.79,12.86,12.53,12.7,4850
568,12.8,12.8,12.8,12.8,1787
569,12.675,12.675,12.5001,12.5001,400
570,12.75,12.75,12.5,12.675,1750
571,12.675,12.675,12.5,12.502,800
572,12.8,12.8,12.5,12.6,1900
573,12.675,12.8,12.5,12.8,700
574,12.8,12.8,12.51,12.68,300
575,12.51,12.68,12.51,12.512,500
576,12.75,12.8,12.51,12.52,4300
577,13.05,13.05,12.7432,12.7432,800
578,12.68,12.73,12.68,12.73,300
579,12.77,12.77,12.73,12.73,1500
580,12.76,12.77,12.55,12.77,1500
581,12.75,12.75,12.55,12.552,1100
582,12.73,12.73,12.552,12.58,400
583,12.74,12.76,12.55,12.76,1400
584,12.84,13.5,12.55,12.552,2000
585,13.246,13.315,13.166,13.3,2750
586,13.15,13.33,13.12,13.33,1400
587,13.21,13.4,12.89,12.89,1300
588,13.22,13.22,12.902,12.902,1450
589,13.39,13.39,13.39,13.39,100
591,13,13.002,13,13.002,300
592,13.01,13.01,13.002,13.002,300
593,13.16,13.2756,13,13.2756,1000
594,13.01,13.01,13,13,1350
595,12.91,13,12.91,13,500
596,12.9,12.9,12.9,12.9,300
597,12.77,12.772,12.77,12.772,600
598,12.77,12.862,12.77,12.862,600
599,12.7718,12.86,12.77,12.84,1200
600,12.95,12.95,12.77,12.86,1500
601,13.35,13.35,13.35,13.35,100
602,13,13,12.782,12.782,300
603,13,13.02,13,13,700
604,13.0001,13.002,13,13.002,600
605,13,13.002,13,13.002,600
606,13,13,13,13,1100
607,13.34,13.34,13,13.02,3149
712,13.35,13.35,13.35,13.35,350
713,12.7555,12.7555,12.7555,12.7555,500
716,13.23,13.23,13.23,13.23,100
717,13.3,13.3,13.3,13.3,100
718,13.3,13.3,13.3,13.3,100
719,13.25,13.3,13.25,13.25,519
720,13.18,13.18,13.18,13.18,100
721,13.25,13.25,13.25,13.25,1900
722,13.31,13.31,13.25,13.25,1100
723,13.38,13.38,13.2501,13.2501,725
725,13.28,13.39,13.28,13.385,2821
728,13.385,13.385,13.385,13.385,100
731,13.3352,13.3352,13.28,13.2933,400
732,13.3202,13.3899,13.3202,13.3899,1250
735,13.28,13.34,13.28,13.335,900
736,13.29,13.31,13.29,13.305,600
738,13.3304,13.3304,13.32,13.32,465
740,13.325,13.325,13.3,13.3,300
741,13.35,13.35,13.34,13.34,885
742,13.335,13.47,13.3,13.47,18191
743,13.36,13.37,13.35,13.35,2900
744,13.37,13.37,13.36,13.36,200
745,13.39,13.405,13.39,13.405,400
746,13.46,13.46,13.39,13.41,9624
747,13.48,13.49,13.475,13.475,500
748,13.475,13.475,13.475,13.475,200
749,13.48,13.5,13.47,13.5,1100
750,13.605,13.67,13.395,13.46,10400
751,13.73,13.73,13.59,13.63,10637
856,13.93,13.93,13.93,13.93,540
857,13.675,13.9999,13.675,13.9999,300
859,13.9289,13.9289,13.7361,13.7361,976
861,13.9,13.9,13.9,13.9,100
870,13.82,13.89,13.82,13.845,1100
871,13.9,13.9,13.845,13.845,1300
872,13.78,13.9,13.745,13.895,9900
873,13.825,13.825,13.825,13.825,100
874,13.81,13.85,13.81,13.85,300
875,13.9,13.9,13.9,13.9,100
876,13.8515,13.86,13.8515,13.86,373
877,13.85,13.85,13.85,13.85,100
881,13.9,13.9,13.9,13.9,100
884,13.88,13.9,13.84,13.86,2794
885,13.88,13.88,13.88,13.88,300
886,13.825,13.9,13.825,13.9,233
888,13.9,13.9,13.9,13.9,100
890,13.87,13.9,13.85,13.9,1600
891,13.89,13.89,13.87,13.87,600
892,13.8701,13.9,13.87,13.9,1600
893,13.9,13.9,13.9,13.9,100
894,13.85,13.9,13.81,13.82,3500
895,13.89,13.89,13.7,13.86,3667
a1494595800,13.51,13.51,13.51,13.51,1048
2,13.88,13.88,13.5,13.5001,1375
4,13.633,13.633,13.633,13.633,500
5,13.561,13.5645,13.561,13.5645,1000
6,13.1734,13.7,13.1734,13.7,700
8,13.78,13.78,13.69,13.69,1300
10,13.7649,13.78,13.7649,13.765,2239
11,13.74,13.78,13.74,13.765,2988
13,13.44,13.74,13.4301,13.74,600
14,13.5,13.5,13.4435,13.465,1200
15,13.66,13.66,13.66,13.66,100
16,13.4444,13.7,13.4444,13.7,350
18,13.48,13.88,13.48,13.7,1400
19,13.7,13.88,13.7,13.82,700
20,13.72,13.72,13.72,13.72,100
21,13.565,13.88,13.54,13.88,4400
23,13.715,13.715,13.715,13.715,800
24,13.55,13.715,13.55,13.715,2300
26,13.88,13.88,13.88,13.88,100
27,13.88,13.88,13.715,13.715,1000
28,13.88,13.88,13.715,13.715,900
29,13.715,13.83,13.715,13.83,200
30,13.88,13.88,13.715,13.88,1200
31,13.88,13.88,13.55,13.715,2000
32,13.88,13.88,13.88,13.88,100
33,13.8,13.8,13.55,13.715,1800
34,13.69,13.8,13.69,13.8,1100
35,13.8,13.8,13.745,13.745,700
36,13.8,13.8,13.69,13.745,2476
37,13.8,13.8,13.745,13.7999,2800
38,13.77,13.8,13.69,13.8,3500
39,13.78,13.88,13.7,13.88,5977
432,13.88,13.88,13.88,13.88,209
433,13.7,13.7,13.7,13.7,100
434,13.795,13.795,13.795,13.795,500
435,13.88,13.88,13.795,13.795,1400
