EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,25.61,25.61,25.61,25.61,250
11,25.61,25.61,25.61,25.61,190
12,25.5924,25.5924,25.5924,25.5924,200
149,25.5,25.5,25.36,25.5,700
154,25.3521,25.3521,25.3521,25.3521,200
155,25.5317,25.5317,25.5317,25.5317,600
297,25.53,25.53,25.53,25.53,200
300,25.53,25.53,25.53,25.53,111
302,25.53,25.53,25.53,25.53,100
449,25.5091,25.5091,25.5091,25.5091,200
461,25.59,25.59,25.59,25.59,100
867,25.5,25.5,25.5,25.5,200
868,25.71,25.71,25.6325,25.6325,268
878,25.42,25.42,25.42,25.42,100
879,25.6519,25.69,25.6519,25.69,600
884,25.42,25.42,25.42,25.42,100
888,25.6,25.6,25.6,25.6,200
890,25.42,25.46,25.42,25.46,200
903,25.6,25.6,25.6,25.6,200
a1493736000,25.55,25.55,25.55,25.55,1200
7,25.68,25.68,25.62,25.62,300
11,25.55,25.55,25.55,25.55,600
14,25.5,25.5,25.5,25.5,333
17,25.59,25.59,25.59,25.59,100
27,25.55,25.55,25.55,25.55,200
31,25.5833,25.5833,25.51,25.51,350
149,25.595,25.595,25.595,25.595,400
165,25.61,25.61,25.61,25.61,570
170,25.43,25.51,25.42,25.51,951
171,25.43,25.43,25.43,25.43,449
172,25.42,25.44,25.41,25.41,700
173,25.4,25.43,25.35,25.42,1088
174,25.5289,25.53,25.5289,25.53,200
308,25.36,25.36,25.36,25.36,111
318,25.53,25.53,25.53,25.53,100
319,25.4989,25.4989,25.36,25.36,200
449,25.49,25.49,25.46,25.46,1000
858,25.35,25.3721,25.35,25.3721,225
866,25.36,25.36,25.36,25.36,200
867,25.455,25.455,25.455,25.455,200
884,25.3621,25.3621,25.3621,25.3621,200
887,25.4446,25.4446,25.4446,25.4446,100
888,25.4616,25.4616,25.4616,25.4616,100
893,25.4799,25.4799,25.46,25.46,1000
a1494336600,25.41,25.41,25.41,25.41,100
3,25.46,25.46,25.45,25.4599,1000
4,25.45,25.45,25.45,25.45,100
6,25.46,25.46,25.45,25.45,800
9,25.4758,25.4758,25.4758,25.4758,500
20,25.46,25.46,25.46,25.46,100
30,25.474,25.48,25.474,25.48,227
34,25.52,25.52,25.52,25.52,100
38,25.4801,25.4801,25.4801,25.4801,100
161,25.48,25.48,25.48,25.48,700
171,25.46,25.46,25.46,25.46,200
173,25.47,25.47,25.47,25.47,101
174,25.47,25.47,25.47,25.47,199
178,25.3701,25.3701,25.3701,25.3701,500
181,25.48,25.48,25.48,25.48,1000
182,25.48,25.48,25.48,25.48,1323
321,25.55,25.55,25.55,25.55,599
450,25.6055,25.68,25.6055,25.68,385
467,25.635,25.635,25.635,25.635,900
a1494947400,25.5383,25.5383,25.5383,25.5383,100
144,25.585,25.585,25.585,25.585,100
152,25.5727,25.5727,25.5727,25.5727,130
172,25.6556,25.6556,25.6556,25.6556,300
306,25.382,25.382,25.382,25.382,560
307,25.4483,25.4483,25.4483,25.4483,280
315,25.65,25.65,25.65,25.65,100
317,25.6672,25.6672,25.6672,25.6672,147
858,25.66,25.66,25.66,25.66,200
876,25.4955,25.5,25.49,25.49,2100
879,25.5,25.5,25.5,25.5,1000
880,25.535,25.535,25.535,25.535,1000
881,25.5,25.5,25.5,25.5,1150
887,25.5114,25.5114,25.5114,25.5114,595
a1495558800,25.5865,25.5865,25.5865,25.5865,200
136,25.65,25.65,25.57,25.57,500
137,25.6999,25.6999,25.69,25.69,551
157,25.5397,25.5397,25.5397,25.5397,133
160,25.531,25.531,25.531,25.531,1000
306,25.6089,25.6089,25.6089,25.6089,100
415,25.4168,25.4168,25.4168,25.4168,197
421,25.548,25.548,25.548,25.548,300
428,25.4613,25.4613,25.46,25.46,346
429,25.51,25.51,25.51,25.51,200
450,25.68,25.68,25.68,25.68,100
a1496170200,25.4501,25.46,25.45,25.46,1000
3,25.68,25.68,25.68,25.68,200
7,25.58,25.58,25.58,25.58,100
118,25.4701,25.4701,25.4701,25.4701,172
121,25.6093,25.61,25.6093,25.61,300
124,25.49,25.49,25.49,25.49,100
126,25.5916,25.5916,25.5916,25.5916,100
260,25.5496,25.5496,25.5496,25.5496,145
261,25.5499,25.5499,25.5032,25.5032,525
275,25.5455,25.55,25.53,25.53,1800
279,25.5501,25.5501,25.5501,25.5501,200
421,25.6,25.6,25.6,25.6,328
423,25.6001,25.6001,25.6001,25.6001,300
433,25.6,25.6163,25.6,25.6163,900
436,25.6,25.6,25.6,25.6,200
437,25.6,25.6,25.6,25.6,200
841,25.6,25.6069,25.6,25.6,469
843,25.5001,25.5001,25.5001,25.5001,109
846,25.54,25.54,25.54,25.54,300
850,25.5398,25.54,25.5398,25.54,200
852,25.6299,25.6299,25.6299,25.6299,200
862,25.59,25.59,25.59,25.59,200
977,25.48,25.51,25.48,25.51,1090
979,25.48,25.48,25.47,25.47,2000
980,25.51,25.5408,25.48,25.5408,2750
983,25.48,25.48,25.48,25.48,200
984,25.5005,25.5005,25.5,25.5,1800
991,25.4789,25.4789,25.4216,25.44,500
993,25.472,25.472,25.472,25.472,300
997,25.421,25.421,25.421,25.421,500
998,25.4556,25.47,25.4,25.4,2925
a1496779200,25.42,25.42,25.42,25.42,200
116,25.38,25.38,25.38,25.38,100
121,25.37,25.38,25.37,25.38,1000
125,25.37,25.42,25.37,25.39,1578
126,25.3001,25.3001,25.3001,25.3001,600
130,25.3418,25.3418,25.3418,25.3418,400
132,25.33,25.36,25.33,25.36,1100
133,25.4099,25.4099,25.4099,25.4099,175
139,25.371,25.3763,25.3505,25.3505,950
257,25.3619,25.3619,25.3619,25.3619,158
279,25.4,25.4,25.4,25.4,1604
282,25.41,25.41,25.4,25.4,500
288,25.395,25.395,25.395,25.395,150
393,25.37,25.37,25.37,25.37,200
403,25.37,25.37,25.37,25.37,296
404,25.3954,25.3954,25.3954,25.3954,350
411,25.398,25.398,25.398,25.398,800
419,25.41,25.41,25.41,25.41,100
420,25.41,25.41,25.41,25.41,700
421,25.41,25.41,25.41,25.41,1110
834,25.351,25.351,25.351,25.351,300
857,25.46,25.46,25.46,25.46,100
858,25.5,25.5,25.5,25.5,100
864,25.43,25.43,25.43,25.43,100
979,25.37,25.37,25.37,25.37,600
983,25.4,25.4,25.3899,25.3899,447
a1497382800,25.4,25.42,25.4,25.42,700
1,25.38,25.4,25.38,25.4,1300
2,25.44,25.44,25.39,25.39,1100
108,25.35,25.35,25.35,25.35,100
109,25.25,25.25,25.25,25.25,400
111,25.31,25.31,25.31,25.31,200
113,25.31,25.31,25.3009,25.31,1200
114,25.25,25.3,25.25,25.3,1950
117,25.25,25.25,25.25,25.25,200
118,25.25,25.2501,25.25,25.25,598
119,25.2499,25.25,25.2499,25.25,1000
123,25.25,25.25,25.24,25.24,500
127,25.29,25.29,25.27,25.2701,2200
129,25.22,25.22,25.22,25.22,500
132,25.25,25.25,25.25,25.25,448
134,25.3011,25.3011,25.3011,25.3011,200
135,25.25,25.25,25.25,25.25,250
136,25.31,25.31,25.25,25.25,2450
137,25.25,25.31,25.25,25.31,800
141,25.3299,25.3299,25.3299,25.3299,500
146,25.23,25.24,25.23,25.24,1200
265,25.2972,25.2972,25.2972,25.2972,100
272,25.265,25.3,25.265,25.29,1400
290,25.3,25.3,25.3,25.3,100
399,25.25,25.2525,25.25,25.2525,1000
401,25.21,25.22,25.21,25.22,600
409,25.2,25.2,25.1999,25.1999,500
412,25.2,25.2,25.1999,25.1999,260
413,25.2,25.2,25.19,25.19,700
419,25.25,25.25,25.19,25.2,1000
427,25.23,25.23,25.23,25.23,800
829,25.206,25.206,25.1724,25.1724,200
833,25.201,25.2559,25.201,25.25,3000
834,25.19,25.19,25.19,25.19,500
835,25.2438,25.25,25.2399,25.24,3053
838,25.2447,25.25,25.2447,25.25,1894
840,25.25,25.25,25.248,25.248,1000
842,25.2484,25.2484,25.2484,25.2484,165
843,25.249,25.25,25.249,25.25,1906
845,25.25,25.25,25.25,25.25,100
847,25.24,25.24,25.24,25.24,100
861,25.25,25.25,25.208,25.25,2800
