EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,49.74,49.74,49.72,49.72,14903
1,50.31,50.33,49.66,49.72,55089
2,50.43,50.44,50.22,50.35,46191
3,50.26,50.42,50.23,50.4025,59472
4,50.4,50.55,50.27,50.27,42258
5,50.11,50.37,50.08,50.37,30895
6,49.92,50.11,49.81,50.11,25373
7,49.8,49.98,49.72,49.97,12781
8,49.878,49.94,49.76,49.76,9707
9,50.07,50.11,49.91,49.91,32789
10,50.1,50.2,50.05,50.08,16479
11,50.07,50.17,50.03,50.11,15086
12,50.02,50.08,49.99,50.07,21113
13,49.995,50.05,49.96,50.04,28311
14,50.13,50.15,49.97,49.97,21411
15,50.09,50.26,50.05,50.12,7611
16,50.23,50.24,50.1,50.1,7004
17,50.16,50.25,50.11,50.21,9900
18,50.125,50.19,50.0901,50.17,8538
19,50.13,50.1434,50.0566,50.1,14389
20,50.22,50.24,50.1129,50.1129,6800
21,50.18,50.26,50.11,50.25,6300
22,50.1967,50.25,50.18,50.18,6393
23,50.19,50.22,50.15,50.2,9746
24,50.2037,50.24,50.1683,50.18,7808
25,50.15,50.21,50.15,50.18,5642
26,50.12,50.139,50.08,50.13,4894
27,50.11,50.16,50.085,50.13,8690
28,50.06,50.13,50,50.11,9782
29,50.09,50.11,50,50.06,16110
30,50.07,50.13,50.07,50.08,5602
31,49.99,50.11,49.99,50.09,14274
32,49.8901,50.01,49.89,49.98,11704
33,49.81,49.92,49.76,49.91,11679
34,49.89,49.93,49.82,49.84,10781
35,49.85,49.94,49.85,49.88,8251
36,49.92,49.9425,49.8536,49.86,15805
37,49.85,49.92,49.8,49.92,20063
38,49.79,49.845,49.75,49.845,30990
39,49.75,49.8,49.72,49.795,107393
144,50.27,50.27,50.23,50.23,7101
145,50.37,50.57,50.22,50.22,27754
146,50.58,50.5899,50.27,50.37,7936
147,50.45,50.5,50.35,50.49,23659
148,50.36,50.51,50.34,50.46,59125
149,50.21,50.3725,50.18,50.3725,15325
150,50.23,50.29,50.19,50.23,29590
151,49.97,50.23,49.97,50.23,83637
152,49.9,49.98,49.86,49.97,7087
153,49.87,50,49.84,49.89,4365
154,49.95,50.04,49.86,49.86,11000
155,50.08,50.08,49.93,49.97,24232
156,49.95,50.07,49.9156,50.07,22561
157,49.89,49.97,49.83,49.93,7318
158,49.79,49.867,49.7705,49.86,11248
159,49.78,49.8,49.72,49.8,4880
160,49.75,49.7899,49.74,49.74,7692
161,49.83,49.85,49.7,49.77,18894
162,49.85,49.91,49.85,49.85,25460
163,49.68,49.83,49.62,49.83,6946
164,49.6921,49.74,49.61,49.64,7443
165,49.7,49.73,49.65,49.68,5705
166,49.6565,49.72,49.63,49.66,10811
167,49.73,49.76,49.67,49.67,24532
168,49.63,49.8,49.63,49.77,5628
169,49.591,49.67,49.58,49.64,12836
170,49.62,49.67,49.61,49.64,24299
171,49.63,49.64,49.6,49.63,10649
172,49.68,49.7,49.62,49.64,16402
173,49.74,49.75,49.65,49.67,33713
174,49.68,49.75,49.66,49.75,18456
175,49.74,49.74,49.68,49.68,5330
176,49.64,49.73,49.6,49.72,8265
177,49.56,49.61,49.55,49.61,12153
178,49.58,49.6,49.54,49.55,8727
179,49.48,49.58,49.45,49.58,20010
180,49.44,49.5,49.44,49.48,27191
181,49.38,49.45,49.38,49.435,25357
182,49.36,49.4,49.315,49.39,28528
183,49.31,49.37,49.3,49.35,89793
288,49.22,49.22,49.22,49.22,3227
289,49.57,49.62,49.05,49.05,8890
290,49.83,49.84,49.55,49.57,6692
291,49.59,49.8399,49.53,49.83,9070
292,49.69,49.77,49.56,49.56,11400
293,49.71,49.79,49.6,49.68,6100
294,49.75,49.75,49.62,49.69,13417
295,49.73,49.82,49.66,49.75,7768
296,49.77,49.8,49.6636,49.75,17118
297,49.8599,49.87,49.76,49.7699,28290
298,49.82,49.88,49.75,49.845,14115
299,49.92,49.92,49.76,49.8,7048
300,50.226,50.26,49.88,49.89,24050
301,50.1522,50.28,50.1,50.2,14976
302,49.82,50.12,49.82,50.12,13638
303,50.04,50.04,49.81,49.84,6549
304,50.08,50.11,49.98,50.01,8568
305,50.21,50.22,50.045,50.045,7880
306,50.12,50.235,50.12,50.21,7786
307,50.165,50.165,50.1,50.1,3300
308,50.2035,50.32,50.155,50.18,8148
309,50.34,50.41,50.205,50.23,4884
310,50.39,50.44,50.27,50.35,12612
311,50.51,50.51,50.39,50.45,6364
312,50.39,50.51,50.38,50.48,6987
313,50.44,50.48,50.3,50.38,5575
314,50.27,50.49,50.26,50.46,5850
315,50.24,50.41,50.2,50.3,5739
316,50.14,50.22,50.03,50.22,7387
317,50.1729,50.25,50.13,50.13,8653
318,50.22,50.24,50.11,50.11,16068
319,50.33,50.37,50.14,50.17,13200
320,50.36,50.43,50.34,50.36,16668
321,50.2,50.38,50.19,50.37,19080
322,50.22,50.26,50.18,50.2,20535
323,50.13,50.29,50.13,50.21,21597
324,50.265,50.265,50.1,50.14,12876
325,50.07,50.27,50.07,50.26,21052
326,49.98,50.1,49.971,50.06,27257
327,49.84,49.99,49.8,49.985,125708
432,50.02,50.02,50.02,50.02,4620
433,49.82,49.97,49.77,49.8754,2972
434,49.69,49.82,49.62,49.68,15100
435,49.36,49.79,49.36,49.72,15120
436,49.21,49.43,49.17,49.38,8882
437,49.43,49.45,49.19,49.2,7707
438,49.1065,49.41,49.07,49.41,19643
439,49.06,49.13,49,49.11,17694
440,48.84,49.1,48.83,49.09,8794
441,48.72,48.8269,48.6,48.8269,26800
442,48.74,48.86,48.68,48.71,11010
443,48.84,48.8999,48.71,48.75,8241
444,48.77,48.9,48.74,48.86,11873
445,48.62,48.7699,48.61,48.7699,5666
446,48.55,48.66,48.55,48.63,12306
447,48.65,48.65,48.5,48.57,11406
448,48.75,48.8,48.6,48.63,19635
449,48.761,48.86,48.75,48.79,23288
450,48.73,48.78,48.67,48.75,5657
451,48.79,48.79,48.72,48.72,1900
452,48.82,48.88,48.81,48.81,6644
453,48.965,48.98,48.83,48.86,5950
454,48.8548,48.989,48.81,48.97,6595
455,48.83,48.92,48.82,48.87,3950
456,48.9,48.9,48.8366,48.8366,2400
457,48.8884,48.9,48.82,48.89,4002
458,48.81,48.9,48.81,48.87,5885
459,48.825,48.86,48.8,48.8226,5836
460,48.76,48.83,48.74,48.81,5786
461,48.865,48.87,48.77,48.77,6138
462,48.87,48.88,48.8268,48.88,12962
463,49.02,49.03,48.87,48.88,22246
464,49.0113,49.05,48.97,49.01,13374
465,49.06,49.06,48.99,49.02,17067
466,48.99,49.055,48.99,49.055,15147
467,49.07,49.08,48.99,48.99,8227
468,49.01,49.11,49,49.055,11056
469,48.87,49.01,48.83,49,14973
470,48.84,48.93,48.84,48.87,16140
471,48.83,48.85,48.78,48.85,87572
576,49.19,49.19,48.9,48.9,9556
577,48.55,48.91,48.5,48.91,18743
578,48.85,48.88,48.45,48.52,16569
579,48.81,48.92,48.77,48.84,14450
580,48.843,48.89,48.76,48.79,17123
581,48.775,48.92,48.775,48.87,11209
582,48.7259,48.75,48.58,48.75,7499
583,48.62,48.73,48.55,48.73,6682
584,48.49,48.67,48.39,48.58,4830
585,48.47,48.52,48.3875,48.45,9932
586,48.31,48.51,48.26,48.45,15316
587,48.21,48.305,48.11,48.2928,13000
588,48.11,48.202,48.07,48.2,16541
589,48.13,48.16,48.11,48.13,5808
590,48.005,48.16,47.95,48.1399,17693
591,47.98,48.09,47.98,47.9901,10411
592,48.16,48.16,48.0044,48.0044,5994
593,48.17,48.25,48.12,48.19,8366
594,48.08,48.15,48.07,48.1396,6571
595,48.02,48.085,48.01,48.085,3725
596,48.02,48.07,47.98,48.01,33685
597,48.12,48.12,48,48.0265,5200
598,48.12,48.2,48.08,48.1,6338
599,48.03,48.1899,48.03,48.15,10654
600,48.03,48.06,48,48.035,7265
601,48.055,48.06,48,48.02,9703
602,47.97,48.04,47.93,48.04,51179
603,47.935,47.99,47.92,47.97,18297
604,47.83,47.94,47.83,47.92,15272
605,47.8,47.85,47.75,47.83,10232
