EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,24.45,24.45,24.45,24.45,261
2,23.6364,23.6364,23.6364,23.6364,171
4,24.5,24.7,24.5,24.7,200
5,24.55,24.55,24.55,24.55,100
6,24.45,24.5,24.45,24.5,200
8,24.55,24.55,24.45,24.45,300
9,24.35,24.5375,24.35,24.5,800
10,24.6499,24.6499,24.55,24.55,300
11,24.55,24.65,24.4501,24.4501,400
13,24.45,24.45,24.45,24.45,300
14,24.55,24.6,24.55,24.6,200
15,24.55,24.55,24.55,24.55,200
17,24.65,24.65,24.65,24.65,100
18,24.55,24.55,24.55,24.55,200
19,24.5,24.55,24.5,24.55,200
20,24.45,24.65,24.45,24.65,200
21,24.45,24.45,24.45,24.45,100
22,24.45,24.45,24.4,24.4,200
23,24.35,24.35,24.35,24.35,100
25,24.35,24.35,24.15,24.35,800
26,24.25,24.25,24.2,24.2,500
27,24.5,24.5,24.1,24.1,700
30,24.45,24.7,24.45,24.7,200
31,24.45,24.45,24.45,24.45,200
32,24.45,24.45,24.45,24.45,100
33,24.4,24.45,24.4,24.45,200
34,24.35,24.35,24.35,24.35,100
35,24.35,24.4,24.35,24.4,200
36,24.4,24.4,24.4,24.4,100
37,24.35,24.35,24.35,24.35,200
38,24.35,24.35,24.3,24.35,500
39,24.25,24.3,24.15,24.15,2625
144,24.35,24.35,24.35,24.35,100
145,24.15,24.15,24.1,24.1,222
147,24.475,24.475,24.475,24.475,100
149,24.85,24.85,24.85,24.85,100
150,24.8,24.8,24.8,24.8,300
151,24.925,24.925,24.85,24.85,300
152,24.65,25.075,24.65,24.95,1400
153,24.6,24.75,24.15,24.7,9025
156,24.75,24.75,24.6,24.6,300
157,24.95,25.05,24.95,25.05,600
158,25.05,25.05,24.95,24.95,300
159,25.1,25.1,25.05,25.05,588
160,25.499,25.499,25.2,25.2,700
161,25.35,25.7,25.35,25.65,1600
162,25.5,25.6,25.5,25.6,600
163,25.6,25.6,25.6,25.6,100
164,25.6,25.6,25.6,25.6,320
167,25.6625,25.7,25.6625,25.7,400
169,25.65,25.65,25.65,25.65,300
170,25.6,25.6,25.6,25.6,100
171,25.6,25.675,25.6,25.675,300
172,25.55,25.6,25.5,25.6,500
173,25.4501,25.4501,25.45,25.45,493
174,25.6,25.6,25.6,25.6,500
175,25.6,25.65,25.6,25.65,900
176,25.6,25.65,25.6,25.65,1200
177,25.6,25.6,25.6,25.6,300
178,25.6,25.65,25.55,25.6,1600
179,25.6,25.6,25.6,25.6,100
180,25.475,25.6,25.301,25.6,1200
181,25.35,25.35,25.35,25.35,200
182,25.3,25.4999,25.3,25.4,400
183,25.3,25.4,25.15,25.4,6090
288,25.45,25.45,25.45,25.45,255
290,25.4,25.4,25.4,25.4,100
291,25.35,25.35,25.3,25.3,200
295,25.3,25.3,25.3,25.3,100
298,25.4499,25.4499,25.4499,25.4499,100
305,25.375,25.4499,25.25,25.4499,700
310,25.25,25.25,25.25,25.25,215
311,25.2,25.375,25.2,25.25,600
312,25.25,25.25,25.08,25.08,300
314,25.3,25.3,25.2,25.2,600
315,25.4,25.4,25.3685,25.3685,400
318,25.45,25.45,25.45,25.45,100
319,25.35,25.35,25.35,25.35,100
320,25.4,25.45,25.4,25.45,400
321,25.4,25.4,25.4,25.4,100
322,25.45,25.45,25.45,25.45,400
323,25.7,25.7,25.5,25.5,1162
324,25.75,25.75,25.75,25.75,100
325,25.6,25.65,25.6,25.65,900
326,25.6,25.65,25.55,25.55,502
327,25.6,25.65,25.5,25.65,3937
433,25.3,25.3,25.2,25.2,300
434,25.85,25.85,25.85,25.85,100
435,25.55,25.65,25.55,25.65,400
436,25.55,25.55,25.55,25.55,300
440,25.6156,25.6156,25.6156,25.6156,100
443,25.65,25.65,25.65,25.65,900
444,25.75,25.75,25.75,25.75,100
456,25.75,25.75,25.75,25.75,400
457,25.7,25.7001,25.7,25.7001,300
459,25.65,25.65,25.55,25.6,300
464,25.65,25.65,25.65,25.65,100
465,25.75,25.75,25.575,25.575,200
466,25.8,25.8,25.8,25.8,100
469,25.75,25.8,25.75,25.75,3800
470,25.7985,25.8,25.7985,25.8,240
471,25.65,25.75,25.5,25.75,4921
866,25.45,25.45,25,25.35,1400
867,25.45,25.8737,25.45,25.594,1100
868,25.3,25.45,25.1,25.45,1300
869,25.525,25.64,25.3,25.3,1000
870,25.4,25.55,25.3,25.55,400
871,25.2,25.2,25.05,25.2,300
872,25.05,25.05,25.05,25.05,100
873,25,25,25,25,100
874,25.05,25.0838,25.05,25.0838,362
875,25.0501,25.0501,25.0501,25.0501,399
876,25.05,25.2,25.05,25.2,300
878,25.125,25.125,25.0876,25.0876,395
879,25.05,25.05,25.05,25.05,100
881,25.2,25.2,25.05,25.05,200
882,25.05,25.05,25.05,25.05,200
888,25.1,25.2,25.1,25.125,300
890,25.15,25.15,25.15,25.15,100
891,25.05,25.2,25.05,25.2,800
894,24.6,24.85,24.5,24.85,700
895,24.8,24.8,24.8,24.8,100
896,24.6,24.7,24.6,24.7,1400
897,24.45,24.6,24.35,24.6,1100
898,24.55,24.575,24.35,24.45,400
899,24.4,24.4,24.4,24.4,100
900,24.55,24.55,24.4,24.4,400
901,24.0999,24.4,23.95,24.4,800
902,23.65,23.95,23.65,23.95,799
903,24.1,24.2,23.85,23.85,2470
a1493731800,24.2,24.2,24.2,24.2,224
1,24.3499,24.3499,24.3,24.3,200
6,23.85,23.85,23.8,23.8,300
7,23.5512,23.5512,23.5512,23.5512,300
9,23.65,23.9,23.65,23.9,200
10,23.75,23.75,23.65,23.65,1059
11,23.8,23.8,23.8,23.8,100
13,24.05,24.05,24.05,24.05,100
14,23.85,23.85,23.85,23.85,100
15,23.9,23.9,23.9,23.9,100
16,23.95,23.95,23.95,23.95,100
17,23.85,23.95,23.85,23.95,300
18,23.9,23.9,23.9,23.9,844
19,23.8,24.05,23.8,24.05,400
21,24.05,24.05,23.85,23.85,1600
23,24.05,24.05,23.95,23.95,1100
24,23.95,23.95,23.95,23.95,100
25,24.15,24.15,24.15,24.15,100
26,23.95,24.05,23.9,24.05,1022
27,24,24,23.9,23.9,200
28,24,24,24,24,100
29,24,24.15,24,24.15,200
30,24.35,24.35,24.35,24.35,100
31,24.2,24.2,24.2,24.2,100
34,24.1,24.3,24.1,24.1,300
35,24.2,24.2,24.2,24.2,100
36,24.3,24.3,24.3,24.3,100
37,24.3,24.3,24.3,24.3,100
38,24.25,24.4,24.25,24.4,200
39,24.35,24.5,24.25,24.25,2037
144,24.1,24.1,24.1,24.1,228
145,24.1,24.1,24.1,24.1,250
149,24.114,24.114,24.1001,24.114,2000
151,24.59,24.59,24.15,24.15,200
152,25.2,25.2,25.2,25.2,100
154,24.1,24.25,24.1,24.25,500
155,24.2,24.2,24.1,24.1,500
156,24.25,24.35,24.25,24.35,200
157,24.15,24.15,24.15,24.15,100
158,24.225,24.3,24.15,24.3,400
160,24.15,24.3,24.15,24.3,300
161,24.15,24.15,24.15,24.15,100
162,24.25,24.25,24.1,24.1,200
163,24.175,24.175,24.175,24.175,100
164,24.25,24.25,24.25,24.25,100
165,24.25,24.25,24.25,24.25,100
166,24.2,24.2,24.2,24.2,200
167,24.3,24.3,24.3,24.3,100
168,24.175,24.175,24.15,24.15,200
169,24.25,24.25,24.25,24.25,100
171,24.05,24.1,24.05,24.1,630
172,24.05,24.05,24.05,24.05,700
174,24.1,24.1,24.1,24.1,200
175,24.05,24.05,24.05,24.05,200
176,24.1,24.1,24.05,24.05,200
177,24.25,24.25,24.25,24.25,300
179,24.5,24.5,24.5,24.5,200
180,24.45,24.5,24.4,24.5,700
181,24.45,24.45,24.45,24.45,200
182,24.65,24.65,24.5,24.55,300
183,24.7,24.7,24.45,24.6,5238
288,24.7,24.7,24.7,24.7,221
293,24.6,24.6,24.3,24.3,300
301,24.2,24.2,24.2,24.2,100
303,24.2,24.2,24.2,24.2,100
304,24.125,24.125,24.125,24.125,200
305,24.05,24.05,24.05,24.05,300
306,23,24,22.85,24,2900
