EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127600,1.05,1.05,1.05,1.05,200
1,1.05,1.05,1.05,1.05,300
2,1.05,1.05,1.05,1.05,200
3,1.05,1.05,1.05,1.05,300
4,1.05,1.05,1.05,1.05,200
5,1.05,1.05,1.05,1.05,200
6,1.05,1.05,1.05,1.05,200
7,1.05,1.05,1.05,1.05,200
8,1.05,1.05,1.05,1.05,400
9,1.05,1.05,1.05,1.05,100
10,1,1.05,1,1.05,7613
14,1,1,1,1,100
15,0.95,0.95,0.95,0.95,100
17,0.95,0.9924,0.95,0.9924,1100
20,0.95,0.95,0.95,0.95,100
37,0.9915,0.9915,0.975,0.975,1000
38,0.975,1,0.95,0.995,5210
144,0.9951,0.9951,0.95,0.95,976
148,0.95,0.95,0.95,0.95,134
149,0.95,0.95,0.95,0.95,1400
152,0.95,0.95,0.95,0.95,200
166,1.05,1.08,1,1,828
167,1.13,1.13,1.02,1.03,18001
168,1.03,1.05,1.03,1.05,300
172,1,1.06,1,1.03,16550
173,1,1,1,1,210
175,0.9952,0.9952,0.9952,0.9952,990
179,1,1,1,1,3000
181,1,1,0.9999,0.9999,1900
289,0.9535,0.9535,0.9535,0.9535,500
290,0.9507,1.0236,0.95,0.95,8992
301,0.95,0.95,0.95,0.95,768
436,0.95,0.95,0.95,0.95,2398
442,1,1,1,1,200
446,1,1,1,1,100
451,1.0001,1.0001,1.0001,1.0001,192
452,1,1,1,1,700
454,1.034,1.034,1.034,1.034,1000
467,1,1.0001,1,1,900
468,1.0001,1.0001,1.0001,1.0001,200
902,1,1.03,1,1,5000
a1493737200,1,1,1,1,100
21,1,1,1,1,5200
24,1,1,1,1,2600
30,1,1,1,1,211
137,1.0489,1.0489,1.0465,1.0465,700
139,1,1,1,1,100
142,1.05,1.05,1.04,1.04,3126
163,1.09,1.09,1.09,1.09,300
173,1.05,1.05,1.05,1.05,600
287,1.0001,1.0001,1,1,476
309,1.05,1.05,1.0465,1.0465,10000
310,1.05,1.05,1.0499,1.0499,10730
312,1.02,1.02,1.02,1.02,200
314,1,1.05,1,1.021,13183
317,1,1.03,1,1.03,3300
318,1.01,1.0499,1.01,1.0499,1500
427,1.01,1.01,1.01,1.01,100
434,1.05,1.05,1.03,1.03,7600
446,1.0015,1.0015,1.0015,1.0015,100
451,1.0035,1.0035,1.0035,1.0035,265
456,1.02,1.05,1.02,1.035,700
858,1.02,1.02,1.02,1.02,200
859,1,1.02,1,1.02,490
860,1,1,1,1,300
861,1,1,1,1,300
862,1,1,1,1,200
863,1,1,1,1,300
864,1,1,1,1,300
865,1,1,1,1,200
866,1,1,1,1,300
867,1,1,1,1,200
868,1,1,1,1,200
869,1,1,1,1,300
870,1,1,1,1,200
871,1,1,1,1,200
872,1,1,1,1,200
873,1,1,1,1,200
874,1,1,1,1,200
875,1,1,1,1,100
876,1,1,1,1,200
877,1,1,1,1,200
878,1,1,1,1,200
879,1,1,1,1,100
880,1,1,1,1,200
881,1,1,1,1,200
882,1,1,1,1,200
883,1,1,1,1,200
884,1,1,1,1,200
885,1,1,1,1,200
886,1.01,1.01,1.01,1.01,100
892,1.0001,1.0001,1.0001,1.0001,125
893,1.005,1.01,1,1,800
894,1,1.01,1,1,1683
a1494339000,1.05,1.05,1.05,1.05,100
35,1.05,1.05,1.05,1.05,100
141,1.0127,1.0127,1.0127,1.0127,574
144,1,1,1,1,100
145,1.0001,1.0001,1.0001,1.0001,1800
146,1.0125,1.0125,1.0125,1.0125,1279
164,1.02,1.02,1.0001,1.0001,446
165,1.05,1.05,1.0478,1.05,5658
288,1.09,1.09,1.09,1.09,100
289,1.13,1.13,1.13,1.13,100
291,1.1,1.1,1.1,1.1,100
294,1.14,1.14,1.14,1.14,100
295,1.1,1.15,1.1,1.1,5396
300,1.1,1.1,1.1,1.1,100
302,1.1,1.1,1.1,1.1,100
304,1.1,1.1,1.1,1.1,100
306,1.1,1.1,1.1,1.1,100
310,1.15,1.15,1.15,1.15,100
312,1.15,1.15,1.15,1.15,100
314,1.15,1.15,1.15,1.15,100
315,1.15,1.15,1.15,1.15,100
317,1.15,1.15,1.15,1.15,100
323,1.1,1.1,1.1,1.1,1100
441,1.15,1.15,1.1493,1.1493,1100
458,1.1,1.1,1.1,1.1,194
467,1.15,1.15,1.1,1.1,5004
899,1.15,1.15,1.15,1.15,100
a1494956400,1.15,1.15,1.09,1.09,7788
1,1.15,1.15,1.075,1.08,32041
2,1.2,1.2,1.2,1.2,154
4,1.24,1.24,1.15,1.18,8688
5,1.2,1.2,1.2,1.2,100
8,1.2,1.2,1.2,1.2,100
14,1.25,1.25,1.25,1.25,100
136,1.13,1.2,1.13,1.2,200
151,1.15,1.15,1.15,1.15,200
152,1.15,1.15,1.15,1.15,1000
153,1.15,1.15,1.1499,1.1499,2100
154,1.15,1.15,1.1499,1.1499,1000
421,1.2,1.2,1.2,1.2,1500
423,1.1956,1.22,1.14,1.21,29350
424,1.14,1.17,1.14,1.17,12400
442,1.17,1.17,1.17,1.17,200
848,1.1633,1.1633,1.1633,1.1633,100
862,1.22,1.22,1.22,1.22,200
864,1.2001,1.2161,1.2001,1.2161,12500
987,1.15,1.15,1.15,1.15,580
988,1.24,1.2988,1.239,1.239,15000
989,1.2513,1.2513,1.2513,1.2513,100
991,1.24,1.24,1.2,1.2,1420
995,1.23,1.23,1.21,1.21,1279
a1495640400,1.22,1.22,1.16,1.17,16000
147,1.42,1.7,1.29,1.3,35296
148,1.425,1.52,1.39,1.43,21449
150,1.32,1.36,1.29,1.29,1346
153,1.3047,1.3047,1.3047,1.3047,400
156,1.25,1.25,1.25,1.25,200
165,1.27,1.27,1.2499,1.2499,2517
166,1.35,1.35,1.35,1.35,100
275,1.38,1.38,1.38,1.38,370
276,1.41,1.4199,1.41,1.4169,3255
281,1.34,1.39,1.34,1.39,1200
282,1.33,1.3399,1.33,1.3399,1300
306,1.351,1.351,1.351,1.351,3000
852,0.98,1.17,0.9515,1.17,11056
853,0.98,0.98,0.9784,0.9784,4907
854,1.1,1.1,1.1,1.1,1000
856,1.1,1.1,0.95,0.996,31100
858,1.16,1.16,1.16,1.16,150
863,1.18,1.19,1.18,1.19,3000
866,1.15,1.16,1.15,1.16,1880
867,1.16,1.16,1.16,1.16,300
874,1.15,1.15,1.15,1.15,2820
875,1.13,1.13,1.11,1.11,900
877,1.1,1.101,1.1,1.101,1467
879,1.11,1.11,1.11,1.11,3900
884,1.13,1.13,1.1186,1.1189,2500
885,1.1465,1.15,1.1465,1.15,1500
887,1.13,1.13,1.13,1.13,500
889,1.1943,1.1943,1.1943,1.1943,1000
890,1.29,1.29,1.29,1.29,300
996,1.1928,1.1928,1.1928,1.1928,100
a1496240400,1.3,1.43,1.29,1.29,37916
1,1.4,1.4,1.4,1.4,437
4,1.427,1.427,1.427,1.427,100
5,1.4,1.429,1.4,1.429,759
7,1.3843,1.3843,1.3843,1.3843,5000
8,1.36,1.36,1.36,1.36,1000
9,1.415,1.42,1.413,1.42,2200
11,1.43,1.43,1.4,1.4,900
12,1.35,1.35,1.35,1.35,100
16,1.36,1.36,1.36,1.36,100
17,1.4,1.4,1.4,1.4,400
23,1.4,1.4,1.4,1.4,1500
24,1.4,1.43,1.4,1.43,1489
25,1.444,1.444,1.42,1.42,250
26,1.4054,1.421,1.4,1.421,2294
32,1.46,1.47,1.43,1.47,2900
34,1.4581,1.4581,1.4581,1.4581,200
153,1.63,1.63,1.63,1.63,100
168,1.51,1.6,1.51,1.6,300
174,1.61,1.61,1.61,1.61,100
177,1.55,1.55,1.55,1.55,100
178,1.5,1.52,1.5,1.52,2053
290,1.55,1.6,1.3,1.58,17338
311,1.6175,1.6175,1.6175,1.6175,9441
316,1.5166,1.5166,1.5166,1.5166,130
317,1.52,1.52,1.52,1.52,200
322,1.3,1.4,1.3,1.35,700
715,1.3,1.3,1.3,1.3,355
716,1.3,1.3,1.29,1.29,1197
734,1.35,1.35,1.25,1.25,22848
735,1.36,1.37,1.36,1.37,9535
736,1.36,1.36,1.36,1.36,200
