EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,21.45,21.45,21.45,21.45,941
1,21.46,21.59,21.22,21.22,2300
2,21.45,21.67,21.45,21.54,2100
3,21.54,21.57,21.54,21.57,200
4,21.5,21.54,21.5,21.51,800
5,21.4501,21.4501,21.4501,21.4501,966
6,21.215,21.34,21.215,21.28,2811
7,21.26,21.26,21.26,21.26,100
8,21.17,21.26,21.17,21.26,1100
9,21.185,21.21,21.17,21.21,600
10,21.1701,21.26,21.1701,21.18,1300
11,21.19,21.19,21.15,21.15,300
12,21.17,21.17,21.17,21.17,100
13,21.16,21.17,21.13,21.17,1000
14,21.15,21.15,21.13,21.13,400
15,21.12,21.12,21.12,21.12,100
17,21.165,21.165,21.165,21.165,100
18,21.17,21.17,21.17,21.17,100
19,21.06,21.14,21.06,21.14,1200
20,21.07,21.15,21.07,21.1,600
21,21.12,21.13,21.11,21.13,587
22,21.0601,21.1,21.0601,21.1,200
23,21.13,21.13,21.13,21.13,100
26,21.12,21.18,21.12,21.13,1600
27,21.13,21.19,21.13,21.15,1800
28,21.18,21.22,21.09,21.13,14130
29,21.22,21.23,21.2001,21.23,300
30,21.24,21.24,21.21,21.22,1500
31,21.28,21.28,21.21,21.21,700
32,21.24,21.28,21.21,21.25,600
33,21.24,21.29,21.24,21.29,667
34,21.25,21.26,21.22,21.24,1700
35,21.18,21.21,21.18,21.2,1400
36,21.23,21.23,21.13,21.18,2500
37,21.18,21.2,21.1703,21.2,700
38,21.18,21.26,21.18,21.2,2400
39,21.23,21.25,21.2,21.21,7576
144,21.22,21.22,21.22,21.22,835
145,21.255,21.255,21.19,21.23,2306
147,21.47,21.52,21.46,21.48,1157
148,21.61,21.61,21.61,21.61,100
149,21.575,21.65,21.5101,21.5101,700
150,21.67,21.67,21.56,21.63,700
151,21.62,21.69,21.6,21.69,1214
152,21.63,21.66,21.555,21.66,1600
153,21.73,21.73,21.5701,21.59,500
154,21.6501,21.71,21.6501,21.71,400
155,21.71,21.74,21.65,21.65,1106
156,21.69,21.75,21.68,21.695,2900
157,21.61,21.7,21.61,21.7,900
158,21.59,21.6,21.56,21.6,800
159,21.58,21.58,21.4801,21.5201,700
160,21.465,21.56,21.42,21.52,900
161,21.49,21.49,21.43,21.47,1000
162,21.42,21.46,21.42,21.455,1000
163,21.38,21.48,21.38,21.4,1600
164,21.285,21.41,21.28,21.41,2600
165,21.31,21.36,21.29,21.29,700
166,21.4,21.4,21.36,21.36,600
167,21.41,21.45,21.41,21.42,300
168,21.43,21.44,21.4,21.44,500
169,21.44,21.46,21.42,21.42,700
170,21.33,21.42,21.33,21.42,500
171,21.39,21.4,21.38,21.4,500
172,21.38,21.405,21.3,21.37,2400
173,21.415,21.42,21.39,21.41,2300
174,21.4,21.425,21.37,21.39,1300
175,21.38,21.41,21.38,21.4,600
176,21.45,21.45,21.4,21.41,1200
177,21.44,21.44,21.43,21.43,300
178,21.42,21.46,21.42,21.43,1300
179,21.4101,21.47,21.41,21.44,1400
180,21.415,21.43,21.37,21.41,1500
181,21.37,21.4,21.3201,21.39,2400
182,21.3,21.36,21.27,21.36,2400
183,21.34,21.36,21.27,21.33,16052
288,21.39,21.39,21.39,21.39,900
289,21.35,21.37,21.24,21.24,700
290,21.25,21.3,21.25,21.3,700
291,21.25,21.43,21.25,21.4,3891
292,21.135,21.28,21.135,21.28,750
293,21.15,21.15,21.13,21.13,600
294,21.07,21.12,21.04,21.12,1128
295,21.04,21.07,21.04,21.07,600
296,21.09,21.13,21.04,21.04,600
297,21.1,21.12,21.05,21.09,900
298,21.12,21.12,21.1,21.1,800
299,21.15,21.15,21.14,21.14,400
300,21.15,21.2,21.15,21.16,1200
301,21.15,21.15,21.15,21.15,200
302,21.09,21.15,21.09,21.15,700
303,21.11,21.11,21.11,21.11,100
304,21.16,21.18,21.16,21.18,200
305,21.18,21.18,21.18,21.18,100
306,21.18,21.205,21.13,21.18,1100
307,21.18,21.2,21.18,21.2,600
308,21.26,21.26,21.24,21.24,400
309,21.23,21.26,21.21,21.26,600
310,21.23,21.24,21.2,21.2,1259
311,21.2,21.22,21.2,21.22,500
312,21.195,21.21,21.17,21.21,500
313,21.18,21.2,21.18,21.2,400
314,21.25,21.25,21.19,21.22,300
315,21.22,21.23,21.21,21.23,600
316,21.19,21.22,21.19,21.21,900
317,21.19,21.2099,21.17,21.2,5100
318,21.22,21.24,21.19,21.19,3600
319,21.26,21.265,21.21,21.21,1700
320,21.2801,21.29,21.24,21.265,1610
321,21.19,21.25,21.19,21.25,800
322,21.225,21.225,21.21,21.225,800
323,21.28,21.33,21.225,21.24,3259
324,21.37,21.37,21.3,21.3,1400
325,21.385,21.43,21.34,21.34,6200
326,21.42,21.42,21.39,21.4,1300
327,21.45,21.47,21.4,21.4,17282
432,21.39,21.39,21.39,21.39,1100
434,21.2,21.2,21.18,21.18,300
435,21.23,21.23,21.21,21.21,200
436,21.11,21.16,21.11,21.16,500
437,21.06,21.11,21.06,21.11,1200
438,20.895,21.04,20.895,21.03,1000
439,20.82,20.92,20.81,20.92,1200
440,20.8501,20.91,20.85,20.91,1000
441,20.99,20.99,20.91,20.915,8200
442,20.89,21.01,20.89,20.93,2500
443,20.73,20.89,20.73,20.85,1900
444,20.77,20.77,20.66,20.76,1934
445,20.74,20.81,20.665,20.72,2400
446,20.825,20.86,20.76,20.805,6600
447,20.77,20.85,20.77,20.85,1515
448,20.74,20.75,20.74,20.75,500
449,20.73,20.8,20.73,20.78,600
450,20.72,20.74,20.72,20.74,200
451,20.65,20.73,20.65,20.73,900
452,20.69,20.75,20.61,20.65,2300
453,20.57,20.6901,20.57,20.6901,2953
454,20.67,20.67,20.57,20.64,2200
455,20.66,20.69,20.63,20.67,1200
456,20.68,20.68,20.6,20.63,1000
457,20.64,20.66,20.59,20.64,2100
458,20.61,20.62,20.59,20.61,900
459,20.55,20.62,20.55,20.59,2700
460,20.43,20.56,20.43,20.55,2800
461,20.4,20.43,20.36,20.43,5799
462,20.375,20.41,20.375,20.4,1500
463,20.35,20.44,20.34,20.4,5819
464,20.35,20.36,20.33,20.33,1262
465,20.35,20.36,20.32,20.35,1200
466,20.4,20.4,20.32,20.32,6926
467,20.42,20.44,20.41,20.43,1600
468,20.44,20.5,20.42,20.42,2600
469,20.51,20.52,20.44,20.45,3801
470,20.52,20.52,20.47,20.48,7378
471,20.52,20.5599,20.48,20.53,25854
864,20.7,20.7,20.7,20.7,1521
865,20.52,20.6984,20.3,20.63,1927
866,20.5,20.62,20.5,20.57,15028
867,20.31,20.375,20.31,20.35,750
868,20.31,20.35,20.31,20.345,1600
869,20.3,20.3,20.3,20.3,300
870,20.29,20.3,20.25,20.3,999
871,20.3401,20.37,20.2508,20.26,4085
872,20.4,20.43,20.34,20.34,2079
873,20.39,20.43,20.39,20.43,2068
874,20.425,20.425,20.425,20.425,202
875,20.34,20.44,20.34,20.425,2748
876,20.32,20.34,20.29,20.34,1000
877,20.25,20.29,20.24,20.29,1100
878,20.2,20.25,20.2,20.25,1200
879,20.17,20.19,20.17,20.19,780
880,20.1701,20.21,20.17,20.17,1040
881,20.11,20.17,20.11,20.17,900
882,20.13,20.13,20.104,20.11,800
883,20.11,20.14,20.1001,20.11,707
884,20.07,20.09,20.06,20.08,1400
885,20.01,20.06,19.99,20.02,4700
886,20.06,20.06,20.01,20.01,200
887,20.07,20.1,20.06,20.06,1200
888,20.105,20.11,20.07,20.1,1891
889,20.08,20.12,20.07,20.12,1400
890,20.1,20.14,20.09,20.09,2806
891,20.105,20.12,20.07,20.09,2769
892,19.98,20.105,19.97,20.105,2685
893,20,20,19.93,19.93,500
894,20.07,20.07,20.05,20.05,300
895,20.06,20.06,20.04,20.045,313
896,20.03,20.1,20.03,20.1,500
897,20.09,20.09,20,20.03,800
898,20.07,20.13,20.07,20.08,1000
899,20.04,20.1,20,20.1,600
900,20.03,20.03,20.01,20.01,400
901,20.01,20.13,20.01,20.05,1912
902,20.11,20.15,20.02,20.02,3564
