EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,6.25,6.25,6.25,6.25,3818
1,6.23,6.291,6.19,6.25,10619
2,6.29,6.3,6.219,6.219,26565
3,6.2896,6.31,6.2819,6.3,4577
4,6.28,6.3,6.26,6.28,7164
5,6.2901,6.3,6.27,6.2899,8810
6,6.3,6.3,6.28,6.281,7226
7,6.27,6.31,6.27,6.295,8317
8,6.28,6.3,6.28,6.28,5380
9,6.21,6.31,6.21,6.29,42267
10,6.15,6.219,6.15,6.215,4424
11,6.19,6.19,6.15,6.15,2898
12,6.2,6.22,6.2,6.2,9084
13,6.21,6.25,6.2,6.2,8493
14,6.185,6.22,6.17,6.215,11009
15,6.18,6.19,6.18,6.19,400
16,6.14,6.19,6.12,6.19,5502
17,6.14,6.16,6.128,6.145,5376
18,6.13,6.14,6.12,6.13,2299
19,6.11,6.13,6.11,6.13,4554
20,6.1199,6.13,6.1,6.11,6925
21,6.135,6.15,6.12,6.12,3400
22,6.14,6.15,6.13,6.135,2175
23,6.13,6.145,6.13,6.14,2290
24,6.16,6.16,6.13,6.1455,4145
25,6.16,6.1698,6.145,6.16,4681
26,6.145,6.16,6.145,6.16,900
27,6.15,6.165,6.14,6.15,6290
28,6.14,6.16,6.14,6.15,1924
29,6.17,6.17,6.14,6.15,3291
30,6.16,6.17,6.15,6.16,7677
31,6.15,6.165,6.15,6.155,4000
32,6.14,6.165,6.14,6.16,7180
33,6.16,6.16,6.14,6.14,8300
34,6.15,6.16,6.15,6.16,6948
35,6.16,6.16,6.15,6.16,4150
36,6.15,6.16,6.14,6.1599,8920
37,6.15,6.16,6.14,6.15,10280
38,6.14,6.15,6.13,6.15,9992
39,6.11,6.14,6.08,6.14,62621
144,6.14,6.14,6.14,6.14,2590
145,6.23,6.23,6.09,6.1,12073
146,6.25,6.27,6.24,6.24,3209
147,6.17,6.2564,6.16,6.25,10143
148,6.21,6.21,6.17,6.17,8750
149,6.15,6.2298,6.15,6.215,5625
150,6.14,6.15,6.12,6.15,9338
151,6.15,6.17,6.15,6.15,4405
152,6.16,6.16,6.13,6.14,6984
153,6.22,6.22,6.14,6.14,6550
154,6.23,6.23,6.2,6.21,3050
155,6.23,6.23,6.21,6.22,900
156,6.25,6.25,6.21,6.2101,5933
157,6.2436,6.27,6.2301,6.2301,16278
158,6.22,6.24,6.21,6.24,6521
159,6.23,6.25,6.2,6.22,21236
160,6.22,6.25,6.22,6.24,2224
161,6.19,6.2,6.17,6.2,8998
162,6.13,6.18,6.13,6.18,4610
163,6.12,6.1301,6.11,6.13,11123
164,6.14,6.14,6.115,6.12,6830
165,6.14,6.16,6.14,6.16,8600
166,6.14,6.15,6.14,6.14,2700
167,6.13,6.145,6.13,6.13,760
168,6.16,6.16,6.14,6.14,1300
169,6.16,6.17,6.155,6.155,1300
170,6.08,6.16,6.08,6.16,11800
171,6.12,6.14,6.0899,6.09,4000
172,6.14,6.15,6.12,6.12,3600
173,6.15,6.17,6.14,6.15,6193
174,6.15,6.16,6.14,6.16,6225
175,6.13,6.16,6.13,6.14,10707
176,6.155,6.165,6.14,6.14,2600
177,6.13,6.16,6.125,6.15,2305
178,6.15,6.16,6.13,6.135,5226
179,6.11,6.15,6.11,6.15,8200
180,6.11,6.12,6.11,6.1136,2600
181,6.09,6.1459,6.08,6.11,24247
182,6.08,6.0999,6.0684,6.09,11641
183,6.04,6.1182,6.02,6.09,112194
288,6.2,6.2,6.2,6.2,8901
289,6.28,6.289,6.12,6.2486,34910
290,6.28,6.289,6.2,6.289,23685
291,6.3,6.364,6.2684,6.2684,13811
292,6.41,6.43,6.3201,6.33,22420
293,6.43,6.43,6.4,6.41,10916
294,6.4,6.42,6.4,6.41,15531
295,6.46,6.46,6.39,6.4,54053
296,6.53,6.55,6.454,6.47,25726
297,6.5402,6.5899,6.51,6.5274,27918
298,6.5498,6.6,6.53,6.5372,26863
299,6.55,6.57,6.54,6.5401,18900
300,6.55,6.575,6.52,6.555,9140
301,6.51,6.54,6.47,6.54,6691
302,6.4284,6.5,6.41,6.5,6282
303,6.4201,6.439,6.34,6.439,76697
304,6.4388,6.45,6.3738,6.41,4546
305,6.435,6.45,6.435,6.45,300
306,6.44,6.44,6.4347,6.44,1184
307,6.4,6.44,6.3967,6.44,5305
308,6.37,6.41,6.37,6.4016,8102
309,6.39,6.39,6.37,6.37,1713
310,6.4,6.42,6.385,6.4,15603
311,6.36,6.39,6.36,6.39,2837
312,6.295,6.37,6.295,6.3606,15210
313,6.32,6.32,6.28,6.2801,4091
314,6.29,6.3168,6.29,6.3168,4316
315,6.2506,6.3,6.245,6.28,32380
316,6.28,6.28,6.245,6.25,11237
317,6.3,6.3,6.27,6.27,6100
318,6.33,6.3354,6.3,6.3,7211
319,6.28,6.34,6.28,6.3301,11594
320,6.31,6.32,6.26,6.27,4546
321,6.3,6.345,6.3,6.32,6536
322,6.32,6.34,6.31,6.31,5650
323,6.4,6.41,6.33,6.33,9963
324,6.41,6.41,6.38,6.39,13636
325,6.39,6.45,6.39,6.42,11362
326,6.385,6.41,6.38,6.39,13155
327,6.4,6.41,6.39,6.39,47571
432,6.4,6.4,6.4,6.4,2713
433,6.37,6.5,6.37,6.45,12232
434,6.39,6.41,6.35,6.41,6427
435,6.375,6.41,6.375,6.4,800
436,6.26,6.39,6.255,6.39,15937
437,6.33,6.34,6.27,6.27,19181
438,6.26,6.345,6.26,6.34,8347
439,6.2957,6.3,6.2323,6.2541,16334
440,6.29,6.2999,6.275,6.295,7098
441,6.24,6.28,6.225,6.28,6001
442,6.25,6.25,6.23,6.235,8290
443,6.255,6.28,6.245,6.25,5324
444,6.23,6.265,6.23,6.265,3561
445,6.19,6.229,6.18,6.2236,17658
446,6.195,6.21,6.175,6.185,23426
447,6.21,6.22,6.19,6.195,9000
448,6.215,6.22,6.18,6.19,8070
449,6.2,6.22,6.2,6.22,5700
450,6.18,6.2,6.18,6.2,5100
451,6.185,6.19,6.18,6.18,5300
452,6.27,6.28,6.19,6.19,11231
453,6.26,6.275,6.255,6.273,4531
454,6.26,6.27,6.255,6.26,3700
455,6.26,6.27,6.26,6.265,1400
456,6.265,6.27,6.26,6.27,2800
457,6.27,6.27,6.26,6.265,3515
458,6.27,6.28,6.27,6.275,3995
459,6.245,6.28,6.245,6.28,6862
460,6.245,6.25,6.24,6.245,7457
461,6.24,6.249,6.24,6.24,1200
462,6.255,6.26,6.245,6.25,7800
463,6.31,6.31,6.255,6.26,14058
464,6.32,6.32,6.31,6.31,6000
465,6.315,6.32,6.31,6.319,2100
466,6.33,6.34,6.31,6.31,3817
467,6.34,6.34,6.33,6.33,1700
468,6.38,6.38,6.345,6.35,10557
469,6.32,6.38,6.32,6.38,19107
470,6.29,6.32,6.29,6.32,6100
471,6.3,6.3,6.27,6.29,37047
576,6.3,6.3,6.3,6.3,1077
577,6.32,6.32,6.1767,6.32,5160
578,6.31,6.37,6.31,6.32,1527
579,6.29,6.33,6.285,6.33,12013
580,6.23,6.3,6.23,6.3,3400
581,6.24,6.24,6.22,6.22,12100
582,6.24,6.24,6.22,6.22,1200
583,6.27,6.29,6.22,6.24,7648
584,6.27,6.29,6.27,6.27,3150
585,6.2818,6.29,6.26,6.26,5000
586,6.28,6.3,6.28,6.29,7062
587,6.25,6.275,6.25,6.27,4311
588,6.27,6.28,6.25,6.264,2281
589,6.24,6.275,6.24,6.275,5800
590,6.235,6.25,6.23,6.23,5600
591,6.24,6.25,6.23,6.23,2046
592,6.26,6.27,6.2407,6.2407,3569
593,6.24,6.27,6.24,6.27,4962
594,6.24,6.2499,6.24,6.24,1650
595,6.22,6.25,6.22,6.24,1500
596,6.2401,6.245,6.22,6.22,7071
597,6.23,6.25,6.23,6.24,3000
598,6.22,6.25,6.22,6.2393,2200
599,6.2,6.225,6.2,6.22,1300
600,6.19,6.2,6.18,6.2,1000
601,6.22,6.225,6.19,6.19,2500
602,6.21,6.2172,6.21,6.21,2430
603,6.21,6.215,6.21,6.21,700
604,6.22,6.22,6.2,6.2,3995
