EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,21.87,21.87,21.87,21.87,666
1,21.9531,21.9531,21.87,21.87,932
4,21.87,21.87,21.87,21.87,100
12,21.85,21.89,21.85,21.89,400
17,21.95,21.95,21.95,21.95,100
18,21.92,21.96,21.92,21.96,300
20,21.96,21.96,21.96,21.96,100
24,21.92,22,21.8947,21.92,800
25,21.95,21.95,21.95,21.95,100
28,21.99,21.99,21.98,21.98,200
30,22,22,21.99,21.99,400
31,22,22,22,22,500
32,21.67,21.925,21.67,21.904,7453
34,21.64,21.65,21.64,21.65,400
36,21.65,21.65,21.65,21.65,300
37,21.44,21.46,21.43,21.435,1100
39,21.44,21.47,21.42,21.47,2373
144,21.31,21.31,21.31,21.31,291
145,21.35,21.35,21.35,21.35,200
159,21.68,21.75,21.6201,21.74,2590
160,21.72,21.72,21.72,21.72,200
161,21.72,21.72,21.72,21.72,100
162,21.73,21.75,21.73,21.75,600
163,21.75,21.75,21.75,21.75,700
164,21.75,21.75,21.75,21.75,300
165,21.75,21.75,21.74,21.75,300
166,21.75,21.75,21.73,21.75,300
167,21.8,21.8,21.75,21.75,700
170,21.81,21.81,21.81,21.81,100
178,21.82,21.87,21.82,21.86,300
179,21.88,21.88,21.88,21.88,200
182,21.7918,21.7918,21.7918,21.7918,120
183,21.83,21.88,21.8138,21.8138,3665
288,21.86,21.86,21.86,21.86,114
295,21.5301,21.5301,21.5301,21.5301,231
300,21.85,21.85,21.82,21.82,200
310,21.84,21.84,21.84,21.84,100
324,21.69,21.69,21.69,21.69,100
327,21.65,21.77,21.62,21.65,1591
437,21.8644,21.8644,21.8644,21.8644,100
441,21.56,21.56,21.56,21.56,100
454,21.79,21.79,21.79,21.79,200
461,21.7449,21.7449,21.7449,21.7449,109
463,21.54,21.54,21.5001,21.5001,1000
464,21.38,21.5,21.38,21.5,362
465,21.36,21.4486,21.3,21.4486,623
469,21.3417,21.3417,21.185,21.26,1952
470,21.4956,21.4956,21.4956,21.4956,100
471,21.43,21.44,21.24,21.44,6672
864,21.59,21.59,21.59,21.59,465
868,21.702,21.702,21.702,21.702,100
875,22.09,22.09,22.09,22.09,100
876,21.66,21.66,21.66,21.66,100
885,21.84,21.84,21.84,21.84,100
887,21.83,21.83,21.83,21.83,200
888,21.74,21.74,21.65,21.65,300
889,21.6,21.74,21.565,21.74,700
891,21.58,21.68,21.58,21.68,3295
892,21.55,21.55,21.55,21.55,200
894,21.55,21.55,21.55,21.55,100
895,21.45,21.45,21.45,21.45,100
896,21.55,21.55,21.55,21.55,100
898,21.3,21.3,21.3,21.3,100
899,21.18,21.18,21.18,21.18,100
901,21.31,21.36,21.31,21.36,200
902,21.3,21.3,21.3,21.3,398
903,21.52,21.58,21.27,21.44,2108
a1493734800,21.67,21.67,21.67,21.67,100
9,21.2472,21.28,21.2472,21.2701,925
10,21.2,21.2,21.2,21.2,100
11,21.04,21.07,20.95,20.95,32550
12,21.26,21.26,21.21,21.21,200
13,21.39,21.39,21.39,21.39,100
14,21.49,21.51,21.47,21.47,35650
15,21.49,21.49,21.49,21.49,9200
20,21.08,21.41,21.08,21.41,13400
21,21.22,21.22,21.15,21.15,1300
23,21.41,21.41,21.37,21.37,200
25,21.24,21.47,21.24,21.47,1100
26,21.22,21.22,21.22,21.22,100
27,21.45,21.45,21.22,21.22,3184
29,21.5,21.5,21.499,21.499,714
31,21.44,21.44,21.44,21.44,100
32,21.33,21.33,21.33,21.33,100
34,21.48,21.5,21.47,21.5,3192
139,21.31,21.31,21.31,21.31,132
142,21.19,21.44,21.03,21.44,4234
144,21.085,21.085,21.085,21.085,100
145,21.05,21.09,21.05,21.09,1203
146,21.01,21.01,21,21,200
147,21.14,21.17,21.04,21.04,760
148,21.1962,21.1962,21.04,21.04,250
150,21.08,21.12,21.08,21.1,1575
151,21.19,21.19,21.19,21.19,100
152,21.28,21.28,21.21,21.21,300
153,21.16,21.19,21.16,21.19,476
155,21.26,21.315,21.2401,21.2401,500
156,21.25,21.25,21.25,21.25,100
157,21.21,21.285,21.21,21.27,300
159,21.2,21.2,21.2,21.2,194
160,21.2,21.2,21.2,21.2,100
161,21.2,21.2,21.2,21.2,100
162,21.19,21.19,21.1076,21.1076,389
163,21.2,21.2,21.2,21.2,100
166,21.2,21.2,21.2,21.2,100
168,21.21,21.21,21.21,21.21,100
169,21.21,21.21,21.21,21.21,100
170,21.21,21.21,21.21,21.21,100
171,21.21,21.21,21.21,21.21,621
172,21.33,21.33,21.33,21.33,100
173,21.08,21.3,21.08,21.3,397
174,21.09,21.23,21.09,21.23,200
176,21.16,21.16,21.16,21.16,100
178,21.13,21.16,21.13,21.16,1995
285,21.4,21.4,21.4,21.4,700
311,21.2,21.2,21.19,21.19,200
312,21.21,21.22,21.13,21.22,902
313,21.245,21.245,21.1,21.195,1500
314,21.36,21.39,21.12,21.12,2800
315,21.33,21.33,21.26,21.26,500
316,21.42,21.42,21.34,21.35,1000
317,21.4,21.45,21.36,21.36,1500
318,21.3005,21.3005,21.3005,21.3005,825
321,21.44,21.44,21.44,21.44,300
322,21.42,21.45,21.42,21.44,625
430,21.38,21.38,21.38,21.38,100
438,21.09,21.09,21.09,21.09,100
439,21.12,21.12,21.04,21.04,400
442,21.13,21.13,21.13,21.13,100
459,21.07,21.07,21.07,21.07,100
460,21,21.03,21,21.03,350
461,21.03,21.03,21,21,303
464,21.04,21.04,20.88,21.03,947
465,21.08,21.08,21.08,21.08,200
466,21.11,21.225,21.05,21.05,2252
859,20.97,20.97,20.97,20.97,926
865,21.04,21.04,21.04,21.04,1000
869,20.99,21.0999,20.9701,21.0999,446
882,21.05,21.05,20.99,20.99,1753
886,21,21,20.99,21,2100
893,20.98,20.98,20.98,20.98,100
895,21.04,21.05,20.97,20.97,5182
898,21.04,21.05,21.03,21.04,2907
a1494338400,21.36,21.36,21.36,21.36,100
11,21.04,21.26,21.04,21.26,900
12,21.12,21.12,20.97,20.97,1300
13,21.16,21.25,21.11,21.25,1500
14,21.08,21.3,21.08,21.29,2000
15,21.23,21.37,21.1,21.1,1748
16,21.15,21.15,21.07,21.08,600
17,21.18,21.24,21.18,21.24,400
18,21.08,21.08,21.08,21.08,100
19,21.07,21.07,21.07,21.07,300
20,21.1,21.18,21.1,21.18,1000
23,21.09,21.09,21.09,21.09,100
32,21.11,21.11,21.11,21.11,100
33,20.98,20.98,20.98,20.98,100
35,20.93,20.93,20.85,20.85,400
36,20.94,20.98,20.86,20.86,547
142,21,21.03,21,21.03,300
143,20.72,20.92,20.5565,20.92,4943
144,20.2401,20.75,20.2401,20.7,2149
145,20.65,20.7,20.36,20.4,900
146,20.56,20.72,20.5,20.66,843
147,20.8,20.8,20.59,20.59,1100
148,20.66,20.8,20.63,20.79,1300
149,20.71,20.81,20.66,20.66,700
150,20.8,20.8,20.64,20.64,400
151,20.69,20.8,20.69,20.8,300
152,20.81,20.97,20.7,20.7,2600
153,20.88,20.95,20.78,20.78,700
157,20.86,20.89,20.81,20.84,800
158,20.8,20.84,20.8,20.83,900
159,20.59,20.75,20.58,20.75,400
160,20.66,20.72,20.615,20.72,700
161,20.7,20.7,20.66,20.66,300
164,20.69,20.69,20.69,20.69,100
169,20.76,20.76,20.76,20.76,100
170,20.68,20.68,20.67,20.67,200
171,20.744,20.7914,20.744,20.7914,200
172,20.877,20.877,20.877,20.877,100
174,20.91,20.94,20.81,20.925,2000
175,20.96,20.96,20.8,20.8,1800
176,20.86,20.95,20.77,20.95,1079
177,20.92,20.95,20.92,20.95,300
180,20.79,20.85,20.76,20.76,1652
285,20.71,20.71,20.71,20.71,142
286,20.925,21.04,20.63,20.74,1300
287,20.94,21.1176,20.83,20.88,1239
288,20.65,20.81,20.54,20.81,800
289,20.75,20.86,20.75,20.8,1100
290,20.85,20.86,20.82,20.86,500
291,20.83,20.87,20.83,20.87,300
292,20.83,20.83,20.75,20.82,700
293,20.64,20.66,20.54,20.59,1000
294,20.48,20.48,20.47,20.47,200
295,20.48,20.54,20.48,20.5,500
