EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,31.22,31.22,31.22,31.22,100
3,31.24,31.24,31.24,31.24,400
7,31.22,31.23,31.22,31.23,400
12,31.2689,31.2689,31.2689,31.2689,102
21,31.1709,31.1709,31.1709,31.1709,101
22,31.1373,31.1373,31.1252,31.1252,663
27,31.21,31.21,31.19,31.19,2734
28,31.1916,31.1916,31.1916,31.1916,108
29,31.2328,31.2328,31.2328,31.2328,100
31,31.2179,31.2179,31.217,31.217,919
34,31.21,31.21,31.21,31.21,100
35,31.2,31.2,31.2,31.2,100
36,31.16,31.16,31.16,31.16,100
39,31.15,31.15,31.15,31.15,200
144,31.02,31.02,31.02,31.02,315
147,31.2845,31.2845,31.2845,31.2845,610
148,31.15,31.15,31.15,31.15,400
154,31.2201,31.2201,31.2201,31.2201,1421
167,31.456,31.456,31.456,31.456,606
168,31.46,31.4909,31.46,31.4909,450
172,31.3924,31.3924,31.3924,31.3924,1745
181,31.3728,31.3728,31.3728,31.3728,627
182,31.32,31.32,31.32,31.32,100
183,31.2683,31.2683,31.2683,31.2683,326
291,31.2,31.2334,31.2,31.2334,1283
292,31.1618,31.1916,31.1618,31.1916,865
298,31,31.0001,31,31.0001,438
303,30.95,30.95,30.95,30.95,100
307,31.01,31.01,31.01,31.01,100
311,31.1236,31.1236,31.1236,31.1236,195
312,31.092,31.092,31.092,31.092,800
314,31.081,31.085,31.0755,31.0792,857
316,31.02,31.02,31.02,31.02,631
320,31.1316,31.1316,31.1316,31.1316,400
324,31.1,31.1,31.1,31.1,400
326,31.0872,31.0872,31.0872,31.0872,710
432,31.23,31.23,31.23,31.23,515
433,31.23,31.23,31.23,31.23,155
439,30.96,30.96,30.96,30.96,257
442,30.8801,30.8801,30.8801,30.8801,950
448,30.8,30.8175,30.8,30.8175,1685
453,30.76,30.76,30.76,30.76,468
454,30.78,30.78,30.78,30.78,100
457,30.7919,30.794,30.7799,30.7799,562
458,30.7939,30.7939,30.7939,30.7939,643
465,30.6845,30.6845,30.6845,30.6845,153
466,30.7,30.7,30.7,30.7,100
471,30.668,30.668,30.668,30.668,210
867,30.709,30.709,30.709,30.709,146
868,30.64,30.64,30.64,30.64,100
872,30.72,30.72,30.72,30.72,300
877,30.72,30.8115,30.72,30.7856,3074
879,30.83,30.83,30.83,30.83,100
880,30.846,30.846,30.846,30.846,797
884,30.8573,30.8573,30.8573,30.8573,160
885,30.7821,30.82,30.7821,30.82,402
887,30.8152,30.8152,30.8152,30.8152,200
891,30.9716,30.9716,30.96,30.96,592
892,31.01,31.01,31.01,31.01,200
897,30.9068,30.9068,30.9068,30.9068,276
898,30.92,30.92,30.92,30.92,100
903,30.9,30.9,30.9,30.9,200
a1493733000,30.8589,30.8589,30.8589,30.8589,194
2,30.82,30.82,30.82,30.82,100
9,30.7,30.7,30.7,30.7,100
10,30.7357,30.7357,30.7357,30.7357,142
14,30.6878,30.6878,30.6878,30.6878,247
19,30.72,30.72,30.72,30.72,1170
23,30.7,30.7,30.7,30.7,100
25,30.6601,30.6601,30.66,30.6601,3822
26,30.71,30.71,30.7,30.7,400
27,30.7199,30.7199,30.6701,30.6701,1400
30,30.68,30.68,30.67,30.67,400
33,30.68,30.68,30.68,30.68,100
34,30.67,30.67,30.6592,30.6592,715
37,30.7,30.7204,30.7,30.7204,200
142,30.59,30.59,30.59,30.59,219
145,30.851,30.851,30.851,30.851,282
149,30.87,30.87,30.835,30.835,654
151,30.8122,30.8122,30.8122,30.8122,802
152,30.8399,30.84,30.8399,30.84,339
153,30.8155,30.8213,30.81,30.8213,552
155,30.85,30.85,30.85,30.85,100
156,30.85,30.85,30.85,30.85,3971
159,30.83,30.83,30.83,30.83,100
160,30.806,30.806,30.806,30.806,668
162,30.795,30.795,30.795,30.795,100
163,30.7945,30.7945,30.7945,30.7945,113
164,30.7901,30.81,30.7901,30.81,818
169,30.79,30.79,30.79,30.79,100
170,30.8201,30.8201,30.82,30.82,565
174,30.9,30.9,30.9,30.9,500
175,30.96,30.96,30.96,30.96,100
181,30.99,30.99,30.99,30.99,200
289,31.29,31.29,31.29,31.29,100
294,31.1928,31.1928,31.1928,31.1928,142
296,31.1901,31.2,31.1901,31.2,563
297,31.1393,31.19,31.1393,31.19,422
306,31.04,31.04,31.04,31.04,100
314,31.0999,31.0999,31.0999,31.0999,1043
315,31.0816,31.1,31.0816,31.1,670
316,31.1026,31.1026,31.1026,31.1026,600
317,31.1,31.1,31.1,31.1,200
320,31.0711,31.0711,31.0711,31.0711,100
321,31.0292,31.0292,31.0292,31.0292,259
438,30.9052,30.9052,30.9052,30.9052,165
446,30.9968,30.9968,30.9968,30.9968,130
447,30.97,30.97,30.97,30.97,100
448,30.9001,30.9001,30.9,30.9,1300
451,30.86,30.86,30.86,30.86,100
461,30.913,30.913,30.913,30.913,131
462,30.94,30.94,30.94,30.94,140
465,30.95,30.95,30.95,30.95,200
466,30.95,30.95,30.95,30.95,100
468,30.9876,30.9876,30.9876,30.9876,155
469,30.97,30.97,30.97,30.97,100
863,31.07,31.07,31.07,31.07,560
865,30.959,30.961,30.959,30.961,488
867,30.98,31.0125,30.98,31.0125,700
868,30.9812,30.9812,30.98,30.98,468
871,30.9832,30.9848,30.9832,30.9848,509
872,30.9401,30.9401,30.9401,30.9401,870
875,30.9,30.9,30.88,30.88,1800
876,30.89,30.92,30.88,30.9,6900
877,30.89,30.92,30.87,30.89,6400
878,30.9064,30.9064,30.9064,30.9064,1481
879,30.91,30.91,30.91,30.91,402
881,30.91,30.91,30.91,30.91,100
882,30.98,30.98,30.93,30.95,700
887,30.9769,30.9769,30.9769,30.9769,500
888,31.01,31.01,31.01,31.01,200
889,30.9986,30.9986,30.9986,30.9986,115
890,31.025,31.025,31.025,31.025,100
891,31.055,31.055,31.055,31.055,100
901,31.05,31.05,31.04,31.05,937
a1494339000,31.162,31.2088,31.14,31.14,800
2,31.18,31.18,31.18,31.18,100
3,31.0715,31.0715,31.03,31.04,2600
4,31.1026,31.1026,31.1026,31.1026,600
6,31.06,31.06,31.06,31.06,327
7,30.97,30.97,30.97,30.97,200
11,31.0822,31.0822,31.0822,31.0822,6388
14,31.06,31.0838,31.06,31.0838,266
16,31.0208,31.0208,31.0208,31.0208,427
24,31.021,31.04,31.021,31.04,1239
25,30.99,30.99,30.99,30.99,3853
33,30.9074,30.9074,30.9074,30.9074,720
34,30.8204,30.8204,30.8204,30.8204,169
35,30.85,30.85,30.84,30.84,400
140,30.73,30.73,30.73,30.73,160
144,30.84,30.84,30.84,30.84,100
148,30.7208,30.7208,30.7208,30.7208,2101
150,30.7501,30.7501,30.7501,30.7501,171
152,30.8382,30.8382,30.8382,30.8382,2132
153,30.83,30.83,30.83,30.83,100
162,30.84,30.84,30.83,30.83,504
164,30.82,30.82,30.82,30.82,200
167,30.8101,30.8101,30.8101,30.8101,115
170,30.84,30.86,30.84,30.86,473
178,30.78,30.8079,30.78,30.8079,496
288,30.44,30.5001,30.44,30.5001,26100
289,30.435,30.48,30.435,30.48,700
290,30.3397,30.4774,30.3397,30.4774,2400
291,30.2907,30.3267,30.2907,30.3267,1049
292,30.365,30.365,30.35,30.35,700
294,30.59,30.59,30.5301,30.545,2078
297,30.64,30.64,30.64,30.64,200
312,30.5701,30.5701,30.57,30.57,630
314,30.59,30.59,30.59,30.59,200
428,30.4,30.4,30.4,30.4,112
431,30.3445,30.3665,30.32,30.3665,902
432,30.32,30.32,30.32,30.32,100
435,30.22,30.22,30.22,30.22,100
437,30.1855,30.1855,30.1855,30.1855,500
438,30.0901,30.0901,30.0901,30.0901,186
441,30.21,30.21,30.17,30.17,800
445,30.23,30.23,30.23,30.23,200
448,30.29,30.29,30.29,30.29,1000
449,30.28,30.28,30.28,30.28,100
453,30.2635,30.2635,30.2635,30.2635,300
459,30.27,30.27,30.27,30.27,800
461,30.32,30.32,30.32,30.32,100
465,30.24,30.24,30.24,30.24,100
467,30.327,30.327,30.3,30.3,635
862,30.502,30.502,30.47,30.47,903
