EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493128200,51.38,52.69,51.38,52.69,200
13,53,53,53,53,210
18,53,53,53,53,300
37,53.5,53.5,53.5,53.5,148
174,50.78,53,50.78,53,202
177,52.079,52.079,52.079,52.079,100
181,53.66,54.8,52.32,52.5,1303
325,52.6,52.6,52.6,52.6,404
468,52.17,52.17,52.17,52.17,100
469,52.93,52.93,52.17,52.17,816
894,51.95,51.95,51.95,51.95,241
901,52.47,52.47,52.47,52.47,248
a1493755200,51.9,51.9,51.28,51.28,336
142,52.7,52.7,52.7,52.7,100
144,52.22,53.24,52.22,53.24,559
263,53,53,53,53,100
264,54,54,54,54,400
288,53.76,53.76,53.76,53.76,100
393,53.5,53.5,53.5,53.5,103
394,50.71,52.566,50.22,51.3085,3591
398,49,49,49,49,250
403,48.8695,49.1175,48.3906,48.3906,300
404,48.57,48.57,48.57,48.57,100
407,53.15,53.15,53.15,53.15,211
414,47.97,47.97,47.97,47.97,100
425,48.75,48.75,48.75,48.75,100
428,48.85,48.85,48.85,48.85,500
429,48.34,48.34,48.34,48.34,100
432,48.19,48.19,48.19,48.19,218
850,49.4701,49.4701,49.4701,49.4701,100
864,48.94,48.94,48.94,48.94,122
969,49.29,49.29,49.29,49.29,100
986,49.33,49.33,49.33,49.33,100
a1494358800,49.3,49.32,49.3,49.32,400
107,49.28,49.28,49.28,49.28,131
109,51.71,51.71,51.71,51.71,100
136,49.23,49.23,49.23,49.23,100
137,48.35,48.35,48.27,48.27,300
139,47.75,47.75,47.75,47.75,100
146,47.7,47.7,47.65,47.65,486
251,48.09,48.09,48.09,48.09,100
252,48.25,48.25,48.25,48.25,100
255,47.74,47.74,47.74,47.74,100
256,50.8,50.8,50.8,50.8,100
266,47.31,47.6,47.31,47.6,300
284,45.77,45.77,45.77,45.77,100
290,47.17,48.3475,46.82,47.85,602
399,47.45,47.45,47.45,47.45,100
419,46.6722,46.6722,46.6722,46.6722,144
421,46.7685,46.7685,46.7685,46.7685,127
423,46.23,46.23,46.23,46.23,100
424,45.72,45.72,45.72,45.72,100
428,46.2,46.2,46.2,46.2,100
429,46.09,46.09,46.09,46.09,300
434,45.46,45.46,45.46,45.46,428
829,46.3,46.3,46.3,46.3,100
830,45.88,46.05,45.88,46.05,300
832,47.55,47.55,47.55,47.55,100
852,47.15,47.15,47.15,47.15,200
866,46.39,46.39,46.39,46.39,282
979,45.6,45.6,45.6,45.6,100
a1494958800,45.754,46.15,45.754,46.15,420
3,45.47,45.47,45.47,45.47,100
10,46.1,46.3,46.1,46.3,338
119,47.48,47.5,46.44,46.5,1315
121,46.35,46.35,46.35,46.35,150
125,47.88,47.88,47.88,47.88,100
142,47.9906,47.9906,47.9906,47.9906,200
154,47.05,47.05,47.05,47.05,847
270,49.5,49.5,49.5,49.5,170
273,50.09,50.09,50.09,50.09,100
280,48.89,48.89,48.89,48.89,100
281,47.64,47.64,47.64,47.64,100
297,48.84,48.88,48.84,48.88,200
298,49.01,49.01,48.3,48.45,1158
403,48.61,48.61,48.61,48.61,410
408,48.65,48.65,48.65,48.65,100
409,48.65,48.65,48.65,48.65,300
410,48.65,48.75,48.65,48.65,400
414,49.75,49.8,49.75,49.75,300
415,49.75,49.75,49.75,49.75,100
417,49.85,50.75,49.85,50.75,200
418,49.85,49.85,49.85,49.85,300
419,49.9,50,49.9,50,200
420,49.902,49.902,49.902,49.902,100
421,49.9,49.9,49.9,49.9,200
422,49.85,49.85,49.85,49.85,100
423,49.6,49.85,49.6,49.85,300
424,48.82,49.6,48.82,49.55,800
425,48.18,48.5,48.18,48.5,300
426,48.5,48.51,48.5,48.5,1500
428,50.5,50.5,49.85,49.85,400
429,49.5,50.15,49.5,49.74,700
430,49.57,49.57,49.57,49.57,100
431,49.55,49.55,49.55,49.55,200
433,49.44,49.45,49.44,49.45,200
434,49.5,49.5,49.5,49.5,100
440,49.55,49.55,49.55,49.55,100
442,49.83,49.9,49.58,49.9,1422
836,49,49.13,49,49.13,500
838,48.2999,48.5,48.2,48.2,400
839,48.55,48.55,48.0116,48.0116,901
840,47.7553,48.5499,47.7553,48.5499,200
841,48.3999,48.48,48.3,48.3,600
842,48.58,48.6,48.39,48.3999,950
849,49.45,49.45,49.45,49.45,100
850,50,50,50,50,200
851,49.21,49.5,49.21,49.5,1300
853,48.63,48.83,48.63,48.83,400
854,48.26,48.26,48.13,48.13,200
855,48.3,48.3,48.28,48.3,400
856,48.5,48.55,48.4,48.41,1500
857,49.1,49.1,49.1,49.1,300
858,49.3,49.3,48.9,48.9,400
865,49.55,49.55,49.55,49.55,100
866,49.55,50.615,49.42,49.55,995
868,49.31,49.31,49.31,49.31,100
869,49.3,49.34,49.3,49.34,200
874,49.61,49.7,49.31,49.7,1240
981,48.77,49.4,48.77,49.4,300
988,48.7,48.7,48.49,48.49,600
989,48.9,48.9,48.9,48.9,200
992,48.82,49.1,48.82,49.1,1161
996,49.65,49.65,49.65,49.65,100
997,49.45,49.6501,49.45,49.65,400
a1495558800,49.4,49.4,49.4,49.4,100
1,49.4,49.4,49.4,49.4,100
7,49.45,49.45,49.45,49.45,100
10,49.5,49.5,49.5,49.5,100
11,49.53,49.53,49.53,49.53,100
12,49.5,49.5,49.5,49.5,300
13,49.5,49.5,49.5,49.5,100
14,49.45,49.5,49.45,49.5,300
18,49.9,49.9,49.8,49.8,292
124,47.92,47.92,47.92,47.92,100
126,49.55,49.76,49.55,49.76,300
132,48,48.75,48,48.75,550
133,49.3,49.3,48.9,48.9,1200
136,49.1,49.1,49.05,49.05,300
137,48.95,49.1,48.95,49.1,300
139,49.1,49.1,49.1,49.1,400
140,49,49,48.9,48.9,200
142,49,49,49,49,100
144,51.7,51.7,51.7,51.7,100
150,48.5,48.62,48.5,48.5,402
155,48.5,48.6,48.3,48.5,700
160,48.65,48.72,48.5505,48.68,600
161,48.65,48.65,48.65,48.65,100
162,49.14,49.34,48.88,49.34,1531
267,48.8,48.8,48.8,48.8,100
268,49.3,50,49.3,50,849
269,49.01,49.2,49.01,49.2,282
270,49.15,49.25,49.15,49.25,200
271,49.15,49.15,49.15,49.15,100
272,48.29,49.15,48.29,49.15,2100
274,48.736,48.736,48.736,48.736,100
275,48.7,48.75,48.7,48.75,200
276,48.7,48.7,48.7,48.7,100
280,48.3,48.3,48.3,48.3,100
282,48.1,48.1,48.1,48.1,100
288,47.92,47.968,47.92,47.92,400
289,48.5,48.5,48.5,48.5,1074
297,49.54,49.54,49.54,49.54,100
306,48.44,48.44,48.4,48.4,677
418,48.35,48.95,48.35,48.95,200
420,48,48,48,48,100
449,49.6037,49.675,49.6037,49.675,200
450,47.95,49.3,47.95,49,780
991,48.6,48.6,48.6,48.6,100
992,48.1,48.1,48.1,48.1,200
997,47.8,47.8,47.8,47.8,100
a1496171400,47.19,47.8,46.63,47.8,1674
3,48.4,49.125,48.4,49.125,200
4,49,49,49,49,100
5,49.25,49.25,48.85,48.85,1217
112,48.51,49.04,48.51,49.04,400
114,47.55,47.55,47.55,47.55,100
116,47.45,47.45,47,47,800
117,48.1,48.1,46.75,46.75,1900
138,48.15,48.15,48.15,48.15,100
141,48.2,48.2,48.2,48.2,100
143,48.06,48.06,48.06,48.06,100
147,48.2,48.2,48.2,48.2,100
148,48.16,48.16,48.16,48.16,100
149,48,48.185,47.77,48.14,2506
258,46.96,47.95,46.96,47.95,1100
260,47.15,47.15,47.13,47.13,685
274,46.85,46.85,46.45,46.45,400
275,47.31,47.31,46.52,46.52,712
276,47.05,47.05,46.8,46.8,400
277,47.46,47.46,47.1,47.1,1000
279,47.3,47.3,47.3,47.3,300
280,47.61,47.61,47.25,47.3,600
283,47.5,47.5,47.5,47.5,200
284,47.66,47.66,47.66,47.66,108
286,47.7,47.7,47.66,47.66,248
291,48.2,48.2,48.2,48.2,100
292,48.95,48.95,48.9,48.9,592
293,49.11,49.88,49.11,49.7,1095
399,51.21,51.21,49.5,49.5,700
400,49.46,49.47,49.46,49.46,464
402,49.41,51.2125,49.21,51.2125,2100
