EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,4.2,4.2,4.2,4.2,1406
1,4.22,4.23,4.16,4.2,7462
2,4.23,4.25,4.2124,4.2124,3866
3,4.25,4.25,4.2225,4.23,1928
4,4.225,4.26,4.225,4.26,7500
5,4.23,4.23,4.225,4.225,400
6,4.25,4.25,4.22,4.22,450
7,4.24,4.25,4.235,4.25,1200
8,4.24,4.24,4.24,4.24,300
9,4.24,4.24,4.235,4.24,500
10,4.23,4.24,4.22,4.24,9747
11,4.235,4.24,4.22,4.2276,1876
12,4.24,4.24,4.231,4.235,500
13,4.27,4.27,4.25,4.26,1300
14,4.25,4.265,4.25,4.265,3000
15,4.25,4.26,4.25,4.25,700
16,4.25,4.255,4.25,4.255,200
17,4.255,4.26,4.24,4.2552,2900
18,4.26,4.26,4.25,4.25,500
19,4.2401,4.26,4.24,4.25,4277
20,4.245,4.25,4.24,4.24,800
21,4.25,4.25,4.24,4.25,500
22,4.25,4.25,4.23,4.2448,13873
23,4.25,4.2535,4.25,4.2535,201
24,4.251,4.26,4.251,4.26,300
25,4.27,4.27,4.255,4.26,700
26,4.27,4.27,4.27,4.27,400
27,4.27,4.27,4.26,4.2693,712
28,4.29,4.29,4.26,4.26,1728
29,4.3,4.3,4.29,4.29,1600
30,4.265,4.3,4.26,4.2984,5594
31,4.2658,4.27,4.26,4.27,2640
32,4.27,4.27,4.261,4.27,1700
33,4.26,4.261,4.252,4.261,1500
34,4.28,4.28,4.25,4.25,3200
35,4.26,4.275,4.26,4.275,1000
36,4.24,4.26,4.24,4.25,4400
37,4.25,4.25,4.23,4.24,4540
38,4.25,4.26,4.245,4.25,1200
39,4.24,4.26,4.24,4.25,8360
144,4.21,4.21,4.21,4.21,4306
145,4.29,4.29,4.25,4.25,800
146,4.27,4.3,4.27,4.3,1400
147,4.2697,4.2786,4.2697,4.2786,650
148,4.2755,4.28,4.26,4.28,1456
149,4.27,4.28,4.27,4.278,4600
150,4.27,4.27,4.27,4.27,100
151,4.26,4.26,4.26,4.26,200
152,4.27,4.27,4.245,4.26,3186
153,4.29,4.29,4.2611,4.2611,2400
154,4.2701,4.29,4.2701,4.29,432
155,4.3,4.3,4.28,4.28,2200
156,4.31,4.31,4.3,4.3,300
157,4.35,4.35,4.3,4.3,3760
158,4.33,4.35,4.33,4.35,400
159,4.35,4.35,4.35,4.35,400
160,4.34,4.34,4.32,4.338,5200
161,4.3791,4.39,4.34,4.34,12490
162,4.3398,4.39,4.3398,4.39,1000
163,4.31,4.35,4.31,4.3364,4070
164,4.31,4.33,4.31,4.33,850
165,4.34,4.34,4.32,4.32,4400
166,4.321,4.34,4.321,4.34,900
167,4.32,4.33,4.32,4.33,800
168,4.33,4.33,4.33,4.33,200
169,4.33,4.34,4.32,4.34,500
170,4.33,4.33,4.32,4.32,400
171,4.315,4.32,4.295,4.32,2800
172,4.32,4.32,4.31,4.31,1000
173,4.31,4.33,4.31,4.3122,750
174,4.33,4.34,4.31,4.33,1800
175,4.34,4.34,4.33,4.33,800
176,4.335,4.34,4.335,4.335,1800
177,4.3301,4.34,4.33,4.34,500
178,4.34,4.34,4.33,4.33,300
179,4.33,4.335,4.33,4.335,1000
180,4.33,4.34,4.32,4.33,2450
181,4.293,4.322,4.293,4.322,1650
182,4.255,4.3,4.25,4.2968,10500
183,4.29,4.3,4.23,4.26,25540
288,4.3,4.3,4.3,4.3,1964
289,4.2788,4.3057,4.2788,4.3,4320
290,4.29,4.3,4.28,4.28,900
291,4.2925,4.2925,4.2925,4.2925,595
292,4.31,4.32,4.3,4.31,800
293,4.31,4.31,4.31,4.31,300
294,4.304,4.304,4.304,4.304,200
295,4.3,4.3,4.29,4.3,1200
296,4.29,4.295,4.29,4.295,500
297,4.29,4.29,4.275,4.29,300
299,4.26,4.2736,4.26,4.2736,3305
301,4.26,4.27,4.26,4.27,300
302,4.25,4.25,4.25,4.25,500
303,4.235,4.25,4.235,4.2466,2263
304,4.26,4.26,4.24,4.24,913
305,4.28,4.28,4.27,4.27,200
306,4.272,4.272,4.27,4.27,1000
307,4.26,4.28,4.246,4.27,3700
308,4.27,4.27,4.27,4.27,772
309,4.28,4.28,4.27,4.2757,1200
310,4.29,4.31,4.28,4.28,700
311,4.29,4.29,4.29,4.29,100
312,4.285,4.285,4.285,4.285,100
313,4.2799,4.28,4.2799,4.28,500
316,4.28,4.28,4.28,4.28,100
317,4.26,4.26,4.26,4.26,500
318,4.27,4.28,4.27,4.28,300
319,4.27,4.27,4.27,4.27,100
321,4.27,4.27,4.26,4.26,400
322,4.25,4.25,4.25,4.25,100
324,4.255,4.26,4.25,4.25,400
325,4.27,4.27,4.27,4.27,100
326,4.27,4.27,4.26,4.26,600
327,4.24,4.26,4.24,4.25,16607
432,4.24,4.24,4.24,4.24,1410
433,4.19,4.21,4.19,4.21,3166
434,4.2,4.2,4.19,4.19,500
435,4.2,4.2,4.18,4.18,600
436,4.18,4.185,4.18,4.18,400
437,4.18,4.19,4.16,4.18,3400
438,4.185,4.19,4.185,4.19,300
439,4.19,4.19,4.18,4.18,600
440,4.18,4.185,4.18,4.18,950
441,4.17,4.18,4.16,4.17,600
442,4.18,4.18,4.1631,4.17,6260
443,4.18,4.18,4.17,4.17,400
444,4.16,4.18,4.16,4.17,2400
445,4.165,4.165,4.16,4.165,400
446,4.15,4.165,4.15,4.165,1200
447,4.16,4.16,4.14,4.14,10086
448,4.155,4.16,4.155,4.16,500
449,4.16,4.16,4.155,4.155,800
450,4.155,4.16,4.15,4.15,1500
451,4.16,4.16,4.155,4.16,400
452,4.15,4.17,4.14,4.155,10100
453,4.16,4.16,4.155,4.16,800
454,4.2,4.2,4.155,4.16,5200
456,4.18,4.19,4.155,4.18,6200
457,4.18,4.18,4.16,4.16,1100
458,4.18,4.18,4.16,4.18,500
459,4.16,4.17,4.16,4.17,800
460,4.1727,4.18,4.16,4.16,4150
461,4.18,4.18,4.175,4.175,200
462,4.17,4.175,4.15,4.175,1300
463,4.15,4.16,4.15,4.16,700
464,4.16,4.16,4.15,4.15,200
465,4.16,4.17,4.14,4.14,1200
466,4.179,4.18,4.155,4.155,4200
467,4.195,4.2,4.16,4.18,2450
468,4.18,4.19,4.18,4.19,2038
469,4.195,4.21,4.17,4.18,15580
470,4.18,4.2,4.18,4.19,1300
471,4.17,4.2,4.15,4.2,32696
864,4.2,4.2,4.2,4.2,2437
865,4.18,4.19,4.17,4.19,2400
866,4.2,4.201,4.18,4.195,1580
867,4.19,4.2,4.19,4.2,1086
868,4.155,4.18,4.15,4.17,4547
869,4.17,4.17,4.15,4.15,50700
870,4.17,4.19,4.165,4.175,2000
871,4.2081,4.225,4.17,4.17,3028
872,4.195,4.23,4.181,4.23,6863
873,4.21,4.21,4.2,4.21,1100
874,4.23,4.23,4.2,4.21,4885
875,4.23,4.23,4.21,4.21,1500
876,4.2,4.23,4.2,4.201,6300
877,4.205,4.21,4.2,4.21,3394
878,4.21,4.22,4.2,4.21,4700
879,4.21,4.22,4.21,4.22,500
880,4.22,4.22,4.2,4.21,5394
881,4.21,4.22,4.18,4.21,7275
882,4.21,4.25,4.2,4.205,31100
883,4.22,4.24,4.21,4.215,16660
884,4.215,4.23,4.215,4.218,5631
885,4.205,4.215,4.205,4.215,500
886,4.215,4.22,4.21,4.21,2300
887,4.24,4.24,4.215,4.215,7070
888,4.23,4.25,4.21,4.225,6660
889,4.22,4.24,4.22,4.225,1000
890,4.22,4.24,4.212,4.22,3600
891,4.215,4.22,4.215,4.22,1100
892,4.2,4.23,4.2,4.22,1200
893,4.21,4.21,4.19,4.2,800
894,4.2,4.2,4.19,4.192,600
895,4.192,4.21,4.192,4.2,2100
896,4.21,4.21,4.19,4.192,1000
897,4.21,4.21,4.192,4.2,700
898,4.23,4.23,4.2,4.2,4400
899,4.22,4.24,4.212,4.212,2800
900,4.23,4.24,4.21,4.22,3000
901,4.23,4.23,4.2101,4.2165,3000
902,4.22,4.22,4.215,4.22,1000
903,4.22,4.23,4.21,4.215,15121
