EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,24.89,24.89,24.89,24.89,1652
1,24.8001,24.8001,24.8001,24.8001,130
2,25.06,25.09,24.84,25.02,2400
3,24.56,25.1199,24.46,25.0051,17915
4,24.2,24.4801,24.1,24.4801,6325
5,23.89,24.3328,23.89,24.32,5834
6,24.2529,24.2529,23.89,23.89,2377
7,24.06,24.13,24.02,24.13,2126
8,24.18,24.18,24.095,24.095,700
9,24.22,24.3,24.02,24.12,6770
10,24.16,24.25,24.14,24.25,1347
11,24.15,24.3,24.13,24.277,8977
12,24.1017,24.26,24.07,24.2577,2468
13,24.34,24.34,24.21,24.21,1400
14,24.355,24.465,24.355,24.465,200
15,24.46,24.58,24.41,24.41,1000
16,24.39,24.57,24.36,24.5,3730
17,24.4488,24.52,24.31,24.48,4148
18,24.55,24.55,24.5,24.5,200
19,24.51,24.5698,24.5,24.51,800
20,24.73,24.85,24.51,24.5109,8409
21,24.7081,24.7819,24.68,24.73,1865
22,24.83,24.95,24.76,24.76,3473
23,24.83,24.98,24.71,24.866,11558
24,24.99,24.99,24.805,24.875,4036
25,24.9006,24.99,24.9,24.99,1468
26,24.85,24.92,24.8,24.8371,7132
27,24.84,24.91,24.795,24.82,2594
28,24.93,24.93,24.78,24.86,2800
29,24.86,25.12,24.85,25,15700
30,24.9042,24.97,24.82,24.82,3303
31,24.88,24.91,24.8,24.91,4500
32,24.84,24.87,24.84,24.85,1765
33,24.73,24.84,24.6596,24.74,6307
34,24.88,24.88,24.72,24.83,1800
35,24.82,24.85,24.775,24.85,1900
36,25,25,24.76,24.84,8020
37,24.97,25,24.921,24.99,4310
38,25,25,24.911,24.941,3150
39,24.97,25,24.89,24.9999,49426
144,25.22,25.22,25.22,25.22,1668
145,24.984,25.2,24.984,25.2,1000
146,24.76,25,24.76,25,2522
147,24.9274,25.04,24.76,25.04,400
148,24.86,24.86,24.76,24.8517,4000
149,24.88,24.9642,24.75,24.96,4200
150,24.69,24.8103,24.51,24.75,1635
151,24.7772,24.7772,24.7772,24.7772,250
152,24.7,24.7,24.551,24.6558,800
153,24.5414,24.7072,24.5,24.7072,1200
154,24.74,24.889,24.55,24.55,3800
155,24.87,24.9008,24.6,24.71,1900
156,24.775,25.17,24.59,24.8,10200
157,24.905,24.9185,24.8,24.8,3739
158,24.865,24.9424,24.77,24.8,3500
159,24.77,24.93,24.77,24.77,3000
160,24.7,24.76,24.5644,24.76,5650
161,24.5401,24.7,24.52,24.7,1150
162,24.66,24.7799,24.55,24.55,900
163,24.77,24.79,24.53,24.7,2200
164,24.8,24.85,24.63,24.79,4100
165,24.75,24.97,24.67,24.835,8900
166,24.85,24.885,24.675,24.885,1600
167,24.85,24.85,24.55,24.55,1500
168,24.9319,25,24.69,25,2570
169,24.5401,24.946,24.5401,24.9219,1050
170,24.8,24.94,24.62,24.75,1939
171,24.8,24.89,24.79,24.8004,1100
172,24.8,24.89,24.8,24.83,600
173,24.7,24.7,24.67,24.67,200
174,24.68,24.68,24.68,24.68,100
175,24.86,24.86,24.86,24.86,200
176,24.87,24.874,24.6526,24.81,4404
177,24.77,24.8699,24.77,24.8699,500
178,24.84,24.84,24.7713,24.7713,3380
179,24.8142,24.8142,24.72,24.79,600
180,24.4876,24.77,24.4876,24.77,8844
181,24.43,24.5,24.37,24.5,2353
182,24.4328,24.45,24.42,24.44,900
183,24.44,24.51,24.28,24.41,15334
288,23.6,23.6,23.6,23.6,21021
289,22.7372,23.6,22.0101,23.39,57378
290,22.95,22.98,22.51,22.67,11446
291,22.81,23.24,22.8,22.9568,15284
292,22.92,23.04,22.77,22.84,7750
293,23.2001,23.25,22.9,22.94,5340
294,23.26,23.3892,23.2,23.3024,12374
295,23.9928,24.0449,23.35,23.41,15888
296,23.94,23.98,23.48,23.92,2700
297,23.97,23.97,23.76,23.8572,2188
298,24.02,24.0287,23.891,23.97,8320
299,24.47,24.47,24.02,24.02,6523
300,24.2,24.47,24.2,24.37,3700
301,24.35,24.35,24.06,24.29,1110
302,24.29,24.425,24.29,24.39,850
303,24.13,24.33,24.13,24.33,300
304,24.35,24.3799,24.14,24.2187,4020
305,24.595,24.77,24.35,24.35,11328
306,24.6899,24.6899,24.501,24.5992,2188
307,24.5964,24.68,24.42,24.596,2902
308,24.78,24.83,24.6346,24.6899,9435
309,24.851,24.9399,24.8123,24.8123,2719
310,24.76,24.8999,24.69,24.853,3900
311,24.8199,24.8199,24.61,24.79,5730
312,24.7199,24.7199,24.6,24.64,700
313,24.42,24.72,24.42,24.72,3300
314,24.56,24.65,24.5,24.5,3600
315,24.5,24.5699,24.42,24.5699,1600
316,24.49,24.5999,24.44,24.4997,5300
317,24.5699,24.5699,24.4208,24.5349,5188
318,24.5,24.5003,24.49,24.5,2200
319,24.54,24.58,24.48,24.5,7100
320,24.52,24.6,24.52,24.57,1000
321,24.58,24.6,24.5,24.52,4252
322,24.57,24.58,24.5,24.5799,5400
323,24.5099,24.57,24.44,24.5,16300
324,24.36,24.58,24.36,24.4999,6900
325,24.36,24.49,24.23,24.425,2500
326,24.54,24.57,24.38,24.41,2526
327,24.47,24.55,24.46,24.51,10694
432,24.88,24.88,24.88,24.88,6767
433,24.95,24.95,24.7,24.95,6700
434,24.84,24.95,24.77,24.77,2400
435,24.71,24.8587,24.66,24.84,5568
436,24.56,24.8043,24.56,24.77,4255
437,24.23,24.69,24.23,24.69,8760
438,24.09,24.429,24.09,24.27,3946
439,23.9,24.16,23.85,24.09,5100
440,24.46,24.46,23.88,23.9,3600
441,24.45,24.5,24.385,24.466,10293
442,24.33,24.47,24.33,24.45,1610
443,24.275,24.3256,24.275,24.31,1100
444,24.4,24.4,24.3639,24.3729,650
445,24.275,24.32,24.27,24.32,800
446,24.1903,24.3399,24.12,24.275,4398
448,24.2708,24.34,24.205,24.24,2700
449,24.235,24.26,24.235,24.26,800
450,23.5,24.13,23.5,24.13,36274
451,23.611,23.856,23.611,23.856,800
452,24.06,24.06,23.72,23.77,2450
453,24,24.04,24,24,1300
454,24.0476,24.09,23.99,24,2050
455,23.96,24.07,23.96,24.07,2500
456,23.977,24.013,23.95,23.95,5600
457,23.985,24,23.98,24,1000
458,24,24.02,24,24.02,1500
459,23.88,24.05,23.88,24.05,1100
460,24,24.01,23.85,23.86,4200
461,24.17,24.17,23.95,23.95,3780
462,24.17,24.19,24.05,24.19,1100
463,24.18,24.18,24.17,24.17,400
464,24.09,24.17,24.09,24.17,1400
465,24.09,24.17,24.09,24.17,900
466,24.3953,24.3953,24.145,24.145,10014
467,24.145,24.375,24.145,24.35,5400
468,24.09,24.19,24.06,24.115,6300
469,24.16,24.25,24.06,24.095,6538
470,24.19,24.2,24.15,24.18,6400
471,24.12,24.2,24.06,24.1701,22871
864,24.04,24.04,24.04,24.04,1809
865,23.7001,24.2361,23.7001,24.2361,3850
866,23.55,23.74,23.55,23.72,5891
867,23.7,23.73,23.57,23.6224,5409
868,24,24,23.65,23.74,3690
869,24.01,24.14,23.92,24.1277,1750
870,23.87,23.9813,23.86,23.9,5040
871,23.68,23.87,23.56,23.87,6745
872,23.8,23.92,23.77,23.84,2587
873,23.69,23.89,23.69,23.86,1745
874,23.35,23.646,23.35,23.55,4702
875,23.2594,23.3642,23.18,23.31,2420
876,23.05,23.23,23.05,23.19,3039
877,23.39,23.39,23,23.07,4999
878,23.3636,23.4,23.25,23.25,300
879,23.41,23.41,23.4,23.4,800
880,23.6356,23.69,23.41,23.41,3100
881,23.69,23.7,23.61,23.7,2300
882,23.57,23.7,23.55,23.655,1899
883,23.35,23.469,23.35,23.44,2010
884,23.72,23.86,23.36,23.36,7153
885,23.69,23.9,23.69,23.9,3551
886,23.63,23.64,23.56,23.63,1100
887,23.79,23.79,23.66,23.66,300
888,23.67,23.72,23.56,23.72,1900
889,23.87,23.87,23.74,23.74,900
890,23.86,24,23.86,23.99,1177
891,23.911,24.005,23.911,23.99,6684
892,23.84,23.9269,23.82,23.9269,1600
893,23.93,23.93,23.82,23.82,1500
