EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,70,70,70,70,733
1,70.6,70.7,70.2,70.5,1727
2,70.3,70.45,70.15,70.45,800
3,70.35,70.35,70.225,70.25,500
4,70.45,70.45,70.3,70.3,400
5,70.2,70.5,70.2,70.5,400
6,70.3,70.3,70.3,70.3,100
7,70.35,70.4,70.35,70.4,500
8,70.45,70.45,70.35,70.35,600
9,70.45,70.45,70.4,70.45,800
10,70.305,70.4,70.305,70.4,400
11,70.745,70.745,70.55,70.55,600
12,70.8,70.8,70.8,70.8,100
13,70.85,70.85,70.75,70.8,900
14,70.9,70.9,70.9,70.9,200
15,70.9,71,70.85,71,1300
16,71.15,71.15,70.9,70.9,400
17,71,71.1,70.975,71,1300
18,71.1616,71.1616,71.05,71.05,600
19,70.85,71.05,70.75,71.05,1200
21,71,71,70.9,70.95,800
22,71,71,70.8,70.95,28400
23,71.15,71.3,71.15,71.15,900
24,71.25,71.25,71.15,71.15,1100
25,71.25,71.25,71.15,71.15,600
26,71.2,71.25,71.15,71.25,7900
27,71.375,71.375,71.2,71.25,2400
28,71.35,71.35,71.35,71.35,407
29,71.2,71.4,71.2,71.35,1000
30,71.3,71.35,71.25,71.35,778
31,71.35,71.4,71.3,71.3,1000
32,71.445,71.45,71.4,71.4,300
33,71.45,71.475,71.35,71.475,1400
34,71.425,71.5,71.4,71.5,900
35,71.5,71.5,71.35,71.35,300
36,71.4,71.4,71.3,71.375,900
37,71.2,71.375,71.15,71.375,2905
38,71.2,71.25,71.08,71.1,799
39,71.1,71.2,71,71,6702
144,71.4,71.4,71.4,71.4,673
145,71.25,71.4,71.1,71.4,1200
146,70.7757,70.95,70.7757,70.95,375
147,70.6,70.7,70.6,70.7,500
148,70.7,70.7,70.7,70.7,100
150,70.8,70.85,70.65,70.85,900
151,70.8,71,70.725,71,800
152,70.85,70.85,70.8,70.8,300
153,71.1,71.1,70.95,71,700
154,71.15,71.25,71.1,71.1,1572
155,71.3,71.3,71.2,71.2,300
156,71.7,71.7,71.305,71.35,2800
157,71.7,71.75,71.6,71.65,1000
158,71.575,71.75,71.575,71.75,700
159,71.65,71.7,71.65,71.65,700
160,71.65,71.75,71.65,71.75,800
161,71.75,71.75,71.7,71.7,500
163,71.8,71.85,71.7,71.85,710
164,71.8,71.8,71.5,71.75,2108
165,71.75,71.75,71.7,71.7,1400
167,71.65,71.65,71.55,71.55,800
168,71.55,71.55,71.55,71.55,300
169,71.65,71.65,71.35,71.5,566
170,71.45,71.6,71.45,71.55,400
171,71.3,71.45,71.3,71.4,900
172,71.3,71.3,71.1,71.1,900
174,71.55,71.55,71.2,71.3,700
175,71.6,71.6,71.6,71.6,200
176,71.55,71.6,71.45,71.45,1750
177,71.5,71.6,71.5,71.55,400
178,71.625,71.65,71.6,71.6,860
179,71.65,71.65,71.5,71.625,2000
180,71.55,71.6,71.35,71.5,1800
181,71.35,71.525,71.35,71.525,1100
182,71.35,71.4,71.25,71.25,1400
183,71.4,71.5,71.25,71.45,12292
288,71.55,71.55,71.55,71.55,689
289,71.4,71.9,71.4,71.9,1310
290,71.85,71.85,71.5,71.5,1000
291,71.65,71.75,71.65,71.75,700
292,71.7,71.75,71.65,71.75,1000
293,71.75,71.85,71.65,71.7,900
294,71.5,71.6,71.5,71.6,300
295,71.7,71.75,71.4,71.4,1100
296,71.525,71.525,71.525,71.525,100
297,71.45,71.45,71.45,71.45,100
298,71.4,71.4,71.4,71.4,6538
299,71.35,71.4,71.35,71.35,800
300,71.4,71.4,71.3,71.3,500
301,71.25,71.45,71.25,71.45,500
302,71.35,71.35,71.2,71.2,400
303,71.4,71.4,71.4,71.4,100
304,71.55,71.55,71.45,71.45,200
305,71.475,71.55,71.475,71.55,2700
306,71.4,71.4,71.305,71.4,760
307,71.4,71.645,71.4,71.4,3850
308,71.5,71.6,71.5,71.55,400
309,71.725,71.775,71.55,71.75,3200
310,71.5,71.65,71.5,71.65,500
311,71.4635,71.6,71.4635,71.6,250
312,71.35,71.425,71.35,71.425,200
313,71.4,71.4,71.3,71.35,400
314,71.3,71.35,71.3,71.3,600
315,71.25,71.4,71.25,71.35,400
316,71.3,71.45,71.3,71.45,200
318,71.3,71.35,71.2,71.25,1800
319,71.3,71.3,71.3,71.3,300
320,71.45,71.55,71.35,71.35,6600
321,71.2,71.35,71.2,71.35,300
322,71.45,71.45,71.35,71.35,400
324,71.6,71.6,71.525,71.55,1700
325,71.45,71.625,71.45,71.625,1700
326,71.55,71.55,71.5,71.5,1785
327,71.55,71.6,71.5,71.5,9617
432,71.4,71.4,71.4,71.4,371
433,71.3,71.75,71.3,71.65,2710
434,71.45,71.75,71.35,71.5,2773
435,71.55,71.55,71.55,71.55,300
436,71.25,71.55,71.175,71.35,9700
437,71.3,71.3,71.2,71.2,400
438,71.2,71.25,71.2,71.25,400
439,71.3,71.35,71.3,71.35,1100
440,71.35,71.6,71.35,71.45,1219
441,71.35,71.35,71.3,71.3,500
442,71.3,71.5,71.1,71.15,3170
443,71.15,71.25,71,71.15,2700
444,71.1,71.2,71.1,71.2,500
445,71.5,71.5,71.1,71.1,1356
446,71.35,71.45,71.25,71.45,1200
447,71.25,71.3,71.25,71.3,300
448,71.4,71.4,71.3,71.35,1200
449,71.575,71.575,71.45,71.5,1800
450,71.4,71.4,71.4,71.4,500
451,71.45,71.45,71.45,71.45,544
452,71.4,71.425,71.35,71.425,500
453,71.45,71.45,71.45,71.45,300
454,71.6,71.6,71.5,71.5,900
455,71.625,71.65,71.55,71.6,900
456,71.55,71.7,71.55,71.55,400
457,71.7,71.7,71.625,71.625,500
458,72,72,71.8,71.8,1300
459,71.8,71.85,71.75,71.85,400
460,71.7,71.85,71.7,71.85,1700
461,71.6,71.7,71.6,71.6,500
462,71.65,71.7,71.6,71.6,800
463,71.75,71.75,71.55,71.55,500
464,71.6,71.75,71.55,71.65,800
465,71.4,71.55,71.4,71.55,200
466,71.35,71.4,71.35,71.4,500
467,71.25,71.4,71.2,71.35,700
468,71.45,71.5,71.25,71.25,2200
469,71.4,71.4,71.35,71.4,1300
470,71.45,71.45,71.2,71.25,1600
471,71.25,71.4,71.15,71.35,21796
864,71.55,71.55,71.55,71.55,527
865,71.4,72,71.25,71.6,2027
866,71.55,71.7,71.55,71.7,500
867,71.35,71.55,71.25,71.4,800
868,71.45,71.45,71.3,71.45,1000
869,71.65,71.65,71.55,71.55,200
870,71.45,71.6,71.4,71.5,1440
871,71.75,71.75,71.6,71.6,200
872,71.9,71.9,71.775,71.775,300
873,71.75,71.8,71.75,71.8,200
875,72.4,72.4,71.775,71.9,2200
876,71.95,72.3,71.95,72.3,400
877,72,72.05,71.9,71.95,400
878,72.35,72.4,72.2,72.2,2826
879,72.3,72.375,72.25,72.375,700
881,72.4,72.4,72.4,72.4,300
882,72.3,72.375,72.25,72.375,900
883,72.15,72.2,72.15,72.2,200
884,72.25,72.25,72.2,72.2,300
885,72.15,72.15,71.95,72.1,600
886,72.125,72.2,72.125,72.15,600
887,72.025,72.1,72.025,72.1,400
888,71.85,72.05,71.85,72.05,425
889,71.75,71.9,71.75,71.9,900
890,72.025,72.025,71.8,71.8,800
891,72.1,72.1,72.025,72.025,600
892,72,72.1,71.9,72.1,500
893,71.85,72.1,71.85,72.1,200
894,71.95,71.95,71.95,71.95,100
895,71.85,71.85,71.8,71.85,300
896,71.85,71.85,71.85,71.85,100
897,71.9,71.9,71.85,71.85,600
898,71.9,71.9,71.9,71.9,300
899,72.025,72.05,71.95,72,1215
900,71.8,72.025,71.75,72.025,2500
901,71.75,71.85,71.75,71.85,3600
902,72.1,72.1,71.75,71.8,1902
903,72.35,72.4,72.15,72.15,28482
a1493731800,72.45,72.45,72.45,72.45,853
1,72.3,72.8,72.1,72.8,800
2,71.9,72.3,71.9,72.3,1723
3,72,72.05,71.825,71.875,800
4,71.975,72.05,71.925,71.925,600
5,72.05,72.05,72.05,72.05,200
6,72.15,72.15,72.15,72.15,1500
7,71.975,72.15,71.975,72.15,1400
