EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,8.1,8.1,8.1,8.1,395
1,8.1,8.1,8.1,8.1,2408
3,8.05,8.1,8.05,8.1,4375
4,8.075,8.1,8.075,8.1,300
5,8,8.05,8,8.05,1297
7,8,8,8,8,300
9,8,8,7.95,7.95,200
10,7.95,8.033,7.9,8,3460
13,8,8,8,8,200
14,8,8,8,8,200
17,7.95,7.95,7.95,7.95,100
22,7.95,8,7.95,8,200
24,7.95,7.95,7.95,7.95,100
25,8,8,7.95,8,5700
28,7.95,7.95,7.95,7.95,100
29,8,8,7.975,7.975,200
30,7.975,8,7.975,8,400
31,7.975,7.975,7.975,7.975,100
32,7.975,8,7.975,8,800
33,7.975,8,7.95,8,1200
34,8,8,7.975,8,751
35,8,8,8,8,291
36,7.975,7.975,7.95,7.95,400
37,8,8,8,8,162
38,8,8,7.9905,7.9905,3060
39,7.95,8,7.95,8,6884
144,8,8,8,8,472
145,8,8,8,8,300
148,8,8,7.9947,7.9948,1380
149,8,8,7.992,8,18000
150,7.995,7.995,7.995,7.995,516
151,8.05,8.05,8,8,1299
152,8.025,8.025,8.025,8.025,100
153,8.05,8.05,8,8.05,1400
154,8.05,8.05,8.05,8.05,400
155,8.05,8.05,8.05,8.05,100
156,8.15,8.15,8.05,8.05,9084
157,8.055,8.055,8.055,8.055,1500
158,8.15,8.15,8.15,8.15,100
159,8.05,8.05,8.05,8.05,2232
160,8.1,8.1,8.05,8.05,400
162,8.05,8.1,8.05,8.1,2000
164,8.05,8.1,8.05,8.1,867
165,8.05,8.1,8.05,8.1,2562
166,8.05,8.05,8.045,8.045,1100
167,8.05,8.05,8.05,8.05,100
168,8.05,8.05,8.05,8.05,300
169,8.05,8.05,8.025,8.025,3200
170,8.05,8.05,8.05,8.05,352
171,8.1,8.1,8.05,8.05,1832
172,8.1,8.1,8.05,8.075,1800
173,8.1,8.1,8.05,8.05,3300
174,8.1,8.1,8.1,8.1,100
175,8.1,8.1,8.1,8.1,100
176,8.1,8.1,8.1,8.1,2200
177,8.1,8.1,8.075,8.075,2750
179,8.1,8.15,8.1,8.15,200
180,8.1,8.1,8.1,8.1,6900
181,8.1,8.15,8.1,8.15,1800
182,8.125,8.15,8.1,8.125,2300
183,8.1,8.15,8.1,8.15,11975
288,8.15,8.15,8.15,8.15,322
289,8.15,8.15,8.15,8.15,100
291,8.15,8.15,8.1,8.1,700
293,8,8.075,8,8.05,3200
294,8,8,8,8,400
297,8,8,8,8,100
299,8,8,8,8,100
302,8,8.05,8,8.05,200
306,8,8,8,8,100
308,8,8,8,8,200
309,8.05,8.05,8.05,8.05,900
311,8.05,8.05,8.025,8.05,1400
312,8.05,8.05,8.05,8.05,200
314,8.05,8.05,8.05,8.05,600
315,8,8.025,8,8.025,200
316,8,8.025,8,8.025,2800
317,7.975,8,7.95,7.95,1200
318,8.05,8.05,8,8,1500
320,8.025,8.05,8,8.05,2080
321,7.95,8.05,7.95,8,1800
322,7.95,7.95,7.95,7.95,100
323,7.95,7.95,7.95,7.95,200
324,7.95,7.95,7.95,7.95,100
325,8.05,8.05,7.95,8,800
326,7.95,8,7.95,7.95,600
327,7.95,8,7.95,8,4408
433,8,8.05,8,8.05,700
436,7.9,7.9,7.9,7.9,200
440,7.9,7.95,7.9,7.9,1000
441,7.9,7.9,7.9,7.9,400
442,7.9,7.9,7.9,7.9,500
445,7.9,7.9,7.9,7.9,100
446,7.9,7.9,7.9,7.9,100
447,7.9,7.9,7.9,7.9,100
450,7.7,7.85,7.6,7.85,12382
451,7.7,7.7,7.7,7.7,100
453,7.7,7.7,7.65,7.65,300
454,7.65,7.65,7.65,7.65,200
456,7.7,7.7,7.7,7.7,200
457,7.7,7.7,7.7,7.7,1849
458,7.7,7.7,7.7,7.7,100
459,7.7,7.7,7.675,7.7,300
461,7.7,7.7,7.7,7.7,100
464,7.7,7.7,7.7,7.7,836
465,7.6805,7.7,7.6805,7.7,900
466,7.7,7.7,7.675,7.675,2900
467,7.7,7.75,7.7,7.7,1523
468,7.75,7.8,7.75,7.8,200
469,7.8,7.8,7.8,7.8,100
470,7.75,7.75,7.75,7.75,286
471,7.75,7.8,7.7,7.75,7151
864,8,8,8,8,809
865,7.9,7.95,7.9,7.9,1865
868,7.9,7.9,7.9,7.9,100
870,7.95,7.95,7.95,7.95,400
871,7.95,7.95,7.95,7.95,450
872,8,8,7.95,7.97,3100
873,7.95,7.95,7.9,7.9,2100
876,7.95,7.95,7.95,7.95,1160
877,7.9,7.9,7.9,7.9,300
879,7.9,7.9,7.9,7.9,100
880,7.95,7.95,7.95,7.95,200
881,7.9,7.9,7.9,7.9,603
883,7.8,7.8,7.8,7.8,100
884,7.85,7.85,7.85,7.85,100
885,7.8,7.8,7.8,7.8,200
886,7.85,7.85,7.85,7.85,100
888,7.8,7.8,7.8,7.8,100
891,7.8,7.8,7.8,7.8,100
893,7.9,7.9,7.9,7.9,100
896,7.8,7.8,7.8,7.8,1853
898,7.85,7.85,7.85,7.85,300
901,7.9,7.9,7.9,7.9,200
902,7.825,7.825,7.825,7.825,400
903,7.85,7.85,7.825,7.85,2456
a1493731800,7.9,7.9,7.9,7.9,155
1,7.75,7.75,6.85,7.5,895
3,7.825,7.825,7.825,7.825,100
5,7.85,7.85,7.85,7.85,1300
7,7.85,7.85,7.75,7.85,3279
8,7.9,7.9,7.9,7.9,100
10,7.85,7.85,7.85,7.85,100
11,7.9,7.9,7.9,7.9,100
20,7.95,7.95,7.95,7.95,100
23,7.95,7.95,7.95,7.95,776
29,7.95,7.95,7.95,7.95,100
32,7.9,7.9,7.9,7.9,900
34,7.95,7.95,7.95,7.95,100
35,7.95,7.95,7.95,7.95,300
36,7.9,7.95,7.9,7.95,630
37,7.9,7.9,7.9,7.9,100
38,7.9,7.95,7.85,7.95,900
39,7.9,7.9,7.875,7.9,2774
144,7.9,7.9,7.9,7.9,318
145,7.9,7.9503,7.9,7.9503,982
147,7.95,7.95,7.9,7.9,200
148,7.9,7.9,7.9,7.9,900
151,7.9,7.95,7.9,7.95,200
154,7.9,7.9,7.9,7.9,1800
155,7.9,7.9,7.9,7.9,1584
160,7.9,7.9,7.9,7.9,100
171,7.875,7.9,7.875,7.9,300
172,7.9,7.9,7.9,7.9,500
173,7.9,7.9,7.9,7.9,100
175,7.9,7.9,7.9,7.9,200
176,7.9,7.9,7.9,7.9,300
177,7.9,7.9,7.9,7.9,600
179,7.9,7.9,7.9,7.9,100
180,7.9,7.9,7.9,7.9,700
181,7.9,7.9,7.9,7.9,600
182,7.9,7.9,7.9,7.9,700
183,7.85,7.9,7.85,7.9,3708
288,7.95,7.95,7.95,7.95,128
291,7.8,7.8,7.8,7.8,200
292,7.8,7.85,7.8,7.85,700
293,7.8,7.8,7.8,7.8,300
294,7.85,7.85,7.85,7.85,200
295,7.85,7.85,7.85,7.85,100
296,7.85,7.85,7.85,7.85,100
297,7.825,7.825,7.825,7.825,100
299,7.85,7.85,7.85,7.85,100
304,7.85,7.85,7.85,7.85,100
305,7.825,7.825,7.825,7.825,100
308,7.9,7.9,7.85,7.85,1000
310,7.9,7.9,7.9,7.9,100
313,7.9,7.9,7.9,7.9,300
315,7.9,7.9,7.9,7.9,200
317,7.9,7.9,7.9,7.9,100
319,7.9,7.9,7.9,7.9,1400
320,7.95,7.95,7.95,7.95,100
321,8,8,8,8,100
322,8,8,8,8,100
323,7.95,8,7.95,7.95,700
324,7.95,7.95,7.95,7.95,300
325,7.95,8,7.95,8,500
326,7.95,8,7.95,8,400
327,7.95,8,7.9,8,4818
432,7.95,7.95,7.95,7.95,122
436,7.875,7.875,7.875,7.875,3100
438,7.9,7.95,7.9,7.95,1000
439,7.9,7.9,7.9,7.9,500
440,7.85,7.95,7.85,7.9,4329
441,7.9,7.9,7.9,7.9,100
442,7.9,7.9,7.85,7.9,1000
444,7.95,7.95,7.95,7.95,100
446,7.95,7.95,7.95,7.95,200
450,7.9,7.9,7.9,7.9,100
451,7.95,7.95,7.95,7.95,100
