EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,20.27,20.27,20.27,20.27,104
4,20.27,20.27,20.08,20.08,200
7,20.3,20.44,20.2699,20.2699,2450
9,20.42,20.42,20.37,20.37,300
11,20.43,20.43,20.42,20.42,200
12,20.44,20.55,20.44,20.45,4023
16,20.4678,20.4678,20.4678,20.4678,119
18,20.54,20.54,20.54,20.54,100
20,20.46,20.46,20.46,20.46,100
23,20.47,20.47,20.47,20.47,100
27,20.46,20.53,20.46,20.53,200
28,20.54,20.54,20.54,20.54,100
33,20.64,20.78,20.45,20.55,2230
36,20.8786,20.8786,20.8786,20.8786,1000
37,20.76,20.77,20.75,20.77,400
38,20.71,20.71,20.7,20.7,400
39,20.62,20.74,20.57,20.6041,1419
144,20.99,20.99,20.99,20.99,2306
145,20.9738,21.1564,20.9738,20.99,5117
146,20.5108,21.0553,20.462,21.0553,5819
147,20.41,20.5108,20.35,20.5108,1567
148,20.41,20.41,20.41,20.41,200
149,20.42,20.42,20.42,20.42,100
150,20.05,20.3,20.05,20.3,2300
151,20.058,20.058,20.01,20.01,550
152,19.8895,20.01,19.85,20.01,2090
153,19.74,19.83,19.69,19.83,1074
154,19.8,19.8,19.321,19.38,3600
155,20.0593,20.0593,19.8,19.82,900
156,20,20,19.96,19.96,400
157,19.76,19.76,19.76,19.76,100
158,19.78,19.79,19.6588,19.79,400
159,19.61,19.68,19.6,19.68,500
160,19.55,19.55,19.55,19.55,100
162,19.52,19.577,19.33,19.51,2900
163,19.2,19.42,19.11,19.42,800
164,19.2,19.34,19.2,19.2,600
168,19.09,19.4513,19.09,19.37,500
169,19.32,19.32,19.17,19.17,300
170,19.275,19.275,19.275,19.275,100
171,19.3682,19.395,19.275,19.275,1000
172,19.49,19.49,19.43,19.43,800
173,19.5,19.8699,19.5,19.8699,5690
174,19.6336,19.67,19.6336,19.67,200
175,19.54,19.54,19.54,19.54,100
177,19.5195,19.5195,19.5,19.5008,9335
178,19.37,19.5682,19.3,19.5682,2798
179,19.312,19.36,19.3,19.36,1400
180,19.3841,19.3841,19.3,19.31,400
181,19.43,19.43,19.3114,19.4,1400
182,19.3,19.3689,19.3,19.31,1200
183,19.47,19.53,19.3,19.31,9520
288,19.35,19.35,19.35,19.35,503
289,19.282,19.282,19.282,19.282,200
290,19.4053,19.4053,19.4053,19.4053,130
293,19.29,19.36,19.28,19.36,1400
294,19.2,19.28,19.15,19.28,700
295,19.2,19.2,19.15,19.15,400
297,19.24,19.24,19.24,19.24,100
298,19.27,19.28,19.22,19.22,750
299,19.26,19.26,19.26,19.26,300
301,19.14,19.14,19.14,19.14,100
302,19.13,19.19,19.13,19.15,600
303,19.2104,19.2104,19.1814,19.1814,650
304,19.08,19.08,19.08,19.08,100
305,19.11,19.23,19.06,19.23,800
306,19.09,19.09,19.09,19.09,100
308,19.05,19.05,19.05,19.05,100
309,19.11,19.21,19.11,19.2,965
311,19.24,19.2408,19.1353,19.2408,1424
312,19.2,19.2,19.2,19.2,300
313,19.2,19.27,19.2,19.27,500
314,19.08,19.28,19.08,19.2,300
316,19.02,19.06,19.01,19.06,800
318,18.86,18.96,18.86,18.96,500
319,18.93,18.94,18.92,18.94,900
320,18.92,18.92,18.92,18.92,100
321,18.939,18.939,18.92,18.92,1000
322,19.13,19.1397,18.91,18.91,4717
323,18.98,18.98,18.98,18.98,100
324,19.0092,19.0748,18.95,18.95,850
325,18.96,19.06,18.96,18.97,300
326,18.96,18.96,18.96,18.96,200
327,18.97,19.16,18.97,19.13,1031
433,19.2518,19.2518,19.2518,19.2518,400
435,18.7801,19.035,18.7801,18.87,1000
437,18.9968,18.9968,18.84,18.84,1800
438,18.94,18.96,18.94,18.96,500
440,18.8818,18.91,18.82,18.82,300
442,18.83,18.86,18.83,18.86,400
443,18.89,18.89,18.89,18.89,100
446,18.88,18.88,18.88,18.88,100
450,18.9,18.9,18.9,18.9,100
451,18.91,18.91,18.9,18.9,200
454,19.11,19.11,18.92,18.92,1570
459,18.99,18.99,18.99,18.99,100
461,19.1092,19.1092,19.1092,19.1092,103
462,19.01,19.01,19.01,19.01,100
464,19.03,19.03,19.03,19.03,100
465,19.02,19.04,19.02,19.04,200
466,19.05,19.05,19.05,19.05,100
470,19.02,19.03,19.02,19.02,660
471,19.07,19.11,19.02,19.09,1266
864,19.07,19.07,19.07,19.07,111
865,19.2365,19.2365,19.06,19.07,401
866,19.01,19.01,19.01,19.01,100
867,18.91,18.91,18.91,18.91,200
868,18.9,18.9,18.9,18.9,100
872,18.92,18.92,18.92,18.92,500
873,18.95,19.0003,18.95,19.0003,600
874,19.05,19.05,18.93,18.93,300
877,18.94,18.94,18.94,18.94,100
878,18.97,18.9863,18.97,18.9863,1569
879,18.825,18.92,18.8,18.92,4500
880,18.78,18.78,18.78,18.78,100
881,18.78,18.88,18.78,18.87,1284
882,18.77,18.77,18.77,18.77,100
884,18.77,18.77,18.77,18.77,100
885,18.55,18.76,18.55,18.76,2401
886,18.6793,18.71,18.54,18.54,500
887,18.7,18.7,18.65,18.65,1500
888,18.6,18.6,18.45,18.45,200
890,18.61,18.61,18.61,18.61,600
891,18.6647,18.6647,18.63,18.63,297
892,18.665,18.665,18.665,18.665,100
893,18.62,18.62,18.62,18.62,100
894,18.57,18.57,18.57,18.57,100
895,18.6,18.6,18.6,18.6,402
896,18.56,18.56,18.56,18.56,400
897,18.7,18.7,18.5947,18.5947,1730
898,18.65,18.65,18.65,18.65,250
899,18.7,18.7,18.69,18.69,2629
900,18.6025,18.7,18.6025,18.7,1000
901,18.62,18.66,18.61,18.65,1300
902,18.62,18.62,18.62,18.62,1013
903,18.56,18.59,18.52,18.52,1200
a1493731800,18.44,18.44,18.44,18.44,1109
1,18.44,18.44,18.44,18.44,900
6,18.5,18.54,18.5,18.51,800
7,18.6,18.73,18.5,18.5,800
8,18.64,19.2112,18.6,18.6,600
10,18.7312,18.7312,18.51,18.68,4299
11,18.69,18.75,18.61,18.7,600
13,18.6211,18.68,18.6211,18.68,289
14,19.0828,19.0828,19.0828,19.0828,381
26,18.92,18.92,18.92,18.92,100
27,18.745,18.78,18.745,18.78,612
28,19,19.01,18.67,18.67,3650
32,19.11,19.11,19.0135,19.0135,620
34,19.03,19.05,19.03,19.05,500
39,19.29,19.29,19.075,19.075,800
144,19.2,19.2,19.2,19.2,170
145,18.95,19.2,18.95,19,968
146,18.86,18.96,18.8,18.96,3030
147,18.7118,18.7118,18.7118,18.7118,710
148,18.8,18.84,18.7582,18.79,2659
149,18.73,18.7988,18.73,18.7988,1566
151,18.93,19,18.84,18.84,300
152,18.93,18.93,18.93,18.93,100
153,18.7431,18.93,18.7431,18.93,515
154,18.71,18.71,18.71,18.71,100
155,18.72,18.72,18.72,18.72,100
157,18.8,18.8,18.75,18.776,1400
159,18.825,18.909,18.825,18.9,1271
160,18.85,18.85,18.79,18.79,200
161,18.79,18.79,18.79,18.79,100
162,18.89,18.89,18.8518,18.88,800
163,18.86,18.86,18.86,18.86,200
164,18.9,18.9,18.9,18.9,100
165,18.82,18.83,18.82,18.83,300
166,18.91,18.91,18.91,18.91,100
167,18.82,18.82,18.82,18.82,100
168,19,19,18.91,18.91,3838
169,19.03,19.03,19.02,19.02,200
171,18.86,18.86,18.86,18.86,100
172,18.85,18.85,18.85,18.85,100
173,18.85,18.85,18.85,18.85,100
174,19.0308,19.0308,19.0308,19.0308,500
175,19.2802,19.36,18.9758,19.32,2001
176,19.34,19.4,19.31,19.4,505
177,19.3,19.54,19.27,19.41,1100
178,19.28,19.44,19.27,19.44,400
179,19.24,19.24,19.24,19.24,100
180,19.3383,19.3383,19.3383,19.3383,229
182,19.6,19.6,19.6,19.6,100
183,19.66,19.66,19.5,19.6028,1410
288,19.42,19.42,19.42,19.42,197
291,19.1005,19.1005,18.92,18.92,200
292,18.8192,19.1,18.8192,19.1,700
293,19,19.0717,19,19.0717,600
294,18.87,19.03,18.87,19.03,300
295,18.9693,18.9693,18.8,18.8,400
297,18.86,18.86,18.86,18.86,100
