EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,97.34,97.34,97.34,97.34,2655
1,96.98,97.05,96.98,97.05,400
2,96.95,96.95,96.95,96.95,100
3,96.99,96.99,96.9397,96.9397,658
4,97.11,97.12,97.11,97.12,1100
5,97.0101,97.1899,97.0008,97.0008,4908
6,97.15,97.16,97.085,97.15,960
7,97.2,97.2,97.15,97.15,200
8,97.03,97.18,97.03,97.18,2842
10,97.156,97.16,97.156,97.16,715
11,97.1584,97.1584,97.1584,97.1584,145
12,97.31,97.3299,97.27,97.3299,4100
13,97.305,97.305,97.29,97.29,200
14,97.45,97.45,97.45,97.45,190
15,97.4999,97.4999,97.4999,97.4999,256
16,97.6065,97.6065,97.48,97.48,535
17,97.66,97.67,97.66,97.66,14000
18,97.67,97.69,97.663,97.69,606
19,97.67,97.67,97.6,97.6,700
20,97.72,97.72,97.67,97.67,700
21,97.73,97.74,97.6736,97.6736,1775
22,97.84,97.84,97.74,97.74,1145
23,97.83,97.84,97.83,97.84,400
24,97.8232,97.83,97.81,97.83,2103
25,97.8499,97.85,97.76,97.807,6225
26,97.75,97.8499,97.75,97.82,14150
27,97.76,97.76,97.76,97.76,100
28,97.78,97.78,97.65,97.76,1944
29,97.838,97.85,97.838,97.85,1634
30,97.7844,97.7844,97.7844,97.7844,112
31,97.7715,97.782,97.74,97.75,702
32,97.7889,97.7889,97.7889,97.7889,102
33,97.7255,97.7255,97.7255,97.7255,102
34,97.7111,97.7111,97.7007,97.7007,1100
35,97.724,97.782,97.724,97.782,406
37,97.7999,97.7999,97.7999,97.7999,245
38,97.73,97.7678,97.73,97.73,980
39,97.71,97.74,97.69,97.74,973
144,98.16,98.16,98.16,98.16,2310
145,97.96,97.96,97.96,97.96,100
146,97.8639,97.96,97.8639,97.96,500
149,97.8322,97.8322,97.8322,97.8322,206
150,97.8484,97.8484,97.8484,97.8484,300
151,97.8,97.8999,97.8,97.8999,602
152,97.8006,97.81,97.77,97.77,1321
153,97.8387,97.8387,97.8387,97.8387,204
154,97.81,97.85,97.81,97.83,400
155,97.8264,97.8264,97.8264,97.8264,110
156,97.9085,97.9085,97.835,97.835,204
158,97.7,97.8272,97.7,97.8272,1010
160,97.65,97.65,97.65,97.65,100
164,97.68,97.68,97.68,97.68,100
166,97.765,97.765,97.765,97.765,100
167,97.7024,97.7024,97.7024,97.7024,100
168,97.8099,97.8099,97.7951,97.7951,502
169,97.79,97.79,97.79,97.79,100
171,97.73,97.7499,97.73,97.7499,202
172,97.5836,97.67,97.5575,97.5575,1220
173,97.7722,97.7722,97.7549,97.7549,667
174,97.81,97.81,97.8,97.8,430
175,97.7885,97.8832,97.714,97.714,652
176,97.8371,97.8371,97.8371,97.8371,100
177,97.8957,97.8957,97.8596,97.8596,330
180,97.964,97.9999,97.9,97.9999,851
181,97.9,97.91,97.9,97.91,400
183,97.72,97.72,97.72,97.72,197
288,97.89,97.89,97.89,97.89,218
289,97.65,97.93,97.65,97.93,800
290,98.26,98.26,97.98,97.98,785
291,98.36,98.36,98.18,98.26,825
292,98.47,98.51,98.36,98.36,600
293,98.55,98.55,98.49,98.49,1000
294,98.565,98.565,98.52,98.52,200
295,98.62,98.62,98.5832,98.585,475
296,98.46,98.66,98.46,98.65,700
297,98.48,98.52,98.3984,98.49,13854
298,98.54,98.54,98.49,98.49,200
299,98.62,98.62,98.5699,98.5699,400
300,98.51,98.61,98.51,98.555,700
301,98.57,98.58,98.54,98.54,300
302,98.55,98.55,98.535,98.535,300
303,98.5912,98.622,98.525,98.5647,2080
304,98.56,98.62,98.56,98.62,400
305,98.52,98.56,98.52,98.52,701
306,98.55,98.5635,98.53,98.53,1750
307,98.54,98.54,98.54,98.54,100
308,98.635,98.635,98.625,98.63,300
309,98.63,98.63,98.62,98.62,200
310,98.6546,98.6546,98.63,98.65,700
311,98.63,98.66,98.628,98.6546,1358
312,98.67,98.67,98.66,98.66,200
313,98.63,98.6339,98.62,98.62,1000
314,98.5404,98.654,98.54,98.654,976
315,98.6,98.6,98.575,98.575,200
317,98.5528,98.5528,98.5528,98.5528,1000
318,98.5668,98.5767,98.55,98.571,1581
319,98.614,98.62,98.564,98.564,433
320,98.685,98.685,98.685,98.685,101
321,98.758,98.758,98.758,98.758,100
322,98.76,98.76,98.7362,98.7362,973
324,98.73,98.83,98.73,98.81,900
325,98.87,98.87,98.7884,98.7924,352
326,98.95,98.95,98.8755,98.876,15188
327,98.81,98.92,98.785,98.85,3529
432,99.62,99.62,99.62,99.62,1445
433,99.5799,99.62,99.3325,99.62,1100
434,99.325,99.325,99.29,99.29,680
435,99.1,99.1,99.05,99.07,14191
436,99.07,99.26,99.07,99.08,4089
437,99.095,99.1025,99.095,99.1025,200
438,99.1408,99.2,99.11,99.2,300
439,99.01,99.01,99.01,99.01,100
441,99.03,99.03,99.03,99.03,200
442,99.08,99.08,99.0501,99.0501,325
443,98.95,99.04,98.95,99.04,400
444,98.9843,99.005,98.9843,99.005,500
445,98.8648,98.9561,98.8648,98.9561,425
448,98.87,98.915,98.87,98.915,200
449,99.1199,99.1199,99.09,99.09,200
452,99.13,99.13,99.13,99.13,100
453,99.2,99.2,99.2,99.2,100
455,99.2675,99.2675,99.2675,99.2675,100
456,99.275,99.275,99.275,99.275,100
460,99.258,99.27,99.258,99.27,343
461,99.2209,99.2209,99.2209,99.2209,100
463,99.195,99.25,99.195,99.2,1890
464,99.1408,99.1408,99.1408,99.1408,211
465,99.13,99.13,99.13,99.13,100
466,99.158,99.17,99.078,99.141,24371
467,99.17,99.17,99.1662,99.1662,338
468,99.17,99.183,99.17,99.183,701
469,99.1625,99.1899,99.1625,99.1899,200
471,99.2,99.2,99.156,99.156,634
864,99.76,99.76,99.76,99.76,1890
865,99.76,99.76,99.76,99.76,230
866,99.7304,99.87,99.7304,99.87,312
867,99.9037,99.9037,99.8963,99.8963,1793
868,99.95,100,99.95,100,700
869,100,100,99.85,99.93,1442
870,100.17,100.176,100.02,100.02,1200
871,100.1383,100.2499,100.0401,100.23,2589
873,100.34,100.36,100.309,100.309,3364
874,100.3944,100.4123,100.355,100.38,2516
875,100.3884,100.43,100.3832,100.43,2067
876,100.4,100.4,100.3299,100.33,1150
877,100.449,100.449,100.41,100.41,1500
879,100.41,100.5012,100.41,100.5012,501
880,100.44,100.49,100.386,100.386,33380
882,100.41,100.41,100.38,100.38,249
883,100.51,100.5599,100.51,100.53,425
884,100.52,100.57,100.52,100.57,1250
885,100.4916,100.5699,100.38,100.5699,900
886,100.5686,100.578,100.52,100.56,1322
887,100.583,100.583,100.48,100.56,750
889,100.7202,100.7202,100.7202,100.7202,138
890,100.5687,100.5687,100.5687,100.5687,200
891,100.7497,100.7497,100.7497,100.7497,200
892,100.8299,100.856,100.8299,100.849,304
894,100.825,100.825,100.7691,100.7691,1416
895,100.7632,100.7632,100.7632,100.7632,250
897,100.6919,100.725,100.68,100.68,750
898,100.7425,100.75,100.7425,100.75,200
900,100.785,100.785,100.7587,100.7587,451
901,100.82,100.82,100.779,100.78,395
902,100.69,100.768,100.69,100.768,400
903,100.64,100.69,100.51,100.69,2257
a1493731800,100.72,100.72,100.72,100.72,1674
1,100.7172,100.7172,100.7172,100.7172,400
2,100.75,100.9039,100.75,100.85,764
3,100.62,100.65,100.62,100.65,746
4,100.57,100.57,100.45,100.56,554
9,100.9151,100.9151,100.9151,100.9151,700
10,100.9735,100.98,100.805,100.805,300
11,100.9999,101,100.9999,101,1000
12,101.1,101.1,101,101,25235
13,101.1425,101.1425,101.0999,101.0999,5010
14,101.1525,101.1525,101.0175,101.0175,200
15,101.1765,101.1899,101.1765,101.1899,200
16,101.1988,101.1988,101.1634,101.1634,446
17,101.2035,101.2236,101.2035,101.2236,391
20,101.26,101.3599,101.26,101.3599,600
21,101.14,101.2358,101.14,101.2358,200
22,101.2588,101.2588,101.2442,101.2442,366
23,101.2,101.26,101.1791,101.26,750
24,101.13,101.22,101.13,101.22,200
27,101.094,101.11,101.094,101.11,400
