EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,32.95,32.95,32.95,32.95,1421
1,33.1,33.1,32.3,32.35,2708
2,33.2,33.25,33.1,33.1,2225
3,33.15,33.15,33.05,33.15,2200
4,33.2,33.2,33.1,33.15,3600
5,33,33.15,33,33.15,4700
6,33.025,33.025,32.95,33,1900
7,33.1,33.125,32.95,33.025,5565
8,33.05,33.1,33.0246,33.1,2012
9,33.025,33.1,33,33,3299
10,33.1,33.1,33.025,33.05,3000
11,33.2,33.2,33.0673,33.1,3100
12,33.125,33.2,33.1,33.2,4233
13,33.1,33.15,33.075,33.15,3768
14,33.1,33.1,33.075,33.1,2300
15,33.175,33.2,33.125,33.15,4071
16,33.325,33.35,33.175,33.2,4190
17,33.4,33.4,33.225,33.325,6100
18,33.4,33.4,33.375,33.4,1000
19,33.35,33.4,33.275,33.4,6451
20,33.35,33.4,33.35,33.35,1682
21,33.35,33.4,33.35,33.35,1700
22,33.45,33.5,33.375,33.4,9581
23,33.475,33.475,33.45,33.45,400
24,33.5,33.55,33.45,33.45,12910
25,33.45,33.45,33.45,33.45,300
26,33.45,33.5,33.425,33.5,4900
27,33.425,33.45,33.425,33.45,2193
28,33.45,33.5,33.425,33.425,2000
29,33.475,33.5,33.475,33.475,2000
30,33.475,33.5,33.45,33.4723,1633
31,33.4,33.5,33.4,33.5,6007
32,33.325,33.4,33.3,33.4,6868
33,33.25,33.275,33.25,33.275,900
34,33.3,33.3,33.25,33.25,4962
35,33.325,33.35,33.3,33.3,7344
36,33.375,33.4,33.325,33.35,4853
37,33.3,33.4,33.3,33.375,8041
38,33.25,33.4,33.25,33.325,16935
39,33.2,33.3,33.15,33.25,49620
144,33,33,33,33,4145
145,33,33.15,32.7,32.8,3593
146,33,33.05,32.9,32.95,4925
147,32.85,32.9,32.85,32.9,1180
148,32.8,32.95,32.7,32.85,5400
149,32.775,32.85,32.775,32.85,1700
150,32.9,32.9,32.8,32.8,4400
151,32.842,32.925,32.842,32.9,4425
152,32.95,32.95,32.85,32.85,2000
153,33.075,33.1,33,33,2200
154,32.9,33.05,32.9,33.05,2600
155,32.85,32.95,32.85,32.925,6840
156,32.95,33.05,32.85,32.95,9200
157,32.925,32.95,32.9,32.9,2783
158,32.85,32.925,32.85,32.9,3800
159,32.85,32.85,32.8,32.85,1400
160,32.875,32.9,32.8,32.825,2600
161,33,33,32.9,32.9,1400
162,32.975,33,32.975,33,2400
163,32.975,33,32.9,33,4752
164,33.05,33.05,32.95,33,4742
165,33,33.125,33,33.1,8487
166,33.15,33.15,33.05,33.05,2900
167,33.15,33.25,33.15,33.15,4970
168,33.2,33.2,33.15,33.175,2500
169,33.25,33.25,33.15,33.15,3205
170,33.175,33.275,33.15,33.25,5000
171,33.2,33.25,33.15,33.175,3476
172,33.2,33.25,33.15,33.175,3300
173,33.15,33.25,33.15,33.175,3444
174,33.1383,33.25,33.1383,33.2,8367
175,33.175,33.225,33.125,33.125,3200
176,33.2,33.2188,33.15,33.2,5223
177,33.055,33.225,33.055,33.2,5845
178,33.125,33.15,33.1,33.1,1829
179,33.125,33.15,33.1,33.15,3582
180,33.075,33.125,33,33.125,6344
181,33.15,33.175,33.05,33.075,14289
182,33.025,33.15,33,33.125,12776
183,32.9,33.05,32.9,33.025,64181
288,33,33,33,33,1544
289,33,33.1,33,33,611
290,32.9,32.9,32.8,32.9,1820
291,32.705,32.95,32.7,32.95,1100
292,32.775,32.775,32.775,32.775,100
293,32.8,32.8,32.75,32.8,1994
294,32.6,32.85,32.6,32.85,1830
295,32.7,32.7,32.55,32.6,1500
296,32.6,32.8,32.6,32.8,2500
297,32.6,32.6,32.55,32.55,2372
298,32.55,32.589,32.55,32.589,594
299,32.625,32.65,32.55,32.55,2064
300,32.625,32.7,32.6,32.7,2600
301,32.6,32.65,32.6,32.625,4500
302,32.65,32.65,32.6,32.6,2328
303,32.7,32.7,32.621,32.621,2179
304,32.75,32.8,32.7,32.75,6000
305,32.752,32.752,32.75,32.75,1035
307,32.75,32.75,32.725,32.75,1400
308,32.75,32.8,32.7,32.725,3200
309,32.85,32.85,32.775,32.8,1983
310,32.8,32.8,32.8,32.8,600
311,32.9,32.9,32.8,32.8,300
312,32.75,32.9,32.75,32.9,4710
313,32.75,32.8,32.7,32.8,1333
314,32.75,32.8,32.75,32.8,600
315,32.775,32.775,32.75,32.75,778
316,32.8,32.85,32.75,32.8,3900
317,32.825,32.825,32.75,32.8,1600
318,32.775,32.8373,32.7,32.8,3954
319,32.75,32.8,32.75,32.775,2705
320,32.75,32.7512,32.7,32.7512,2631
321,32.75,32.75,32.7,32.75,1160
322,32.65,32.75,32.65,32.75,1900
323,32.65,32.6827,32.65,32.65,2918
324,32.65,32.7,32.65,32.7,1500
325,32.65,32.675,32.625,32.65,3589
326,32.65,32.7,32.6,32.65,14724
327,32.65,32.7,32.6,32.65,57894
432,32.65,32.65,32.65,32.65,1170
433,32.45,32.6,32.45,32.6,1394
434,32.55,32.55,32.35,32.35,1000
436,32.55,32.575,32.5,32.575,900
437,32.5,32.55,32.5,32.55,1000
438,32.45,32.45,32.45,32.45,600
439,32.4,32.45,32.35,32.4,5000
440,32.35,32.4,32.35,32.4,700
441,32.361,32.4,32.361,32.4,753
442,32.3,32.375,32.3,32.35,3372
443,32.25,32.3,32.25,32.25,1404
444,32.35,32.35,32.3,32.3,2300
445,32.2864,32.35,32.25,32.3,600
446,32.125,32.25,32.125,32.25,3810
447,32.15,32.2,32.15,32.15,1369
448,32.25,32.25,32.125,32.125,1296
449,32.217,32.25,32.217,32.225,2078
450,32.225,32.225,32.15,32.225,1442
451,32.175,32.25,32.175,32.225,1146
452,32.225,32.225,32.175,32.175,1880
453,32.2,32.25,32.171,32.225,1772
454,32.2,32.2,32.2,32.2,400
455,32.175,32.2,32.175,32.2,1500
456,32.225,32.225,32.15,32.175,1300
457,32.2,32.225,32.175,32.225,796
458,32.25,32.25,32.2,32.2,400
459,32.25,32.25,32.15,32.15,400
460,32.2,32.2,32.15,32.15,200
461,32.2,32.2,32.15,32.15,4000
462,32.15,32.2,32.15,32.15,2040
463,32.175,32.2,32.175,32.195,1400
464,32.225,32.25,32.2,32.2,1100
465,32.25,32.25,32.175,32.25,3120
466,32.3,32.3,32.25,32.25,6216
467,32.2,32.25,32.2,32.25,300
468,32.2,32.25,32.2,32.225,2299
469,32.225,32.225,32.175,32.225,3420
470,32.225,32.25,32.2,32.225,1874
471,32.2,32.25,32.125,32.225,59953
864,32.25,32.25,32.25,32.25,2230
865,32.15,32.35,32.15,32.35,600
866,32.25,32.4,32.2,32.2,700
867,32.1,32.3,32.05,32.25,3568
868,32.1,32.15,32.1,32.1,2290
869,32.15,32.15,32.05,32.15,1000
870,32.1,32.175,32.1,32.175,2201
871,32.3,32.3,32.15,32.175,3683
872,32.3,32.3,32.3,32.3,201
873,32.35,32.35,32.2,32.3,1400
874,32.425,32.425,32.35,32.35,3996
875,32.39,32.39,32.39,32.39,125
876,32.5,32.5,32.4,32.4,50649
877,32.4,32.5,32.4,32.5,4098
878,32.5,32.5,32.45,32.45,600
879,32.5,32.5,32.5,32.5,1200
880,32.625,32.625,32.5,32.55,2292
881,32.571,32.625,32.55,32.625,1213
882,32.5,32.55,32.5,32.55,2296
883,32.5,32.55,32.5,32.55,1500
884,32.45,32.55,32.45,32.5,900
885,32.5,32.5,32.35,32.475,3625
886,32.55,32.55,32.55,32.55,200
887,32.525,32.55,32.5,32.5,1000
888,32.6,32.625,32.5,32.55,2349
889,32.675,32.675,32.625,32.65,2000
890,32.775,32.8,32.7,32.7,2301
891,32.8,32.8,32.75,32.8,2561
892,32.825,32.9,32.75,32.8,7598
893,33,33,32.85,32.85,2494
894,32.917,33,32.917,33,1753
895,32.9,32.925,32.85,32.9,3029
896,32.875,32.95,32.855,32.925,8458
897,32.9,32.9,32.875,32.875,1800
898,32.95,33,32.9,32.9,2921
899,33.05,33.05,32.95,32.95,3400
900,32.9,33.025,32.9,33,3000
901,32.9,32.95,32.875,32.925,5046
