EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,29.78,29.78,29.78,29.78,3332
1,29.77,29.85,29.66,29.77,6600
2,29.79,29.8,29.72,29.8,4100
3,29.79,29.8,29.73,29.75,5800
4,29.82,29.82,29.76,29.79,7925
5,29.78,29.84,29.78,29.82,25400
6,29.7,29.76,29.7,29.75,3200
7,29.79,29.81,29.71,29.73,2300
8,29.78,29.81,29.76,29.81,3800
9,29.8,29.81,29.76,29.77,2300
10,29.84,29.85,29.78,29.79,3400
11,29.85,29.85,29.82,29.85,6070
12,29.82,29.85,29.82,29.84,4608
13,29.83,29.85,29.81,29.835,3474
14,29.84,29.85,29.82,29.84,2165
15,29.85,29.87,29.83,29.85,1800
16,29.88,29.9,29.85,29.85,3971
17,29.9,29.9,29.87,29.89,7908
18,29.89,29.9,29.88,29.895,5256
19,29.895,29.9,29.88,29.89,3006
20,29.9,29.9,29.89,29.895,3554
21,29.83,29.89,29.83,29.89,3764
22,29.93,29.93,29.835,29.835,25876
23,29.96,29.98,29.93,29.93,3700
24,29.945,29.97,29.9295,29.96,2510
25,29.95,29.97,29.93,29.94,2100
26,30,30,29.94,29.95,10668
27,29.99,30,29.96,29.99,10474
28,30,30,29.98,29.995,9399
29,30.035,30.04,29.99,30,11564
30,29.99,30.045,29.99,30.045,7800
31,30.01,30.03,29.99,29.99,5098
32,30.01,30.03,30,30.03,6421
33,29.99,30.015,29.99,30,5350
34,30,30,29.99,29.99,5767
35,30,30,29.99,30,18935
36,30,30,29.99,29.99,4800
37,29.98,30,29.97,29.99,36444
38,29.93,29.98,29.92,29.98,29631
39,29.95,29.95,29.92,29.93,91627
144,29.9,29.9,29.9,29.9,2780
145,29.87,29.87,29.675,29.675,400
146,29.9475,30,29.85,29.85,3200
147,29.99,30,29.95,29.95,10308
148,30.03,30.03,29.98,30,11634
149,30.01,30.02,29.99,30.01,3322
150,30,30.02,29.97,30.02,4200
151,29.92,30,29.905,29.99,2400
152,29.9714,29.9714,29.9,29.9,6640
153,29.98,29.98,29.95,29.97,7757
154,29.98,30,29.97,29.98,4100
155,30.03,30.03,29.98,29.98,15758
156,30.195,30.2,30.04,30.05,13528
157,30.18,30.2,30.175,30.19,10677
158,30.1308,30.18,30.13,30.17,5482
159,30.1,30.11,30.08,30.1,4073
160,30.12,30.14,30.09,30.09,2133
161,30.1127,30.15,30.1,30.14,4936
162,30.09,30.13,30.09,30.12,3834
163,30.1,30.1,30.09,30.1,4700
164,30.08,30.11,30.08,30.1,11731
165,30.09,30.1,30.07,30.07,2622
166,30.12,30.12,30.09,30.1,4323
167,30.1,30.12,30.1,30.113,5467
168,30.1,30.12,30.1,30.1,5617
169,30.11,30.11,30.09,30.1,3147
170,30.07,30.115,30.06,30.115,5786
171,30.07,30.09,30.05,30.06,1900
172,30.05,30.08,30.01,30.06,4200
173,30.04,30.06,30.01,30.05,9685
174,30.08,30.12,30.03,30.03,2800
175,30.105,30.13,30.08,30.1,5880
176,30.1,30.12,30.07,30.105,6200
177,30.1,30.14,30.1,30.12,3058
178,30.105,30.11,30.1,30.1,3559
179,30.09,30.13,30.09,30.105,8804
180,30.1,30.1,30.09,30.09,3000
181,30.08,30.1,30.07,30.1,11502
182,30.04,30.1,30.03,30.07,9300
183,30.08,30.1,30.04,30.04,100504
288,30.09,30.09,30.09,30.09,3276
289,30.07,30.16,30.04,30.135,1850
290,30.1,30.18,30.06,30.07,8695
291,30.06,30.12,30.01,30.1,4219
292,30.04,30.08,30.04,30.07,1555
293,30.05,30.08,30.05,30.08,2839
294,30.04,30.04,30.04,30.04,100
295,30.06,30.08,30.03,30.03,4939
296,30.04,30.08,30.04,30.07,1000
297,30.02,30.02,29.99,30.01,400
298,30.04,30.05,30,30.01,10235
299,30.05,30.06,30.03,30.03,3900
300,30.04,30.055,30.04,30.05,2345
301,30.04,30.05,30.03,30.03,2467
302,30.01,30.02,30,30.02,1200
303,30.02,30.02,30,30.01,2731
304,30.05,30.05,30,30.02,1300
305,30.045,30.07,30.035,30.035,5896
306,30.045,30.05,30.04,30.045,400
307,30.01,30.05,30,30.045,5890
308,30.04,30.04,30.01,30.02,1800
309,29.99,30.04,29.99,30.04,5059
310,30.01,30.01,29.99,29.99,300
311,29.98,30.01,29.98,30.005,1000
312,30,30,29.985,29.985,600
313,30,30,30,30,600
314,29.97,29.98,29.97,29.98,1100
315,29.975,29.975,29.97,29.97,1381
316,29.97,29.99,29.97,29.99,1200
317,30,30,29.99,29.99,2200
318,29.96,29.99,29.96,29.99,1600
319,29.99,30,29.965,29.965,3832
320,29.97,30,29.97,30,1600
321,29.96,29.97,29.95,29.97,1500
322,29.91,29.94,29.91,29.94,2300
323,29.93,29.93,29.89,29.91,10262
324,29.92,29.93,29.91,29.93,2100
325,29.94,29.94,29.92,29.92,4200
326,29.95,29.97,29.93,29.93,4929
327,29.9,29.94,29.89,29.93,61714
432,29.83,29.83,29.83,29.83,2500
433,29.73,29.77,29.68,29.77,1430
434,29.75,29.7999,29.69,29.72,1400
435,29.78,29.81,29.73,29.76,4484
436,29.68,29.7893,29.64,29.72,3900
437,29.7,29.7,29.63,29.66,2300
438,29.66,29.67,29.64,29.67,1900
439,29.62,29.64,29.59,29.64,2322
440,29.61,29.64,29.6,29.62,2100
441,29.62,29.62,29.6199,29.6199,600
442,29.62,29.67,29.62,29.6499,2283
443,29.58,29.62,29.56,29.6,2700
444,29.57,29.6,29.56,29.58,1625
445,29.55,29.57,29.54,29.57,5850
446,29.53,29.58,29.5,29.57,6493
447,29.55,29.57,29.55,29.56,900
448,29.625,29.63,29.57,29.57,2000
449,29.65,29.65,29.62,29.62,700
450,29.66,29.67,29.65,29.65,1300
451,29.63,29.69,29.63,29.66,2600
452,29.64,29.64,29.61,29.63,1100
453,29.65,29.66,29.6376,29.64,740
454,29.69,29.7,29.66,29.66,2500
455,29.68,29.69,29.68,29.68,700
456,29.72,29.73,29.68,29.69,2300
457,29.7399,29.7399,29.72,29.72,700
458,29.7,29.74,29.7,29.73,2400
459,29.72,29.74,29.71,29.72,2600
460,29.72,29.73,29.7,29.71,1400
461,29.68,29.72,29.66,29.72,1500
462,29.699,29.699,29.68,29.69,1989
463,29.72,29.75,29.68,29.69,1300
464,29.74,29.74,29.72,29.7399,1500
465,29.74,29.75,29.73,29.74,1900
466,29.75,29.75,29.71,29.74,3940
467,29.77,29.8,29.7499,29.7499,4717
468,29.75,29.77,29.73,29.75,7099
469,29.77,29.77,29.75,29.76,5112
470,29.785,29.785,29.75,29.765,6800
471,29.72,29.78,29.71,29.775,65435
864,29.85,29.85,29.85,29.85,1576
865,29.87,29.87,29.77,29.795,700
866,29.72,29.83,29.72,29.82,3938
867,29.75,29.76,29.71,29.7181,3671
868,29.73,29.77,29.72,29.77,4012
869,29.74,29.78,29.71,29.72,1300
870,29.69,29.76,29.69,29.76,9500
871,29.82,29.82,29.7,29.7,1100
872,29.8301,29.86,29.82,29.82,2920
873,29.78,29.84,29.78,29.84,9257
874,29.76,29.8,29.76,29.785,3958
875,29.75,29.79,29.75,29.78,5601
876,29.72,29.77,29.72,29.76,3100
877,29.68,29.73,29.66,29.73,2200
878,29.7,29.71,29.69,29.69,2292
879,29.79,29.79,29.705,29.71,3100
880,29.79,29.8,29.77,29.79,2700
881,29.81,29.81,29.78,29.79,3600
882,29.79,29.8,29.79,29.79,1394
883,29.8,29.81,29.79,29.79,6575
884,29.8,29.82,29.8,29.8,2700
885,29.8,29.8,29.78,29.8,3158
886,29.845,29.86,29.795,29.795,16400
887,29.88,29.88,29.85,29.85,1700
888,29.87,29.88,29.86,29.87,3600
889,29.88,29.88,29.86,29.87,3000
890,29.95,29.95,29.875,29.88,7200
891,29.95,29.95,29.945,29.95,6200
892,29.93,30,29.93,29.95,7900
893,29.92,29.925,29.92,29.925,300
894,29.84,29.92,29.84,29.92,4526
895,29.835,29.84,29.82,29.83,1700
896,29.83,29.92,29.82,29.84,30798
897,29.85,29.85,29.83,29.83,1900
898,29.84,29.855,29.81,29.85,5861
