EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127600,6.6,6.7,6.6,6.7,1281
1,6.6,6.6,6.6,6.6,1872
3,6.5285,6.5285,6.5285,6.5285,1000
4,6.55,6.55,6.55,6.55,100
5,6.6,6.6,6.6,6.6,100
6,6.6,6.6,6.6,6.6,100
7,6.6,6.7,6.6,6.6,329
8,6.6,6.7,6.6,6.65,600
9,6.7,6.7,6.6,6.6,300
10,6.6,6.6,6.6,6.6,200
11,6.6,6.6,6.6,6.6,200
12,6.6,6.6,6.6,6.6,300
13,6.6,6.6,6.6,6.6,100
14,6.6,6.6,6.6,6.6,200
15,6.6,6.6,6.6,6.6,100
16,6.6,6.65,6.6,6.65,200
22,6.6,6.6,6.6,6.6,100
25,6.55,6.6,6.55,6.6,4300
26,6.6,6.6,6.6,6.6,200
27,6.575,6.6,6.55,6.6,400
31,6.6,6.6,6.6,6.6,100
33,6.6,6.6,6.6,6.6,100
34,6.6,6.6,6.6,6.6,100
35,6.6,6.6,6.6,6.6,400
36,6.55,6.6,6.55,6.55,700
37,6.6,6.6,6.55,6.6,1300
38,6.7,6.7,6.55,6.5713,13554
144,6.4,6.4,6.05,6.05,900
145,6.6,6.6,6.6,6.6,100
146,6.6,6.6,6.6,6.6,100
147,6.5566,6.625,6.55,6.55,1647
148,6.55,6.55,6.55,6.55,200
149,6.525,6.55,6.455,6.55,10200
151,6.5,6.5,6.5,6.5,100
152,6.5,6.5098,6.35,6.5,5056
153,6.5,6.5,6.5,6.5,300
154,6.5,6.5,6.5,6.5,100
155,6.5,6.55,6.5,6.55,900
157,6.5,6.55,6.5,6.5,400
159,6.6,6.6,6.55,6.55,617
160,6.55,6.55,6.55,6.55,200
162,6.5,6.55,6.5,6.55,200
166,6.5,6.5,6.5,6.5,100
168,6.5,6.525,6.5,6.5,600
169,6.5,6.5,6.5,6.5,200
172,6.5,6.5,6.5,6.5,100
173,6.525,6.525,6.525,6.525,100
174,6.525,6.525,6.5,6.5,300
175,6.6,6.6,6.525,6.55,2900
176,6.575,6.6,6.55,6.55,300
178,6.575,6.6,6.575,6.6,200
179,6.575,6.6,6.55,6.575,700
180,6.6,6.6,6.575,6.6,800
181,6.55,6.55,6.55,6.55,100
182,6.55,6.6,6.55,6.55,2240
287,6.45,6.45,6.45,6.45,212
289,6.55,6.55,6.55,6.55,400
291,6.55,6.55,6.55,6.55,100
292,6.55,6.55,6.55,6.55,100
297,6.45,6.535,6.45,6.525,3796
298,6.5,6.5,6.5,6.5,100
299,6.5,6.5,6.45,6.45,200
300,6.45,6.55,6.45,6.55,200
301,6.45,6.55,6.45,6.55,200
302,6.55,6.55,6.45,6.5,3871
303,6.5,6.5,6.5,6.5,100
305,6.45,6.55,6.45,6.55,419
307,6.55,6.55,6.5,6.55,300
309,6.5,6.5,6.5,6.5,400
310,6.45,6.45,6.45,6.45,100
313,6.5,6.5,6.5,6.5,100
316,6.5,6.5,6.45,6.45,500
317,6.55,6.55,6.5,6.5,200
318,6.55,6.55,6.55,6.55,100
319,6.55,6.55,6.55,6.55,10801
320,6.6,6.6,6.55,6.55,1300
321,6.55,6.6,6.55,6.55,3100
322,6.6,6.6,6.45,6.55,3100
323,6.6,6.6,6.55,6.55,900
324,6.55,6.6,6.55,6.55,1700
325,6.6,6.6,6.55,6.575,2000
326,6.55,6.6,6.55,6.55,12489
431,6.6,6.6,6.6,6.6,405
432,6.6,6.6,6.6,6.6,4400
434,6.575,6.575,6.575,6.575,100
435,6.575,6.575,6.575,6.575,100
438,6.5,6.525,6.5,6.525,300
440,6.45,6.5,6.45,6.45,1500
441,6.5,6.5,6.5,6.5,100
442,6.5,6.5,6.5,6.5,300
443,6.55,6.55,6.55,6.55,100
444,6.5,6.5,6.5,6.5,100
446,6.5,6.525,6.5,6.525,200
447,6.525,6.525,6.525,6.525,100
455,6.525,6.525,6.525,6.525,100
457,6.55,6.55,6.5,6.5,200
458,6.55,6.55,6.5,6.55,8846
459,6.55,6.55,6.55,6.55,300
460,6.55,6.55,6.55,6.55,300
461,6.525,6.55,6.5,6.55,300
462,6.55,6.55,6.55,6.55,200
463,6.5,6.5,6.5,6.5,100
464,6.55,6.55,6.525,6.525,300
465,6.55,6.55,6.5,6.525,955
466,6.55,6.55,6.55,6.55,200
467,6.6,6.65,6.55,6.55,1400
468,6.6,6.6,6.55,6.555,1400
469,6.6,6.65,6.55,6.6,800
470,6.55,6.65,6.5,6.65,2370
864,6.55,6.55,6.55,6.55,100
865,6.35,6.375,6.35,6.35,300
866,6.5,6.5,6.5,6.5,100
867,6.45,6.45,6.45,6.45,100
868,6.45,6.475,6.45,6.475,400
870,6.45,6.45,6.45,6.45,200
871,6.45,6.45,6.45,6.45,1189
872,6.45,6.45,6.4,6.4,300
873,6.45,6.45,6.45,6.45,200
876,6.45,6.45,6.4,6.4,1000
877,6.45,6.5,6.45,6.45,500
878,6.45,6.45,6.4,6.4,1000
879,6.4,6.4,6.4,6.4,100
880,6.45,6.45,6.4,6.45,1200
881,6.5,6.5,6.4,6.5,300
885,6.45,6.45,6.45,6.45,100
886,6.45,6.45,6.4,6.4,600
887,6.5,6.5,6.45,6.45,300
888,6.45,6.45,6.4,6.4,200
889,6.45,6.45,6.4,6.4,200
890,6.4,6.4,6.4,6.4,200
891,6.4,6.45,6.4,6.4,400
892,6.45,6.5,6.4,6.5,611
893,6.4,6.4,6.4,6.4,100
894,6.425,6.45,6.4,6.4,400
895,6.425,6.425,6.425,6.425,400
896,6.4,6.4,6.35,6.4,2513
897,6.4,6.4,6.4,6.4,300
898,6.45,6.45,6.4,6.45,4000
899,6.45,6.45,6.4,6.4,1200
900,6.5,6.5,6.4,6.425,5558
901,6.45,6.5,6.45,6.5,400
902,6.45,6.5,6.45,6.45,2056
a1493733000,6.3,6.3,6.3,6.3,200
2,6.25,6.325,6.25,6.325,1800
3,6.3,6.3,6.3,6.3,200
4,6.375,6.375,6.375,6.375,100
5,6.3,6.45,6.3,6.45,300
7,6.3,6.3,6.3,6.3,200
10,6.3,6.3,6.3,6.3,300
13,6.325,6.325,6.325,6.325,100
15,6.325,6.325,6.3,6.3,500
16,6.3,6.3,6.3,6.3,100
17,6.325,6.325,6.325,6.325,100
18,6.35,6.35,6.325,6.35,300
19,6.35,6.35,6.35,6.35,100
21,6.3,6.35,6.3,6.35,400
23,6.325,6.325,6.3,6.3,200
25,6.35,6.35,6.3,6.325,4005
26,6.375,6.375,6.3,6.35,800
27,6.35,6.35,6.35,6.35,300
28,6.35,6.35,6.35,6.35,100
29,6.35,6.35,6.35,6.35,800
31,6.35,6.35,6.35,6.35,1300
33,6.35,6.35,6.35,6.35,300
36,6.3,6.3,6.3,6.3,400
37,6.35,6.375,6.3,6.325,4329
144,6.3,6.3,6.3,6.3,100
146,6.375,6.375,6.375,6.375,100
150,6.35,6.4,6.3485,6.3485,400
151,6.35,6.35,6.3,6.35,1400
153,6.4,6.4,6.3,6.35,1300
157,6.35,6.4,6.3,6.3,300
159,6.3,6.3,6.3,6.3,100
160,6.35,6.4,6.3,6.35,900
161,6.35,6.35,6.35,6.35,300
163,6.35,6.35,6.3,6.3,1100
164,6.35,6.35,6.35,6.35,500
166,6.35,6.35,6.3,6.3,600
167,6.4,6.4,6.3,6.35,600
169,6.35,6.35,6.3,6.3,500
170,6.4,6.4,6.4,6.4,100
172,6.35,6.35,6.3,6.35,500
173,6.35,6.35,6.35,6.35,300
174,6.35,6.35,6.3,6.3,1300
175,6.3,6.35,6.3,6.35,200
176,6.3,6.35,6.3,6.3,300
177,6.4,6.4,6.3,6.3,1400
179,6.35,6.35,6.3,6.3,3479
180,6.4,6.4,6.3,6.3,1947
181,6.5,6.5,6.35,6.4,3118
288,6.3,6.45,6.3,6.45,500
290,6.425,6.425,6.425,6.425,100
291,6.4,6.4,6.4,6.4,100
292,6.35,6.4,6.35,6.4,200
293,6.4,6.4,6.4,6.4,100
294,6.45,6.45,6.45,6.45,100
295,6.4,6.45,6.4,6.45,400
296,6.4,6.4,6.4,6.4,100
