EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,73.15,73.15,73.15,73.15,444
1,73.2617,73.2617,72.75,72.75,3230
2,73.23,73.265,73.23,73.265,21357
5,73.31,73.31,73.2596,73.2596,300
6,73.245,73.245,73.245,73.245,200
7,73.3,73.3,73.3,73.3,135
8,73.23,73.23,73.23,73.23,132
9,73.21,73.2417,73.21,73.2417,1107
10,73.22,73.22,73.16,73.17,565
11,73.39,73.39,73.3,73.3253,634
12,73.38,73.4523,73.38,73.4523,570
13,73.47,73.4854,73.45,73.45,376
14,73.529,73.529,73.529,73.529,135
15,73.42,73.4988,73.42,73.4812,3100
18,73.51,73.55,73.51,73.55,200
20,73.435,73.435,73.435,73.435,135
21,73.4,73.46,73.34,73.43,2119
22,73.369,73.43,73.369,73.43,400
24,73.468,73.468,73.468,73.468,133
26,73.4699,73.4699,73.4699,73.4699,100
27,73.475,73.475,73.47,73.47,600
28,73.45,73.49,73.45,73.47,816
29,73.48,73.5291,73.47,73.47,944
30,73.44,73.5299,73.44,73.45,1820
31,73.4678,73.4678,73.4678,73.4678,136
32,73.4,73.4,73.4,73.4,200
33,73.4,73.4777,73.4,73.41,356
35,73.488,73.488,73.4771,73.48,541
36,73.4,73.497,73.38,73.4541,1120
37,73.38,73.39,73.38,73.39,2384
38,73.3192,73.4193,73.26,73.4193,2074
39,73.16,73.195,73.16,73.19,550
144,73.3,73.3,73.3,73.3,4754
145,73.2088,73.4,73.2088,73.3,31239
146,72.91,73.09,72.88,73,823
147,73.0681,73.0681,73.0681,73.0681,260
148,72.7917,72.7917,72.741,72.741,771
149,72.69,72.7803,72.69,72.7803,239
152,72.5117,72.5117,72.5117,72.5117,124
153,72.7439,72.7439,72.7439,72.7439,145
154,72.7431,72.7431,72.7431,72.7431,225
155,72.82,72.82,72.82,72.82,150
156,73.09,73.09,72.78,72.78,608
158,73.08,73.1,73.08,73.1,200
159,73.06,73.06,73.06,73.06,135
163,73.1541,73.1541,73.1242,73.15,535
164,73.2447,73.2447,73.16,73.1766,389
166,73.3353,73.3353,73.25,73.25,840
167,73.43,73.43,73.325,73.325,328
168,73.3576,73.3576,73.355,73.355,286
169,73.28,73.3,73.22,73.29,32990
170,73.15,73.2444,73.15,73.2444,875
171,73.1,73.1,73.1,73.1,148
172,73.0243,73.0243,73.0243,73.0243,266
173,73.02,73.02,73.02,73.02,100
174,73.1,73.1,73.1,73.1,2000
178,73.16,73.19,73.16,73.19,205
180,73.1887,73.1887,73.1887,73.1887,200
181,73.17,73.22,73.14,73.22,335
182,73.14,73.2,73.09,73.16,705
183,72.97,73.104,72.97,73.104,1570
288,73.16,73.16,73.16,73.16,790
290,73.4,73.4,73.14,73.14,4600
291,73.3516,73.3516,73.3516,73.3516,150
292,73.3017,73.3017,73.3017,73.3017,136
293,73.5297,73.5297,73.5297,73.5297,246
294,73.4351,73.48,73.3888,73.48,1055
297,73.3524,73.3524,73.3524,73.3524,100
298,73.305,73.305,73.305,73.305,208
301,73.266,73.266,73.266,73.266,580
304,73.18,73.18,73.18,73.18,100
307,73.2325,73.33,73.2325,73.33,421
308,73.4299,73.4299,73.2979,73.2979,474
310,73.41,73.41,73.41,73.41,150
311,73.43,73.43,73.43,73.43,310
312,73.39,73.39,73.39,73.39,230
313,73.3989,73.3989,73.3989,73.3989,160
314,73.3199,73.3199,73.3199,73.3199,163
315,73.2722,73.2722,73.2722,73.2722,158
317,73.2888,73.2888,73.2888,73.2888,100
318,73.24,73.2598,73.1949,73.1949,1214
319,73.242,73.242,73.242,73.242,271
320,73.2114,73.3064,73.2114,73.3064,600
321,73.22,73.22,73.22,73.22,124
327,73.36,73.36,73.3363,73.35,674
432,73.35,73.35,73.35,73.35,1077
433,72.8,72.8267,72.8,72.8267,525
436,72.73,72.73,72.73,72.73,100
437,72.529,72.5955,72.529,72.5955,577
439,72.5058,72.5058,72.5058,72.5058,570
441,72.3975,72.3975,72.3975,72.3975,100
443,72.4476,72.4521,72.4476,72.4521,700
444,72.491,72.5,72.48,72.5,1092
445,72.4101,72.4699,72.4101,72.4353,480
446,72.4017,72.4153,72.4,72.4153,1920
450,72.4974,72.5261,72.4974,72.5261,305
455,72.6199,72.6199,72.6199,72.6199,100
456,72.5754,72.5754,72.57,72.57,879
462,72.515,72.515,72.515,72.515,200
463,72.545,72.545,72.545,72.545,136
464,72.55,72.55,72.55,72.55,500
465,72.5502,72.5502,72.5,72.55,304
467,72.67,72.67,72.66,72.66,200
469,72.63,72.63,72.63,72.63,104
471,72.55,72.7,72.55,72.7,555
864,72.73,72.73,72.73,72.73,371
865,72.8,72.8,72.8,72.8,200
866,72.66,72.66,72.66,72.66,200
867,72.5,72.55,72.5,72.55,950
868,72.5,72.5,72.5,72.5,167
869,72.39,72.39,72.39,72.39,100
870,72.26,72.26,72.25,72.25,2598
871,72.515,72.515,72.515,72.515,116
872,72.71,72.71,72.5634,72.5743,2402
873,72.6,72.6435,72.56,72.6435,971
874,72.64,72.67,72.64,72.67,200
875,72.7604,72.7604,72.7604,72.7604,326
876,72.6807,72.6807,72.6807,72.6807,940
880,72.9584,72.9584,72.9584,72.9584,100
881,72.96,73.05,72.96,73.05,322
885,72.874,72.874,72.874,72.874,100
887,72.916,72.916,72.916,72.916,343
888,73.09,73.09,72.9592,72.9592,249
889,73.13,73.13,73.0485,73.0485,268
890,73.1215,73.1215,73.1215,73.1215,100
891,73.25,73.3,73.215,73.215,309
893,73.03,73.03,73.03,73.03,771
894,72.93,73.04,72.93,72.9879,2281
895,72.94,72.94,72.94,72.94,137
897,72.97,72.97,72.93,72.93,241
898,72.965,72.995,72.91,72.995,612
899,73.06,73.06,72.9709,72.9709,310
901,73.03,73.03,72.9904,72.9904,370
902,73.13,73.13,73.01,73.01,12439
903,73.13,73.33,73.13,73.16,29140
a1493731800,73.17,73.17,73.17,73.17,286
2,72.4256,72.94,72.4256,72.94,2877
3,72.595,72.595,72.4444,72.53,6171
4,72.455,72.455,72.455,72.455,100
6,72.65,72.65,72.57,72.57,2600
7,72.66,72.66,72.66,72.66,100
8,72.635,72.7,72.635,72.7,839
9,72.55,72.71,72.54,72.71,2160
10,72.53,72.53,72.53,72.53,100
11,72.53,72.53,72.53,72.53,100
12,72.542,72.542,72.485,72.485,475
14,72.55,72.55,72.55,72.55,162
15,72.4974,72.54,72.4974,72.54,477
16,72.52,72.5644,72.4301,72.4301,1778
17,72.575,72.575,72.511,72.511,985
18,72.53,72.53,72.53,72.53,100
19,72.6168,72.6686,72.6168,72.6168,1400
20,72.6003,72.6003,72.53,72.55,1300
21,72.57,72.58,72.57,72.58,300
22,72.58,72.64,72.58,72.64,400
23,72.4741,72.53,72.45,72.53,500
24,72.22,72.45,72.22,72.44,1059
25,72.325,72.325,72.27,72.2996,1000
26,72.29,72.31,72.28,72.31,300
27,72.28,72.29,72.27,72.29,300
28,72.29,72.29,72.28,72.28,400
29,72.29,72.29,72.28,72.29,400
30,72.25,72.32,72.25,72.32,590
31,72.2,72.26,72.2,72.22,735
32,72.213,72.22,72.2,72.21,686
33,72.17,72.22,72.16,72.22,800
34,72.16,72.2,72.15,72.17,1000
35,72.2,72.23,72.17,72.17,1027
36,72.22,72.22,72.2,72.2,500
37,72.27,72.32,72.21,72.22,800
38,72.29,72.29,72.27,72.27,700
39,72.39,72.42,72.32,72.32,2747
144,71.94,71.94,71.94,71.94,882
145,71.7968,71.94,71.56,71.94,1700
146,71.79,71.79,71.79,71.79,659
147,71.68,71.68,71.68,71.68,100
148,71.38,71.6,71.38,71.6,565
149,71.355,71.4063,71.335,71.4063,1512
150,71.245,71.335,71.235,71.335,699
151,71.428,71.428,71.315,71.315,805
154,71.05,71.12,71.05,71.1079,367
155,71.091,71.091,71.091,71.091,348
156,71.3459,71.3459,71.2908,71.2908,485
157,71.335,71.335,71.335,71.335,1000
160,71.2597,71.2597,71.2597,71.2597,375
161,71.3098,71.3098,71.3098,71.3098,250
162,71.39,71.39,71.39,71.39,230
163,71.41,71.41,71.41,71.41,300
