EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,26.75,26.75,26.75,26.75,181
1,26.65,26.655,26.65,26.655,4141
6,26.95,26.95,26.95,26.95,100
7,26.95,26.95,26.95,26.95,100
11,26.95,26.95,26.95,26.95,100
12,27.01,27.01,27.01,27.01,165
15,27.1,27.15,27.05,27.15,500
18,27.05,27.05,27.05,27.05,200
19,27.15,27.15,27.15,27.15,100
20,27.2,27.2,27.15,27.15,400
21,27.25,27.25,27.25,27.25,100
22,27.45,27.45,27.25,27.25,1998
23,27.4,27.4,27.35,27.4,1168
24,27.4,27.4,27.35,27.4,500
25,27.425,27.425,27.4,27.4,400
26,27.35,27.35,27.35,27.35,100
27,27.35,27.35,27.35,27.35,300
28,27.35,27.35,27.35,27.35,200
29,27.25,27.325,27.25,27.3,1900
30,27.25,27.25,27.25,27.25,400
32,27.3,27.3,27.3,27.3,1349
33,27.25,27.25,27.25,27.25,100
34,27.75,27.75,27.4,27.4,1350
36,27.65,27.65,27.65,27.65,300
37,27.7,27.7,27.7,27.7,200
38,27.65,27.666,27.65,27.666,580
39,27.75,27.75,27.65,27.65,4037
145,27.55,27.6,27.5,27.55,1100
146,27.425,27.5,27.425,27.5,700
147,27.4304,27.5,27.425,27.5,2499
148,27.45,27.5,27.45,27.45,311
149,27.45,27.45,27.425,27.425,400
150,27.5,27.5,27.5,27.5,400
151,27.45,27.5,27.4,27.5,2900
153,27.5,27.5,27.5,27.5,500
154,27.45,27.45,27.405,27.405,328
156,27.5,27.6,27.5,27.55,1100
157,27.525,27.55,27.525,27.55,700
158,27.55,27.55,27.525,27.525,1000
159,27.525,27.55,27.525,27.525,700
160,27.5,27.55,27.5,27.55,300
161,27.55,27.55,27.525,27.55,700
162,27.55,27.55,27.55,27.55,100
163,27.55,27.6,27.505,27.505,850
164,27.55,27.6,27.55,27.6,500
165,27.6,27.6,27.6,27.6,700
166,27.6,27.6,27.6,27.6,500
168,27.5,27.6,27.5,27.6,700
171,27.6,27.6,27.6,27.6,300
173,27.6,27.65,27.4,27.65,4758
174,27.65,27.65,27.6,27.65,300
176,27.65,27.7,27.55,27.7,800
178,27.7,27.75,27.7,27.75,300
180,27.7,27.7,27.65,27.65,500
181,27.7,27.75,27.7,27.75,200
182,27.7,27.7,27.6,27.7,300
183,27.55,27.65,27.55,27.6,4354
288,27.7,27.7,27.7,27.7,708
289,27.5,27.5,27.5,27.5,100
290,27.3,27.3,27.3,27.3,100
293,27.4,27.525,27.1478,27.3132,5096
298,27.3,27.3,27,27.05,1200
301,26.8,26.8,26.8,26.8,100
311,26.9,26.9,26.9,26.9,100
314,27,27,27,27,200
318,27,27.05,26.95,26.95,1100
319,27,27.05,27,27.05,500
320,27,27,27,27,900
321,26.65,26.9,26.65,26.9,600
323,26.65,26.65,26.65,26.65,400
326,26.65,26.65,26.65,26.65,100
327,26.65,26.7,26.65,26.7,2671
433,26.85,26.85,26.85,26.85,100
434,27.05,27.05,26.8,26.85,502
435,27.15,27.2,27.05,27.05,1200
436,27.05,27.25,27.05,27.175,1100
437,27.1,27.1,27.1,27.1,100
438,27,27,27,27,150
439,26.85,26.9,26.85,26.9,400
440,26.95,26.95,26.95,26.95,100
441,26.8252,26.8252,26.8252,26.8252,200
442,26.85,26.9,26.85,26.9,637
443,26.75,26.75,26.75,26.75,100
449,26.75,26.75,26.75,26.75,100
451,26.65,26.65,26.65,26.65,200
453,26.6,26.65,26.6,26.65,200
457,26.7,26.7,26.7,26.7,100
458,26.7,26.7,26.7,26.7,100
460,26.7,26.7,26.7,26.7,100
463,26.75,26.75,26.75,26.75,100
464,26.75,26.75,26.75,26.75,100
465,26.55,26.55,26.55,26.55,100
466,26.65,26.65,26.55,26.55,200
468,26.75,26.75,26.7,26.7,300
469,26.75,26.75,26.75,26.75,200
470,26.75,26.75,26.75,26.75,200
471,26.4,26.75,26.3,26.75,8241
864,26.45,26.45,26.45,26.45,323
866,26.45,26.45,26.1,26.2,300
867,26.3,26.3,26.2,26.225,500
868,26.1,26.2,26.1,26.2,500
870,26.2,26.25,26.2,26.25,300
871,26.2,26.2,26.2,26.2,100
872,26.15,26.15,26.15,26.15,1000
873,26.1,26.25,26.1,26.25,600
874,26.1,26.1,26.1,26.1,100
875,26.1,26.25,26.05,26.175,14322
876,26.055,26.055,26.055,26.055,100
877,26,26.05,26,26.05,500
880,26.1,26.1,26.005,26.005,550
883,26,26.15,26,26.075,4104
885,26.1,26.1,26.05,26.05,500
886,26.1,26.1,26.1,26.1,300
887,26.15,26.15,26.15,26.15,100
888,26.125,26.15,26.125,26.15,1200
889,26.15,26.15,26.15,26.15,100
890,26.15,26.15,26.15,26.15,600
891,26.1,26.1,26.05,26.05,400
892,26.1,26.1,26.1,26.1,625
894,26.1,26.15,26.09,26.15,1811
895,26.075,26.075,26.075,26.075,585
897,26.075,26.15,26.075,26.15,200
898,26.05,26.15,26.05,26.15,1094
901,26.05,26.15,26.05,26.15,1100
902,26.05,26.05,26.05,26.05,100
903,26.1,26.1,26,26.05,3000
a1493732400,26.2,26.2,26.15,26.15,200
2,26.05,26.05,26.05,26.05,100
6,26.1,26.1,26.1,26.1,100
11,26.15,26.15,26.1,26.1,300
12,26.1,26.1,26.1,26.1,100
13,26.15,26.15,26.15,26.15,100
16,26.2,26.2,26.2,26.2,100
18,26.1,26.15,26.1,26.15,200
20,26.15,26.15,26.15,26.15,300
24,26.15,26.2,26.15,26.2,200
26,26.15,26.15,26.15,26.15,100
27,26.15,26.15,26.15,26.15,100
28,26.2,26.2,26.2,26.2,100
30,26.15,26.15,26.15,26.15,100
31,26.15,26.15,26.15,26.15,100
32,26.2,26.2,26.2,26.2,100
33,26.15,26.2,26.1,26.175,1500
34,26.15,26.15,26.15,26.15,500
35,26.125,26.15,26.1,26.1,800
36,26.15,26.15,26.15,26.15,100
37,26.1,26.2,26.1,26.15,1400
38,26.1,26.15,26.05,26.05,2929
143,26.1,26.1,26.1,26.1,393
144,26.1,26.2,26.1,26.2,200
147,26.05,26.05,26.05,26.05,500
148,26.2,26.2,26.2,26.2,100
151,26.05,26.05,26.05,26.05,197
154,26.05,26.05,26,26.05,300
155,26,26,26,26,200
156,26,26,26,26,200
157,26,26,26,26,340
158,25.9,25.9,25.9,25.9,300
159,25.85,26,25.85,26,300
160,25.8,25.8,25.8,25.8,100
161,25.75,25.95,25.75,25.95,300
162,25.9,25.9,25.75,25.75,300
163,25.9,25.95,25.75,25.95,500
164,25.95,25.95,25.95,25.95,600
166,25.95,25.95,25.95,25.95,190
167,25.95,26,25.95,25.95,500
168,25.95,25.95,25.95,25.95,489
170,25.9,25.9,25.9,25.9,100
171,26.05,26.05,26.05,26.05,200
173,26.1,26.1,25.95,25.95,200
174,26,26,25.95,25.95,700
175,26.05,26.05,26,26.05,300
176,26.1,26.1,26.05,26.05,200
177,26.125,26.125,26.125,26.125,100
179,26.15,26.15,26.075,26.075,300
180,26.075,26.075,26.075,26.075,100
181,26.1,26.1,25.95,26,3779
182,25.95,26.05,25.95,26,3319
287,26.05,26.05,26.05,26.05,223
292,26.125,26.125,26.05,26.125,3000
293,26.15,26.15,26.15,26.15,100
294,26.05,26.05,26.05,26.05,100
296,26.1,26.1,26.1,26.1,100
297,26.05,26.05,26.05,26.05,200
298,26.1,26.1,26,26,200
299,26,26,26,26,400
300,26,26.05,26,26.05,300
304,25.95,25.95,25.95,25.95,220
305,26,26,26,26,898
313,26,26.05,26,26.05,200
315,26.025,26.05,26,26,500
316,26,26,26,26,100
317,26,26,26,26,100
318,26,26,26,26,100
319,26.1,26.1,26,26,784
320,26.1,26.1,26.1,26.1,100
322,26.05,26.2,26.05,26.2,300
323,26.05,26.05,26.05,26.05,300
325,26.05,26.2,26,26.15,1100
326,26.05,26.05,25.9,26,2279
432,26.1,26.1,26.1,26.1,181
435,26.05,26.05,26.05,26.05,500
439,25.95,25.95,25.95,25.95,100
440,25.95,25.95,25.95,25.95,100
441,25.9,25.9,25.9,25.9,500
446,25.9,25.9,25.9,25.9,600
