EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493128800,42.505,42.99,42.5,42.64,500
1,42,42.07,42,42.07,300
2,42.22,42.28,42.22,42.28,200
3,42,42.295,41.42,42.05,1699
6,42.445,42.7,42.445,42.7,200
8,42.445,42.445,42.445,42.445,100
10,42.5,42.5,42.5,42.5,100
11,42.7,42.7,42.5625,42.5625,200
13,42.6,42.6,42.6,42.6,100
14,42.6,42.6,42,42,1100
18,42.45,42.45,42.45,42.45,100
19,42.6,42.6,42.6,42.6,100
20,42.36,42.51,41.99,42.27,1700
22,42.6,42.6,42.6,42.6,100
25,42.67,42.67,42.67,42.67,100
26,42.51,42.65,42.356,42.6,1898
28,42.75,42.75,42.75,42.75,100
29,42.6,42.6,42.6,42.6,100
30,42.0725,42.57,42.0725,42.57,200
31,42.15,42.2068,42.145,42.145,1200
33,42.45,42.475,42.105,42.105,600
35,42.15,42.39,42.0325,42.075,2300
36,42.42,42.6,42.15,42.39,3668
141,42.31,42.31,42.31,42.31,125
142,42.5,42.5,42.5,42.5,200
143,42.2595,42.83,42.25,42.83,500
147,42.42,42.42,42.42,42.42,100
149,42.42,42.5,42.42,42.5,629
150,42.23,42.23,42.23,42.23,400
151,42.23,42.23,42.23,42.23,200
153,42.25,42.38,42.25,42.38,500
155,42.38,42.38,42.34,42.34,800
158,42.38,42.38,42.38,42.38,100
161,42.5,42.5,42.5,42.5,100
163,42.57,42.57,42.47,42.47,900
164,42.59,42.65,42.57,42.57,1300
165,42.69,42.7,42.63,42.65,1200
166,42.71,42.71,42.71,42.71,420
167,42.68,42.7025,42.68,42.7025,200
169,42.5,42.5,42.5,42.5,100
171,42.5,42.5,42.5,42.5,100
173,42.24,42.24,42.24,42.24,100
175,42.25,42.25,42.25,42.25,100
176,42.45,42.45,42.445,42.445,200
177,42.43,42.43,42.41,42.43,400
178,42.47,42.47,42.39,42.4,432
179,42.47,42.47,42.47,42.47,100
180,41.5,42.5,41.285,42.5,1837
289,41,41.39,41,41.39,300
290,39.78,40.15,39.78,40.15,600
291,40.01,40.5,39.89,40,1700
292,40.24,40.99,40,40.375,11300
293,40.28,40.97,40.25,40.5,1200
294,40.2,40.855,40,40.22,9401
295,40.6575,40.79,40,40.01,2350
296,40.085,40.97,40.05,40.05,1500
297,40.455,40.455,40.1,40.1,1100
298,40,40.62,40,40.5,1800
299,40.63,40.63,40.63,40.63,150
301,40.3825,40.3825,40.3825,40.3825,100
302,40.35,40.38,40.35,40.38,200
303,40.475,40.475,40.03,40.03,200
304,40.3,40.3,40.3,40.3,100
306,40.3,40.4,40.3,40.4,200
309,40.01,40.01,40.01,40.01,100
311,40.34,40.775,40.04,40.06,3290
312,40.6375,41.0625,40.25,41.0625,600
313,40.25,40.5,40.25,40.5,600
314,40.45,41.27,40.2,40.4,400
315,40.46,40.95,40.1303,40.6,1300
316,40.38,40.38,40.38,40.38,100
319,40.16,40.45,40.16,40.45,200
320,39.51,40.46,39,40.46,416264
321,39.895,39.895,39.8,39.8,200
322,39.7875,40.23,39.17,40.23,400
323,39.9,40.23,39.83,40.23,900
324,39.95,40.46,39.61,40.1,2174
429,40.03,40.03,40.03,40.03,164
430,40,42.78,39.99,40,2000
431,40.1,40.1,40.09,40.09,200
432,39.79,40.01,39.79,40,1900
433,39.5,39.99,39.5,39.99,500
434,39.82,39.82,39.82,39.82,100
435,39.82,39.82,39.6,39.6,200
436,39.59,39.5995,39.59,39.5995,200
437,39.8,39.8,39.59,39.5995,300
439,39.99,39.99,39.85,39.85,200
440,39.79,39.79,39.79,39.79,100
441,39.94,39.94,39.94,39.94,100
442,39.82,39.9,39.82,39.9,200
443,39.77,39.7795,39.77,39.7795,200
444,39.9451,39.98,39.72,39.81,1698
445,39.87,40,39.87,39.94,1202
447,39.76,39.76,39.68,39.69,400
448,39.74,39.74,39.74,39.74,100
449,39.7,39.84,39.7,39.84,200
450,39.84,39.84,39.84,39.84,300
452,39.84,39.84,39.84,39.84,100
454,39.83,39.83,39.83,39.83,200
455,39.8352,39.8352,39.835,39.835,350
456,39.84,39.84,39.84,39.84,100
457,39.72,39.75,39.72,39.75,900
458,39.53,39.6112,39.2558,39.51,2495
461,39.345,39.63,39.345,39.63,200
462,39.95,39.95,39.95,39.95,100
463,39.5,39.725,39.5,39.725,200
464,39.6,39.72,39.5,39.5,400
465,39.5,39.55,39.5,39.5,1300
466,39.3,39.6,39.05,39.6,2163
467,39,39.495,38.97,39.32,3754
468,39.59,39.6,38.91,39.08,2846
868,39.505,40.08,39.505,40.08,200
869,39.53,39.53,39.5125,39.515,300
871,39.435,39.99,38.87,39.02,3300
872,39.35,39.604,39.077,39.3955,3190
874,39.33,39.33,39.33,39.33,100
875,39.14,39.14,39.14,39.14,100
878,39.175,39.175,39.175,39.175,100
881,39.025,39.085,39.025,39.085,600
883,39.11,39.99,39.1,39.99,900
884,39.1,40.38,39.09,39.13,2000
885,39.09,39.13,39.09,39.11,1100
887,39.11,39.11,39.05,39.05,300
889,38.95,38.95,38.95,38.95,100
891,39.56,39.56,39.56,39.56,100
893,39,39.96,39,39,600
894,39.1,40.415,39.1,40.415,200
895,39.05,39.665,39.05,39.665,1500
896,39.55,39.55,39.55,39.55,100
897,39.64,39.64,39.64,39.64,100
898,39.865,39.865,39.865,39.865,100
899,39,39.5,39,39.33,1800
900,38.99,39.87,38.83,39.01,16410
a1493732400,39.31,41.4,39.3,39.32,900
1,39.15,39.15,39.15,39.15,200
2,39,39.8,39,39.8,1800
3,39.3,39.4258,38.4698,38.4698,1499
4,39.555,39.555,39.42,39.42,200
5,39.15,39.21,39.15,39.21,500
6,39.39,39.39,39.39,39.39,100
7,39.2,39.2,39.19,39.19,500
8,39.24,39.24,39.115,39.115,200
9,39.125,39.125,39.125,39.125,100
10,39.13,39.13,39.13,39.13,100
11,39.11,39.11,39.11,39.11,200
12,39.13,39.13,39.13,39.13,200
13,39.15,39.15,39.06,39.1026,712
14,39.01,39.13,39.01,39.06,1200
17,39.485,39.485,38.98,39.01,410
20,39.02,39.3413,38.7029,39.0572,4294
23,39.01,39.31,39.01,39.08,1900
24,39.15,39.15,39,39,400
26,38.99,39.01,38.95,38.9926,780
30,39,39,38.99,38.99,300
31,39.56,39.56,39.56,39.56,100
32,39.0095,39.3,39,39.3,300
33,39.2,39.2,39.2,39.2,100
34,39,39.56,39,39.56,600
35,39,39.51,39,39,600
36,39.3,39.3,39,39,400
37,39.2,39.2,39.03,39.03,312
38,39.265,39.45,38.8082,39.13,2869
150,39.17,39.17,39.04,39.04,600
151,39.055,39.055,39.055,39.055,100
153,39.24,39.475,39.24,39.475,200
154,39,39.495,39,39.495,300
155,39.01,39.01,39.01,39.01,100
156,39.19,39.19,39.19,39.19,200
157,39.195,39.195,39.195,39.195,100
159,39.56,39.56,39.01,39.4025,500
160,39,39.27,39,39.22,1100
161,39,39.515,39,39.515,200
162,39.515,39.515,39.515,39.515,100
163,39.525,39.525,39.525,39.525,100
165,39.545,39.545,39.545,39.545,100
166,39.11,39.93,38.93,39,4800
167,39.17,39.17,39,39,200
168,38.99,39.34,38.7488,38.913,2098
169,39,39.01,38.99,38.99,700
170,39.01,39.435,38.8191,38.91,2497
171,39.035,39.15,39.035,39.15,200
172,38.95,39.2,38.95,39.035,1421
173,39,39,38.97,38.985,1400
174,39.18,39.18,39.18,39.18,100
175,39.01,39.61,39,39.61,1100
176,39,39.12,38.99,39,2550
177,39,39.58,39,39.58,1000
178,39.575,39.575,39.1,39.1,200
179,39.15,39.15,39,39,1870
180,39.09,39.61,39.07,39.08,600
181,40.0505,40.175,39,39.07,9321
182,40.7,40.88,40,40.15,2314
295,40.075,44.904,40.065,42.39,700
296,41.015,42.66,41,42.66,900
297,41.34,42.69,40,40.64,800
298,41,41.67,41,41.67,300
299,41.4,42.45,40.96,41.4675,1000
300,40.75,41.08,40.75,41.05,700
301,40.75,40.75,40.75,40.75,200
302,40.14,40.93,40.14,40.86,300
303,40.73,40.74,40.39,40.6999,1048
304,40.12,40.74,40.12,40.74,200
