EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,61.53,61.53,61.53,61.53,8064
1,61.32,61.53,61.25,61.5,9089
2,61.3,61.32,61.25,61.31,5919
3,61.2,61.2997,61.2,61.2997,6816
4,61.32,61.33,61.2144,61.2144,42006
5,61.27,61.31,61.26,61.3,2791
6,61.31,61.3187,61.293,61.293,2807
7,61.35,61.36,61.29,61.302,3332
8,61.31,61.3646,61.31,61.36,1274
9,61.3325,61.36,61.33,61.33,3550
10,61.3933,61.3933,61.3063,61.3071,1901
11,61.45,61.45,61.399,61.399,3932
12,61.49,61.49,61.46,61.4704,1639
13,61.4632,61.49,61.45,61.48,4643
14,61.4632,61.4703,61.4515,61.47,2329
15,61.5062,61.5062,61.4766,61.4799,3401
16,61.5264,61.5299,61.5001,61.5099,7031
17,61.53,61.53,61.5066,61.5066,13075
18,61.52,61.54,61.5199,61.54,8098
19,61.4832,61.52,61.4832,61.51,22394
20,61.5,61.5,61.46,61.4828,1798
21,61.4699,61.5,61.4699,61.49,9641
22,61.53,61.53,61.48,61.48,4258
23,61.5399,61.549,61.53,61.53,1180
24,61.54,61.58,61.54,61.57,61415
25,61.55,61.55,61.5264,61.5264,8658
26,61.56,61.56,61.54,61.54,5498
27,61.5411,61.5544,61.5333,61.5544,445
28,61.56,61.56,61.52,61.52,7573
29,61.58,61.6,61.5699,61.5699,7850
30,61.55,61.59,61.55,61.58,11784
31,61.57,61.57,61.54,61.54,16945
32,61.56,61.56,61.536,61.56,56616
33,61.55,61.57,61.54,61.55,10251
34,61.62,61.62,61.5489,61.5489,8293
35,61.6499,61.65,61.6111,61.62,24591
36,61.645,61.65,61.6356,61.6356,2159
37,61.6,61.63,61.5964,61.629,3909
38,61.6,61.61,61.57,61.6016,11634
39,61.6,61.6,61.56,61.57,25222
144,61.41,61.44,61.41,61.44,5532
145,61.2591,61.36,61.2,61.3,5778
146,61.0798,61.26,61.0247,61.26,57397
147,60.98,61.04,60.97,61.0324,20050
148,60.98,61.0002,60.9624,60.97,1202
149,60.96,60.9682,60.93,60.95,10485
150,60.83,60.9101,60.83,60.9101,4250
151,60.87,60.9,60.84,60.9,11483
152,60.87,60.87,60.84,60.855,19709
153,60.9,60.92,60.89,60.891,4019
154,60.94,60.9799,60.9,60.91,5850
155,61,61.0018,60.9602,60.966,2859
156,61.07,61.1,60.997,60.997,7542
157,61.0903,61.1199,61.0758,61.0799,6665
158,60.9448,61.1303,60.94,61.1303,9263
159,60.97,61.01,60.9397,60.9397,4468
160,61.02,61.03,60.95,60.97,2850
161,61.0599,61.0791,61.0555,61.0555,2431
162,61,61.0298,60.9848,61.0298,1838
163,61,61.003,61,61.003,462
164,61,61.03,60.97,60.9932,720
165,61.02,61.02,60.98,60.98,1862
166,61.0601,61.07,61.02,61.02,3409
167,61.0706,61.0899,61.06,61.0729,1895
168,61.03,61.0799,61.03,61.07,2167
169,61.04,61.04,60.96,61,2500
170,60.97,61.08,60.94,60.99,7801
171,60.96,61.01,60.95,60.96,10425
172,60.932,60.96,60.92,60.93,13155
173,60.9533,61,60.95,60.95,2157
174,60.97,61.01,60.96,60.97,12261
175,61,61.02,60.96,60.96,3965
176,60.9848,61,60.96,61,7369
177,60.94,60.98,60.94,60.98,1837
178,60.97,60.97,60.9199,60.92,1732
179,60.99,61.01,60.99,60.99,3434
180,60.97,60.9999,60.94,60.99,4905
181,60.91,60.968,60.91,60.9653,6433
182,60.9,60.93,60.89,60.9,3518
183,60.89,60.9116,60.85,60.9116,12640
288,61.23,61.23,61.23,61.23,4562
289,61.18,61.2604,61.174,61.201,19117
290,61.335,61.335,61.1517,61.1574,8604
291,61.29,61.33,61.29,61.3097,4586
292,61.3666,61.4,61.35,61.35,2185
293,61.4696,61.4696,61.37,61.38,6373
294,61.39,61.44,61.39,61.44,1298
295,61.4834,61.4834,61.4005,61.4099,2990
296,61.39,61.47,61.39,61.47,3010
297,61.35,61.39,61.3425,61.39,3150
298,61.3399,61.39,61.3399,61.38,6453
299,61.34,61.3532,61.325,61.34,3791
300,61.34,61.34,61.307,61.32,512
301,61.33,61.3399,61.32,61.32,812
302,61.25,61.2703,61.24,61.2612,1699
303,61.26,61.27,61.23,61.2343,1728
304,61.26,61.2899,61.26,61.27,7409
305,61.281,61.29,61.27,61.2738,1993
306,61.279,61.285,61.26,61.2708,606
307,61.28,61.2868,61.27,61.286,1638
308,61.328,61.33,61.3,61.31,2548
309,61.4099,61.4099,61.3233,61.3299,2333
310,61.382,61.42,61.3768,61.42,2793
311,61.3799,61.4099,61.37,61.39,1840
312,61.39,61.4099,61.383,61.3899,2331
313,61.3599,61.3899,61.3599,61.3899,8171
314,61.3699,61.38,61.36,61.369,4504
315,61.3799,61.3799,61.34,61.3511,2688
316,61.3899,61.3899,61.3699,61.3799,3048
317,61.4099,61.4199,61.3799,61.3999,6587
318,61.3599,61.3999,61.34,61.3999,1947
319,61.37,61.3899,61.3699,61.37,1900
320,61.3855,61.41,61.3699,61.38,2008
321,61.37,61.38,61.35,61.38,6048
322,61.32,61.38,61.32,61.37,2792
323,61.39,61.4,61.37,61.37,1680
324,61.4,61.41,61.39,61.39,2565
325,61.392,61.45,61.392,61.41,5012
326,61.45,61.4567,61.41,61.41,2621
327,61.48,61.49,61.43,61.44,8247
432,61.61,61.61,61.61,61.61,2861
433,61.34,61.5,61.34,61.49,2925
434,61.38,61.4427,61.35,61.36,3899
435,61.25,61.33,61.24,61.33,5070
436,61.1,61.27,61.1,61.26,2089
437,61.06,61.13,61.04,61.11,3286
438,61.07,61.08,61.06,61.06,11018
439,61.07,61.07,61,61.06,3000
440,61.0142,61.0893,61.01,61.02,1913
441,61.145,61.145,61.02,61.02,3419
442,61.13,61.16,61.13,61.1574,2481
443,61.18,61.18,61.1493,61.1493,1285
444,61.17,61.21,61.1567,61.21,1890
445,61.108,61.18,61.108,61.18,1699
446,61.09,61.1232,61.09,61.1099,2150
447,61.12,61.15,61.12,61.12,1639
448,61.16,61.16,61.15,61.15,700
449,61.18,61.1932,61.17,61.17,1598
450,61.1993,61.2032,61.1893,61.1893,1345
451,61.1966,61.1966,61.171,61.1836,8071
452,61.2138,61.2138,61.17,61.17,1109
453,61.16,61.2,61.15,61.2,7911
454,61.1969,61.205,61.161,61.161,3171
455,61.1601,61.2095,61.16,61.18,3825
456,61.1791,61.1791,61.15,61.1596,6656
457,61.18,61.1832,61.1705,61.1832,3684
458,61.195,61.195,61.17,61.17,1296
459,61.18,61.21,61.18,61.2,2842
460,61.18,61.19,61.18,61.18,2400
461,61.15,61.2,61.15,61.2,987
462,61.16,61.17,61.15,61.16,2253
463,61.18,61.189,61.16,61.16,2445
464,61.1564,61.17,61.1564,61.17,5980
465,61.169,61.17,61.1365,61.1596,2593
466,61.17,61.18,61.15,61.16,8434
467,61.2,61.2,61.16,61.16,10397
468,61.1738,61.21,61.16,61.21,538
469,61.23,61.23,61.16,61.17,4574
470,61.24,61.24,61.22,61.22,2297
471,61.22,61.26,61.22,61.26,4500
864,61.41,61.41,61.41,61.41,2587
865,61.4099,61.45,61.39,61.43,5934
866,61.4095,61.41,61.35,61.3899,5849
867,61.42,61.4936,61.42,61.44,9273
868,61.31,61.4283,61.31,61.4283,6858
869,61.29,61.29,61.2466,61.28,8454
870,61.29,61.3021,61.28,61.28,3620
871,61.38,61.4,61.3017,61.3017,3077
872,61.47,61.47,61.3944,61.3944,3115
873,61.47,61.48,61.4201,61.46,5136
874,61.525,61.525,61.49,61.4984,19259
875,61.5229,61.5299,61.5001,61.515,10380
876,61.54,61.5461,61.52,61.525,4409
877,61.52,61.5255,61.5,61.52,2139
878,61.57,61.58,61.5489,61.5489,2928
879,61.59,61.6,61.5754,61.58,1781
880,61.576,61.6163,61.576,61.5999,5681
881,61.5908,61.6,61.56,61.6,1500
882,61.58,61.599,61.58,61.599,648
883,61.61,61.6161,61.58,61.59,1725
884,61.59,61.6268,61.59,61.6155,3783
885,61.58,61.5889,61.52,61.5889,5300
886,61.6047,61.6047,61.57,61.58,5062
