EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,21.2,21.2,21.2,21.2,9857
1,21.18,21.22,21.1,21.1,16021
2,21.195,21.25,21.18,21.21,22388
3,21.25,21.25,21.19,21.205,45570
4,21.18,21.26,21.17,21.25,66178
5,21.155,21.21,21.14,21.18,180436
6,21.11,21.165,21.1,21.155,47356
7,21.12,21.14,21.11,21.11,38876
8,21.04,21.12,21.04,21.115,45875
9,21.08,21.08,21.035,21.04,42997
10,21.1,21.105,21.05,21.07,28907
11,21.13,21.13,21.085,21.09,44713
12,21.12,21.15,21.11,21.135,28496
13,21.105,21.14,21.09,21.115,84700
14,21.085,21.11,21.08,21.105,89859
15,21.1,21.1,21.08,21.09,49093
16,21.07,21.1,21.07,21.1,59505
17,21.085,21.1,21.06,21.08,42251
18,21.05,21.09,21.045,21.09,31996
19,21.04,21.05,21.04,21.045,21978
20,21.03,21.06,21.02,21.045,33543
21,21.035,21.05,20.99,21.035,74320
22,21.05,21.055,21.04,21.04,65601
23,21.03,21.05,21.03,21.05,54162
24,21.015,21.07,20.995,21.0303,106733
25,21.01,21.025,20.99,21.015,32640
26,21.03,21.03,21,21.015,41257
27,21.03,21.03,21.01,21.03,28870
28,21.02,21.05,21.015,21.03,43424
29,21.02,21.02,21.01,21.015,31572
30,20.995,21.02,20.99,21.02,62574
31,21,21.01,20.99,20.99,69655
32,21.005,21.01,20.995,21,48627
33,21.01,21.01,20.99,21.005,57587
34,20.995,21.02,20.99,21,228283
35,20.99,21,20.985,20.995,132449
36,20.99,21.005,20.985,20.985,84062
37,20.975,20.99,20.97,20.99,102182
38,20.985,20.99,20.9444,20.975,213762
39,20.95,20.99,20.93,20.98,635520
144,21.08,21.08,21.08,21.08,32424
145,20.95,20.99,20.92,20.96,23790
146,20.955,20.97,20.915,20.95,48761
147,20.94,20.95,20.9,20.94,55073
148,20.925,20.96,20.92,20.94,54045
149,20.895,20.93,20.89,20.925,186308
150,20.89,20.91,20.88,20.89,520957
151,20.87,20.95,20.87,20.9,421369
152,20.795,20.89,20.74,20.875,556018
153,20.84,20.85,20.79,20.8,65940
154,20.785,20.85,20.78,20.84,92484
155,20.825,20.83,20.78,20.785,254342
156,20.8,20.83,20.785,20.83,287814
157,20.8,20.805,20.765,20.8,107324
158,20.755,20.8,20.75,20.8,86316
159,20.775,20.78,20.75,20.75,79285
160,20.795,20.8,20.77,20.77,56147
161,20.88,20.9,20.795,20.795,256648
162,20.855,20.9,20.855,20.88,106424
163,20.85,20.86,20.84,20.855,67052
164,20.85,20.855,20.845,20.845,188179
165,20.895,20.925,20.845,20.85,365338
166,20.9,20.91,20.885,20.895,323750
167,20.9,20.91,20.88,20.9,164416
168,20.9,20.91,20.88,20.9,1390753
169,21.025,21.025,20.9,20.9025,173871
170,20.955,21.04,20.9401,21.0201,395419
171,20.96,20.985,20.94,20.96,77583
172,20.98,20.98,20.9,20.95,95379
173,20.95,20.98,20.92,20.98,189831
174,20.945,20.96,20.935,20.95,83087
175,21,21.055,20.905,20.945,568486
176,21,21.01,20.96,21,162902
177,20.98,21.01,20.94,21,245177
178,21.025,21.04,20.97,20.99,164124
179,21.06,21.08,21.01,21.02,99235
180,21.09,21.12,21.04,21.07,546029
181,21.055,21.11,21.045,21.095,160939
182,21.03,21.06,21,21.06,235559
183,21.07,21.08,21.01,21.025,926418
288,21.1,21.1,21.1,21.1,14758
289,20.94,21.1,20.938,21.1,36250
290,21.06,21.06,20.95,20.95,57057
291,21.095,21.1,21.05,21.05,14299
292,21.23,21.24,21.09,21.1,43104
293,21.195,21.225,21.185,21.22,27195
294,21.14,21.21,21.13,21.195,36077
295,21.13,21.16,21.12,21.15,33712
296,21.105,21.14,21.09,21.12,25157
297,21.12,21.14,21.095,21.11,31426
298,21.1901,21.2,21.12,21.12,49824
299,21.26,21.27,21.19,21.195,36398
300,21.2,21.26,21.2,21.26,32015
301,21.19,21.215,21.18,21.2,21249
302,21.135,21.195,21.12,21.19,32646
303,21.14,21.175,21.12,21.14,24240
304,21.13,21.155,21.129,21.14,14124
305,21.16,21.165,21.135,21.135,46204
306,21.17,21.17,21.145,21.16,31448
307,21.165,21.19,21.15,21.17,19757
308,21.21,21.21,21.165,21.17,24334
309,21.27,21.27,21.2,21.2066,31715
310,21.26,21.3,21.24,21.27,37342
311,21.25,21.265,21.21,21.265,28811
312,21.24,21.27,21.24,21.245,17917
313,21.23,21.27,21.23,21.25,26734
314,21.215,21.2398,21.2,21.235,27216
315,21.23,21.23,21.19,21.21,122500
316,21.26,21.26,21.22,21.22,27621
317,21.265,21.275,21.24,21.25,23767
318,21.27,21.27,21.25,21.265,26268
319,21.27,21.29,21.26,21.265,35184
320,21.31,21.32,21.27,21.27,35335
321,21.31,21.33,21.305,21.31,21219
322,21.285,21.315,21.285,21.31,23477
323,21.32,21.33,21.28,21.285,40168
324,21.315,21.33,21.31,21.325,22976
325,21.32,21.33,21.315,21.32,38891
326,21.35,21.36,21.32,21.325,64797
327,21.37,21.38,21.34,21.345,282054
432,21.3,21.34,21.235,21.34,36476
433,21.21,21.34,21.18,21.3,17539
434,21.21,21.24,21.2,21.23,21397
435,21.27,21.27,21.21,21.21,12518
436,21.22,21.27,21.19,21.27,26545
437,21.26,21.26,21.22,21.22,43744
438,21.18,21.26,21.16,21.26,44338
439,21.15,21.18,21.15,21.18,14216
440,21.125,21.17,21.12,21.16,17375
441,21.17,21.17,21.1,21.1233,45823
442,21.19,21.2,21.16,21.17,17951
443,21.13,21.19,21.1,21.19,29316
444,21.135,21.14,21.1,21.135,26589
445,21.1,21.1316,21.075,21.13,32751
446,21.155,21.16,21.095,21.1,26907
447,21.115,21.16,21.11,21.16,16726
448,21.14,21.15,21.11,21.115,21937
449,21.11,21.15,21.11,21.14,12487
450,21.125,21.13,21.11,21.12,4935
451,21.135,21.135,21.09,21.13,32476
452,21.16,21.16,21.13,21.13,17988
453,21.19,21.2,21.17,21.17,18802
454,21.22,21.23,21.19,21.19,13347
455,21.2,21.22,21.2,21.215,28203
456,21.27,21.27,21.1901,21.2,30717
457,21.255,21.27,21.255,21.26,20272
458,21.26,21.2657,21.24,21.25,22563
459,21.27,21.27,21.24,21.26,19807
460,21.2416,21.29,21.24,21.27,55427
461,21.21,21.255,21.19,21.24,101576
462,21.17,21.21,21.155,21.2,181673
463,21.17,21.18,21.16,21.17,42150
464,21.205,21.21,21.17,21.17,27079
465,21.14,21.205,21.14,21.2,58549
466,21.165,21.18,21.14,21.145,98123
467,21.175,21.18,21.16,21.17,26355
468,21.17,21.18,21.17,21.175,34818
469,21.17,21.18,21.165,21.18,106500
470,21.1775,21.195,21.165,21.17,125795
471,21.16,21.2,21.16,21.19,679400
864,21.19,21.19,21.19,21.19,12090
865,21.22,21.23,21.06,21.19,27778
866,21.17,21.25,21.17,21.22,40691
867,21.165,21.185,21.14,21.17,84264
868,21.235,21.245,21.16,21.165,27497
869,21.2037,21.23,21.18,21.23,18837
870,21.24,21.24,21.195,21.2,18597
871,21.34,21.34,21.23,21.23,26472
872,21.32,21.34,21.32,21.33,24005
873,21.32,21.34,21.31,21.33,19108
874,21.28,21.311,21.28,21.311,11585
875,21.265,21.285,21.25,21.28,18434
876,21.26,21.27,21.25,21.2668,8538
877,21.225,21.27,21.21,21.26,39828
878,21.24,21.245,21.22,21.2271,15025
879,21.28,21.28,21.23,21.25,40317
880,21.31,21.31,21.27,21.28,26473
881,21.29,21.32,21.29,21.31,14083
882,21.255,21.3,21.255,21.29,20184
883,21.29,21.3,21.25,21.25,16285
884,21.3,21.32,21.29,21.3,15571
885,21.32,21.32,21.28,21.3,33425
886,21.34,21.35,21.32,21.32,29582
887,21.41,21.41,21.339,21.34,31971
888,21.42,21.43,21.4,21.41,30804
889,21.44,21.44,21.41,21.42,21394
890,21.5,21.51,21.44,21.44,32310
891,21.55,21.56,21.49,21.51,34657
892,21.44,21.57,21.44,21.56,51260
893,21.45,21.48,21.42,21.44,49807
894,21.4,21.45,21.4,21.45,19218
