EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,23.69,23.69,23.69,23.69,2096
4,23.63,23.63,23.63,23.63,300
5,23.63,23.63,23.63,23.63,1250
7,23.568,23.66,23.568,23.63,7519
8,23.566,23.566,23.54,23.55,4550
11,23.6331,23.6331,23.6331,23.6331,500
12,23.57,23.58,23.5,23.5,1107
13,23.57,23.57,23.57,23.57,100
14,23.5574,23.5574,23.5574,23.5574,724
16,23.5995,23.5999,23.5995,23.5999,1600
24,23.5715,23.5715,23.5715,23.5715,724
25,23.5501,23.5501,23.5501,23.5501,445
27,23.5864,23.5864,23.5864,23.5864,300
31,23.5872,23.5872,23.5872,23.5872,694
32,23.578,23.578,23.578,23.578,200
33,23.57,23.57,23.565,23.568,2872
34,23.57,23.57,23.57,23.57,100
38,23.58,23.5864,23.58,23.5864,826
39,23.56,23.6,23.56,23.58,7878
144,23.62,23.62,23.62,23.62,2207
146,23.46,23.49,23.46,23.49,200
148,23.49,23.49,23.49,23.49,100
150,23.48,23.48,23.46,23.46,624
151,23.45,23.4748,23.45,23.4748,1780
153,23.4656,23.4849,23.4656,23.4849,903
154,23.4549,23.4549,23.4549,23.4549,100
158,23.4594,23.4594,23.4594,23.4594,255
160,23.49,23.49,23.49,23.49,26858
163,23.4819,23.4819,23.47,23.47,2100
166,23.48,23.48,23.4,23.43,768
167,23.4513,23.47,23.4513,23.47,1158
168,23.445,23.445,23.445,23.445,200
172,23.47,23.47,23.4579,23.4579,1080
174,23.49,23.49,23.49,23.49,100
175,23.49,23.49,23.463,23.463,3600
176,23.47,23.499,23.45,23.47,6300
178,23.49,23.49,23.49,23.49,545
179,23.4999,23.4999,23.49,23.49,200
183,23.47,23.5,23.47,23.5,1221
288,23.68,23.68,23.68,23.68,1674
291,23.55,23.5626,23.54,23.5626,1196
292,23.5,23.5575,23.48,23.5575,8400
293,23.551,23.551,23.46,23.46,3740
297,23.5196,23.5196,23.5004,23.5004,700
298,23.51,23.51,23.51,23.51,400
299,23.513,23.513,23.513,23.513,200
302,23.48,23.49,23.48,23.49,520
303,23.53,23.53,23.49,23.49,366
304,23.513,23.513,23.513,23.513,150
306,23.4937,23.4937,23.4937,23.4937,150
308,23.52,23.52,23.5101,23.52,600
314,23.51,23.51,23.51,23.51,300
315,23.515,23.515,23.515,23.515,100
316,23.515,23.515,23.515,23.515,300
317,23.5199,23.5199,23.5199,23.5199,277
318,23.4801,23.4801,23.4801,23.4801,125
322,23.4831,23.4831,23.4831,23.4831,500
323,23.5,23.5,23.5,23.5,100
324,23.5299,23.5299,23.5015,23.5015,2600
327,23.5,23.52,23.5,23.52,220
432,23.5,23.5,23.5,23.5,194
435,23.45,23.45,23.45,23.45,341
436,23.4796,23.4796,23.46,23.46,300
437,23.5,23.5,23.435,23.44,957
438,23.5,23.51,23.5,23.51,400
439,23.5,23.5,23.5,23.5,200
444,23.5674,23.5674,23.54,23.54,2248
446,23.5562,23.5562,23.5562,23.5562,126
447,23.5685,23.5685,23.5562,23.5562,3180
448,23.5562,23.5562,23.5562,23.5562,420
449,23.5794,23.5794,23.5794,23.5794,2550
459,23.5503,23.5503,23.5503,23.5503,100
460,23.54,23.54,23.54,23.54,500
461,23.47,23.54,23.46,23.54,4400
462,23.49,23.5,23.49,23.49,3100
464,23.5188,23.5188,23.5188,23.5188,600
470,23.5345,23.5345,23.5345,23.5345,285
471,23.46,23.46,23.46,23.46,100
864,23.59,23.59,23.59,23.59,656
866,23.56,23.56,23.56,23.56,600
867,23.3784,23.589,23.3784,23.589,400
869,23.54,23.54,23.54,23.54,180
870,23.54,23.54,23.54,23.54,400
872,23.55,23.55,23.545,23.545,400
873,23.55,23.5564,23.5444,23.5444,806
874,23.501,23.501,23.501,23.501,650
875,23.5696,23.573,23.5696,23.573,1220
876,23.57,23.57,23.57,23.57,100
877,23.58,23.58,23.57,23.57,430
882,23.57,23.57,23.5548,23.5548,619
883,23.57,23.57,23.57,23.57,500
886,23.55,23.5795,23.55,23.5795,5300
887,23.54,23.55,23.529,23.549,5200
888,23.55,23.55,23.539,23.539,2000
893,23.57,23.57,23.57,23.57,100
895,23.55,23.5501,23.55,23.5501,900
897,23.54,23.54,23.538,23.538,600
899,23.5807,23.5807,23.5807,23.5807,955
901,23.5392,23.56,23.5392,23.54,1400
902,23.56,23.59,23.56,23.59,415
903,23.56,23.56,23.56,23.56,250
a1493731800,23.59,23.59,23.59,23.59,474
1,23.5501,23.554,23.5501,23.554,1429
2,23.5697,23.57,23.5697,23.57,300
6,23.5764,23.5764,23.5764,23.5764,300
7,23.5753,23.5753,23.57,23.57,550
8,23.5798,23.5798,23.5798,23.5798,700
9,23.5846,23.5899,23.5846,23.5899,2712
10,23.5798,23.5798,23.5686,23.5686,526
12,23.5798,23.5798,23.5798,23.5798,150
14,23.5798,23.5798,23.5798,23.5798,400
16,23.57,23.57,23.57,23.57,100
17,23.5664,23.5798,23.5619,23.5619,776
19,23.57,23.57,23.57,23.57,225
22,23.5899,23.5899,23.57,23.57,350
24,23.5832,23.5832,23.57,23.57,1150
25,23.5853,23.5853,23.57,23.57,950
27,23.5832,23.5832,23.58,23.58,550
28,23.5832,23.5832,23.5799,23.5799,525
29,23.5853,23.5853,23.57,23.5836,700
30,23.5802,23.5802,23.57,23.57,800
33,23.56,23.57,23.56,23.57,300
34,23.56,23.56,23.56,23.56,850
35,23.5795,23.5795,23.5795,23.5795,364
37,23.5,23.58,23.5,23.5652,2200
38,23.5205,23.53,23.5205,23.53,5850
39,23.5438,23.5438,23.5438,23.5438,850
145,23.54,23.54,23.54,23.54,200
146,23.5762,23.58,23.57,23.57,1265
148,23.57,23.5728,23.5654,23.5654,758
150,23.56,23.56,23.54,23.55,1650
151,23.57,23.57,23.56,23.56,800
153,23.5008,23.51,23.5,23.51,1695
155,23.52,23.52,23.52,23.52,100
158,23.533,23.533,23.533,23.533,150
169,23.55,23.55,23.5,23.5,1100
172,23.55,23.55,23.533,23.533,300
175,23.5369,23.5369,23.5369,23.5369,1785
176,23.5394,23.5394,23.5394,23.5394,237
180,23.5328,23.5328,23.5301,23.5301,2201
182,23.52,23.52,23.52,23.52,250
183,23.52,23.5205,23.52,23.5205,635
289,23.5499,23.5499,23.54,23.54,600
290,23.55,23.55,23.54,23.55,500
291,23.54,23.54,23.54,23.54,709
292,23.55,23.55,23.55,23.55,648
294,23.5384,23.5384,23.51,23.51,3200
295,23.5499,23.5499,23.5499,23.5499,112
297,23.5224,23.5224,23.5224,23.5224,152
298,23.5347,23.5347,23.5347,23.5347,158
299,23.5371,23.5371,23.5371,23.5371,970
300,23.55,23.551,23.55,23.55,2328
301,23.5628,23.59,23.5628,23.59,3285
305,23.581,23.581,23.581,23.581,500
309,23.5547,23.59,23.5547,23.5732,1700
311,23.5832,23.5832,23.5832,23.5832,280
312,23.5832,23.5832,23.5832,23.5832,210
314,23.59,23.59,23.58,23.58,300
315,23.5856,23.5866,23.582,23.5866,1406
316,23.65,23.65,23.58,23.59,1100
317,23.6328,23.6328,23.6328,23.6328,125
319,23.6328,23.6328,23.6328,23.6328,300
321,23.635,23.635,23.635,23.635,212
323,23.6579,23.6579,23.655,23.655,1000
324,23.58,23.66,23.58,23.66,2700
325,23.6,23.6,23.54,23.54,2800
326,23.61,23.61,23.61,23.61,599
327,23.66,23.66,23.66,23.66,650
433,23.4445,23.4445,23.4445,23.4445,1000
434,23.6337,23.6337,23.6337,23.6337,100
436,23.65,23.651,23.65,23.65,4040
437,23.64,23.6679,23.64,23.6679,1198
438,23.6,23.64,23.6,23.64,1700
439,23.6,23.6,23.6,23.6,355
440,23.6,23.6,23.5558,23.5558,1423
441,23.6,23.6,23.59,23.59,400
447,23.555,23.6,23.555,23.6,750
448,23.61,23.61,23.5747,23.61,620
449,23.5864,23.5864,23.5864,23.5864,500
457,23.6,23.6,23.6,23.6,300
471,23.66,23.66,23.615,23.6175,3240
864,23.59,23.59,23.59,23.59,555
865,23.59,23.59,23.59,23.59,628
867,23.55,23.62,23.5,23.52,11999
