EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493128200,7.3,7.3,7.3,7.3,10
1,7.6,7.6,7.4,7.4,535
2,7.6,7.6,7.6,7.6,10
5,7.559,7.598,7.5,7.598,298
6,7.5,7.5,7.301,7.5,1280
7,7.599,7.599,7.5,7.5,20
8,7.599,7.599,7.599,7.599,10
11,7.52,7.599,7.411,7.599,130
12,7.52,7.52,7.52,7.52,20
13,7.5,7.52,7.5,7.51,600
14,7.358,7.501,7.353,7.501,253
17,7.52,7.52,7.519,7.519,20
18,7.507,7.507,7.507,7.507,10
19,7.435,7.435,7.435,7.435,10
20,7.48,7.48,7.48,7.48,300
24,7.5,7.515,7.435,7.435,40
26,7.372,7.503,7.372,7.503,348
37,7.374,7.437,7.374,7.437,30
142,7.5,7.5,7.5,7.5,540
144,7.2,7.316,7.2,7.316,1504
148,7.388,7.499,7.388,7.499,160
150,7.491,7.491,7.491,7.491,75
152,7.319,7.319,7.319,7.319,10
154,7.43,7.43,7.43,7.43,10
157,7.304,7.304,7.304,7.304,10
159,7.43,7.43,7.43,7.43,10
160,7.429,7.429,7.429,7.429,10
163,7.43,7.43,7.267,7.267,212
164,7.43,7.43,7.43,7.43,20
165,7.43,7.43,7.43,7.43,20
166,7.43,7.43,7.428,7.43,140
167,7.425,7.425,7.425,7.425,100
172,7.705,8,7.402,7.43,12230
173,7.61,7.75,7.61,7.75,1080
174,7.79,7.8,7.79,7.8,30
176,7.6,7.61,7.6,7.61,160
177,7.79,7.79,7.779,7.779,40
179,7.53,7.8,7.51,7.695,1033
181,7.5,7.799,7.5,7.799,381
287,7.5,7.5,7.5,7.5,20
290,7.322,7.5,7.322,7.5,42
291,7.5,7.5,7.5,7.5,10
293,7.32,7.5,7.203,7.5,3380
296,7.497,7.497,7.497,7.497,10
297,7.4,7.49,7.4,7.49,20
298,7.49,7.49,7.49,7.49,30
299,7.5,7.5,7.49,7.49,100
300,7.5,7.5,7.46,7.5,1539
301,7.5,7.5,7.5,7.5,140
304,7.483,7.483,7.483,7.483,40
305,7.467,7.5,7.467,7.5,1020
308,7.5,7.5,7.402,7.5,430
309,7.5,7.5,7.5,7.5,10
310,7.499,7.5,7.499,7.5,100
314,7.432,7.432,7.432,7.432,20
316,7.5,7.5,7.401,7.44,542
317,7.5,7.5,7.475,7.5,10250
318,7.476,7.5,7.476,7.5,1212
319,7.5,7.5,7.5,7.5,10010
320,7.498,7.498,7.498,7.498,10
321,7.5,7.5,7.5,7.5,30
322,7.5,7.5,7.5,7.5,10
324,7.5,7.5,7.401,7.412,620
325,7.4,7.5,7.4,7.401,139
431,7.4,7.4,7.4,7.4,428
432,7.5,7.5,7.5,7.5,10
433,7.4,7.4,7.4,7.4,30
434,7.25,7.401,7.25,7.401,2000
436,7.485,7.5,7.485,7.5,20
438,7.5,7.5,7.5,7.5,10
439,7.441,7.441,7.441,7.441,500
447,7.4,7.4,7.4,7.4,10
449,7.49,7.49,7.49,7.49,20
450,7.49,7.49,7.49,7.49,20
452,7.49,7.49,7.49,7.49,20
454,7.317,7.49,7.303,7.49,100
458,7.4,7.412,7.3,7.303,349
459,7.497,7.497,7.497,7.497,10
462,7.3,7.4,7.3,7.4,30
463,7.49,7.49,7.49,7.49,10
465,7.4,7.4,7.4,7.4,10
467,7.497,7.497,7.497,7.497,10
468,7.3,7.4,7.3,7.4,1314
469,7.5,7.5,7.3,7.49,358
862,7.5,7.5,7.5,7.5,222
863,7.489,7.5,7.489,7.5,2250
864,7.457,7.46,7.3,7.349,390
865,7.497,7.497,7.478,7.478,600
866,7.468,7.468,7.468,7.468,500
867,7.491,7.498,7.486,7.494,740
869,7.4,7.4,7.4,7.4,10
870,7.5,7.5,7.4,7.4,300
871,7.499,7.499,7.499,7.499,10
873,7.4,7.4,7.4,7.4,10
875,7.498,7.5,7.401,7.45,518
878,7.306,7.5,7.306,7.491,1040
879,7.402,7.499,7.402,7.499,40
881,7.5,7.5,7.499,7.499,350
882,7.3,7.5,7.3,7.5,58
883,7.3,7.463,7.3,7.463,520
885,7.5,7.5,7.327,7.334,129
886,7.3,7.5,7.3,7.4,1040
887,7.3,7.5,7.3,7.3,1184
888,7.5,7.5,7.482,7.482,20
890,7.5,7.5,7.5,7.5,20
891,7.361,7.5,7.361,7.499,1040
892,7.477,7.5,7.35,7.425,1900
894,7.35,7.355,7.35,7.35,758
895,7.5,7.5,7.5,7.5,10
896,7.356,7.5,7.356,7.5,1040
897,7.35,7.5,7.35,7.5,1050
898,7.413,7.5,7.413,7.456,1920
899,7.497,7.5,7.413,7.414,2250
900,7.5,7.5,7.401,7.401,1853
901,7.5,7.5,7.5,7.5,1013
a1493731800,7.25,7.25,7.25,7.25,210
1,7.321,7.5,7.25,7.25,530
2,7.5,7.5,7.5,7.5,30
4,7.5,7.5,7.5,7.5,10
6,7.424,7.5,7.424,7.5,84
7,7.499,7.499,7.499,7.499,10
9,7.492,7.5,7.492,7.5,1471
10,7.5,7.5,7.409,7.41,597
11,7.5,7.5,7.5,7.5,870
12,7.499,7.5,7.499,7.5,1100
13,7.5,7.8,7.499,7.499,551
14,7.509,7.509,7.5,7.5,518
15,7.6,7.6,7.5,7.5,2510
16,7.506,7.65,7.5,7.6,4977
17,7.5,7.5,7.5,7.5,2510
18,7.474,7.474,7.474,7.474,35
20,7.5,7.5,7.5,7.5,482
21,7.5,7.5,7.5,7.5,70
22,7.5,7.5,7.498,7.5,70
23,7.5,7.5,7.5,7.5,20
25,7.5,7.5,7.5,7.5,10
26,7.5,7.5,7.5,7.5,10
27,7.499,7.499,7.499,7.499,30
28,7.5,7.5,7.458,7.458,1799
29,7.447,7.447,7.446,7.446,120
30,7.478,7.5,7.454,7.454,630
31,7.5,7.5,7.4,7.488,358
32,7.468,7.5,7.453,7.475,953
33,7.405,7.448,7.4,7.447,448
34,7.475,7.475,7.471,7.471,810
36,7.401,7.401,7.401,7.401,10
37,7.471,7.471,7.441,7.441,1000
38,7.47,7.47,7.441,7.47,2000
39,7.46,7.46,7.414,7.415,3006
146,7.457,7.5,7.457,7.5,312
147,7.5,7.5,7.5,7.5,10
148,7.5,7.5,7.5,7.5,10
149,7.5,7.5,7.5,7.5,748
150,7.401,7.401,7.401,7.401,53
151,8,8.2,7.401,7.401,4678
152,7.704,8,7.704,8,3556
153,7.9,7.9,7.71,7.71,30
154,7.976,7.976,7.747,7.747,390
155,7.7,7.7,7.7,7.7,10
156,7.7,7.899,7.7,7.899,20
157,7.899,7.9,7.7,7.899,50
158,7.7,7.7,7.7,7.7,10
159,7.899,7.899,7.7,7.7,30
160,7.602,7.782,7.602,7.708,233
161,7.602,7.602,7.602,7.602,10
162,7.61,7.61,7.602,7.602,20
163,7.6,7.6,7.6,7.6,10
164,7.499,7.698,7.499,7.6,865
165,7.5,7.5,7.5,7.5,160
166,7.7,7.7,7.5,7.5,1074
167,7.5,7.875,7.5,7.631,413
170,7.5,7.9,7.5,7.9,610
171,7.5,7.5,7.5,7.5,1130
174,7.5,7.5,7.5,7.5,135
175,7.499,7.499,7.499,7.499,52
176,7.5,7.9,7.5,7.5,1550
177,8,8,7.499,7.5,905
178,7.6,8,7.51,7.75,3210
179,7.772,7.772,7.5,7.602,1110
180,7.5,7.5,7.5,7.5,500
181,7.6,7.6,7.6,7.6,20
182,7.5,7.796,7.5,7.5,2780
183,7.5,7.5,7.4,7.5,1175
288,7.317,7.317,7.317,7.317,96
289,7.5,7.5,7.303,7.318,1708
290,7.498,7.498,7.401,7.401,60
291,7.4,7.401,7.4,7.4,686
292,7.404,7.404,7.4,7.4,150
293,7.402,7.402,7.402,7.402,10
294,7.415,7.415,7.415,7.415,10
295,7.431,7.431,7.43,7.431,160
296,7.5,7.5,7.5,7.5,20
297,7.432,7.432,7.432,7.432,10
300,7.499,7.499,7.495,7.495,100
303,7.499,7.499,7.499,7.499,30
305,7.455,7.455,7.455,7.455,11
306,7.499,7.499,7.499,7.499,20
309,7.434,7.499,7.434,7.499,331
310,7.403,7.434,7.403,7.434,1000
