EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127600,55,55,55,55,319
7,55.0634,55.0634,55.0634,55.0634,100
27,55.1499,55.1499,55.1499,55.1499,627
31,55.12,55.12,55.12,55.12,200
32,55.13,55.13,55.12,55.1299,2286
37,55.1062,55.1062,55.1062,55.1062,110
160,55.2099,55.2099,55.2099,55.2099,218
178,55.2029,55.2029,55.2029,55.2029,757
290,55.21,55.21,55.21,55.21,100
292,55.2,55.2,55.17,55.17,2153
294,55.2,55.2,55.2,55.2,100
296,55.16,55.16,55.16,55.16,100
298,55.18,55.18,55.18,55.18,100
300,55.15,55.15,55.15,55.15,100
303,55.145,55.145,55.145,55.145,100
304,55.15,55.15,55.15,55.15,163
305,55.15,55.15,55.15,55.15,100
309,55.23,55.23,55.23,55.23,100
311,55.21,55.21,55.21,55.21,100
312,55.21,55.21,55.21,55.21,500
313,55.228,55.2399,55.228,55.2399,470
314,55.235,55.235,55.235,55.235,100
318,55.25,55.25,55.25,55.25,200
434,55.15,55.15,55.1495,55.15,600
442,55.17,55.17,55.1699,55.1699,330
444,55.02,55.17,55.02,55.1699,420
445,55.03,55.14,55.03,55.135,2306
450,55.1699,55.1699,55.1699,55.1699,210
469,55.16,55.16,55.16,55.16,339
866,55.3934,55.45,55.3934,55.45,265
875,55.48,55.48,55.48,55.48,100
880,55.49,55.49,55.49,55.49,800
884,55.449,55.449,55.449,55.449,150
888,55.508,55.508,55.508,55.508,210
889,55.495,55.506,55.495,55.506,370
a1493736600,55.56,55.56,55.56,55.56,100
7,55.56,55.56,55.56,55.56,100
11,55.6,55.6,55.5879,55.5879,800
18,55.58,55.58,55.58,55.58,100
28,55.6,55.6,55.6,55.6,200
141,55.25,55.25,55.25,55.25,100
142,55.298,55.298,55.298,55.298,321
144,55.28,55.28,55.28,55.28,100
145,55.21,55.21,55.21,55.21,100
149,55.29,55.29,55.29,55.29,100
151,55.31,55.31,55.31,55.31,100
154,55.32,55.32,55.32,55.32,100
157,55.3399,55.3399,55.289,55.289,243
158,55.34,55.34,55.34,55.34,118
160,55.335,55.335,55.335,55.335,100
166,55.295,55.295,55.295,55.295,100
167,55.34,55.34,55.3399,55.3399,322
169,55.37,55.37,55.37,55.37,100
280,55.24,55.24,55.24,55.24,200
282,55.1,55.1,55.1,55.1,100
431,55.3399,55.3399,55.3399,55.3399,134
433,55.3799,55.3799,55.3799,55.3799,213
436,55.3799,55.3799,55.3799,55.3799,103
445,55.42,55.42,55.42,55.42,174
456,55.4499,55.4499,55.4499,55.4499,220
461,55.466,55.466,55.466,55.466,522
875,55.49,55.49,55.49,55.49,100
880,55.4999,55.4999,55.4999,55.4999,150
885,55.46,55.46,55.46,55.46,100
889,55.4055,55.4055,55.4055,55.4055,142
a1494337200,55.03,55.03,55.03,55.03,100
2,55.22,55.22,55.22,55.22,250
3,55.2399,55.2399,55.22,55.22,1279
4,55.2445,55.2445,55.2445,55.2445,163
10,55.288,55.288,55.288,55.288,100
20,55.29,55.29,55.285,55.29,2000
21,55.31,55.31,55.29,55.295,8600
23,55.2699,55.2699,55.2699,55.2699,130
36,55.2,55.2,55.2,55.2,1399
145,55.3199,55.3199,55.2373,55.2373,402
175,55.3499,55.3499,55.3499,55.3499,172
291,55.01,55.0299,55.01,55.0299,252
293,54.99,54.99,54.9899,54.9899,292
294,54.9999,54.9999,54.9999,54.9999,132
296,55,55,55,55,301
300,55.052,55.052,55.052,55.052,111
436,54.9701,54.9701,54.9701,54.9701,332
461,55.1,55.1,55.1,55.1,231
869,55.3499,55.3499,55.3499,55.3499,101
870,55.33,55.34,55.33,55.34,201
a1494941400,55.64,55.64,55.64,55.64,126
1,55.58,55.58,55.58,55.58,126
2,55.555,55.555,55.555,55.555,100
3,55.565,55.565,55.565,55.565,100
5,55.56,55.56,55.56,55.56,100
7,55.525,55.525,55.525,55.525,100
9,55.52,55.52,55.52,55.52,100
11,55.51,55.51,55.51,55.51,100
13,55.495,55.495,55.495,55.495,100
15,55.463,55.463,55.463,55.463,149
18,55.485,55.485,55.485,55.485,100
21,55.455,55.455,55.455,55.455,100
23,55.46,55.46,55.4599,55.4599,2082
26,55.46,55.46,55.46,55.46,100
27,55.45,55.45,55.45,55.45,181
33,55.44,55.44,55.44,55.44,100
39,55.4956,55.4956,55.4956,55.4956,271
146,55.233,55.233,55.22,55.22,372
148,55.15,55.15,55.1499,55.1499,282
150,55.14,55.14,55.14,55.14,200
156,55.07,55.07,55.0699,55.0699,518
161,55.085,55.085,55.085,55.085,100
169,55.08,55.08,55.08,55.08,100
292,55.15,55.1799,55.15,55.1799,617
294,55.255,55.255,55.154,55.255,400
299,55.24,55.24,55.24,55.24,123
316,55.19,55.19,55.19,55.19,100
317,55.2299,55.2299,55.2299,55.2299,118
435,55.33,55.34,55.33,55.34,329
446,55.44,55.4599,55.44,55.4599,708
451,55.5199,55.5199,55.5199,55.5199,808
452,55.52,55.52,55.52,55.52,800
459,55.56,55.56,55.5599,55.5599,364
463,55.56,55.56,55.56,55.56,400
466,55.48,55.48,55.48,55.48,200
877,55.6599,55.6599,55.6599,55.6599,128
883,55.68,55.68,55.595,55.595,400
894,55.6799,55.6799,55.65,55.65,625
895,55.5201,55.5201,55.52,55.52,725
a1495552200,55.8,55.8,55.743,55.7486,1170
4,55.7345,55.7345,55.7345,55.7345,201
17,55.76,55.76,55.7255,55.7255,358
139,55.5599,55.5599,55.5599,55.5599,103
144,55.5299,55.5299,55.5299,55.5299,141
147,55.45,55.45,55.45,55.45,100
152,55.55,55.55,55.55,55.55,149
153,55.5033,55.5033,55.5033,55.5033,166
162,55.5188,55.5188,55.45,55.45,528
173,55.5765,55.5765,55.5765,55.5765,150
293,55.7799,55.7799,55.7799,55.7799,100
294,55.79,55.79,55.7699,55.7699,1300
295,55.78,55.78,55.78,55.78,172
303,55.7,55.7,55.7,55.7,469
304,55.7199,55.7299,55.7199,55.7299,400
305,55.7399,55.7399,55.73,55.7399,600
306,55.74,55.7499,55.74,55.7499,200
308,55.72,55.72,55.7199,55.7199,250
309,55.7399,55.7399,55.726,55.7299,300
310,55.746,55.7499,55.746,55.7499,600
311,55.7499,55.7499,55.7499,55.7499,100
313,55.77,55.77,55.7699,55.7699,225
314,55.75,55.7599,55.745,55.745,400
315,55.77,55.8,55.7699,55.7699,866
316,55.77,55.7999,55.77,55.7999,200
317,55.7499,55.7699,55.7499,55.7699,325
424,55.5,55.5,55.5,55.5,100
436,55.61,55.61,55.6099,55.6099,270
443,55.62,55.62,55.6199,55.6199,867
446,55.63,55.63,55.63,55.63,319
447,55.4601,55.4601,55.4601,55.4601,105
460,55.626,55.626,55.626,55.626,151
a1496153400,55.655,55.655,55.655,55.655,100
3,55.5001,55.5001,55.5001,55.5001,395
4,55.54,55.54,55.54,55.54,100
10,55.5599,55.5599,55.5599,55.5599,116
21,55.69,55.69,55.69,55.69,100
29,55.68,55.68,55.67,55.67,200
144,55.59,55.59,55.59,55.59,173
158,55.62,55.62,55.62,55.62,100
163,55.66,55.66,55.66,55.66,598
166,55.62,55.62,55.62,55.62,100
169,55.57,55.57,55.57,55.57,100
170,55.63,55.63,55.63,55.63,196
173,55.62,55.62,55.62,55.62,100
177,55.638,55.638,55.638,55.638,400
178,55.63,55.63,55.6299,55.6299,237
290,55.83,55.83,55.83,55.83,100
296,55.91,55.91,55.9,55.9,450
299,55.9399,55.9399,55.9399,55.9399,484
300,55.95,55.95,55.95,55.95,400
301,55.94,55.94,55.94,55.94,200
317,55.98,55.98,55.98,55.98,100
321,55.85,55.85,55.85,55.85,525
431,56.63,56.63,56.63,56.63,100
432,56.674,56.68,56.674,56.68,500
433,56.66,56.66,56.66,56.66,100
434,56.69,56.69,56.69,56.69,100
436,56.72,56.72,56.72,56.72,100
437,56.78,56.78,56.78,56.78,100
439,56.77,56.77,56.77,56.77,100
441,56.81,56.81,56.81,56.81,100
442,56.83,56.83,56.83,56.83,100
444,56.83,56.83,56.83,56.83,100
446,56.84,56.84,56.84,56.84,100
