EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,12.3,12.3,12.3,12.3,22387
1,12.1,12.415,12.01,12.3,96558
2,12.241,12.328,12.09,12.09,75796
3,12.19,12.25,12.06,12.25,68916
4,12.19,12.22,12.08,12.201,22168
5,12.1172,12.2,12.08,12.1814,27050
6,11.9698,12.0921,11.94,12.0921,93920
7,11.96,12.12,11.95,11.9698,42337
8,11.76,11.99,11.76,11.97,56191
9,11.76,11.86,11.71,11.76,47167
10,11.808,11.8699,11.73,11.75,29450
11,11.76,11.8447,11.75,11.805,34559
12,11.75,11.81,11.75,11.77,18595
13,11.725,11.79,11.7,11.75,34149
14,11.63,11.76,11.58,11.72,51444
15,11.5614,11.64,11.55,11.63,39731
16,11.48,11.5941,11.48,11.5739,44674
17,11.55,11.59,11.453,11.47,35634
18,11.45,11.56,11.44,11.56,34196
19,11.48,11.5,11.43,11.47,31829
20,11.5349,11.57,11.49,11.49,24000
21,11.564,11.69,11.505,11.52,24470
22,11.62,11.68,11.544,11.56,16378
23,11.5328,11.63,11.5,11.6148,20857
24,11.48,11.59,11.48,11.5202,19243
25,11.47,11.49,11.43,11.49,28586
26,11.43,11.49,11.43,11.47,23268
27,11.53,11.55,11.38,11.42,41740
28,11.51,11.54,11.46,11.52,31089
29,11.48,11.53,11.45,11.51,24755
30,11.44,11.4915,11.317,11.48,32650
31,11.37,11.46,11.35,11.44,36655
32,11.29,11.4,11.282,11.39,29030
33,11.34,11.34,11.19,11.25,52395
34,11.325,11.35,11.32,11.345,19104
35,11.3601,11.3601,11.285,11.32,60194
36,11.415,11.42,11.36,11.365,46892
37,11.405,11.42,11.4,11.415,45496
38,11.29,11.41,11.29,11.41,119791
39,11.28,11.33,11.27,11.3,239688
144,11.31,11.31,11.31,11.31,13320
145,10.77,11.3291,10.73,11.3,141111
146,10.58,10.79,10.56,10.79,122013
147,10.53,10.683,10.3,10.55,168433
148,10.52,10.56,10.46,10.53,73796
149,10.38,10.52,10.36,10.52,91807
150,10.45,10.5,10.26,10.36,80868
151,10.45,10.4686,10.38,10.451,41473
152,10.415,10.46,10.41,10.45,14989
153,10.48,10.49,10.42,10.43,13838
154,10.49,10.58,10.47,10.48,30675
155,10.49,10.5,10.47,10.5,12083
156,10.555,10.7,10.49,10.49,57594
157,10.57,10.57,10.54,10.54,6497
158,10.554,10.57,10.55,10.56,15670
159,10.67,10.675,10.55,10.55,24566
160,10.82,10.85,10.6597,10.675,58451
161,10.89,10.93,10.76,10.81,45955
162,10.93,10.94,10.86,10.89,27875
163,10.888,10.97,10.888,10.93,28497
164,10.87,10.88,10.85,10.88,33902
165,10.91,10.91,10.865,10.87,10936
166,10.9501,10.96,10.9,10.91,16466
167,10.95,10.96,10.94,10.96,12537
168,10.94,10.97,10.94,10.94,11861
169,10.97,10.98,10.95,10.95,27880
170,10.94,10.97,10.94,10.97,4689
171,10.97,10.99,10.94,10.94,21306
172,11.105,11.14,10.9594,10.97,21065
173,11.09,11.11,11.08,11.11,12828
174,11.065,11.08,11.06,11.07,9440
175,11.07,11.075,11.0635,11.0635,4600
176,11.06,11.08,11.06,11.07,7151
177,11.013,11.07,11.01,11.07,4500
178,11.005,11.01,10.99,11.01,13980
179,10.8701,11.01,10.8701,11.01,31333
180,10.85,10.87,10.78,10.865,24478
181,10.79,10.85,10.77,10.85,26513
182,10.75,10.8,10.69,10.8,44788
183,10.83,10.83,10.72,10.75,196714
288,10.76,10.76,10.76,10.76,22932
289,10.47,10.82,10.41,10.72,60754
290,10.59,10.66,10.46,10.47,29150
291,10.6072,10.66,10.57,10.601,23755
292,10.6,10.66,10.57,10.62,18986
293,10.6,10.645,10.585,10.6,26949
294,10.59,10.63,10.58,10.6,16972
295,10.57,10.59,10.47,10.58,23798
296,10.49,10.58,10.46,10.54,2300
297,10.495,10.53,10.47,10.5,10620
298,10.5025,10.53,10.46,10.49,11610
299,10.5701,10.571,10.52,10.52,6729
300,10.565,10.59,10.55,10.5753,7800
301,10.53,10.57,10.48,10.565,13600
302,10.52,10.54,10.5,10.52,7653
303,10.52,10.53,10.5,10.525,6400
304,10.51,10.55,10.5,10.52,5350
305,10.43,10.54,10.425,10.54,8043
306,10.43,10.43,10.348,10.42,9846
307,10.5,10.52,10.43,10.43,10252
308,10.5534,10.62,10.48,10.5,24465
309,10.54,10.57,10.54,10.5534,4560
310,10.509,10.55,10.49,10.54,7852
311,10.555,10.555,10.51,10.52,3100
312,10.51,10.5543,10.51,10.5506,2074
313,10.62,10.62,10.505,10.5093,16166
314,10.68,10.68,10.61,10.62,17417
315,10.7421,10.7659,10.66,10.67,45351
316,10.6744,10.76,10.66,10.76,17842
317,10.62,10.68,10.62,10.6799,24605
318,10.62,10.66,10.61,10.6271,4500
319,10.66,10.67,10.63,10.63,9321
320,10.58,10.69,10.58,10.65,17017
321,10.58,10.6,10.56,10.5893,4600
322,10.4818,10.59,10.46,10.57,23301
323,10.4986,10.54,10.49,10.49,9987
324,10.51,10.51,10.46,10.49,9617
325,10.5,10.54,10.49,10.5,16443
326,10.48,10.52,10.48,10.5,14004
327,10.46,10.51,10.46,10.48,110651
432,10.38,10.38,10.36,10.36,16951
433,10.34,10.43,10.28,10.36,13034
434,10.39,10.43,10.28,10.3316,25888
435,10.58,10.59,10.3701,10.3701,45839
436,10.34,10.55,10.3,10.54,24270
437,10.22,10.34,10.1998,10.34,38288
438,10.09,10.25,10.08,10.22,36467
439,10.22,10.24,10.08,10.09,16267
440,10.13,10.24,10.13,10.23,6784
441,10.18,10.21,10.1,10.14,20945
442,10.2,10.22,10.171,10.171,11950
443,10.21,10.21,10.13,10.18,11510
444,10.1983,10.2098,10.12,10.2098,11020
445,10.21,10.21,10.17,10.185,8480
446,10.23,10.24,10.205,10.205,6000
447,10.25,10.26,10.21,10.22,12648
448,10.27,10.28,10.23,10.26,15832
449,10.28,10.3,10.27,10.275,9199
450,10.2,10.28,10.2,10.28,6124
451,10.18,10.202,10.13,10.202,15825
452,10.14,10.19,10.1315,10.18,25311
453,10.16,10.16,10.12,10.1498,13853
454,10.19,10.21,10.1502,10.155,7139
455,10.2,10.22,10.19,10.2,4600
456,10.25,10.28,10.2,10.21,23190
457,10.27,10.28,10.232,10.232,3732
458,10.26,10.29,10.23,10.25,14390
459,10.24,10.26,10.22,10.25,7901
460,10.21,10.26,10.21,10.25,5850
461,10.2,10.24,10.19,10.23,6484
462,10.15,10.2,10.14,10.2,11439
463,10.17,10.17,10.14,10.15,5500
464,10.14,10.1702,10.13,10.1702,25450
465,10.1,10.13,10.09,10.13,31646
466,10.18,10.19,10.09,10.11,10400
467,10.21,10.2263,10.17,10.17,11253
468,10.24,10.24,10.1936,10.2,23007
469,10.2051,10.27,10.2,10.24,12128
470,10.2,10.21,10.14,10.2,41810
471,10.22,10.24,10.17,10.18,186066
864,10.29,10.29,10.29,10.29,25159
865,10.16,10.26,10.1,10.251,17504
866,10.12,10.22,10.12,10.1553,6542
867,10.1,10.14,10.03,10.11,11111
868,10.1374,10.1374,10.092,10.092,2900
869,10.15,10.17,10.11,10.12,9591
870,10.12,10.16,10.06,10.14,14192
871,10.19,10.2,10.12,10.12,17759
872,10.2392,10.24,10.17,10.18,9756
873,10.25,10.33,10.23,10.24,25305
874,10.21,10.24,10.21,10.24,3863
875,10.19,10.23,10.19,10.2,5399
876,10.21,10.24,10.18,10.2,4900
877,10.14,10.21,10.14,10.21,8991
878,10.1392,10.14,10.1,10.12,5703
879,10.12,10.16,10.1,10.12,4200
880,10.12,10.15,10.12,10.14,600
881,10.1799,10.18,10.1,10.14,17354
882,10.15,10.1599,10.15,10.15,1100
883,10.1369,10.1599,10.1369,10.14,4735
884,10.13,10.15,10.13,10.15,1317
885,10.15,10.15,10.1,10.11,2482
886,10.17,10.19,10.14,10.14,3447
887,10.2084,10.21,10.189,10.195,1425
888,10.23,10.23,10.2084,10.23,1600
889,10.2212,10.24,10.2,10.24,4841
890,10.26,10.27,10.24,10.24,3476
891,10.29,10.3,10.26,10.27,3244
