EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493133000,24.7375,24.8099,24.7375,24.75,6000
1,24.7753,24.7753,24.7753,24.7753,175
3,24.77,24.77,24.77,24.77,2300
5,24.7601,24.7601,24.7601,24.7601,101
167,24.7011,24.7199,24.7011,24.7199,751
168,24.73,24.73,24.7299,24.73,3063
306,24.549,24.549,24.549,24.549,225
450,24.37,24.37,24.37,24.37,187
460,24.3641,24.3641,24.3641,24.3641,100
854,24.33,24.33,24.33,24.33,100
856,24.4,24.4,24.4,24.4,100
877,24.4921,24.4921,24.4921,24.4921,100
883,24.62,24.6299,24.62,24.6299,600
890,24.6,24.61,24.6,24.6069,800
891,24.6175,24.6175,24.6175,24.6175,245
893,24.63,24.63,24.63,24.63,300
a1493743200,24.47,24.47,24.47,24.47,365
17,24.385,24.385,24.385,24.385,1185
158,24.21,24.21,24.2,24.2,851
289,24.09,24.09,24.09,24.09,1232
419,24.05,24.14,24.05,24.14,634
866,24.275,24.275,24.275,24.275,960
880,24.28,24.28,24.2412,24.2412,4750
881,24.2413,24.2413,24.2413,24.2413,150
a1494354600,24.4781,24.4781,24.4781,24.4781,100
120,24.56,24.56,24.56,24.56,100
408,24.6025,24.62,24.6025,24.62,400
847,24.8,24.8,24.8,24.8,2300
851,24.8,24.8,24.8,24.8,1320
853,24.8,24.8,24.8,24.8,100
864,24.8,24.81,24.8,24.81,200
984,24.69,24.69,24.69,24.69,100
a1494963600,24.7626,24.7626,24.7626,24.7626,150
2,24.82,24.82,24.82,24.82,100
116,24.41,24.41,24.41,24.41,100
134,24.36,24.36,24.36,24.36,100
139,24.27,24.27,24.27,24.27,100
145,24.25,24.25,24.25,24.25,100
267,24.29,24.29,24.29,24.29,100
290,24.33,24.33,24.33,24.33,100
422,24.61,24.61,24.5604,24.5604,1100
423,24.53,24.563,24.53,24.5446,3000
827,24.6,24.6,24.6,24.6,190
828,24.6,24.6,24.6,24.6,200
838,24.5827,24.5827,24.5827,24.5827,125
a1495719000,24.6,24.6,24.6,24.6,225
2,24.52,24.52,24.52,24.52,100
153,24.2205,24.2205,24.2205,24.2205,125
720,24.09,24.09,24.09,24.09,299
722,24.14,24.14,24.14,24.14,100
759,24.01,24.028,24.01,24.028,200
866,23.942,23.98,23.94,23.94,820
870,23.7538,23.7538,23.73,23.73,200
872,23.7973,23.7973,23.7973,23.7973,290
874,23.9,23.9,23.89,23.89,9100
889,23.845,23.862,23.826,23.826,400
903,24.03,24.03,23.97,23.97,400
a1496340600,24.2964,24.2964,24.2964,24.2964,200
2,24.34,24.34,24.34,24.34,200
11,24.3809,24.3809,24.3809,24.3809,200
576,24.351,24.351,24.351,24.351,140
697,24.3492,24.3492,24.31,24.31,700
698,24.3335,24.3335,24.3335,24.3335,140
699,24.3673,24.3673,24.3673,24.3673,210
701,24.2975,24.2975,24.28,24.28,400
702,24.2673,24.2673,24.2673,24.2673,620
703,24.262,24.262,24.262,24.262,350
713,24.31,24.31,24.31,24.31,100
714,24.31,24.31,24.31,24.31,300
718,24.38,24.38,24.38,24.38,140
719,24.3225,24.3225,24.31,24.31,400
721,24.373,24.373,24.373,24.373,120
723,24.35,24.35,24.35,24.35,520
731,24.42,24.42,24.35,24.35,600
841,24.2825,24.2825,24.26,24.26,400
842,24.2943,24.2943,24.2943,24.2943,500
843,24.2623,24.2623,24.2623,24.2623,100
845,24.242,24.242,24.242,24.242,1140
846,24.304,24.304,24.3026,24.3026,300
848,24.2843,24.2843,24.26,24.26,440
851,24.2647,24.2647,24.2647,24.2647,220
865,24.11,24.14,24.11,24.12,3050
867,24.2,24.2,24.2,24.2,600
872,24.19,24.1925,24.17,24.17,1400
873,24.19,24.19,24.19,24.19,300
874,24.2199,24.2199,24.2199,24.2199,100
875,24.21,24.21,24.21,24.21,100
980,24.03,24.03,24.03,24.03,460
981,24.11,24.11,24.11,24.11,100
982,24.15,24.15,24.15,24.15,100
995,24.3563,24.3563,24.32,24.32,325
997,24.4044,24.4044,24.38,24.38,400
a1496947800,24.45,24.45,24.45,24.45,375
1,24.47,24.47,24.38,24.38,950
112,24.59,24.59,24.59,24.59,200
114,24.51,24.51,24.51,24.51,100
118,24.5086,24.5086,24.5086,24.5086,225
145,24.1696,24.1696,24.1696,24.1696,135
146,24.294,24.294,24.294,24.294,215
147,24.3,24.311,24.27,24.27,1900
148,24.3143,24.3143,24.3143,24.3143,125
149,24.294,24.294,24.294,24.294,200
151,24.3,24.3,24.27,24.27,1050
544,24.36,24.36,24.36,24.36,100
548,24.0875,24.0875,24.05,24.05,200
549,24.1384,24.1384,24.07,24.07,7750
550,24.1728,24.248,24.1728,24.248,1100
552,24.2543,24.2543,24.2543,24.2543,450
555,24.3016,24.3016,24.3016,24.3016,200
557,24.2543,24.2702,24.24,24.2702,425
559,24.2284,24.2284,24.2284,24.2284,250
570,24.2,24.2,24.2,24.2,685
573,24.17,24.1875,24.17,24.17,1844
576,24.2159,24.2159,24.2159,24.2159,103
691,24.3272,24.3272,24.3272,24.3272,165
845,24.05,24.05,24.05,24.05,375
868,24.009,24.009,24.009,24.009,239
977,23.77,23.77,23.77,23.77,3400
a1497642600,23.876,23.876,23.876,23.876,250
411,24.0626,24.0626,24.0626,24.0626,280
412,24.089,24.089,24.089,24.089,432
413,24.046,24.046,24.046,24.046,629
416,24.1047,24.1047,24.1047,24.1047,250
826,23.79,23.79,23.79,23.79,540
827,24.03,24.1648,23.93,23.93,10397
841,24.11,24.11,24.11,24.11,200
855,24.21,24.21,24.21,24.21,194
865,24.16,24.16,24.16,24.16,100
973,24.2216,24.2216,24.2216,24.2216,125
995,24.3,24.3,24.3,24.3,100
a1498247400,24.32,24.32,24.32,24.32,400
1,24.385,24.385,24.36,24.36,300
546,24.2532,24.2532,24.2532,24.2532,300
547,24.254,24.254,24.254,24.254,400
549,24.2943,24.3043,24.27,24.3019,4178
562,24.23,24.23,24.23,24.23,200
569,24.14,24.14,24.14,24.14,100
720,24.4008,24.405,24.4008,24.405,1400
721,24.37,24.37,24.37,24.37,100
844,24.1282,24.1282,24.1282,24.1282,700
854,23.99,23.99,23.99,23.99,200
863,24.15,24.15,24.15,24.15,200
977,24.1258,24.1258,24.1258,24.1258,300
978,24.1184,24.1184,24.1184,24.1184,331
979,24.104,24.104,24.104,24.104,328
980,24.0941,24.1184,24.0941,24.1184,1062
982,24.1429,24.1429,24.1429,24.1429,200
990,24.0741,24.0741,24.06,24.06,300
991,24.05,24.05,24.05,24.05,300
992,24.1345,24.1345,24.074,24.074,1154
993,24.1457,24.1457,24.104,24.104,600
994,24.15,24.15,24.15,24.15,100
997,24.14,24.14,24.14,24.14,100
a1498848600,24.18,24.18,24.18,24.18,100
5,24.168,24.168,24.168,24.168,200
6,24.16,24.17,24.16,24.16,2100
7,24.19,24.19,24.19,24.19,100
409,24.251,24.251,24.251,24.251,200
