EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,13.6,13.6,13.6,13.6,4157
1,13.8,13.8,13.575,13.6,13406
2,13.95,14,13.75,13.75,16517
3,13.93,13.975,13.91,13.95,5767
4,13.9,13.925,13.85,13.9,5023
5,13.95,13.95,13.9,13.9,1240
6,13.925,13.95,13.9,13.95,2725
7,13.925,13.95,13.9,13.9,300
8,13.89,13.9,13.875,13.9,3615
9,13.925,13.95,13.9,13.9,3398
10,13.925,13.9329,13.9,13.925,4860
11,13.925,13.9286,13.9,13.9,3900
12,13.9,13.925,13.9,13.9,1100
13,13.875,13.925,13.85,13.9186,3292
14,13.95,13.95,13.85,13.85,4001
15,13.95,13.95,13.9,13.94,1300
16,13.9,13.95,13.9,13.9,3119
17,13.95,13.95,13.9,13.9,300
18,13.9,13.95,13.9,13.91,2004
19,13.925,13.95,13.875,13.9,6472
20,13.95,13.95,13.9,13.932,1898
21,13.925,13.95,13.9,13.9,4200
22,13.9,13.925,13.9,13.9,500
23,13.975,14,13.925,13.925,8350
24,14.05,14.075,13.95,13.975,9025
25,14.1,14.1,14.05,14.05,3861
26,14.025,14.05,14,14.05,1800
27,14.01,14.05,14,14,4787
28,14,14.05,14,14.05,1200
29,14.05,14.05,14,14.025,2042
30,14.021,14.05,14,14.025,1500
31,14,14.025,14,14,900
32,14,14.05,14,14.05,600
33,14.025,14.025,14,14,2400
34,14,14.05,13.95,14,10300
35,14,14.05,13.9733,13.975,15509
36,14,14,13.95,13.95,3009
37,13.95,14,13.9,13.95,18081
38,13.925,14,13.9,13.975,10139
39,13.9,13.95,13.9,13.9,38501
144,13.75,13.8,13.75,13.8,7046
145,13.925,13.95,13.8,13.8,5600
146,13.925,13.95,13.9,13.925,4700
147,13.95,13.95,13.9,13.9,3600
148,13.975,13.975,13.975,13.975,300
149,13.95,14,13.95,14,2900
150,13.9774,14,13.95,14,1100
151,14,14,14,14,6300
152,14,14,14,14,700
153,14.05,14.05,13.95,13.95,6976
154,14.025,14.05,14.025,14.05,800
155,14.075,14.075,14.05,14.05,500
156,14.15,14.2,14.075,14.1,13694
157,14.1247,14.2,14.1247,14.175,2546
158,14.075,14.15,14.05,14.15,1767
159,14.1,14.1,14.05,14.05,1500
160,14.05,14.1,14.05,14.1,800
161,14.075,14.0811,14.05,14.05,2225
162,14.05,14.1,14.05,14.1,1300
163,14.075,14.1,14.05,14.05,7719
164,14.125,14.125,14.05,14.1,3600
165,14.1,14.15,14.1,14.15,1300
166,14.075,14.125,14.05,14.1,3650
167,14.025,14.1,14.025,14.05,1225
168,14.075,14.1,14.05,14.05,2300
169,14.05,14.1,14.05,14.1,1500
170,14.075,14.075,14.075,14.075,11399
171,14.075,14.1,14.05,14.1,1200
172,14.075,14.075,14.025,14.075,7500
173,14.15,14.15,14.075,14.095,3700
174,14.2,14.225,14.1,14.125,15100
175,14.175,14.2,14.15,14.175,8600
176,14.175,14.2,14.175,14.175,4006
177,14.175,14.2,14.17,14.175,1836
178,14.175,14.2,14.175,14.175,3800
179,14.25,14.25,14.15,14.175,19676
180,14.275,14.3,14.25,14.25,7213
181,14.275,14.3,14.25,14.275,7050
182,14.3,14.3,14.25,14.3,12848
183,14.25,14.3,14.25,14.275,53486
288,14.15,14.15,14.15,14.15,3139
289,14.2,14.25,14.15,14.15,5690
290,14.25,14.25,14.2,14.2,10143
291,14.25,14.25,14.25,14.25,300
292,14.275,14.3,14.225,14.225,2706
293,14.35,14.35,14.275,14.3,6964
294,14.325,14.35,14.3173,14.35,27475
295,14.375,14.4,14.325,14.35,18667
296,14.4,14.45,14.35,14.4,19127
297,14.35,14.4,14.35,14.4,10888
298,14.325,14.325,14.325,14.325,100
299,14.275,14.35,14.25,14.35,3028
300,14.25,14.275,14.25,14.275,2265
301,14.1,14.275,14.1,14.275,5800
302,14.225,14.225,14.125,14.125,7407
303,14.225,14.25,14.2,14.225,1300
304,14.225,14.25,14.2,14.25,2400
305,14.275,14.292,14.225,14.25,4936
306,14.2,14.25,14.2,14.25,2900
307,14.25,14.25,14.2,14.2,1000
308,14.275,14.3,14.2,14.2,4200
309,14.2,14.275,14.15,14.25,8380
310,14.2,14.2,14.2,14.2,1700
311,14.15,14.175,14.15,14.15,1300
312,14.175,14.2,14.15,14.15,1200
313,14.175,14.2,14.15,14.2,1500
314,14.175,14.2,14.175,14.175,2412
315,14.175,14.2,14.15,14.2,2800
316,14.175,14.2,14.16,14.2,4100
317,14.2,14.2,14.15,14.175,2300
318,14.175,14.2,14.175,14.2,900
319,14.175,14.2,14.15,14.175,7904
320,14.2,14.2,14.15,14.2,11972
321,14.25,14.25,14.2,14.2,600
322,14.2,14.225,14.15,14.225,7536
324,14.175,14.175,14.15,14.175,1200
325,14.19,14.2,14.175,14.175,2540
326,14.225,14.25,14.15,14.175,11012
327,14.15,14.25,14.15,14.2,47965
432,14.2,14.2,14.2,14.2,738
433,14.05,14.1,14,14.1,4938
434,13.975,14.075,13.95,14.05,18294
435,14,14,13.975,13.975,3000
436,13.975,14.05,13.95,13.976,47447
437,13.975,14,13.975,14,1668
438,14,14,13.975,13.975,11277
439,14,14.025,13.9552,14,7794
440,14,14,13.975,14,6700
441,14.025,14.05,14,14,3900
442,13.95,14.025,13.95,14.025,6385
443,13.9,13.94,13.9,13.94,1400
444,13.875,13.9,13.875,13.9,300
445,13.9,13.925,13.85,13.9,15281
446,13.925,13.925,13.85,13.875,3715
447,13.9234,13.925,13.895,13.9,3306
448,13.925,13.95,13.925,13.95,1739
449,14,14,13.925,13.925,2127
450,13.986,13.986,13.969,13.969,222
451,13.925,13.975,13.925,13.975,1511
452,13.9233,13.925,13.9,13.925,1052
453,13.925,13.925,13.925,13.925,300
454,13.95,13.95,13.9,13.925,400
455,13.925,13.925,13.9,13.925,3899
456,13.925,13.925,13.925,13.925,100
457,13.95,13.95,13.9,13.925,950
458,13.9,13.9,13.9,13.9,300
459,13.925,13.95,13.9,13.925,1300
460,13.9,13.925,13.9,13.925,600
461,13.9,13.925,13.9,13.925,500
462,13.9,13.925,13.9,13.9206,4280
463,13.925,13.95,13.875,13.9,26699
464,13.925,13.95,13.9,13.925,8600
465,13.925,13.925,13.9,13.9,2300
466,13.975,14,13.9,13.9,3949
467,13.975,13.975,13.9675,13.9675,690
468,14.025,14.025,13.975,13.975,3110
469,13.975,14.025,13.975,14.025,7328
470,14,14,13.95,13.975,2400
471,14,14.05,13.95,14,54868
864,14.15,14.15,14.15,14.15,8230
865,13.975,14.1,13.975,14.1,4600
866,14.1,14.1,14,14,2662
867,14.125,14.15,14.1,14.1,15394
868,14.15,14.15,14.1,14.1,2900
869,14.125,14.15,14.1,14.125,2999
870,14.125,14.15,14.125,14.14,3200
871,14.125,14.2,14.075,14.15,22285
872,14.1,14.15,14.1,14.15,1100
873,14.125,14.15,14.125,14.125,2100
874,14.125,14.15,14.1,14.15,1350
875,14.125,14.15,14.1,14.125,900
876,14.125,14.15,14.125,14.125,1300
877,14.125,14.15,14.1,14.1,1400
878,14.125,14.15,14.1,14.125,1750
879,14.125,14.15,14.1,14.125,1300
880,14.1,14.125,14.1,14.125,2100
881,14.075,14.125,14.075,14.125,4961
882,14.1,14.1,14.075,14.075,2800
883,14.1,14.1,14.071,14.1,950
884,14.15,14.15,14.075,14.075,1604
885,14.125,14.1274,14.125,14.125,1035
886,14.125,14.15,14.1,14.125,1300
887,14.125,14.15,14.1,14.1,1100
888,14.15,14.15,14.11,14.125,800
889,14.1,14.15,14.1,14.15,700
890,14.075,14.125,14.075,14.1,2800
891,14.1,14.1,14.05,14.075,1200
892,14.075,14.1,14.075,14.075,1100
893,14.125,14.125,14.1,14.1,1400
894,14.1,14.125,14.05,14.125,3300
895,14.075,14.1,14.075,14.075,500
896,14,14.05,13.975,14.05,9540
897,14.025,14.025,14,14,1300
898,14.1,14.1,14.025,14.025,3644
899,14.1,14.1,14.05,14.1,1800
900,14.075,14.1,14.05,14.1,900
901,14.025,14.1,14,14.1,6700
902,14,14.05,14,14.025,3100
