EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,19.45,19.45,19.45,19.45,3103
1,19.525,19.6,19.2,19.2,10225
2,19.4,19.5,19.4,19.5,14157
3,19.45,19.5,19.4,19.4,8900
4,19.475,19.5,19.4,19.45,10196
5,19.4,19.475,19.4,19.45,1400
6,19.55,19.6,19.4,19.425,26895
7,19.55,19.55,19.5,19.55,3600
8,19.475,19.5176,19.475,19.5,4248
9,19.55,19.55,19.45,19.5,10800
10,19.55,19.575,19.5,19.525,5000
11,19.6,19.6,19.55,19.6,9566
12,19.575,19.575,19.55,19.575,5019
13,19.675,19.675,19.55,19.6,11403
14,19.65,19.725,19.625,19.65,14550
15,19.65,19.7,19.65,19.65,2100
16,19.65,19.725,19.65,19.7,3903
17,19.725,19.725,19.6,19.65,7010
18,19.7,19.7,19.65,19.7,2429
19,19.65,19.675,19.65,19.65,4100
20,19.65,19.7,19.6,19.65,13548
21,19.65,19.7,19.65,19.65,26100
22,19.65,19.675,19.65,19.65,7360
23,19.675,19.675,19.65,19.65,1100
24,19.675,19.675,19.65,19.65,700
25,19.625,19.6795,19.6,19.6795,5555
26,19.65,19.7,19.6,19.6,12404
27,19.7,19.7,19.65,19.7,2393
28,19.65,19.7,19.65,19.65,2100
29,19.7,19.7,19.65,19.65,1214
30,19.7,19.75,19.65,19.675,18000
31,19.65,19.7,19.65,19.7,10400
32,19.65,19.675,19.65,19.65,620
33,19.7,19.7,19.65,19.65,1000
34,19.7,19.725,19.65,19.7,15871
35,19.675,19.7,19.675,19.7,2496
36,19.7,19.7,19.65,19.7,800
37,19.7,19.7,19.65,19.7,2430
38,19.625,19.7,19.6,19.675,62466
39,19.65,19.75,19.65,19.65,140738
144,19.65,19.65,19.65,19.65,1584
145,19.8,19.85,19.65,19.7,2681
146,19.85,19.9,19.7,19.85,11478
147,19.7,19.85,19.7,19.85,27630
148,19.8,19.8,19.725,19.75,6571
149,19.775,19.8,19.75,19.8,5794
150,19.825,19.825,19.7,19.75,10135
151,19.75,19.85,19.75,19.85,2666
152,19.75,19.8,19.7,19.75,8341
153,19.85,19.9,19.75,19.75,20525
154,19.875,19.9,19.8,19.85,8193
155,19.85,19.95,19.85,19.875,11133
156,19.925,19.95,19.85,19.9,15854
157,19.9,19.95,19.875,19.95,8758
158,19.8,19.9,19.775,19.85,10034
159,19.8,19.8,19.75,19.8,8900
160,19.8,19.8,19.75,19.8,1100
161,19.75,19.8,19.75,19.775,1400
162,19.775,19.8,19.75,19.775,2705
163,19.775,19.775,19.75,19.75,2300
164,19.825,19.85,19.75,19.8,8468
165,19.85,19.85,19.825,19.85,6078
166,19.85,19.85,19.8,19.85,5919
167,19.85,19.9,19.85,19.85,2267
168,19.9,19.9,19.85,19.9,11617
169,19.9,19.95,19.9,19.9,4787
170,19.9,19.925,19.9,19.9,10553
171,19.9,19.95,19.85,19.85,2791
172,19.9,19.9,19.8,19.9,12168
173,19.85,19.9,19.85,19.875,1700
174,19.9,19.925,19.85,19.85,14697
175,19.9349,19.95,19.9,19.95,11400
176,19.95,20,19.95,19.95,9306
177,20.025,20.025,19.95,19.95,9323
178,20.05,20.05,19.975,20.025,16854
179,20.05,20.1,20,20.05,7888
180,20.025,20.025,19.95,20,10122
181,19.9,20.025,19.9,20.025,16666
182,19.95,19.95,19.85,19.9,20605
183,19.95,19.95,19.9,19.9,99468
288,21,21,21,21,7543
289,20.2,20.65,19.85,20.65,22352
290,20.2,20.325,19.95,20.2,28923
291,20.2,20.35,20.1,20.25,14810
292,20.15,20.225,20.05,20.2,11317
293,20.1,20.15,20.05,20.15,9450
294,19.95,20.1,19.9,20.1,7700
295,20,20,19.85,19.925,16037
296,19.85,19.975,19.85,19.975,7670
297,19.85,19.85,19.75,19.85,6795
298,20.05,20.05,19.8,19.8,8237
299,20,20.05,19.925,20,8600
300,20.025,20.025,20.025,20.025,200
301,19.85,20.05,19.85,20.05,5163
302,19.825,19.875,19.8,19.875,3189
303,19.775,19.85,19.75,19.8,3800
304,19.9,19.9,19.8,19.8,6800
305,19.975,20,19.9,19.9,6561
306,20,20,19.95,19.975,3319
307,19.9,20,19.9,19.975,7002
308,19.9,19.95,19.9,19.925,2200
309,19.9,19.925,19.9,19.9,2200
310,19.9,19.95,19.9,19.925,2700
311,19.85,19.9,19.8,19.9,18871
312,19.8,19.85,19.8,19.85,4116
313,19.8,19.85,19.8,19.8,3767
314,19.825,19.85,19.8,19.8,1700
315,19.875,19.9,19.8,19.825,8676
316,19.9,19.95,19.9,19.9,5800
317,19.8,19.95,19.8,19.9,8636
318,19.8,19.85,19.75,19.85,7800
319,19.9,19.9,19.8,19.8,6893
320,19.8,19.9,19.8,19.9,9984
321,19.75,19.85,19.75,19.8,8873
322,19.75,19.8,19.75,19.75,6308
323,19.75,19.8,19.75,19.775,10376
324,19.75,19.775,19.75,19.75,7610
325,19.775,19.775,19.75,19.75,9480
326,19.8,19.85,19.75,19.75,33016
327,19.85,19.95,19.8,19.825,143659
432,19.85,19.85,19.85,19.85,3303
433,19.75,19.85,19.75,19.75,6600
434,19.9,19.925,19.795,19.8,20421
435,19.95,19.95,19.9,19.95,3845
436,19.95,19.95,19.9,19.95,4356
437,19.825,19.9,19.8,19.9,33375
438,19.85,19.85,19.8,19.825,2700
439,19.875,19.875,19.75,19.825,8900
440,19.875,19.875,19.85,19.85,2430
441,19.9,19.95,19.85,19.85,8916
442,19.814,19.925,19.8,19.85,30642
443,19.85,19.85,19.8,19.8,5150
444,19.85,19.85,19.825,19.85,2300
445,19.8,19.85,19.8,19.85,750
446,19.8,19.9,19.8,19.825,5140
447,19.775,19.825,19.75,19.825,2200
448,19.825,19.85,19.8,19.8,15569
449,19.85,19.85,19.85,19.85,1800
450,19.85,19.85,19.825,19.85,1200
451,19.85,19.85,19.825,19.825,800
452,19.85,19.85,19.825,19.825,6761
453,19.821,19.85,19.821,19.85,600
454,19.85,19.85,19.825,19.825,601
455,19.825,19.85,19.825,19.85,1700
456,19.8702,19.9,19.8,19.825,14260
457,19.9,19.9,19.85,19.85,900
458,19.9,19.9,19.85,19.85,200
459,19.875,19.9,19.85,19.85,1700
460,19.85,19.9,19.85,19.85,1400
461,19.875,19.9,19.85,19.875,1900
462,19.8,19.9,19.8,19.9,6210
463,19.8,19.85,19.8,19.8,6700
464,19.85,19.85,19.8,19.8,1300
465,19.75,19.85,19.75,19.825,10790
466,19.8,19.85,19.75,19.75,15846
467,19.85,19.85,19.8,19.8,14500
468,19.8,19.825,19.8,19.825,7254
469,19.825,19.85,19.8,19.825,13600
470,19.8,19.85,19.75,19.825,44572
471,19.9,19.95,19.75,19.775,225323
864,19.95,19.95,19.95,19.95,2723
865,19.9,20.15,19.85,20.15,3107
866,19.8,19.925,19.8,19.9,4246
867,19.8,19.8699,19.75,19.775,3901
868,19.8,19.8,19.75,19.8,6763
869,19.875,19.9,19.775,19.8,6031
870,19.775,19.875,19.75,19.875,5732
871,19.825,19.825,19.75,19.75,8100
872,19.825,19.85,19.8,19.825,1400
873,19.75,19.85,19.75,19.825,5274
874,19.7,19.775,19.7,19.775,2500
875,19.775,19.775,19.7,19.725,5444
876,19.7,19.75,19.7,19.75,3417
877,19.625,19.7,19.6,19.7,2600
878,19.575,19.625,19.55,19.625,7589
879,19.625,19.625,19.55,19.55,4281
880,19.65,19.65,19.6,19.6,1498
881,19.7,19.7,19.65,19.65,2500
882,19.675,19.7,19.65,19.7,2363
883,19.725,19.725,19.675,19.675,2500
884,19.675,19.725,19.675,19.7,2184
885,19.675,19.675,19.6,19.675,3669
886,19.725,19.725,19.675,19.675,900
887,19.775,19.8,19.725,19.75,4564
888,19.8,19.825,19.775,19.775,3027
889,19.825,19.825,19.775,19.775,1600
890,19.8,19.9,19.8,19.85,3144
891,19.825,19.825,19.8,19.8,700
892,19.85,19.9,19.825,19.85,5765
893,19.85,19.85,19.825,19.825,900
894,19.65,19.85,19.65,19.85,30297
895,19.675,19.7,19.65,19.65,3517
896,19.7,19.7,19.65,19.7,2289
