EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,43.93,43.93,43.93,43.93,2247
1,43.87,44.12,43.81,44.12,3400
2,43.92,44.02,43.86,43.97,6616
3,43.62,43.94,43.62,43.94,9649
4,43.73,43.78,43.66,43.69,6532
5,43.65,43.85,43.65,43.81,5100
6,43.65,43.76,43.58,43.73,3500
7,43.6,43.81,43.6,43.7,3400
8,43.71,43.719,43.55,43.6,7703
9,43.73,43.81,43.62,43.7,7506
10,43.69,43.7301,43.67,43.7301,2500
11,43.75,43.77,43.69,43.74,4474
12,43.73,43.76,43.69,43.73,4300
13,43.6799,43.78,43.65,43.75,4987
14,43.685,43.77,43.61,43.68,7284
15,43.685,43.685,43.6101,43.65,1300
16,43.65,43.72,43.61,43.72,3160
17,43.66,43.67,43.58,43.65,3500
18,43.67,43.71,43.6301,43.6301,1100
19,43.74,43.74,43.65,43.7,900
20,43.7,43.79,43.61,43.74,9344
21,43.71,43.7177,43.66,43.7,2100
22,43.7124,43.765,43.6801,43.705,2900
23,43.72,43.74,43.69,43.7,900
24,43.681,43.72,43.68,43.7,1800
25,43.72,43.75,43.71,43.7177,2279
26,43.735,43.75,43.71,43.74,3100
27,43.65,43.75,43.57,43.735,10800
28,43.6701,43.74,43.66,43.67,1000
29,43.66,43.75,43.62,43.7,2100
30,43.54,43.69,43.54,43.65,3000
31,43.4701,43.61,43.45,43.57,5800
32,43.49,43.54,43.42,43.47,4825
33,43.565,43.58,43.48,43.48,7240
34,43.6,43.67,43.57,43.57,6700
35,43.6201,43.7,43.59,43.615,7522
36,43.66,43.68,43.6,43.6435,5300
37,43.62,43.68,43.57,43.65,10203
38,43.605,43.63,43.55,43.61,9660
39,43.55,43.62,43.51,43.6,43373
144,43.81,43.81,43.81,43.81,1764
145,43.9,43.9901,43.7,43.71,8265
146,43.74,43.92,43.6,43.89,13291
147,43.66,43.75,43.48,43.73,8630
148,43.82,43.85,43.71,43.72,7330
149,43.58,43.78,43.58,43.78,4753
150,43.5,43.6,43.45,43.58,2700
151,43.5901,43.63,43.47,43.5,2500
152,43.31,43.68,43.24,43.63,91278
153,43.37,43.38,43.3,43.345,22954
154,43.77,43.85,43.35,43.36,45088
155,43.81,43.91,43.735,43.77,18473
156,43.79,43.865,43.73,43.81,10300
157,43.79,43.86,43.76,43.81,8892
158,43.9,43.91,43.79,43.825,9245
159,44.06,44.13,43.92,43.939,12134
160,44.24,44.25,44.13,44.13,2700
161,44.18,44.27,44.18,44.25,3230
162,44.08,44.22,44.08,44.22,2300
163,44.07,44.14,44,44.1,7110
164,44.17,44.19,44.05,44.05,3000
165,44.13,44.24,44.13,44.19,2900
166,44.16,44.25,44.07,44.15,6373
167,44.0901,44.235,44.0901,44.23,3132
168,44.0501,44.18,44.05,44.13,5707
169,44.01,44.07,44.01,44.05,2100
170,44.177,44.21,44,44.03,2700
171,44.23,44.3,44.19,44.26,4400
172,44.115,44.25,44.1,44.25,4510
173,44.0901,44.13,44.09,44.13,3300
174,44.18,44.19,44.09,44.09,1900
175,44.12,44.2,44.12,44.19,7726
176,44.08,44.12,44.08,44.11,2800
177,44.09,44.09,44.06,44.06,1100
178,44.21,44.22,44.095,44.095,4910
179,44.13,44.1932,44.13,44.17,3513
180,44.04,44.13,44.03,44.13,7935
181,43.88,44.03,43.85,44.03,9190
182,43.74,43.9,43.69,43.9,24943
183,43.64,43.76,43.61,43.76,104138
288,43.66,43.66,43.62,43.62,3495
289,43.54,43.82,43.54,43.82,2600
290,43.5,43.56,43.42,43.52,3110
291,43.225,43.51,43.21,43.51,4550
292,43.12,43.28,43.08,43.21,9443
293,43.25,43.31,43.11,43.195,5745
294,43.4,43.4,43.25,43.25,2200
295,43.33,43.41,43.32,43.41,3500
296,43.21,43.47,43.05,43.31,46105
297,43.35,43.38,43.24,43.3,5139
298,43.57,43.73,43.36,43.3701,76607
299,43.7662,43.87,43.45,43.5948,36958
300,43.8102,43.885,43.71,43.725,18003
301,43.889,43.99,43.82,43.83,12963
302,43.76,43.89,43.71,43.84,9209
303,43.79,43.79,43.7,43.76,6150
304,43.96,43.96,43.77,43.79,3716
305,44.06,44.09,43.9897,43.9958,10899
306,44.0808,44.12,44.0658,44.08,3118
307,44.18,44.18,44.03,44.04,9653
308,44.31,44.35,44.16,44.16,7855
309,44.3,44.39,44.26,44.29,8849
310,44.2371,44.3199,44.2371,44.3199,6150
311,44.37,44.37,44.2398,44.25,3290
312,44.33,44.41,44.32,44.41,4300
313,44.2,44.33,44.2,44.33,3200
314,44.19,44.2,44.02,44.2,85910
315,44.19,44.22,44.14,44.16,5950
316,44.2489,44.28,44.23,44.23,5276
317,44.3899,44.44,44.2699,44.27,6962
318,44.3729,44.46,44.36,44.36,7093
319,44.52,44.52,44.34,44.417,6843
320,44.58,44.61,44.52,44.6,7092
321,44.69,44.71,44.57,44.585,11500
322,44.75,44.75,44.69,44.74,10792
323,44.81,44.81,44.71,44.73,6758
324,44.78,44.82,44.74,44.805,9446
325,44.78,44.82,44.74,44.795,13618
326,44.66,44.77,44.64,44.77,11128
327,44.63,44.65,44.56,44.64,39621
432,44.9,44.9,44.9,44.9,2230
433,44.9,44.9899,44.65,44.65,2491
434,45.2,45.2,44.8764,44.8764,16034
435,45.54,45.59,45.2748,45.29,18017
436,45.53,45.54,45.27,45.5,142087
437,45.32,45.56,45.29,45.39,5764
438,45,45.3568,45,45.3568,7495
439,45.27,45.35,45.01,45.06,6800
440,45.25,45.35,45.14,45.34,8550
441,45.14,45.23,45.1,45.2052,10814
442,45.16,45.23,45.08,45.11,4185
443,45.36,45.36,45.185,45.1862,2501
444,45.29,45.3,45.26,45.3,1000
445,45.32,45.36,45.3,45.32,2000
446,45.2,45.32,45.2,45.32,5111
447,45.07,45.21,45.06,45.21,6205
448,45.22,45.22,45.07,45.07,2370
449,45.225,45.25,45.22,45.22,800
450,45.12,45.28,45.1,45.225,14100
451,45.11,45.18,45.05,45.08,5211
452,45.2939,45.2939,45.16,45.16,1729
453,45.24,45.3,45.18,45.3,1500
454,45.14,45.2466,45.13,45.2466,4700
455,45.15,45.15,45.13,45.15,2000
456,45.26,45.26,45.19,45.19,1500
457,45.14,45.24,45.14,45.24,3546
458,45.13,45.18,45.12,45.14,5400
459,45.27,45.27,45.12,45.159,4000
460,45.24,45.24,45.17,45.23,1200
461,45.28,45.28,45.2,45.2,1000
462,45.22,45.29,45.2,45.29,2502
463,45.27,45.3,45.22,45.24,3297
464,45.19,45.3,45.16,45.3,4046
465,45.24,45.26,45.16,45.21,2298
466,45.2,45.22,45.15,45.22,4407
467,45.09,45.24,45.05,45.22,58492
468,45.12,45.12,45.08,45.09,3604
469,45,45.16,45,45.13,8631
470,45.19,45.19,44.99,45,6545
471,45.1,45.19,45.04,45.19,68531
576,45.29,45.29,45.29,45.29,3291
577,45.02,45.28,45.02,45.151,3700
578,44.95,45.1,44.82,45.1,12075
579,44.74,44.7806,44.73,44.75,700
580,44.83,44.83,44.65,44.71,6383
581,44.94,44.94,44.81,44.85,2100
582,44.98,45.0076,44.98,44.98,814
583,44.91,44.95,44.8617,44.95,1050
584,44.89,44.92,44.81,44.92,2200
585,44.8,44.8468,44.8,44.83,925
586,44.78,44.89,44.74,44.86,2514
587,44.75,44.8,44.75,44.79,1300
588,44.86,44.86,44.76,44.76,1450
589,44.75,44.81,44.7,44.81,2300
590,44.81,44.85,44.75,44.7905,6015
591,44.835,44.86,44.81,44.8142,2250
592,44.91,44.91,44.84,44.84,1523
593,44.91,44.96,44.8901,44.93,1508
594,44.92,44.92,44.85,44.88,811
595,44.86,44.9,44.86,44.8701,950
596,44.97,44.97,44.83,44.83,1326
597,45.06,45.06,44.94,44.95,1300
598,45.21,45.22,45.08,45.08,35727
599,45.16,45.22,45.09,45.22,2100
600,45.07,45.09,44.99,45.09,4570
601,45.12,45.18,45.06,45.06,1011
602,45.08,45.14,45.07,45.1,7100
603,45.1,45.11,45.08,45.09,1400
604,45.04,45.1,45.03,45.08,3778
605,45.14,45.14,45.04,45.04,700
