EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,27.41,27.41,27.41,27.41,1376
1,28,28.09,27.76,27.8,12233
2,28.37,28.4903,28.28,28.28,15953
3,28.28,28.36,28.2,28.3065,3300
4,28.49,28.5,28.3,28.3,10200
5,28.53,28.5899,28.5,28.55,1700
6,28.4,28.4958,28.34,28.4784,700
7,28.41,28.43,28.32,28.4226,3200
8,28.35,28.42,28.27,28.42,3950
9,28.42,28.45,28.34,28.3912,7450
10,28.38,28.46,28.38,28.43,2690
11,28.4,28.43,28.39,28.41,500
12,28.4,28.4315,28.37,28.4315,2150
13,28.4778,28.52,28.4032,28.4032,1950
14,28.351,28.3756,28.351,28.3756,1500
15,28.43,28.46,28.39,28.39,1450
17,28.35,28.35,28.2801,28.31,1550
18,28.315,28.38,28.315,28.38,700
19,28.31,28.3422,28.31,28.3325,700
20,28.3116,28.3116,28.2,28.2415,1660
21,28.25,28.28,28.25,28.28,900
22,28.2864,28.299,28.26,28.26,325
24,28.3599,28.39,28.3384,28.3384,475
26,28.3,28.3,28.2576,28.2576,200
28,28.3177,28.38,28.3177,28.38,600
30,28.3353,28.3353,28.3353,28.3353,100
32,28.32,28.3599,28.3,28.32,1965
33,28.3,28.3,28.3,28.3,200
34,28.45,28.45,28.33,28.33,1800
35,28.449,28.46,28.41,28.41,1300
36,28.43,28.48,28.43,28.48,300
37,28.43,28.45,28.43,28.45,800
38,28.36,28.42,28.36,28.4199,600
39,28.2,28.33,28.2,28.33,2875
144,28.36,28.36,28.36,28.36,360
145,28.1181,28.35,28.08,28.18,2650
146,28.4,28.4,28.06,28.1258,6050
147,28.45,28.45,28.45,28.45,1300
148,28.46,28.5,28.44,28.44,1500
149,28.47,28.47,28.45,28.45,1350
151,28.543,28.543,28.4875,28.4875,400
152,28.46,28.5062,28.45,28.5062,650
153,28.5138,28.5138,28.5,28.5,1450
154,28.43,28.48,28.43,28.48,1100
155,28.45,28.5,28.44,28.48,700
156,28.42,28.43,28.42,28.42,800
157,28.46,28.46,28.45,28.45,1100
158,28.21,28.25,28.21,28.25,750
159,28.21,28.21,28.21,28.21,300
162,28.42,28.42,28.4,28.4,3000
163,28.39,28.39,28.33,28.35,3100
164,28.32,28.365,28.32,28.365,1740
165,28.43,28.43,28.3,28.3,1700
166,28.41,28.41,28.41,28.41,200
167,28.39,28.39,28.39,28.39,1100
168,28.36,28.36,28.32,28.32,1100
169,28.37,28.37,28.37,28.37,100
170,28.31,28.31,28.31,28.31,200
171,28.3819,28.4,28.3819,28.39,1800
172,28.33,28.33,28.32,28.32,300
173,28.33,28.33,28.33,28.33,600
174,28.4,28.4,28.3101,28.3101,6500
175,28.44,28.44,28.41,28.41,500
176,28.44,28.44,28.42,28.42,900
178,28.57,28.57,28.47,28.47,2820
179,28.65,28.65,28.58,28.58,3250
180,28.66,28.67,28.62,28.65,1960
181,28.6,28.6527,28.571,28.63,5200
182,28.53,28.5799,28.525,28.5401,2520
183,28.39,28.47,28.36,28.415,12685
288,28.39,28.39,28.39,28.39,541
289,27.97,28.3,27.9,28.3,3055
290,28.05,28.05,27.93,27.93,1200
291,28.1,28.1,28.08,28.08,300
292,28.259,28.259,28.23,28.23,300
294,28.12,28.12,28.08,28.08,900
295,28.13,28.13,28.03,28.03,600
296,28.19,28.23,28.19,28.21,1700
297,28.17,28.23,28.16,28.22,1100
298,28.4082,28.4082,28.2,28.2,1879
299,28.49,28.5,28.49,28.5,600
300,28.5,28.5,28.4801,28.4801,1600
301,28.4,28.4,28.3848,28.3848,476
302,28.41,28.41,28.4,28.4,900
303,28.47,28.47,28.41,28.41,1000
308,28.57,28.57,28.4518,28.4518,1743
310,28.7,28.72,28.6396,28.6396,3659
311,28.82,28.85,28.78,28.78,2400
312,28.81,28.82,28.79,28.79,600
314,28.7,28.7,28.7,28.7,100
317,28.5998,28.5998,28.5998,28.5998,167
319,28.71,28.72,28.71,28.72,300
320,28.68,28.68,28.68,28.68,300
321,28.6869,28.73,28.6869,28.73,500
322,28.64,28.74,28.64,28.71,1300
323,28.62,28.63,28.62,28.63,500
324,28.54,28.54,28.51,28.51,500
325,28.56,28.56,28.56,28.56,200
326,28.47,28.47,28.39,28.39,688
327,28.48,28.52,28.47,28.47,3202
432,28.41,28.41,28.41,28.41,507
433,28.94,28.94,28.68,28.68,3425
434,28.64,28.83,28.64,28.83,500
435,28.49,28.49,28.49,28.49,300
436,28.49,28.53,28.49,28.53,400
437,28.36,28.36,28.36,28.36,100
438,28.23,28.32,28.23,28.32,740
439,28.3601,28.3601,28.33,28.33,500
440,28.51,28.5447,28.51,28.54,349
441,28.55,28.55,28.51,28.51,1300
442,28.62,28.69,28.62,28.69,490
443,28.67,28.67,28.67,28.67,600
445,28.39,28.43,28.39,28.43,500
447,28.53,28.53,28.53,28.53,100
450,28.6,28.6,28.6,28.6,400
451,28.58,28.58,28.58,28.58,100
452,28.55,28.55,28.53,28.53,300
453,28.5,28.5,28.46,28.48,600
455,28.48,28.48,28.48,28.48,100
456,28.4,28.4,28.4,28.4,500
457,28.5125,28.5125,28.5,28.5,1000
459,28.49,28.49,28.49,28.49,100
466,28.63,28.63,28.63,28.63,400
467,28.71,28.71,28.68,28.68,400
468,28.76,28.76,28.76,28.76,300
469,28.82,28.83,28.7501,28.8,1000
470,28.82,28.82,28.75,28.76,800
471,28.71,28.78,28.71,28.78,3568
864,28.98,28.98,28.98,28.98,650
865,29.1,29.1,28.79,28.81,3525
867,29.3194,29.33,29.22,29.22,900
868,29.2,29.3396,29.2,29.28,2300
869,29.2,29.2022,29.14,29.2022,2600
870,29.165,29.165,29.1,29.1,675
871,29.0674,29.11,29.0674,29.11,4193
872,29.25,29.25,29.1595,29.1595,300
873,29.17,29.21,29.17,29.21,300
874,29.1725,29.18,29.13,29.18,950
877,29.13,29.13,29.13,29.13,200
878,29.15,29.15,29.15,29.15,600
879,29.19,29.19,29.19,29.19,100
881,29.23,29.23,29.23,29.23,300
885,29.27,29.27,29.18,29.24,3646
886,29.2907,29.2907,29.2907,29.2907,300
887,29.35,29.35,29.27,29.27,5830
888,29.35,29.35,29.35,29.35,1580
891,29.41,29.41,29.36,29.36,6689
892,29.43,29.445,29.43,29.43,700
893,29.346,29.3716,29.346,29.3716,243
894,29.4,29.4199,29.396,29.4199,1220
895,29.37,29.37,29.36,29.3628,375
897,29.24,29.27,29.22,29.22,1300
898,29.33,29.33,29.31,29.31,1500
899,29.35,29.42,29.35,29.36,5900
900,29.34,29.35,29.33,29.35,900
901,29.37,29.3768,29.35,29.3768,1900
902,29.32,29.35,29.32,29.35,3100
903,29.34,29.34,29.31,29.33,1200
a1493732400,29.5688,29.7,29.39,29.44,6930
1,29.39,29.56,29.39,29.56,1400
2,29.11,29.33,29.11,29.33,2225
3,28.9234,29.02,28.9234,29,1120
4,28.8,28.8,28.71,28.79,2000
5,28.96,28.96,28.7488,28.7488,600
6,28.77,28.77,28.77,28.77,100
7,28.75,28.75,28.75,28.75,1100
8,28.67,28.67,28.67,28.67,300
9,28.56,28.69,28.56,28.69,6700
12,28.9,28.9,28.9,28.9,300
13,28.8467,28.8467,28.8467,28.8467,137
14,28.94,28.95,28.94,28.95,600
15,28.86,28.86,28.86,28.86,200
16,28.79,28.83,28.79,28.83,700
17,28.85,28.85,28.79,28.79,700
18,28.91,28.91,28.83,28.83,500
19,28.9975,29,28.91,28.91,500
22,29.0147,29.0147,29.0147,29.0147,350
26,29,29,29,29,600
29,29.16,29.16,29.15,29.15,375
30,29.14,29.18,29.14,29.18,885
31,29.06,29.18,29.06,29.18,300
32,28.9674,29.03,28.9674,29.0214,1450
33,28.91,28.91,28.91,28.91,100
36,28.8,28.8,28.66,28.66,3900
37,28.97,28.97,28.97,28.97,200
38,29.02,29.03,28.9284,29,3525
143,29.02,29.02,29.02,29.02,6000
144,28.57,28.68,28.4945,28.64,3750
145,28.59,28.59,28.47,28.52,1300
146,28.6,28.63,28.6,28.63,1700
147,28.42,28.49,28.42,28.49,504
