EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,368.57,368.57,368.57,368.57,225
5,367.43,368.66,367.43,367.73,600
9,368.6,368.6,368.6,368.6,237
16,368.6705,368.72,368.6705,368.72,300
17,369.43,369.43,369.43,369.43,100
19,369.79,369.79,369.29,369.29,700
20,370.95,370.95,370.06,370.06,300
21,370.3015,371.46,370.3015,371.445,300
22,371.21,371.21,371.21,371.21,100
23,371.65,371.65,371.49,371.49,400
24,370.5574,370.5574,370.5574,370.5574,101
25,372.4,372.4,372.4,372.4,100
27,372.47,372.49,372.47,372.48,400
29,371.772,371.98,371.772,371.98,261
30,371.66,371.75,371.66,371.75,200
31,371.905,371.905,371.905,371.905,100
32,373.2,373.6823,372.25,372.25,1633
33,372.99,373.69,372.87,373.68,600
34,372.96,373.04,372.23,372.45,3151
35,373.4973,373.501,372.6834,372.6834,450
36,373.65,373.66,372.9,373.22,600
37,373.65,373.65,373.64,373.64,200
38,372.78,373.66,372.78,373.35,2000
39,372.91,373.05,372.19,373.05,3977
144,374,374,374,374,100
145,372,373.63,372,373.63,200
149,371.81,372.11,371.81,372.11,300
150,371.28,371.82,371.28,371.82,400
151,371.835,371.835,371.835,371.835,200
154,370.64,370.64,370.64,370.64,100
156,370.7,370.7,370.7,370.7,100
157,370.12,370.34,370.12,370.34,200
158,369.95,369.95,369.19,369.74,500
160,370.46,370.46,368.5358,368.5358,200
162,368.687,369.05,368.62,369.05,500
163,369.33,369.33,368.55,368.78,1324
164,368.8,368.8,368.8,368.8,100
165,369.3,369.3,369.3,369.3,100
166,370,370,369.45,369.45,600
167,371,371,370.8,370.83,950
169,371.3,371.3,371.28,371.28,200
171,372.18,372.18,371.42,371.42,600
172,372.1,372.1,372.1,372.1,100
173,371.24,371.24,371.24,371.24,200
174,371.326,371.326,371.326,371.326,100
175,372.38,372.38,372.14,372.14,200
178,372.116,372.116,371.11,371.11,300
179,372.1011,372.1011,372.1011,372.1011,100
180,371.7,371.7,370.93,371.29,400
181,371.235,371.235,371.235,371.235,200
182,371.01,371.42,371.01,371.42,400
183,370.92,370.98,370.03,370.2,2578
288,370.67,370.67,370.67,370.67,118
289,369.1,369.1,369.1,369.1,100
291,370.72,370.72,370.72,370.72,100
296,369.04,369.11,369.04,369.11,300
303,365.41,368.96,365.41,368.25,600
304,369.0677,369.0677,366.055,366.055,300
306,367.02,367.62,367.02,367.62,200
307,367.3317,367.3738,367.3317,367.3738,246
311,367.13,368.27,367.13,368.27,203
312,368.72,368.72,367.37,367.37,600
313,368.09,368.09,368.09,368.09,100
314,368.65,368.66,368.65,368.66,300
316,367.12,369.09,367.12,369.09,350
318,368.38,368.38,367.685,367.99,300
319,368.47,368.47,368.32,368.32,400
321,368.94,368.94,368.94,368.94,108
322,369.755,369.7672,369.23,369.23,500
325,369.37,369.37,369.37,369.37,100
326,369.05,369.37,369,369.37,900
327,368.87,369.96,367.74,369.96,2998
436,370.8,370.8,370.8,370.8,100
437,371.31,371.31,371.31,371.31,100
442,368.93,368.93,368.93,368.93,100
444,370.86,370.86,370.79,370.79,200
446,371.12,371.12,371.12,371.12,102
448,369.93,369.93,369.93,369.93,100
454,371.28,371.28,369.56,370.73,700
458,370.6,370.63,370.6,370.63,300
459,371.6142,371.94,371.6142,371.94,250
460,370.61,370.61,370.61,370.61,172
461,370.62,371.91,370.62,371.11,666
462,371.045,371.045,370.62,370.62,200
465,370.21,370.21,370.21,370.21,300
466,370.765,370.765,370.21,370.21,200
468,370.33,370.33,369.68,369.86,600
469,368.87,369.4875,368.87,369.4875,500
470,369.475,369.75,368.94,368.94,400
471,369.39,370.01,368.27,370.005,3536
576,369.2,369.2,369.2,369.2,178
579,367.965,369.61,367.965,368.37,700
583,368,368.31,368,368,1100
585,368.5,368.5,368.5,368.5,552
586,368.52,368.52,368.52,368.52,100
587,368.5,368.5,368.5,368.5,100
588,368.8,369.47,368.51,368.8,1086
589,368.84,369.385,368.84,369.385,300
590,369.7,369.7,369.05,369.09,1692
594,369.46,369.46,369.46,369.46,100
597,369.915,370.18,369.63,369.99,1067
598,370.09,370.09,370,370,200
599,370.54,370.54,370.54,370.54,100
600,370.54,370.54,370.49,370.49,300
601,370.68,370.68,370.67,370.67,200
602,371.35,371.56,370.5,370.5,1602
603,371.67,371.67,371.46,371.51,1200
604,372.15,372.15,371.7,371.7,500
605,372.13,372.3,371.8,371.8,2059
606,372.24,372.27,372.17,372.27,400
607,372.69,372.69,372.39,372.64,400
608,372.7771,372.79,372.7771,372.79,1302
609,372.37,372.37,372.37,372.37,100
610,372.51,372.51,372.51,372.51,420
611,372.715,373.18,372.66,372.86,1792
612,373.17,373.17,373.17,373.17,100
613,373.67,374.245,372.3,372.74,2573
614,373.36,373.4,372.86,373.15,1877
615,374.46,374.77,373.2,373.79,9330
a1493645400,375.64,375.64,375.64,375.64,445
1,375.48,375.535,375.385,375.535,300
2,375.6,375.6,375.47,375.47,200
3,375.51,375.51,374.36,374.36,300
4,374.18,374.18,374.18,374.18,100
6,372.085,373.65,372.085,373.65,1100
7,371.88,372.77,371.88,372.08,700
8,371.6004,372.05,370.915,371.12,1598
9,371.86,372.53,371.78,371.86,1500
10,372.099,372.099,372.099,372.099,1000
11,371.17,371.845,371.17,371.355,500
12,371.235,371.235,371.235,371.235,100
13,371.26,372.3,371.26,371.34,400
14,371.74,372.25,371.26,372.25,400
15,371.69,371.745,371.5752,371.735,828
16,371.36,371.36,371.36,371.36,100
17,370.17,371.26,370.04,371.26,760
19,369.28,369.42,369.28,369.42,200
20,368.97,369.24,368.32,369.24,1200
21,368.4576,368.4576,368.4576,368.4576,200
23,368.555,369.11,368.27,368.27,639
24,368.555,368.555,368.03,368.03,200
26,369.12,369.12,369.12,369.12,200
28,369.4182,370.99,369,370.3,1421
29,370.75,370.75,368.99,369.55,300
30,369.05,369.05,369.05,369.05,200
31,369.7025,369.75,369.015,369.015,300
32,368.87,369.1,368.87,369.1,200
33,369,369.005,368.52,369.005,300
34,369.42,369.42,368.545,368.545,200
36,368.48,368.54,368.48,368.54,653
37,367.9775,368.48,367.82,368.06,1806
38,368.78,368.78,367.83,367.83,3539
39,368.88,369.6,368.2601,368.73,4873
144,368.64,368.64,368.64,368.64,189
145,370.9,375.065,370.54,375.065,400
146,371.315,371.38,370.88,371.01,500
147,370.76,371.125,369.505,371.125,300
148,370.61,370.977,370.61,370.977,302
149,369.77,369.77,369.77,369.77,100
150,368.585,371.75,368.34,369.79,1151
151,370.54,370.605,368.58,368.58,1000
152,369.78,370.58,369.78,370.45,816
153,370.47,370.47,369.05,369.05,200
154,368.81,370.52,368.81,370.48,400
155,370.53,370.53,370.09,370.09,205
156,370.5,370.57,370.28,370.57,300
157,373.335,373.335,370.55,370.55,500
158,371.308,373.49,371.26,373.49,800
159,371.285,373.295,371.285,371.3,500
160,371.715,371.715,370.52,371.275,350
161,371.14,371.69,371.14,371.69,200
162,371.045,373.11,370.91,371.12,850
163,371.045,372.355,371.045,372.355,200
164,372.24,372.24,370.77,370.77,200
165,371.94,371.94,371.94,371.94,100
166,371.94,371.94,371.165,371.165,1200
167,372.25,372.25,371.49,371.49,1465
168,373.39,373.39,372.44,372.44,220
169,373.4,373.4,372.74,373.37,600
170,371.75,373.27,371.75,372.94,400
171,373.3,373.3,373.3,373.3,100
172,373.105,373.105,373.105,373.105,100
173,372.7,372.88,372.55,372.88,300
175,372.36,372.47,372.015,372.015,300
176,372.995,372.995,371.965,371.965,600
177,372.455,373.905,372.455,373.905,200
178,373.19,373.19,373.18,373.18,200
179,372.29,373.44,372.29,372.66,900
180,371.51,372.81,371.51,372.81,1600
181,372.36,372.66,371.96,371.96,1000
182,372.25,373.01,371.56,371.56,2100
183,373.88,375.045,372.5,375.045,8546
288,372.89,372.89,372.89,372.89,301
290,373.085,373.085,373.085,373.085,100
291,370.43,372.98,370.35,372.28,1100
292,372.31,372.31,371.575,371.575,2600
293,372.8,372.8,371.8669,371.8669,450
294,372.79,372.79,372.24,372.24,300
