EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,13.9,13.9,13.9,13.9,2155
1,14,14.05,13.8,13.85,11536
2,14.05,14.05,13.95,13.953,1420
3,14.05,14.05,13.966,14,2546
4,13.85,14.0915,13.85,14.0915,23200
5,13.95,13.95,13.875,13.875,5935
6,13.9,14,13.9,13.95,4600
7,13.9,13.9,13.85,13.85,400
8,13.9,13.925,13.85,13.925,2300
9,13.9,13.95,13.9,13.9,5810
10,13.905,13.95,13.9,13.925,4400
11,13.925,13.95,13.9,13.9,4988
12,13.95,14,13.9,13.9,8251
13,13.975,13.975,13.95,13.95,1170
14,14,14,13.95,13.975,4898
15,13.95,14,13.95,14,3200
16,13.95,14,13.95,13.975,8279
17,13.985,13.985,13.9829,13.9829,5175
18,13.975,13.975,13.95,13.975,300
19,13.95,13.975,13.95,13.95,1000
20,14.05,14.05,13.975,13.9967,18334
21,14.05,14.05,14.05,14.05,2900
22,14.0737,14.1,14.05,14.0559,1850
23,14.05,14.0747,14.05,14.0747,400
24,14.1,14.1,14.05,14.075,600
25,14.0674,14.0674,14.0674,14.0674,100
26,14.1,14.1,14.05,14.1,500
27,14.1,14.1,14.051,14.1,775
28,14.0609,14.1,14.05,14.1,755
29,14.1,14.1,14.05,14.077,1019
30,14.1,14.1,14.05,14.1,700
31,14.075,14.1,14.05,14.05,1330
32,14.125,14.125,14.05,14.075,8002
33,14.125,14.15,14.1,14.15,600
34,14.15,14.15,14.125,14.15,2000
35,14.15,14.15,14.1,14.1478,700
36,14.125,14.15,14.1,14.1,900
37,14.1,14.15,14.1,14.125,4631
38,14.05,14.15,14.05,14.1,14701
39,14,14.1,14,14.1,50990
144,13.85,14,13.85,14,2519
145,14,14,14,14,500
146,14.15,14.15,14.0238,14.0238,3218
147,14.2,14.2,14.1,14.15,3500
148,14.15,14.2,14.15,14.1925,1455
149,14.175,14.2,14.15,14.2,1470
150,14.2,14.2,14.15,14.175,1200
151,14.2,14.2,14.175,14.175,400
152,14.275,14.275,14.2,14.2,5801
153,14.25,14.3,14.2,14.25,1000
154,14.25,14.3,14.25,14.275,2325
155,14.35,14.35,14.3,14.3,4696
156,14.4,14.4,14.35,14.35,2600
157,14.3705,14.4,14.35,14.4,1425
158,14.15,14.4,14.15,14.4,7248
159,14.2,14.25,14.15,14.2,1300
160,14.15,14.2,14.15,14.15,2578
161,14.175,14.1804,14.15,14.15,1900
162,14.2,14.2,14.125,14.15,2500
163,14.15,14.1635,14.15,14.15,4323
164,14.2,14.2,14.15,14.1747,5100
165,14.262,14.3,14.2,14.25,3370
166,14.2499,14.25,14.2,14.2,1900
167,14.3,14.3,14.225,14.25,3309
168,14.3,14.3,14.25,14.3,4983
169,14.3,14.3,14.275,14.3,1800
170,14.3,14.3,14.275,14.3,900
171,14.275,14.3,14.275,14.275,1700
172,14.3,14.3,14.26,14.275,2358
173,14.325,14.325,14.25,14.3,3199
174,14.4,14.425,14.3,14.3162,4519
175,14.4,14.4,14.35,14.3747,1900
176,14.4,14.4,14.35,14.4,4650
177,14.35,14.4,14.35,14.375,4800
178,14.3,14.35,14.3,14.35,2500
179,14.325,14.35,14.3,14.3,1100
180,14.325,14.35,14.3,14.3,4084
181,14.325,14.35,14.3,14.325,3734
182,14.15,14.35,14.1,14.35,51473
183,14.2,14.35,14.15,14.175,82944
288,14.85,14.85,14.85,14.85,7405
289,15.45,15.65,14.75,14.75,27719
290,15.3459,15.5,15.2,15.45,24940
291,15.3001,15.35,15.25,15.35,8696
292,15.3,15.35,15.1175,15.35,11132
293,15.25,15.35,15.05,15.3001,7528
294,15.25,15.25,15.15,15.15,935
295,15.15,15.25,15.15,15.2,12886
296,15.15,15.2,15.15,15.2,4900
297,15.15,15.1505,15.05,15.15,6626
298,15.125,15.15,15.1001,15.125,1700
299,15.1,15.15,15.05,15.125,4908
300,15.05,15.125,15.05,15.1,2300
301,15.0765,15.0765,15.05,15.05,3850
302,15.05,15.0765,15.05,15.075,2900
303,15.05,15.075,15.05,15.05,1500
304,15.05,15.075,15.05,15.05,1700
305,15.175,15.2,15.05,15.05,8949
306,15.25,15.3,15.15,15.2,9085
307,15.25,15.3,15.25,15.275,1589
308,15.2,15.375,15.15,15.275,19302
309,15.3,15.35,15.2,15.2,13846
310,15.25,15.35,15.25,15.325,18161
311,15.35,15.35,15.25,15.25,3867
312,15.4,15.4,15.35,15.35,2500
313,15.35,15.4,15.3,15.4,5591
314,15.35,15.35,15.3,15.325,4820
315,15.25,15.35,15.2,15.3,12161
316,15.075,15.25,15.075,15.225,16562
317,15.1,15.15,15.075,15.075,14023
318,15.1,15.15,15.075,15.1,8600
319,15.1,15.15,15.075,15.1,12214
320,15.1,15.15,15.1,15.125,4700
321,15.1,15.15,15.1,15.125,10171
322,15.125,15.15,15.1,15.1,5900
323,15.1,15.15,15.1,15.125,7221
324,15.05,15.15,15.05,15.1,46707
325,15.05,15.1,15.05,15.075,12761
326,15.2,15.2,14.95,15.05,81511
327,15,15.175,14.95,15.15,179247
432,15.2,15.2,15.2,15.2,5861
433,14.95,15.15,14.95,15.0501,4619
434,14.95,15,14.9,14.95,5810
435,14.9,15,14.85,14.95,8900
436,14.95,15,14.9,14.9,4970
437,14.8875,14.975,14.8875,14.95,7950
438,14.9,14.9,14.875,14.875,3800
439,14.9,14.95,14.85,14.9,11285
440,14.95,15,14.9,14.95,13288
441,14.95,15,14.9,14.95,6700
442,14.975,15,14.975,14.975,2000
443,14.9,15,14.9,15,9329
444,14.85,14.9375,14.85,14.9375,6376
445,14.8353,14.875,14.8,14.85,3752
446,14.85,14.85,14.825,14.85,1449
447,14.825,14.875,14.825,14.85,2300
448,14.875,14.9,14.825,14.825,4121
449,14.85,14.9,14.85,14.9,8345
450,14.9,14.9,14.85,14.875,2000
451,14.85,14.9,14.85,14.875,2300
452,14.875,14.9,14.8747,14.875,1400
453,14.875,14.9,14.875,14.9,1000
454,14.9,14.9,14.875,14.9,1500
455,14.9,14.9,14.875,14.9,4800
456,14.875,14.9,14.875,14.9,2721
457,14.9,14.9,14.85,14.9,2812
458,14.875,14.9,14.85,14.875,2000
459,14.875,14.9,14.85,14.9,2400
460,14.75,14.9,14.725,14.9,26575
461,14.75,14.8,14.7,14.7,12796
462,14.75,14.75,14.715,14.725,3066
463,14.7,14.75,14.7,14.75,5100
464,14.75,14.75,14.7,14.75,3235
465,14.725,14.75,14.7,14.725,4755
466,14.75,14.75,14.725,14.75,5060
467,14.775,14.825,14.725,14.725,16695
468,14.775,14.8,14.7659,14.775,3070
469,14.8,14.8,14.75,14.775,15020
470,14.85,14.85,14.75,14.775,22488
471,14.8,14.85,14.75,14.825,145792
864,14.8,14.8,14.8,14.8,2107
865,14.9,14.95,14.9,14.95,300
866,14.875,14.95,14.85,14.9,6473
867,14.8875,14.9,14.8,14.9,4510
868,14.875,14.9,14.85,14.9,11878
869,14.925,14.95,14.85,14.875,9850
870,14.95,15,14.9,14.95,4200
871,14.95,15,14.9,14.95,4700
872,14.975,15.025,14.95,15,7498
873,14.975,15,14.95,14.975,2200
874,15,15,14.95,15,2400
875,14.9,15,14.9,15,6992
876,14.9,14.95,14.9,14.9,4100
877,14.95,14.95,14.85,14.95,3500
878,15,15,14.9,14.95,3600
879,15,15.05,14.925,14.975,10967
880,15,15,14.975,14.975,600
881,14.95,15.05,14.95,15,6645
882,15,15,14.95,15,6127
883,14.975,15,14.95,15,1000
884,14.975,15,14.95,14.9999,3350
885,15,15.025,14.95,14.95,14958
886,15,15,14.95,14.95,3000
887,15,15,14.95,15,2900
888,14.979,15,14.975,15,2067
889,15,15,14.95,15,2400
890,15,15,14.9682,15,6602
891,15,15,14.95,14.975,1813
892,14.975,15,14.95,15,5427
893,15.025,15.025,14.95,15,4428
894,15.1,15.1,15.05,15.05,3802
895,15.1,15.1,15.05,15.075,3300
896,15.1,15.15,15.075,15.1,16526
897,15.125,15.15,15.075,15.1,6958
898,15.15,15.15,15.1005,15.125,1600
899,15.175,15.2,15.15,15.15,5300
