EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,16.55,16.55,16.55,16.55,5203
1,16.56,16.63,16.27,16.63,4600
2,16.51,16.5325,16.41,16.49,7400
3,16.43,16.53,16.41,16.51,5919
4,16.46,16.46,16.38,16.4,5100
5,16.44,16.5,16.39,16.45,8232
6,16.45,16.5,16.4,16.46,28400
7,16.48,16.49,16.45,16.45,9574
8,16.48,16.5,16.47,16.49,21393
9,16.46,16.49,16.46,16.48,16903
10,16.44,16.475,16.44,16.46,8454
11,16.46,16.49,16.43,16.43,7147
12,16.4,16.47,16.4,16.47,23200
13,16.49,16.5,16.39,16.41,26983
14,16.46,16.51,16.46,16.495,14400
15,16.485,16.5,16.46,16.46,11654
16,16.495,16.51,16.47,16.47,15436
17,16.48,16.4989,16.47,16.49,6983
18,16.46,16.48,16.45,16.47,3605
19,16.45,16.47,16.44,16.46,3300
20,16.5,16.5,16.45,16.455,9505
21,16.5,16.5,16.47,16.495,9061
22,16.63,16.63,16.5,16.5,13251
23,16.6,16.66,16.6,16.66,13359
24,16.6,16.63,16.58,16.61,4449
25,16.58,16.59,16.58,16.59,2444
26,16.49,16.57,16.48,16.57,12596
27,16.5,16.5,16.47,16.49,9642
28,16.57,16.57,16.5,16.5,6587
29,16.66,16.66,16.58,16.58,12945
30,16.73,16.75,16.62,16.67,38571
31,16.69,16.72,16.68,16.72,9742
32,16.68,16.71,16.68,16.69,8610
33,16.68,16.71,16.68,16.68,18931
34,16.77,16.79,16.67,16.67,9978
35,16.97,16.98,16.78,16.79,10380
36,16.9,17.01,16.87,16.98,15540
37,16.89,16.92,16.87,16.89,15924
38,16.9,16.94,16.89,16.89,38556
39,16.92,16.94,16.9,16.9,79399
144,16.72,16.72,16.72,16.72,500
145,16.6501,16.925,16.65,16.72,2900
146,16.68,16.83,16.64,16.665,10650
147,16.81,16.87,16.69,16.69,45400
148,16.72,16.84,16.69,16.83,5300
149,16.78,16.82,16.69,16.7,9960
150,16.85,16.89,16.785,16.785,16600
151,17.14,17.25,16.83,16.83,104934
152,17.18,17.19,17.1,17.14,10599
153,17.285,17.34,17.16,17.16,21493
154,17.05,17.27,17.05,17.26,7700
155,17.09,17.1,16.95,17.08,6701
156,17.15,17.22,17.08,17.08,4507
157,17.09,17.13,17.06,17.13,2984
158,17.01,17.14,16.98,17.11,11550
159,17.02,17.07,17,17,6001
160,17.025,17.05,16.98,17.01,4400
161,17.04,17.08,17,17.04,4900
162,16.94,17.045,16.94,17.045,2600
163,16.89,16.97,16.89,16.93,5627
164,16.85,16.92,16.84,16.89,6200
165,17,17,16.86,16.86,26351
166,16.99,16.99,16.94,16.99,5601
167,17.03,17.08,17,17,7034
168,16.99,17.06,16.95,17.04,3600
169,17.01,17.02,16.92,16.985,3200
170,17.14,17.14,16.96,17.015,14486
171,17.16,17.26,17.08,17.11,12495
172,17.11,17.17,17.1,17.1101,5300
173,16.98,17.13,16.94,17.13,5689
174,16.99,17.09,16.965,16.965,7500
175,16.94,17.02,16.9,16.99,8857
176,16.97,17.02,16.945,16.95,6845
177,16.952,17,16.93,16.94,11676
178,16.93,16.96,16.89,16.94,11751
179,16.88,16.95,16.87,16.93,15335
180,16.99,16.99,16.84,16.88,31877
181,17.04,17.07,16.99,16.99,32031
182,17.03,17.04,17.02,17.04,42410
183,16.91,17.03,16.89,17.025,100988
288,16.71,16.71,16.71,16.71,3521
289,15.94,16.63,15.83,16.6,74230
290,16.105,16.17,15.95,15.955,19180
291,16,16.18,15.99,16.04,39365
292,16.07,16.14,16,16,35990
293,16.08,16.13,15.98,16.065,39115
294,16.04,16.09,15.96,16.08,56500
295,15.99,16.06,15.97,16.06,124695
296,15.85,16.005,15.82,15.985,107539
297,15.835,16.01,15.75,15.86,71848
298,15.81,15.86,15.77,15.82,20498
299,15.825,15.87,15.73,15.81,15300
300,15.87,15.88,15.75,15.825,34300
301,16.01,16.0619,15.865,15.865,23456
302,16.015,16.055,15.98,16.01,19414
303,16.065,16.1,16.015,16.02,21349
304,15.99,16.08,15.93,16.065,41678
305,16.03,16.06,15.97,15.98,20388
306,16.06,16.06,15.98,16.02,34636
307,16.09,16.12,16.06,16.06,12500
308,16.11,16.12,16.03,16.08,11100
309,16.12,16.14,16.08,16.09,15300
310,16.06,16.12,16.03,16.11,99820
311,15.97,16.07,15.97,16.06,15750
312,15.965,15.98,15.859,15.97,20800
313,16.05,16.05,15.945,15.95,12389
314,16.04,16.08,16.04,16.06,22272
315,16.09,16.11,16.05,16.05,18825
316,16.135,16.16,16.08,16.095,19100
317,16.105,16.15,16.1,16.14,19060
318,16.02,16.11,16.02,16.105,32392
319,15.985,16.03,15.98,16.015,32684
320,16,16.03,15.98,15.98,26400
321,16.03,16.06,15.99,16,24470
322,15.9875,16.03,15.965,16.01,29990
323,15.88,15.99,15.88,15.985,33527
324,15.87,15.93,15.86,15.88,27400
325,15.855,15.891,15.85,15.875,30433
326,15.99,16.03,15.85,15.855,30356
327,15.95,15.995,15.92,15.99,252731
432,16.13,16.13,16.13,16.13,2755
433,16,16.2,15.97,16.2,800
434,15.83,16,15.83,16,3200
435,15.9,15.9,15.73,15.8,6690
436,15.97,16.02,15.87,15.88,3800
437,16.15,16.2,15.97,15.99,7181
438,16.05,16.16,16.01,16.16,8250
439,16.11,16.11,16.05,16.05,2121
440,15.9,16.08,15.9,16.08,34595
441,15.85,15.91,15.85,15.9,6434
442,15.82,15.86,15.79,15.85,8288
443,15.84,15.84,15.78,15.81,6861
444,15.785,15.84,15.78,15.81,6400
445,15.84,15.87,15.77,15.78,9800
446,15.77,15.83,15.76,15.82,14404
447,15.75,15.79,15.69,15.79,12311
448,15.74,15.76,15.7,15.71,20588
449,15.78,15.86,15.74,15.75,9400
450,15.67,15.775,15.65,15.77,39136
451,15.76,15.76,15.66,15.67,14800
452,15.76,15.77,15.74,15.74,4200
453,15.785,15.8,15.75,15.75,6100
454,15.79,15.81,15.78,15.78,9897
455,15.81,15.83,15.7875,15.79,6300
456,15.78,15.81,15.77,15.81,4800
457,15.815,15.82,15.78,15.78,5800
458,15.78,15.815,15.77,15.81,7300
459,15.77,15.8,15.76,15.77,8300
460,15.8,15.82,15.77,15.77,4800
461,15.84,15.84,15.77,15.795,9000
462,15.82,15.84,15.81,15.84,21000
463,15.8,15.81,15.74,15.81,28001
464,15.85,15.85,15.78,15.79,17238
465,15.8,15.85,15.78,15.83,28055
466,15.78,15.79,15.75,15.79,8700
467,15.73,15.77,15.69,15.77,17900
468,15.71,15.75,15.71,15.72,11863
469,15.7,15.74,15.7,15.71,24337
470,15.67,15.705,15.63,15.705,42732
471,15.65,15.72,15.62,15.68,93444
864,15.6,15.6,15.6,15.6,4192
865,15.65,15.675,15.485,15.49,5539
866,15.65,15.71,15.57,15.71,12302
867,15.65,15.725,15.65,15.65,6300
868,15.67,15.71,15.62,15.64,10592
869,15.625,15.675,15.625,15.67,29862
870,15.58,15.66,15.56,15.625,22521
871,15.49,15.61,15.48,15.56,17498
872,15.49,15.51,15.455,15.48,17778
873,15.43,15.475,15.38,15.46,62354
874,15.48,15.48,15.43,15.43,9859
875,15.5,15.51,15.44,15.48,10269
876,15.5,15.505,15.47,15.5,12967
877,15.44,15.51,15.44,15.5,41133
878,15.43,15.475,15.425,15.44,23147
879,15.5,15.5,15.425,15.425,13225
880,15.485,15.5,15.46,15.5,35969
881,15.44,15.47,15.43,15.47,11332
882,15.45,15.45,15.44,15.445,4002
883,15.43,15.44,15.42,15.44,9041
884,15.42,15.44,15.4,15.43,7242
885,15.39,15.44,15.36,15.44,21399
886,15.43,15.45,15.4,15.4,4800
887,15.46,15.46,15.435,15.44,6666
888,15.5,15.51,15.47,15.47,11679
889,15.5,15.51,15.47,15.5,7098
890,15.5,15.51,15.4725,15.5,11200
891,15.43,15.5,15.42,15.4966,47169
892,15.43,15.5,15.43,15.44,32948
893,15.48,15.48,15.425,15.43,9821
894,15.66,15.66,15.5,15.5,22003
895,15.65,15.66,15.52,15.64,109415
